obsnme,obsval,weight,obsgp
hd_p0_cp0,2292.934065932088,1.0,head
hd_p0_cp1,2292.934065932088,1.0,head
hd_p0_cp2,2285.5714285703157,1.0,head
hd_p0_cp3,2285.5714285703157,1.0,head
hd_p0_cp4,2278.208791209685,1.0,head
hd_p0_cp5,2278.208791209685,1.0,head
hd_p0_cp6,2270.846153847912,1.0,head
hd_p0_cp7,2270.846153847912,1.0,head
hd_p0_cp8,2263.4835164820875,1.0,head
hd_p0_cp9,2263.4835164820875,1.0,head
hd_p0_cp10,2256.1208791203153,1.0,head
hd_p0_cp11,2256.1208791203153,1.0,head
hd_p0_cp12,2248.758241759685,1.0,head
hd_p0_cp13,2248.758241759685,1.0,head
hd_p0_cp14,2241.395604397913,1.0,head
hd_p0_cp15,2241.395604397913,1.0,head
hd_p0_cp16,2234.032967032088,1.0,head
hd_p0_cp17,2234.032967032088,1.0,head
hd_p0_cp18,2226.6703296703154,1.0,head
hd_p0_cp19,2226.6703296703154,1.0,head
hd_p0_cp20,2219.3076923096837,1.0,head
hd_p0_cp21,2219.3076923096837,1.0,head
hd_p0_cp22,2211.9450549479056,1.0,head
hd_p0_cp23,2211.9450549479056,1.0,head
hd_p0_cp24,2204.582417582042,1.0,head
hd_p0_cp25,2204.582417582042,1.0,head
hd_p0_cp26,2197.219780219999,1.0,head
hd_p0_cp27,2197.219780219999,1.0,head
hd_p0_cp28,2189.8571428579567,1.0,head
hd_p0_cp29,2189.8571428579567,1.0,head
hd_p0_cp30,2182.494505492093,1.0,head
hd_p0_cp31,2182.494505492093,1.0,head
hd_p0_cp32,2175.131868130316,1.0,head
hd_p0_cp33,2175.131868130316,1.0,head
hd_p0_cp34,2167.7692307696843,1.0,head
hd_p0_cp35,2167.7692307696843,1.0,head
hd_p0_cp36,2160.4065934079117,1.0,head
hd_p0_cp37,2160.4065934079117,1.0,head
hd_p0_cp38,2153.0439560420873,1.0,head
hd_p0_cp39,2153.0439560420873,1.0,head
hd_p0_cp40,2145.681318680315,1.0,head
hd_p0_cp41,2145.681318680315,1.0,head
hd_p0_cp42,2138.318681319683,1.0,head
hd_p0_cp43,2138.3186813196835,1.0,head
hd_p0_cp44,2130.9560439579072,1.0,head
hd_p0_cp45,2130.9560439579113,1.0,head
hd_p0_cp46,2123.593406592062,1.0,head
hd_p0_cp47,2123.5934065920874,1.0,head
hd_p0_cp48,2116.2307692301665,1.0,head
hd_p0_cp49,2116.230769230315,1.0,head
hd_p0_cp50,2108.868131868911,1.0,head
hd_p0_cp51,2108.868131869684,1.0,head
hd_p0_cp52,2101.505494504467,1.0,head
hd_p0_cp53,2101.505494507907,1.0,head
hd_p0_cp54,2094.142857129604,1.0,head
hd_p0_cp55,2094.142857142043,1.0,head
hd_p0_cp56,2086.780219746602,1.0,head
hd_p0_cp57,2086.7802197799992,1.0,head
hd_p0_cp58,2079.417582362676,1.0,head
hd_p0_cp59,2079.4175824179574,1.0,head
hd_p0_cp60,2072.054945018695,1.0,head
hd_p0_cp61,2072.0549450520934,1.0,head
hd_p0_cp62,2064.6923076778776,1.0,head
hd_p0_cp63,2064.692307690316,1.0,head
hd_p0_cp64,2057.3296703262454,1.0,head
hd_p0_cp65,2057.329670329685,1.0,head
hd_p0_cp66,2049.9670329671385,1.0,head
hd_p0_cp67,2049.967032967912,1.0,head
hd_p0_cp68,2042.604395601939,1.0,head
hd_p0_cp69,2042.6043956020872,1.0,head
hd_p0_cp70,2035.2417582402898,1.0,head
hd_p0_cp71,2035.2417582403145,1.0,head
hd_p0_cp72,2027.87912087968,1.0,head
hd_p0_cp73,2027.8791208796843,1.0,head
hd_p0_cp74,2020.5164835179114,1.0,head
hd_p0_cp75,2020.5164835179119,1.0,head
hd_p0_cp76,2013.153846152087,1.0,head
hd_p0_cp77,2013.1538461520868,1.0,head
hd_p0_cp78,2005.7912087903142,1.0,head
hd_p0_cp79,2005.7912087903142,1.0,head
hd_p0_cp80,1998.4285714296836,1.0,head
hd_p0_cp81,1998.4285714296836,1.0,head
hd_p0_cp82,1991.0659340679115,1.0,head
hd_p0_cp83,1991.0659340679115,1.0,head
hd_p0_cp84,2292.934065932088,1.0,head
hd_p0_cp85,1991.0659340679115,1.0,head
hd_p0_cp86,2292.934065932088,1.0,head
hd_p0_cp87,1991.0659340679115,1.0,head
hd_p0_cp88,2292.934065932088,1.0,head
hd_p0_cp89,1991.0659340679115,1.0,head
hd_p0_cp90,2292.934065932088,1.0,head
hd_p0_cp91,1991.0659340679115,1.0,head
hd_p0_cp92,2292.934065932088,1.0,head
hd_p0_cp93,1991.0659340679106,1.0,head
hd_p0_cp94,2292.934065932088,1.0,head
hd_p0_cp95,1991.0659340679088,1.0,head
hd_p0_cp96,2292.934065932088,1.0,head
hd_p0_cp97,1991.0659340679035,1.0,head
hd_p0_cp98,2292.934065932088,1.0,head
hd_p0_cp99,1991.0659340678935,1.0,head
hd_p0_cp100,2292.934065932088,1.0,head
hd_p0_cp101,1991.0659340678853,1.0,head
hd_p0_cp102,2292.934065932088,1.0,head
hd_p0_cp103,1991.0659340678935,1.0,head
hd_p0_cp104,2292.934065932088,1.0,head
hd_p0_cp105,1991.065934067904,1.0,head
hd_p0_cp106,2292.934065932088,1.0,head
hd_p0_cp107,1991.0659340679088,1.0,head
hd_p0_cp108,2292.934065932088,1.0,head
hd_p0_cp109,1991.0659340679108,1.0,head
hd_p0_cp110,2292.934065932088,1.0,head
hd_p0_cp111,1991.0659340679115,1.0,head
hd_p0_cp112,2292.934065932088,1.0,head
hd_p0_cp113,1991.0659340679115,1.0,head
hd_p0_cp114,2292.934065932088,1.0,head
hd_p0_cp115,1991.0659340679115,1.0,head
hd_p0_cp116,2292.934065932088,1.0,head
hd_p0_cp117,1991.0659340679115,1.0,head
hd_p0_cp118,2292.934065932088,1.0,head
hd_p0_cp119,1991.0659340679115,1.0,head
hd_p0_cp120,2292.934065932088,1.0,head
hd_p0_cp121,1991.0659340679115,1.0,head
hd_p0_cp122,2292.934065932088,1.0,head
hd_p0_cp123,1991.0659340679115,1.0,head
hd_p0_cp124,2292.934065932088,1.0,head
hd_p0_cp125,1991.0659340679115,1.0,head
hd_p0_cp126,2292.934065932088,1.0,head
hd_p0_cp127,1991.0659340679115,1.0,head
hd_p0_cp128,2292.934065932088,1.0,head
hd_p0_cp129,1991.0659340679115,1.0,head
hd_p0_cp130,2292.934065932088,1.0,head
hd_p0_cp131,1991.0659340679115,1.0,head
hd_p0_cp132,2292.934065932088,1.0,head
hd_p0_cp133,1991.0659340679115,1.0,head
hd_p0_cp134,2292.934065932088,1.0,head
hd_p0_cp135,1991.0659340679115,1.0,head
hd_p0_cp136,2292.934065932088,1.0,head
hd_p0_cp137,1991.0659340679115,1.0,head
hd_p0_cp138,2292.934065932088,1.0,head
hd_p0_cp139,1991.0659340679115,1.0,head
hd_p0_cp140,2292.934065932088,1.0,head
hd_p0_cp141,1991.0659340679115,1.0,head
hd_p0_cp142,2292.934065932088,1.0,head
hd_p0_cp143,1991.0659340679115,1.0,head
hd_p0_cp144,2292.934065932088,1.0,head
hd_p0_cp145,1991.0659340679117,1.0,head
hd_p0_cp146,2292.934065932088,1.0,head
hd_p0_cp147,1991.0659340679115,1.0,head
hd_p0_cp148,2292.934065932088,1.0,head
hd_p0_cp149,1991.0659340679115,1.0,head
hd_p0_cp150,2292.9340659320874,1.0,head
hd_p0_cp151,1991.0659340679115,1.0,head
hd_p0_cp152,2292.9340659320874,1.0,head
hd_p0_cp153,1991.0659340679117,1.0,head
hd_p0_cp154,2292.9340659320837,1.0,head
hd_p0_cp155,1991.0659340679115,1.0,head
hd_p0_cp156,2292.934065932055,1.0,head
hd_p0_cp157,1991.0659340679113,1.0,head
hd_p0_cp158,2292.9340659318063,1.0,head
hd_p0_cp159,1991.0659340679108,1.0,head
