name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp0,3.57113e-09,0,3.57113e-09,3.57113e-09,3.57113e-09,3.57113e-09,2.95024e-25,4.40432e-25,1.48855e-29,2.26208e-24,-1.45408e-25,7.35456e-25,3.57113e-09
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp1,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,8.87467e-12,1.32487e-11,4.47774e-16,6.8046e-11,-4.37405e-12,2.21234e-11,1.91011e-09
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp10,3.86748e-06,0,3.86748e-06,3.86748e-06,3.86748e-06,3.86748e-06,3.67776,3.75935,0.000205334,20.4016,-0.0815907,7.43711,0.000201467
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp100,1.25842e-05,0,1.25842e-05,1.25842e-05,1.25842e-05,1.25842e-05,47.1882,14.2381,0.929014,83.819,32.9501,61.4264,0.929002
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp101,2.81277e-07,0,2.81277e-07,2.81277e-07,2.81277e-07,2.81277e-07,54.6311,15.798,1.10063,93.896,38.8331,70.4291,1.10063
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp102,2.83937e-06,0,2.83937e-06,2.83937e-06,2.83937e-06,2.83937e-06,62.9699,17.4825,1.29641,104.865,45.4874,80.4523,1.29641
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp103,5.48339e-08,0,5.48339e-08,5.48339e-08,5.48339e-08,5.48339e-08,72.2776,19.2998,1.51883,116.786,52.9778,91.5773,1.51883
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp104,5.32527e-07,0,5.32527e-07,5.32527e-07,5.32527e-07,5.32527e-07,8.7367e-22,1.30427e-21,4.40812e-26,6.69881e-21,-4.30605e-22,2.17794e-21,5.32527e-07
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp105,1.2697e-08,0,1.2697e-08,1.2697e-08,1.2697e-08,1.2697e-08,5.15901e-10,7.70173e-10,2.60299e-14,3.95564e-09,-2.54272e-10,1.28607e-09,8.74136e-09
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp108,1.97397e-08,0,1.97397e-08,1.97397e-08,1.97397e-08,1.97397e-08,0.00986496,0.0138914,5.05421e-07,0.0726092,-0.00402646,0.0237564,4.85682e-07
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp109,3.01137e-07,0,3.01137e-07,3.01137e-07,3.01137e-07,3.01137e-07,0.0720438,0.0935826,3.76789e-06,0.499979,-0.0215388,0.165626,3.46675e-06
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp11,5.63887e-10,0,5.63887e-10,5.63887e-10,5.63887e-10,5.63887e-10,6.46814,6.48396,0.000364022,34.8663,-0.0158175,12.9521,0.000364022
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp110,5.67979e-09,0,5.67979e-09,5.67979e-09,5.67979e-09,5.67979e-09,0.311085,0.372307,1.6611e-05,2.02432,-0.061222,0.683392,1.66053e-05
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp111,2.02508e-06,0,2.02508e-06,2.02508e-06,2.02508e-06,2.02508e-06,0.955414,1.06997,5.19108e-05,5.86433,-0.114561,2.02539,4.98858e-05
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp112,2.75668e-09,0,2.75668e-09,2.75668e-09,2.75668e-09,2.75668e-09,2.32125,2.47656,0.000127853,13.5649,-0.155314,4.79781,0.00012785
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp113,1.1819e-05,0,1.1819e-05,1.1819e-05,1.1819e-05,1.1819e-05,4.76829,4.91808,0.000265414,26.7688,-0.149789,9.68638,0.000253595
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp114,2.13186e-09,0,2.13186e-09,2.13186e-09,2.13186e-09,2.13186e-09,8.65236,8.71866,0.000485556,47.0181,-0.0662947,17.371,0.000485554
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp115,5.69847e-05,0,5.69847e-05,5.69847e-05,5.69847e-05,5.69847e-05,14.2906,14.1695,0.00080885,75.6272,0.121086,28.4601,0.000751866
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp116,2.0068e-09,0,2.0068e-09,2.0068e-09,2.0068e-09,2.0068e-09,21.9509,21.5086,0.00126277,113.644,0.442286,43.4595,0.00126277
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp117,0.000206128,1.08638e-19,0.000206128,0.000206128,0.000206128,0.000206128,31.8782,30.9073,0.00194371,161.914,0.97092,62.7855,0.00173758
