name,value,group,weight
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp0,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp1,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp10,2256.12,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp100,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp101,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp102,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp103,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp104,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp105,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp106,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp107,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp108,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp109,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp11,2256.12,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp110,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp111,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp112,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp113,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp114,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp115,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp116,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp117,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp118,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp119,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp12,2248.76,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp120,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp121,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp122,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp123,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp124,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp125,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp126,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp127,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp128,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp129,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp13,2248.76,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp130,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp131,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp132,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp133,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp134,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp135,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp136,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp137,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp138,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp139,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp14,2241.4,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp140,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp141,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp142,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp143,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp144,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp145,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp146,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp147,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp148,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp149,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp15,2241.4,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp150,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp151,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp152,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp153,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp154,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp155,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp156,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp157,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp158,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp159,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp16,2234.03,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp160,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp161,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp162,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp163,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp164,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp165,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp166,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp167,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp168,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp169,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp17,2234.03,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp170,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp171,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp172,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp173,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp174,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp175,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp176,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp177,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp178,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp179,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp18,2226.67,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp180,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp181,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp182,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp183,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp184,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp185,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp186,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp187,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp188,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp189,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp19,2226.67,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp190,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp191,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp192,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp193,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp194,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp195,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp196,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp197,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp198,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp199,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp2,2285.57,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp20,2219.31,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp200,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp201,1991.07,oname:obs.csv_otype:lst_usecol:obsval,10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp202,2292.93,oname:obs.csv_otype:lst_usecol:obsval,10
