parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,c,inst,pname,pstyle,ptype,r,sp,usecol
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:72_c:58_sp:0,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,58,0,p,m,gr,72,0,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:70_c:32_sp:0,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,32,0,p,m,gr,70,0,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:41_c:36_sp:0,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,36,0,p,m,gr,41,0,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:84_c:42_sp:0,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,42,0,p,m,gr,84,0,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:76_c:61_sp:0,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,61,0,p,m,gr,76,0,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:72_c:45_sp:0,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,45,0,p,m,gr,72,0,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:37_c:35_sp:0,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,35,0,p,m,gr,37,0,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:34_c:60_sp:0,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,60,0,p,m,gr,34,0,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:66_c:39_sp:0,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,39,0,p,m,gr,66,0,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:58_c:52_sp:0,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,52,0,p,m,gr,58,0,a
