iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,25,1e+06,3.70347e+10,7.6447e-05,0.75,100000,3.70347e+10,2.33602e-05
1,25,1e+06,3.70347e+10,7.6447e-05,1,100000,3.70347e+10,2.33602e-05
1,25,1e+06,3.70347e+10,7.6447e-05,1.1,100000,3.70347e+10,2.33602e-05
1,25,1e+06,3.70347e+10,7.6447e-05,0.75,1e+06,3.70347e+10,2.33602e-05
1,25,1e+06,3.70347e+10,7.6447e-05,1,1e+06,3.70347e+10,2.33602e-05
1,25,1e+06,3.70347e+10,7.6447e-05,1.1,1e+06,3.70347e+10,2.33602e-05
1,25,1e+06,3.70347e+10,7.6447e-05,0.75,1e+07,3.70347e+10,2.33602e-05
1,25,1e+06,3.70347e+10,7.6447e-05,1,1e+07,3.70347e+10,2.33602e-05
1,25,1e+06,3.70347e+10,7.6447e-05,1.1,1e+07,3.70347e+10,2.33602e-05
2,25,75000,3.70347e+10,7.6447e-05,0.75,7500,3.70347e+10,2.33602e-05
2,25,75000,3.70347e+10,7.6447e-05,1,7500,3.70347e+10,2.33602e-05
2,25,75000,3.70347e+10,7.6447e-05,1.1,7500,3.70347e+10,2.33602e-05
2,25,75000,3.70347e+10,7.6447e-05,0.75,75000,3.70347e+10,2.33602e-05
2,25,75000,3.70347e+10,7.6447e-05,1,75000,3.70347e+10,2.33602e-05
2,25,75000,3.70347e+10,7.6447e-05,1.1,75000,3.70347e+10,2.33602e-05
2,25,75000,3.70347e+10,7.6447e-05,0.75,750000,3.70347e+10,2.33602e-05
2,25,75000,3.70347e+10,7.6447e-05,1,750000,3.70347e+10,2.33602e-05
2,25,75000,3.70347e+10,7.6447e-05,1.1,750000,3.70347e+10,2.33602e-05
