,r,c,sp,sidx,idx_strs,pargpa,parval1_a,a
0,72,58,0,"(72, 58, 0)",r:72_c:58_sp:0,p_inst:0,1.0,1.0
1,70,32,0,"(70, 32, 0)",r:70_c:32_sp:0,p_inst:0,1.0,1.0
2,41,36,0,"(41, 36, 0)",r:41_c:36_sp:0,p_inst:0,1.0,1.0
3,84,42,0,"(84, 42, 0)",r:84_c:42_sp:0,p_inst:0,1.0,1.0
4,76,61,0,"(76, 61, 0)",r:76_c:61_sp:0,p_inst:0,1.0,1.0
5,72,45,0,"(72, 45, 0)",r:72_c:45_sp:0,p_inst:0,1.0,1.0
6,37,35,0,"(37, 35, 0)",r:37_c:35_sp:0,p_inst:0,1.0,1.0
7,34,60,0,"(34, 60, 0)",r:34_c:60_sp:0,p_inst:0,1.0,1.0
8,66,39,0,"(66, 39, 0)",r:66_c:39_sp:0,p_inst:0,1.0,1.0
9,58,52,0,"(58, 52, 0)",r:58_c:52_sp:0,p_inst:0,1.0,1.0
10,54,31,0,"(54, 31, 0)",r:54_c:31_sp:0,p_inst:0,1.0,1.0
11,34,54,0,"(34, 54, 0)",r:34_c:54_sp:0,p_inst:0,1.0,1.0
12,55,37,0,"(55, 37, 0)",r:55_c:37_sp:0,p_inst:0,1.0,1.0
13,77,52,0,"(77, 52, 0)",r:77_c:52_sp:0,p_inst:0,1.0,1.0
14,35,37,0,"(35, 37, 0)",r:35_c:37_sp:0,p_inst:0,1.0,1.0
15,71,31,0,"(71, 31, 0)",r:71_c:31_sp:0,p_inst:0,1.0,1.0
16,73,59,0,"(73, 59, 0)",r:73_c:59_sp:0,p_inst:0,1.0,1.0
17,54,41,0,"(54, 41, 0)",r:54_c:41_sp:0,p_inst:0,1.0,1.0
18,68,55,0,"(68, 55, 0)",r:68_c:55_sp:0,p_inst:0,1.0,1.0
19,59,40,0,"(59, 40, 0)",r:59_c:40_sp:0,p_inst:0,1.0,1.0
20,72,58,1,"(72, 58, 1)",r:72_c:58_sp:1,p_inst:0,1.0,1.0
21,70,32,1,"(70, 32, 1)",r:70_c:32_sp:1,p_inst:0,1.0,1.0
22,41,36,1,"(41, 36, 1)",r:41_c:36_sp:1,p_inst:0,1.0,1.0
23,84,42,1,"(84, 42, 1)",r:84_c:42_sp:1,p_inst:0,1.0,1.0
24,76,61,1,"(76, 61, 1)",r:76_c:61_sp:1,p_inst:0,1.0,1.0
25,72,45,1,"(72, 45, 1)",r:72_c:45_sp:1,p_inst:0,1.0,1.0
26,37,35,1,"(37, 35, 1)",r:37_c:35_sp:1,p_inst:0,1.0,1.0
27,34,60,1,"(34, 60, 1)",r:34_c:60_sp:1,p_inst:0,1.0,1.0
28,66,39,1,"(66, 39, 1)",r:66_c:39_sp:1,p_inst:0,1.0,1.0
29,58,52,1,"(58, 52, 1)",r:58_c:52_sp:1,p_inst:0,1.0,1.0
30,54,31,1,"(54, 31, 1)",r:54_c:31_sp:1,p_inst:0,1.0,1.0
31,34,54,1,"(34, 54, 1)",r:34_c:54_sp:1,p_inst:0,1.0,1.0
32,55,37,1,"(55, 37, 1)",r:55_c:37_sp:1,p_inst:0,1.0,1.0
33,77,52,1,"(77, 52, 1)",r:77_c:52_sp:1,p_inst:0,1.0,1.0
34,35,37,1,"(35, 37, 1)",r:35_c:37_sp:1,p_inst:0,1.0,1.0
35,71,31,1,"(71, 31, 1)",r:71_c:31_sp:1,p_inst:0,1.0,1.0
36,73,59,1,"(73, 59, 1)",r:73_c:59_sp:1,p_inst:0,1.0,1.0
37,54,41,1,"(54, 41, 1)",r:54_c:41_sp:1,p_inst:0,1.0,1.0
38,68,55,1,"(68, 55, 1)",r:68_c:55_sp:1,p_inst:0,1.0,1.0
39,59,40,1,"(59, 40, 1)",r:59_c:40_sp:1,p_inst:0,1.0,1.0
40,72,58,2,"(72, 58, 2)",r:72_c:58_sp:2,p_inst:0,1.0,1.0
41,70,32,2,"(70, 32, 2)",r:70_c:32_sp:2,p_inst:0,1.0,1.0
42,41,36,2,"(41, 36, 2)",r:41_c:36_sp:2,p_inst:0,1.0,1.0
43,84,42,2,"(84, 42, 2)",r:84_c:42_sp:2,p_inst:0,1.0,1.0
44,76,61,2,"(76, 61, 2)",r:76_c:61_sp:2,p_inst:0,1.0,1.0
45,72,45,2,"(72, 45, 2)",r:72_c:45_sp:2,p_inst:0,1.0,1.0
46,37,35,2,"(37, 35, 2)",r:37_c:35_sp:2,p_inst:0,1.0,1.0
47,34,60,2,"(34, 60, 2)",r:34_c:60_sp:2,p_inst:0,1.0,1.0
48,66,39,2,"(66, 39, 2)",r:66_c:39_sp:2,p_inst:0,1.0,1.0
49,58,52,2,"(58, 52, 2)",r:58_c:52_sp:2,p_inst:0,1.0,1.0
50,54,31,2,"(54, 31, 2)",r:54_c:31_sp:2,p_inst:0,1.0,1.0
51,34,54,2,"(34, 54, 2)",r:34_c:54_sp:2,p_inst:0,1.0,1.0
52,55,37,2,"(55, 37, 2)",r:55_c:37_sp:2,p_inst:0,1.0,1.0
53,77,52,2,"(77, 52, 2)",r:77_c:52_sp:2,p_inst:0,1.0,1.0
54,35,37,2,"(35, 37, 2)",r:35_c:37_sp:2,p_inst:0,1.0,1.0
55,71,31,2,"(71, 31, 2)",r:71_c:31_sp:2,p_inst:0,1.0,1.0
56,73,59,2,"(73, 59, 2)",r:73_c:59_sp:2,p_inst:0,1.0,1.0
57,54,41,2,"(54, 41, 2)",r:54_c:41_sp:2,p_inst:0,1.0,1.0
58,68,55,2,"(68, 55, 2)",r:68_c:55_sp:2,p_inst:0,1.0,1.0
59,59,40,2,"(59, 40, 2)",r:59_c:40_sp:2,p_inst:0,1.0,1.0
60,72,58,3,"(72, 58, 3)",r:72_c:58_sp:3,p_inst:0,1.0,1.0
61,70,32,3,"(70, 32, 3)",r:70_c:32_sp:3,p_inst:0,1.0,1.0
62,41,36,3,"(41, 36, 3)",r:41_c:36_sp:3,p_inst:0,1.0,1.0
63,84,42,3,"(84, 42, 3)",r:84_c:42_sp:3,p_inst:0,1.0,1.0
64,76,61,3,"(76, 61, 3)",r:76_c:61_sp:3,p_inst:0,1.0,1.0
65,72,45,3,"(72, 45, 3)",r:72_c:45_sp:3,p_inst:0,1.0,1.0
66,37,35,3,"(37, 35, 3)",r:37_c:35_sp:3,p_inst:0,1.0,1.0
67,34,60,3,"(34, 60, 3)",r:34_c:60_sp:3,p_inst:0,1.0,1.0
68,66,39,3,"(66, 39, 3)",r:66_c:39_sp:3,p_inst:0,1.0,1.0
69,58,52,3,"(58, 52, 3)",r:58_c:52_sp:3,p_inst:0,1.0,1.0
70,54,31,3,"(54, 31, 3)",r:54_c:31_sp:3,p_inst:0,1.0,1.0
71,34,54,3,"(34, 54, 3)",r:34_c:54_sp:3,p_inst:0,1.0,1.0
72,55,37,3,"(55, 37, 3)",r:55_c:37_sp:3,p_inst:0,1.0,1.0
73,77,52,3,"(77, 52, 3)",r:77_c:52_sp:3,p_inst:0,1.0,1.0
74,35,37,3,"(35, 37, 3)",r:35_c:37_sp:3,p_inst:0,1.0,1.0
75,71,31,3,"(71, 31, 3)",r:71_c:31_sp:3,p_inst:0,1.0,1.0
76,73,59,3,"(73, 59, 3)",r:73_c:59_sp:3,p_inst:0,1.0,1.0
77,54,41,3,"(54, 41, 3)",r:54_c:41_sp:3,p_inst:0,1.0,1.0
78,68,55,3,"(68, 55, 3)",r:68_c:55_sp:3,p_inst:0,1.0,1.0
79,59,40,3,"(59, 40, 3)",r:59_c:40_sp:3,p_inst:0,1.0,1.0
80,72,58,4,"(72, 58, 4)",r:72_c:58_sp:4,p_inst:0,1.0,1.0
81,70,32,4,"(70, 32, 4)",r:70_c:32_sp:4,p_inst:0,1.0,1.0
82,41,36,4,"(41, 36, 4)",r:41_c:36_sp:4,p_inst:0,1.0,1.0
83,84,42,4,"(84, 42, 4)",r:84_c:42_sp:4,p_inst:0,1.0,1.0
84,76,61,4,"(76, 61, 4)",r:76_c:61_sp:4,p_inst:0,1.0,1.0
85,72,45,4,"(72, 45, 4)",r:72_c:45_sp:4,p_inst:0,1.0,1.0
86,37,35,4,"(37, 35, 4)",r:37_c:35_sp:4,p_inst:0,1.0,1.0
87,34,60,4,"(34, 60, 4)",r:34_c:60_sp:4,p_inst:0,1.0,1.0
88,66,39,4,"(66, 39, 4)",r:66_c:39_sp:4,p_inst:0,1.0,1.0
89,58,52,4,"(58, 52, 4)",r:58_c:52_sp:4,p_inst:0,1.0,1.0
90,54,31,4,"(54, 31, 4)",r:54_c:31_sp:4,p_inst:0,1.0,1.0
91,34,54,4,"(34, 54, 4)",r:34_c:54_sp:4,p_inst:0,1.0,1.0
92,55,37,4,"(55, 37, 4)",r:55_c:37_sp:4,p_inst:0,1.0,1.0
93,77,52,4,"(77, 52, 4)",r:77_c:52_sp:4,p_inst:0,1.0,1.0
94,35,37,4,"(35, 37, 4)",r:35_c:37_sp:4,p_inst:0,1.0,1.0
95,71,31,4,"(71, 31, 4)",r:71_c:31_sp:4,p_inst:0,1.0,1.0
96,73,59,4,"(73, 59, 4)",r:73_c:59_sp:4,p_inst:0,1.0,1.0
97,54,41,4,"(54, 41, 4)",r:54_c:41_sp:4,p_inst:0,1.0,1.0
98,68,55,4,"(68, 55, 4)",r:68_c:55_sp:4,p_inst:0,1.0,1.0
99,59,40,4,"(59, 40, 4)",r:59_c:40_sp:4,p_inst:0,1.0,1.0
100,72,58,5,"(72, 58, 5)",r:72_c:58_sp:5,p_inst:0,1.0,1.0
101,70,32,5,"(70, 32, 5)",r:70_c:32_sp:5,p_inst:0,1.0,1.0
102,41,36,5,"(41, 36, 5)",r:41_c:36_sp:5,p_inst:0,1.0,1.0
103,84,42,5,"(84, 42, 5)",r:84_c:42_sp:5,p_inst:0,1.0,1.0
104,76,61,5,"(76, 61, 5)",r:76_c:61_sp:5,p_inst:0,1.0,1.0
105,72,45,5,"(72, 45, 5)",r:72_c:45_sp:5,p_inst:0,1.0,1.0
106,37,35,5,"(37, 35, 5)",r:37_c:35_sp:5,p_inst:0,1.0,1.0
107,34,60,5,"(34, 60, 5)",r:34_c:60_sp:5,p_inst:0,1.0,1.0
108,66,39,5,"(66, 39, 5)",r:66_c:39_sp:5,p_inst:0,1.0,1.0
109,58,52,5,"(58, 52, 5)",r:58_c:52_sp:5,p_inst:0,1.0,1.0
110,54,31,5,"(54, 31, 5)",r:54_c:31_sp:5,p_inst:0,1.0,1.0
111,34,54,5,"(34, 54, 5)",r:34_c:54_sp:5,p_inst:0,1.0,1.0
112,55,37,5,"(55, 37, 5)",r:55_c:37_sp:5,p_inst:0,1.0,1.0
113,77,52,5,"(77, 52, 5)",r:77_c:52_sp:5,p_inst:0,1.0,1.0
114,35,37,5,"(35, 37, 5)",r:35_c:37_sp:5,p_inst:0,1.0,1.0
115,71,31,5,"(71, 31, 5)",r:71_c:31_sp:5,p_inst:0,1.0,1.0
116,73,59,5,"(73, 59, 5)",r:73_c:59_sp:5,p_inst:0,1.0,1.0
117,54,41,5,"(54, 41, 5)",r:54_c:41_sp:5,p_inst:0,1.0,1.0
118,68,55,5,"(68, 55, 5)",r:68_c:55_sp:5,p_inst:0,1.0,1.0
119,59,40,5,"(59, 40, 5)",r:59_c:40_sp:5,p_inst:0,1.0,1.0
120,72,58,6,"(72, 58, 6)",r:72_c:58_sp:6,p_inst:0,1.0,1.0
121,70,32,6,"(70, 32, 6)",r:70_c:32_sp:6,p_inst:0,1.0,1.0
122,41,36,6,"(41, 36, 6)",r:41_c:36_sp:6,p_inst:0,1.0,1.0
123,84,42,6,"(84, 42, 6)",r:84_c:42_sp:6,p_inst:0,1.0,1.0
124,76,61,6,"(76, 61, 6)",r:76_c:61_sp:6,p_inst:0,1.0,1.0
125,72,45,6,"(72, 45, 6)",r:72_c:45_sp:6,p_inst:0,1.0,1.0
126,37,35,6,"(37, 35, 6)",r:37_c:35_sp:6,p_inst:0,1.0,1.0
127,34,60,6,"(34, 60, 6)",r:34_c:60_sp:6,p_inst:0,1.0,1.0
128,66,39,6,"(66, 39, 6)",r:66_c:39_sp:6,p_inst:0,1.0,1.0
129,58,52,6,"(58, 52, 6)",r:58_c:52_sp:6,p_inst:0,1.0,1.0
130,54,31,6,"(54, 31, 6)",r:54_c:31_sp:6,p_inst:0,1.0,1.0
131,34,54,6,"(34, 54, 6)",r:34_c:54_sp:6,p_inst:0,1.0,1.0
132,55,37,6,"(55, 37, 6)",r:55_c:37_sp:6,p_inst:0,1.0,1.0
133,77,52,6,"(77, 52, 6)",r:77_c:52_sp:6,p_inst:0,1.0,1.0
134,35,37,6,"(35, 37, 6)",r:35_c:37_sp:6,p_inst:0,1.0,1.0
135,71,31,6,"(71, 31, 6)",r:71_c:31_sp:6,p_inst:0,1.0,1.0
136,73,59,6,"(73, 59, 6)",r:73_c:59_sp:6,p_inst:0,1.0,1.0
137,54,41,6,"(54, 41, 6)",r:54_c:41_sp:6,p_inst:0,1.0,1.0
138,68,55,6,"(68, 55, 6)",r:68_c:55_sp:6,p_inst:0,1.0,1.0
139,59,40,6,"(59, 40, 6)",r:59_c:40_sp:6,p_inst:0,1.0,1.0
140,72,58,7,"(72, 58, 7)",r:72_c:58_sp:7,p_inst:0,1.0,1.0
141,70,32,7,"(70, 32, 7)",r:70_c:32_sp:7,p_inst:0,1.0,1.0
142,41,36,7,"(41, 36, 7)",r:41_c:36_sp:7,p_inst:0,1.0,1.0
143,84,42,7,"(84, 42, 7)",r:84_c:42_sp:7,p_inst:0,1.0,1.0
144,76,61,7,"(76, 61, 7)",r:76_c:61_sp:7,p_inst:0,1.0,1.0
145,72,45,7,"(72, 45, 7)",r:72_c:45_sp:7,p_inst:0,1.0,1.0
146,37,35,7,"(37, 35, 7)",r:37_c:35_sp:7,p_inst:0,1.0,1.0
147,34,60,7,"(34, 60, 7)",r:34_c:60_sp:7,p_inst:0,1.0,1.0
148,66,39,7,"(66, 39, 7)",r:66_c:39_sp:7,p_inst:0,1.0,1.0
149,58,52,7,"(58, 52, 7)",r:58_c:52_sp:7,p_inst:0,1.0,1.0
150,54,31,7,"(54, 31, 7)",r:54_c:31_sp:7,p_inst:0,1.0,1.0
151,34,54,7,"(34, 54, 7)",r:34_c:54_sp:7,p_inst:0,1.0,1.0
152,55,37,7,"(55, 37, 7)",r:55_c:37_sp:7,p_inst:0,1.0,1.0
153,77,52,7,"(77, 52, 7)",r:77_c:52_sp:7,p_inst:0,1.0,1.0
154,35,37,7,"(35, 37, 7)",r:35_c:37_sp:7,p_inst:0,1.0,1.0
155,71,31,7,"(71, 31, 7)",r:71_c:31_sp:7,p_inst:0,1.0,1.0
156,73,59,7,"(73, 59, 7)",r:73_c:59_sp:7,p_inst:0,1.0,1.0
157,54,41,7,"(54, 41, 7)",r:54_c:41_sp:7,p_inst:0,1.0,1.0
158,68,55,7,"(68, 55, 7)",r:68_c:55_sp:7,p_inst:0,1.0,1.0
159,59,40,7,"(59, 40, 7)",r:59_c:40_sp:7,p_inst:0,1.0,1.0
160,72,58,8,"(72, 58, 8)",r:72_c:58_sp:8,p_inst:0,1.0,1.0
161,70,32,8,"(70, 32, 8)",r:70_c:32_sp:8,p_inst:0,1.0,1.0
162,41,36,8,"(41, 36, 8)",r:41_c:36_sp:8,p_inst:0,1.0,1.0
163,84,42,8,"(84, 42, 8)",r:84_c:42_sp:8,p_inst:0,1.0,1.0
164,76,61,8,"(76, 61, 8)",r:76_c:61_sp:8,p_inst:0,1.0,1.0
165,72,45,8,"(72, 45, 8)",r:72_c:45_sp:8,p_inst:0,1.0,1.0
166,37,35,8,"(37, 35, 8)",r:37_c:35_sp:8,p_inst:0,1.0,1.0
167,34,60,8,"(34, 60, 8)",r:34_c:60_sp:8,p_inst:0,1.0,1.0
168,66,39,8,"(66, 39, 8)",r:66_c:39_sp:8,p_inst:0,1.0,1.0
169,58,52,8,"(58, 52, 8)",r:58_c:52_sp:8,p_inst:0,1.0,1.0
170,54,31,8,"(54, 31, 8)",r:54_c:31_sp:8,p_inst:0,1.0,1.0
171,34,54,8,"(34, 54, 8)",r:34_c:54_sp:8,p_inst:0,1.0,1.0
172,55,37,8,"(55, 37, 8)",r:55_c:37_sp:8,p_inst:0,1.0,1.0
173,77,52,8,"(77, 52, 8)",r:77_c:52_sp:8,p_inst:0,1.0,1.0
174,35,37,8,"(35, 37, 8)",r:35_c:37_sp:8,p_inst:0,1.0,1.0
175,71,31,8,"(71, 31, 8)",r:71_c:31_sp:8,p_inst:0,1.0,1.0
176,73,59,8,"(73, 59, 8)",r:73_c:59_sp:8,p_inst:0,1.0,1.0
177,54,41,8,"(54, 41, 8)",r:54_c:41_sp:8,p_inst:0,1.0,1.0
178,68,55,8,"(68, 55, 8)",r:68_c:55_sp:8,p_inst:0,1.0,1.0
179,59,40,8,"(59, 40, 8)",r:59_c:40_sp:8,p_inst:0,1.0,1.0
180,72,58,9,"(72, 58, 9)",r:72_c:58_sp:9,p_inst:0,1.0,1.0
181,70,32,9,"(70, 32, 9)",r:70_c:32_sp:9,p_inst:0,1.0,1.0
182,41,36,9,"(41, 36, 9)",r:41_c:36_sp:9,p_inst:0,1.0,1.0
183,84,42,9,"(84, 42, 9)",r:84_c:42_sp:9,p_inst:0,1.0,1.0
184,76,61,9,"(76, 61, 9)",r:76_c:61_sp:9,p_inst:0,1.0,1.0
185,72,45,9,"(72, 45, 9)",r:72_c:45_sp:9,p_inst:0,1.0,1.0
186,37,35,9,"(37, 35, 9)",r:37_c:35_sp:9,p_inst:0,1.0,1.0
187,34,60,9,"(34, 60, 9)",r:34_c:60_sp:9,p_inst:0,1.0,1.0
188,66,39,9,"(66, 39, 9)",r:66_c:39_sp:9,p_inst:0,1.0,1.0
189,58,52,9,"(58, 52, 9)",r:58_c:52_sp:9,p_inst:0,1.0,1.0
190,54,31,9,"(54, 31, 9)",r:54_c:31_sp:9,p_inst:0,1.0,1.0
191,34,54,9,"(34, 54, 9)",r:34_c:54_sp:9,p_inst:0,1.0,1.0
192,55,37,9,"(55, 37, 9)",r:55_c:37_sp:9,p_inst:0,1.0,1.0
193,77,52,9,"(77, 52, 9)",r:77_c:52_sp:9,p_inst:0,1.0,1.0
194,35,37,9,"(35, 37, 9)",r:35_c:37_sp:9,p_inst:0,1.0,1.0
195,71,31,9,"(71, 31, 9)",r:71_c:31_sp:9,p_inst:0,1.0,1.0
196,73,59,9,"(73, 59, 9)",r:73_c:59_sp:9,p_inst:0,1.0,1.0
197,54,41,9,"(54, 41, 9)",r:54_c:41_sp:9,p_inst:0,1.0,1.0
198,68,55,9,"(68, 55, 9)",r:68_c:55_sp:9,p_inst:0,1.0,1.0
199,59,40,9,"(59, 40, 9)",r:59_c:40_sp:9,p_inst:0,1.0,1.0
200,72,58,10,"(72, 58, 10)",r:72_c:58_sp:10,p_inst:0,1.0,1.0
201,70,32,10,"(70, 32, 10)",r:70_c:32_sp:10,p_inst:0,1.0,1.0
202,41,36,10,"(41, 36, 10)",r:41_c:36_sp:10,p_inst:0,1.0,1.0
203,84,42,10,"(84, 42, 10)",r:84_c:42_sp:10,p_inst:0,1.0,1.0
204,76,61,10,"(76, 61, 10)",r:76_c:61_sp:10,p_inst:0,1.0,1.0
205,72,45,10,"(72, 45, 10)",r:72_c:45_sp:10,p_inst:0,1.0,1.0
206,37,35,10,"(37, 35, 10)",r:37_c:35_sp:10,p_inst:0,1.0,1.0
207,34,60,10,"(34, 60, 10)",r:34_c:60_sp:10,p_inst:0,1.0,1.0
208,66,39,10,"(66, 39, 10)",r:66_c:39_sp:10,p_inst:0,1.0,1.0
209,58,52,10,"(58, 52, 10)",r:58_c:52_sp:10,p_inst:0,1.0,1.0
210,54,31,10,"(54, 31, 10)",r:54_c:31_sp:10,p_inst:0,1.0,1.0
211,34,54,10,"(34, 54, 10)",r:34_c:54_sp:10,p_inst:0,1.0,1.0
212,55,37,10,"(55, 37, 10)",r:55_c:37_sp:10,p_inst:0,1.0,1.0
213,77,52,10,"(77, 52, 10)",r:77_c:52_sp:10,p_inst:0,1.0,1.0
214,35,37,10,"(35, 37, 10)",r:35_c:37_sp:10,p_inst:0,1.0,1.0
215,71,31,10,"(71, 31, 10)",r:71_c:31_sp:10,p_inst:0,1.0,1.0
216,73,59,10,"(73, 59, 10)",r:73_c:59_sp:10,p_inst:0,1.0,1.0
217,54,41,10,"(54, 41, 10)",r:54_c:41_sp:10,p_inst:0,1.0,1.0
218,68,55,10,"(68, 55, 10)",r:68_c:55_sp:10,p_inst:0,1.0,1.0
219,59,40,10,"(59, 40, 10)",r:59_c:40_sp:10,p_inst:0,1.0,1.0
220,72,58,11,"(72, 58, 11)",r:72_c:58_sp:11,p_inst:0,1.0,1.0
221,70,32,11,"(70, 32, 11)",r:70_c:32_sp:11,p_inst:0,1.0,1.0
222,41,36,11,"(41, 36, 11)",r:41_c:36_sp:11,p_inst:0,1.0,1.0
223,84,42,11,"(84, 42, 11)",r:84_c:42_sp:11,p_inst:0,1.0,1.0
224,76,61,11,"(76, 61, 11)",r:76_c:61_sp:11,p_inst:0,1.0,1.0
225,72,45,11,"(72, 45, 11)",r:72_c:45_sp:11,p_inst:0,1.0,1.0
226,37,35,11,"(37, 35, 11)",r:37_c:35_sp:11,p_inst:0,1.0,1.0
227,34,60,11,"(34, 60, 11)",r:34_c:60_sp:11,p_inst:0,1.0,1.0
228,66,39,11,"(66, 39, 11)",r:66_c:39_sp:11,p_inst:0,1.0,1.0
229,58,52,11,"(58, 52, 11)",r:58_c:52_sp:11,p_inst:0,1.0,1.0
230,54,31,11,"(54, 31, 11)",r:54_c:31_sp:11,p_inst:0,1.0,1.0
231,34,54,11,"(34, 54, 11)",r:34_c:54_sp:11,p_inst:0,1.0,1.0
232,55,37,11,"(55, 37, 11)",r:55_c:37_sp:11,p_inst:0,1.0,1.0
233,77,52,11,"(77, 52, 11)",r:77_c:52_sp:11,p_inst:0,1.0,1.0
234,35,37,11,"(35, 37, 11)",r:35_c:37_sp:11,p_inst:0,1.0,1.0
235,71,31,11,"(71, 31, 11)",r:71_c:31_sp:11,p_inst:0,1.0,1.0
236,73,59,11,"(73, 59, 11)",r:73_c:59_sp:11,p_inst:0,1.0,1.0
237,54,41,11,"(54, 41, 11)",r:54_c:41_sp:11,p_inst:0,1.0,1.0
238,68,55,11,"(68, 55, 11)",r:68_c:55_sp:11,p_inst:0,1.0,1.0
239,59,40,11,"(59, 40, 11)",r:59_c:40_sp:11,p_inst:0,1.0,1.0
240,72,58,12,"(72, 58, 12)",r:72_c:58_sp:12,p_inst:0,1.0,1.0
241,70,32,12,"(70, 32, 12)",r:70_c:32_sp:12,p_inst:0,1.0,1.0
242,41,36,12,"(41, 36, 12)",r:41_c:36_sp:12,p_inst:0,1.0,1.0
243,84,42,12,"(84, 42, 12)",r:84_c:42_sp:12,p_inst:0,1.0,1.0
244,76,61,12,"(76, 61, 12)",r:76_c:61_sp:12,p_inst:0,1.0,1.0
245,72,45,12,"(72, 45, 12)",r:72_c:45_sp:12,p_inst:0,1.0,1.0
246,37,35,12,"(37, 35, 12)",r:37_c:35_sp:12,p_inst:0,1.0,1.0
247,34,60,12,"(34, 60, 12)",r:34_c:60_sp:12,p_inst:0,1.0,1.0
248,66,39,12,"(66, 39, 12)",r:66_c:39_sp:12,p_inst:0,1.0,1.0
249,58,52,12,"(58, 52, 12)",r:58_c:52_sp:12,p_inst:0,1.0,1.0
250,54,31,12,"(54, 31, 12)",r:54_c:31_sp:12,p_inst:0,1.0,1.0
251,34,54,12,"(34, 54, 12)",r:34_c:54_sp:12,p_inst:0,1.0,1.0
252,55,37,12,"(55, 37, 12)",r:55_c:37_sp:12,p_inst:0,1.0,1.0
253,77,52,12,"(77, 52, 12)",r:77_c:52_sp:12,p_inst:0,1.0,1.0
254,35,37,12,"(35, 37, 12)",r:35_c:37_sp:12,p_inst:0,1.0,1.0
255,71,31,12,"(71, 31, 12)",r:71_c:31_sp:12,p_inst:0,1.0,1.0
256,73,59,12,"(73, 59, 12)",r:73_c:59_sp:12,p_inst:0,1.0,1.0
257,54,41,12,"(54, 41, 12)",r:54_c:41_sp:12,p_inst:0,1.0,1.0
258,68,55,12,"(68, 55, 12)",r:68_c:55_sp:12,p_inst:0,1.0,1.0
259,59,40,12,"(59, 40, 12)",r:59_c:40_sp:12,p_inst:0,1.0,1.0
260,72,58,13,"(72, 58, 13)",r:72_c:58_sp:13,p_inst:0,1.0,1.0
261,70,32,13,"(70, 32, 13)",r:70_c:32_sp:13,p_inst:0,1.0,1.0
262,41,36,13,"(41, 36, 13)",r:41_c:36_sp:13,p_inst:0,1.0,1.0
263,84,42,13,"(84, 42, 13)",r:84_c:42_sp:13,p_inst:0,1.0,1.0
264,76,61,13,"(76, 61, 13)",r:76_c:61_sp:13,p_inst:0,1.0,1.0
265,72,45,13,"(72, 45, 13)",r:72_c:45_sp:13,p_inst:0,1.0,1.0
266,37,35,13,"(37, 35, 13)",r:37_c:35_sp:13,p_inst:0,1.0,1.0
267,34,60,13,"(34, 60, 13)",r:34_c:60_sp:13,p_inst:0,1.0,1.0
268,66,39,13,"(66, 39, 13)",r:66_c:39_sp:13,p_inst:0,1.0,1.0
269,58,52,13,"(58, 52, 13)",r:58_c:52_sp:13,p_inst:0,1.0,1.0
270,54,31,13,"(54, 31, 13)",r:54_c:31_sp:13,p_inst:0,1.0,1.0
271,34,54,13,"(34, 54, 13)",r:34_c:54_sp:13,p_inst:0,1.0,1.0
272,55,37,13,"(55, 37, 13)",r:55_c:37_sp:13,p_inst:0,1.0,1.0
273,77,52,13,"(77, 52, 13)",r:77_c:52_sp:13,p_inst:0,1.0,1.0
274,35,37,13,"(35, 37, 13)",r:35_c:37_sp:13,p_inst:0,1.0,1.0
275,71,31,13,"(71, 31, 13)",r:71_c:31_sp:13,p_inst:0,1.0,1.0
276,73,59,13,"(73, 59, 13)",r:73_c:59_sp:13,p_inst:0,1.0,1.0
