week,pump_on
1,1.0000000
2,1.0000000
3,1.0000000
4,1.0000000
5,1.0000000
6,1.0000000
7,1.0000000
8,1.0000000
9,1.0000000
10,1.0000000
11,1.0000000
12,1.0000000
13,1.0000000
14,1.0000000
15,1.0000000
16,1.0000000
17,1.0000000
18,1.0000000
19,1.0000000
20,1.0000000
21,1.0000000
22,1.0000000
23,1.0000000
24,1.0000000
25,1.0000000
26,1.0000000
27,1.0000000
28,1.0000000
29,1.0000000
30,1.0000000
31,1.0000000
32,1.0000000
33,1.0000000
34,1.0000000
35,1.0000000
36,1.0000000
37,1.0000000
38,1.0000000
39,1.0000000
40,1.0000000
41,1.0000000
42,1.0000000
43,1.0000000
44,1.0000000
45,1.0000000
46,1.0000000
47,1.0000000
48,1.0000000
49,1.0000000
50,1.0000000
51,1.0000000
52,1.0000000
