parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
sch01,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch02,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch03,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch04,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch05,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch06,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch07,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch08,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch09,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch10,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch11,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch12,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch13,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch14,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch15,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch16,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch17,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch18,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch19,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch20,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch21,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch22,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch23,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch24,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch25,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch26,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch27,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch28,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch29,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch30,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch31,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch32,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch33,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch34,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch35,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch36,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch37,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch38,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch39,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch40,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch41,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch42,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch43,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch44,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch45,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch46,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch47,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch48,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch49,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch50,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch51,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
sch52,none,relative,1.0,0.0,1.0,schedule,1.0,0.0,1
