parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,c,inst,pname,pstyle,ptype,r,sp,usecol
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:70_c:59_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,70,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:37_c:34_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,34,0,p,m,gr,37,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:31_c:49_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,49,0,p,m,gr,31,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:77_c:44_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,44,0,p,m,gr,77,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:47_c:49_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,49,0,p,m,gr,47,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:45_c:51_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,51,0,p,m,gr,45,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:44_c:39_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,39,0,p,m,gr,44,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:38_c:59_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,38,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:77_c:34_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,34,0,p,m,gr,77,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:36_c:47_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,47,0,p,m,gr,36,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:73_c:39_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,39,0,p,m,gr,73,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:77_c:42_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,42,0,p,m,gr,77,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:64_c:58_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,58,0,p,m,gr,64,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:35_c:48_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,48,0,p,m,gr,35,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:67_c:55_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,55,0,p,m,gr,67,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:57_c:30_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,30,0,p,m,gr,57,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:32_c:31_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,32,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:31_c:59_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,31,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:35_c:61_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,61,0,p,m,gr,35,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:43_c:61_sp:0,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,61,0,p,m,gr,43,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:70_c:59_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,70,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:37_c:34_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,34,0,p,m,gr,37,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:31_c:49_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,49,0,p,m,gr,31,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:77_c:44_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,44,0,p,m,gr,77,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:47_c:49_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,49,0,p,m,gr,47,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:45_c:51_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,51,0,p,m,gr,45,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:44_c:39_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,39,0,p,m,gr,44,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:38_c:59_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,38,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:77_c:34_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,34,0,p,m,gr,77,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:36_c:47_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,47,0,p,m,gr,36,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:73_c:39_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,39,0,p,m,gr,73,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:77_c:42_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,42,0,p,m,gr,77,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:64_c:58_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,58,0,p,m,gr,64,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:35_c:48_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,48,0,p,m,gr,35,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:67_c:55_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,55,0,p,m,gr,67,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:57_c:30_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,30,0,p,m,gr,57,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:32_c:31_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,32,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:31_c:59_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,31,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:35_c:61_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,61,0,p,m,gr,35,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:43_c:61_sp:1,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,61,0,p,m,gr,43,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:70_c:59_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,70,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:37_c:34_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,34,0,p,m,gr,37,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:31_c:49_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,49,0,p,m,gr,31,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:77_c:44_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,44,0,p,m,gr,77,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:47_c:49_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,49,0,p,m,gr,47,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:45_c:51_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,51,0,p,m,gr,45,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:44_c:39_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,39,0,p,m,gr,44,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:38_c:59_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,38,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:77_c:34_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,34,0,p,m,gr,77,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:36_c:47_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,47,0,p,m,gr,36,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:73_c:39_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,39,0,p,m,gr,73,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:77_c:42_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,42,0,p,m,gr,77,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:64_c:58_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,58,0,p,m,gr,64,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:35_c:48_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,48,0,p,m,gr,35,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:67_c:55_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,55,0,p,m,gr,67,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:57_c:30_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,30,0,p,m,gr,57,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:32_c:31_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,32,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:31_c:59_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,31,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:35_c:61_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,61,0,p,m,gr,35,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:43_c:61_sp:2,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,61,0,p,m,gr,43,2,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:70_c:59_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,70,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:37_c:34_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,34,0,p,m,gr,37,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:31_c:49_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,49,0,p,m,gr,31,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:77_c:44_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,44,0,p,m,gr,77,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:47_c:49_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,49,0,p,m,gr,47,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:45_c:51_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,51,0,p,m,gr,45,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:44_c:39_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,39,0,p,m,gr,44,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:38_c:59_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,38,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:77_c:34_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,34,0,p,m,gr,77,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:36_c:47_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,47,0,p,m,gr,36,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:73_c:39_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,39,0,p,m,gr,73,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:77_c:42_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,42,0,p,m,gr,77,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:64_c:58_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,58,0,p,m,gr,64,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:35_c:48_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,48,0,p,m,gr,35,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:67_c:55_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,55,0,p,m,gr,67,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:57_c:30_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,30,0,p,m,gr,57,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:32_c:31_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,32,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:31_c:59_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,31,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:35_c:61_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,61,0,p,m,gr,35,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:43_c:61_sp:3,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,61,0,p,m,gr,43,3,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:70_c:59_sp:4,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,70,4,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:37_c:34_sp:4,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,34,0,p,m,gr,37,4,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:31_c:49_sp:4,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,49,0,p,m,gr,31,4,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:77_c:44_sp:4,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,44,0,p,m,gr,77,4,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:47_c:49_sp:4,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,49,0,p,m,gr,47,4,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:45_c:51_sp:4,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,51,0,p,m,gr,45,4,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:44_c:39_sp:4,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,39,0,p,m,gr,44,4,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:38_c:59_sp:4,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,38,4,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:77_c:34_sp:4,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,34,0,p,m,gr,77,4,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:36_c:47_sp:4,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,47,0,p,m,gr,36,4,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:73_c:39_sp:4,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,39,0,p,m,gr,73,4,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:77_c:42_sp:4,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,42,0,p,m,gr,77,4,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:64_c:58_sp:4,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,58,0,p,m,gr,64,4,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:35_c:48_sp:4,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,48,0,p,m,gr,35,4,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:67_c:55_sp:4,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,55,0,p,m,gr,67,4,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:57_c:30_sp:4,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,30,0,p,m,gr,57,4,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:32_c:31_sp:4,none,relative,1.0,0.0001,5.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,32,4,q
