,r,c,sp,sidx,idx_strs,pargpq,parval1_q,q
0,70,59,0,"(70, 59, 0)",r:70_c:59_sp:0,p_inst:0,1.0,1.0
1,37,34,0,"(37, 34, 0)",r:37_c:34_sp:0,p_inst:0,1.0,1.0
2,31,49,0,"(31, 49, 0)",r:31_c:49_sp:0,p_inst:0,1.0,1.0
3,77,44,0,"(77, 44, 0)",r:77_c:44_sp:0,p_inst:0,1.0,1.0
4,47,49,0,"(47, 49, 0)",r:47_c:49_sp:0,p_inst:0,1.0,1.0
5,45,51,0,"(45, 51, 0)",r:45_c:51_sp:0,p_inst:0,1.0,1.0
6,44,39,0,"(44, 39, 0)",r:44_c:39_sp:0,p_inst:0,1.0,1.0
7,38,59,0,"(38, 59, 0)",r:38_c:59_sp:0,p_inst:0,1.0,1.0
8,77,34,0,"(77, 34, 0)",r:77_c:34_sp:0,p_inst:0,1.0,1.0
9,36,47,0,"(36, 47, 0)",r:36_c:47_sp:0,p_inst:0,1.0,1.0
10,73,39,0,"(73, 39, 0)",r:73_c:39_sp:0,p_inst:0,1.0,1.0
11,77,42,0,"(77, 42, 0)",r:77_c:42_sp:0,p_inst:0,1.0,1.0
12,64,58,0,"(64, 58, 0)",r:64_c:58_sp:0,p_inst:0,1.0,1.0
13,35,48,0,"(35, 48, 0)",r:35_c:48_sp:0,p_inst:0,1.0,1.0
14,67,55,0,"(67, 55, 0)",r:67_c:55_sp:0,p_inst:0,1.0,1.0
15,57,30,0,"(57, 30, 0)",r:57_c:30_sp:0,p_inst:0,1.0,1.0
16,32,31,0,"(32, 31, 0)",r:32_c:31_sp:0,p_inst:0,1.0,1.0
17,31,59,0,"(31, 59, 0)",r:31_c:59_sp:0,p_inst:0,1.0,1.0
18,35,61,0,"(35, 61, 0)",r:35_c:61_sp:0,p_inst:0,1.0,1.0
19,43,61,0,"(43, 61, 0)",r:43_c:61_sp:0,p_inst:0,1.0,1.0
20,70,59,1,"(70, 59, 1)",r:70_c:59_sp:1,p_inst:0,1.0,1.0
21,37,34,1,"(37, 34, 1)",r:37_c:34_sp:1,p_inst:0,1.0,1.0
22,31,49,1,"(31, 49, 1)",r:31_c:49_sp:1,p_inst:0,1.0,1.0
23,77,44,1,"(77, 44, 1)",r:77_c:44_sp:1,p_inst:0,1.0,1.0
24,47,49,1,"(47, 49, 1)",r:47_c:49_sp:1,p_inst:0,1.0,1.0
25,45,51,1,"(45, 51, 1)",r:45_c:51_sp:1,p_inst:0,1.0,1.0
26,44,39,1,"(44, 39, 1)",r:44_c:39_sp:1,p_inst:0,1.0,1.0
27,38,59,1,"(38, 59, 1)",r:38_c:59_sp:1,p_inst:0,1.0,1.0
28,77,34,1,"(77, 34, 1)",r:77_c:34_sp:1,p_inst:0,1.0,1.0
29,36,47,1,"(36, 47, 1)",r:36_c:47_sp:1,p_inst:0,1.0,1.0
30,73,39,1,"(73, 39, 1)",r:73_c:39_sp:1,p_inst:0,1.0,1.0
31,77,42,1,"(77, 42, 1)",r:77_c:42_sp:1,p_inst:0,1.0,1.0
32,64,58,1,"(64, 58, 1)",r:64_c:58_sp:1,p_inst:0,1.0,1.0
33,35,48,1,"(35, 48, 1)",r:35_c:48_sp:1,p_inst:0,1.0,1.0
34,67,55,1,"(67, 55, 1)",r:67_c:55_sp:1,p_inst:0,1.0,1.0
35,57,30,1,"(57, 30, 1)",r:57_c:30_sp:1,p_inst:0,1.0,1.0
36,32,31,1,"(32, 31, 1)",r:32_c:31_sp:1,p_inst:0,1.0,1.0
37,31,59,1,"(31, 59, 1)",r:31_c:59_sp:1,p_inst:0,1.0,1.0
38,35,61,1,"(35, 61, 1)",r:35_c:61_sp:1,p_inst:0,1.0,1.0
39,43,61,1,"(43, 61, 1)",r:43_c:61_sp:1,p_inst:0,1.0,1.0
40,70,59,2,"(70, 59, 2)",r:70_c:59_sp:2,p_inst:0,1.0,1.0
41,37,34,2,"(37, 34, 2)",r:37_c:34_sp:2,p_inst:0,1.0,1.0
42,31,49,2,"(31, 49, 2)",r:31_c:49_sp:2,p_inst:0,1.0,1.0
43,77,44,2,"(77, 44, 2)",r:77_c:44_sp:2,p_inst:0,1.0,1.0
44,47,49,2,"(47, 49, 2)",r:47_c:49_sp:2,p_inst:0,1.0,1.0
45,45,51,2,"(45, 51, 2)",r:45_c:51_sp:2,p_inst:0,1.0,1.0
46,44,39,2,"(44, 39, 2)",r:44_c:39_sp:2,p_inst:0,1.0,1.0
47,38,59,2,"(38, 59, 2)",r:38_c:59_sp:2,p_inst:0,1.0,1.0
48,77,34,2,"(77, 34, 2)",r:77_c:34_sp:2,p_inst:0,1.0,1.0
49,36,47,2,"(36, 47, 2)",r:36_c:47_sp:2,p_inst:0,1.0,1.0
50,73,39,2,"(73, 39, 2)",r:73_c:39_sp:2,p_inst:0,1.0,1.0
51,77,42,2,"(77, 42, 2)",r:77_c:42_sp:2,p_inst:0,1.0,1.0
52,64,58,2,"(64, 58, 2)",r:64_c:58_sp:2,p_inst:0,1.0,1.0
53,35,48,2,"(35, 48, 2)",r:35_c:48_sp:2,p_inst:0,1.0,1.0
54,67,55,2,"(67, 55, 2)",r:67_c:55_sp:2,p_inst:0,1.0,1.0
55,57,30,2,"(57, 30, 2)",r:57_c:30_sp:2,p_inst:0,1.0,1.0
56,32,31,2,"(32, 31, 2)",r:32_c:31_sp:2,p_inst:0,1.0,1.0
57,31,59,2,"(31, 59, 2)",r:31_c:59_sp:2,p_inst:0,1.0,1.0
58,35,61,2,"(35, 61, 2)",r:35_c:61_sp:2,p_inst:0,1.0,1.0
59,43,61,2,"(43, 61, 2)",r:43_c:61_sp:2,p_inst:0,1.0,1.0
60,70,59,3,"(70, 59, 3)",r:70_c:59_sp:3,p_inst:0,1.0,1.0
61,37,34,3,"(37, 34, 3)",r:37_c:34_sp:3,p_inst:0,1.0,1.0
62,31,49,3,"(31, 49, 3)",r:31_c:49_sp:3,p_inst:0,1.0,1.0
63,77,44,3,"(77, 44, 3)",r:77_c:44_sp:3,p_inst:0,1.0,1.0
64,47,49,3,"(47, 49, 3)",r:47_c:49_sp:3,p_inst:0,1.0,1.0
65,45,51,3,"(45, 51, 3)",r:45_c:51_sp:3,p_inst:0,1.0,1.0
66,44,39,3,"(44, 39, 3)",r:44_c:39_sp:3,p_inst:0,1.0,1.0
67,38,59,3,"(38, 59, 3)",r:38_c:59_sp:3,p_inst:0,1.0,1.0
68,77,34,3,"(77, 34, 3)",r:77_c:34_sp:3,p_inst:0,1.0,1.0
69,36,47,3,"(36, 47, 3)",r:36_c:47_sp:3,p_inst:0,1.0,1.0
70,73,39,3,"(73, 39, 3)",r:73_c:39_sp:3,p_inst:0,1.0,1.0
71,77,42,3,"(77, 42, 3)",r:77_c:42_sp:3,p_inst:0,1.0,1.0
72,64,58,3,"(64, 58, 3)",r:64_c:58_sp:3,p_inst:0,1.0,1.0
73,35,48,3,"(35, 48, 3)",r:35_c:48_sp:3,p_inst:0,1.0,1.0
74,67,55,3,"(67, 55, 3)",r:67_c:55_sp:3,p_inst:0,1.0,1.0
75,57,30,3,"(57, 30, 3)",r:57_c:30_sp:3,p_inst:0,1.0,1.0
76,32,31,3,"(32, 31, 3)",r:32_c:31_sp:3,p_inst:0,1.0,1.0
77,31,59,3,"(31, 59, 3)",r:31_c:59_sp:3,p_inst:0,1.0,1.0
78,35,61,3,"(35, 61, 3)",r:35_c:61_sp:3,p_inst:0,1.0,1.0
79,43,61,3,"(43, 61, 3)",r:43_c:61_sp:3,p_inst:0,1.0,1.0
