obsnme,obsval
h_p0_cp0,3.5711309465114027e-09
h_p0_cp1,1.978150976356119e-09
h_p0_cp2,1.1536940291989595e-08
h_p0_cp3,1.1127667676191777e-09
h_p0_cp4,5.997753760311753e-08
h_p0_cp5,-8.93578544491902e-10
h_p0_cp6,3.0481260182568803e-07
h_p0_cp7,-1.7580532585270703e-09
h_p0_cp8,1.264006186829647e-06
h_p0_cp9,1.4292709238361567e-09
h_p0_cp10,3.8674775169056375e-06
h_p0_cp11,5.638867150992155e-10
h_p0_cp12,7.1628210207563825e-06
h_p0_cp13,-1.4433680917136371e-09
h_p0_cp14,3.864607151626842e-06
h_p0_cp15,-2.308297553099692e-09
h_p0_cp16,1.2634600352612324e-06
h_p0_cp17,8.790266292635351e-10
h_p0_cp18,3.065902092203032e-07
h_p0_cp19,1.4551915228366852e-11
h_p0_cp20,5.888023224542849e-08
h_p0_cp21,-1.9913386495318264e-09
h_p0_cp22,7.572907634312287e-09
h_p0_cp23,-2.8508111427072436e-09
h_p0_cp24,1.9676917872857302e-09
h_p0_cp25,3.7562131183221936e-10
h_p0_cp26,3.637978807091713e-12
h_p0_cp27,-2.1873347577638924e-10
h_p0_cp28,-7.844391802791506e-10
h_p0_cp29,-8.130882633849978e-10
h_p0_cp30,2.416072675259784e-09
h_p0_cp31,2.4128894438035786e-09
h_p0_cp32,1.5525074559263885e-09
h_p0_cp33,1.5538716979790479e-09
h_p0_cp34,-4.524736141320318e-10
h_p0_cp35,-4.5156411943025887e-10
h_p0_cp36,-1.3133103493601084e-09
h_p0_cp37,-1.3164935808163136e-09
h_p0_cp38,1.889929990284145e-09
h_p0_cp39,1.869466359494254e-09
h_p0_cp40,1.0704752639867365e-09
h_p0_cp41,1.0045368981081992e-09
h_p0_cp42,-8.42646841192618e-10
h_p0_cp43,-1.0018084140028805e-09
h_p0_cp44,-1.6243575373664498e-09
h_p0_cp45,-1.8671926227398217e-09
h_p0_cp46,1.4792931324336678e-09
h_p0_cp47,1.3192220649216324e-09
h_p0_cp48,5.215952114667743e-10
h_p0_cp49,4.538378561846912e-10
h_p0_cp50,-1.5115801943466067e-09
h_p0_cp51,-1.552052708575502e-09
h_p0_cp52,-2.2273525246419013e-09
h_p0_cp53,-2.412434696452692e-09
h_p0_cp54,2.2864696802571416e-09
h_p0_cp55,8.144525054376572e-10
h_p0_cp56,1.1395059118513018e-08
h_p0_cp57,2.205524651799351e-10
h_p0_cp58,7.739799912087619e-08
h_p0_cp59,-3.751665644813329e-10
h_p0_cp60,4.877065293840133e-07
h_p0_cp61,2.8517206374090165e-09
h_p0_cp62,2.6210532269033138e-06
h_p0_cp63,1.991793396882713e-09
h_p0_cp64,1.1622152669588104e-05
h_p0_cp65,-1.4551915228366852e-11
h_p0_cp66,3.8478403439512476e-05
h_p0_cp67,-8.790266292635351e-10
h_p0_cp68,7.658849995095807e-05
h_p0_cp69,2.308524926775135e-09
h_p0_cp70,3.848072560685978e-05
h_p0_cp71,1.4438228390645236e-09
h_p0_cp72,1.1621602652667207e-05
h_p0_cp73,-5.63431967748329e-10
h_p0_cp74,2.617633299450972e-06
h_p0_cp75,-1.4283614291343838e-09
h_p0_cp76,4.86614226247184e-07
h_p0_cp77,1.7594175005797297e-09
h_p0_cp78,7.866401574574411e-08
h_p0_cp79,8.947154128691182e-10
h_p0_cp80,1.0060830391012132e-08
h_p0_cp81,-1.112084646592848e-09
h_p0_cp82,-5.07498043589294e-10
h_p0_cp83,-1.9774688553297892e-09
h_p0_cp84,1.4077158994041383e-08
h_p0_cp85,7.650896804989316e-09
h_p0_cp86,8.61728040035814e-08
h_p0_cp87,5.425022209237795e-08
h_p0_cp88,5.268616405373905e-07
h_p0_cp89,2.81213488051435e-07
h_p0_cp90,2.837259671650827e-06
h_p0_cp91,1.1643144262052374e-06
h_p0_cp92,1.2583628176798811e-05
h_p0_cp93,3.5700422813533805e-06
h_p0_cp94,4.1657972815301036e-05
h_p0_cp95,6.615934125875356e-06
h_p0_cp96,8.291086805911618e-05
h_p0_cp97,3.570042963474407e-06
h_p0_cp98,4.1658099689811934e-05
h_p0_cp99,1.1643210200418252e-06
h_p0_cp100,1.2584210708155297e-05
h_p0_cp101,2.8127692530688364e-07
h_p0_cp102,2.839370154106291e-06
h_p0_cp103,5.483389031724073e-08
h_p0_cp104,5.325268830347341e-07
h_p0_cp105,1.2697000784100965e-08
h_p0_cp106,9.554696589475498e-08
h_p0_cp107,4.024764166388195e-08
h_p0_cp108,1.9739673007279634e-08
h_p0_cp109,3.011371063621482e-07
h_p0_cp110,5.679794412571937e-09
h_p0_cp111,2.025079311351874e-06
h_p0_cp112,2.7566784410737455e-09
h_p0_cp113,1.181899301627709e-05
h_p0_cp114,2.1318555809557438e-09
h_p0_cp115,5.698467839465593e-05
h_p0_cp116,2.006800059461966e-09
h_p0_cp117,0.00020612842058653769
h_p0_cp118,1.9836079445667565e-09
h_p0_cp119,0.00044700289322463505
h_p0_cp120,1.9795152184087783e-09
h_p0_cp121,0.00020612842013179034
h_p0_cp122,1.9786057237070054e-09
h_p0_cp123,5.698467793990858e-05
h_p0_cp124,1.9808794604614377e-09
h_p0_cp125,1.181899051516666e-05
h_p0_cp126,1.9954313756898046e-09
h_p0_cp127,2.025053618126549e-06
h_p0_cp128,2.1400410332717e-09
h_p0_cp129,3.0093542591203004e-07
h_p0_cp130,3.4542608773335814e-09
h_p0_cp131,3.877744347846601e-08
h_p0_cp132,1.4735633158124983e-08
h_p0_cp133,3.0681803764309734e-09
h_p0_cp134,1.0501207725610584e-07
h_p0_cp135,-1.394255377817899e-09
h_p0_cp136,7.677708708797581e-07
h_p0_cp137,-1.9138042262056842e-09
h_p0_cp138,5.126503765495727e-06
h_p0_cp139,-1.9708750187419355e-09
h_p0_cp140,2.9886488391639432e-05
h_p0_cp141,-1.9770141079789028e-09
h_p0_cp142,0.000144069560974458
h_p0_cp143,-1.9774688553297892e-09
h_p0_cp144,0.0005211188513385423
h_p0_cp145,-1.9774688553297892e-09
h_p0_cp146,0.00113007198615378
h_p0_cp147,-1.9774688553297892e-09
h_p0_cp148,0.0005211188513385423
h_p0_cp149,-1.9774688553297892e-09
h_p0_cp150,0.00014406955870072125
h_p0_cp151,-1.9774688553297892e-09
h_p0_cp152,2.9886485208407976e-05
h_p0_cp153,-1.977241481654346e-09
h_p0_cp154,5.1265010370116215e-06
h_p0_cp155,-1.9738308765226975e-09
h_p0_cp156,7.67763594922144e-07
h_p0_cp157,-1.946091288118623e-09
h_p0_cp158,1.0500752978259698e-07
h_p0_cp159,-1.7350885173073038e-09
h_p0_cp160,1.4733814168721437e-08
h_p0_cp161,-2.3669599613640457e-10
h_p0_cp162,3.454715624684468e-09
h_p0_cp163,9.422137736692093e-09
h_p0_cp164,2.1400410332717e-09
h_p0_cp165,6.459504220401868e-08
h_p0_cp166,1.994976628338918e-09
h_p0_cp167,3.3332116800011136e-07
h_p0_cp168,1.9804247131105512e-09
h_p0_cp169,1.3789176591672003e-06
h_p0_cp170,1.9786057237070054e-09
h_p0_cp171,4.2273134113202104e-06
h_p0_cp172,1.9786057237070054e-09
h_p0_cp173,7.8336670412682e-06
h_p0_cp174,1.9786057237070054e-09
h_p0_cp175,4.227313638693886e-06
h_p0_cp176,1.978150976356119e-09
h_p0_cp177,1.3789181139145512e-06
h_p0_cp178,1.978150976356119e-09
h_p0_cp179,3.3332162274746224e-07
h_p0_cp180,1.978150976356119e-09
h_p0_cp181,6.459640644607134e-08
h_p0_cp182,1.978150976356119e-09
h_p0_cp183,9.422819857718423e-09
h_p0_cp184,1.978150976356119e-09
h_p0_cp185,-2.362412487855181e-10
h_p0_cp186,1.978150976356119e-09
h_p0_cp187,-1.7348611436318606e-09
h_p0_cp188,1.978150976356119e-09
h_p0_cp189,-1.946091288118623e-09
h_p0_cp190,1.978150976356119e-09
h_p0_cp191,-1.9738308765226975e-09
h_p0_cp192,1.978150976356119e-09
h_p0_cp193,-1.977241481654346e-09
h_p0_cp194,1.978150976356119e-09
h_p0_cp195,-1.9774688553297892e-09
h_p0_cp196,1.978150976356119e-09
h_p0_cp197,-1.9774688553297892e-09
h_p0_cp198,1.978150976356119e-09
h_p0_cp199,-1.9774688553297892e-09
h_p0_cp200,1.978150976356119e-09
h_p0_cp201,-1.9774688553297892e-09
h_p0_cp202,1.978150976356119e-09
h_p0_cp203,-1.9774688553297892e-09
h_p0_cp204,1.978150976356119e-09
h_p0_cp205,-1.9774688553297892e-09
h_p0_cp206,1.978150976356119e-09
h_p0_cp207,-1.9774688553297892e-09
h_p0_cp208,1.978150976356119e-09
h_p0_cp209,-1.9774688553297892e-09
h_p0_cp210,1.978150976356119e-09
h_p0_cp211,-1.9774688553297892e-09
h_p1_cp0,1.6071453501353972e-07
