obsnme,obsval,weight,obsgp
h_p0_cp0,4.733766339113779,1.0,head
h_p0_cp1,4.791050411251178,1.0,head
h_p0_cp2,4.736133605052067,1.0,head
h_p0_cp3,4.793458108493825,1.0,head
h_p0_cp4,4.7388869303959416,1.0,head
h_p0_cp5,4.796224772877399,1.0,head
h_p0_cp6,4.742024622569408,1.0,head
h_p0_cp7,4.799346678649674,1.0,head
h_p0_cp8,4.745546022791144,1.0,head
h_p0_cp9,4.802828723058296,1.0,head
h_p0_cp10,4.749451884318167,1.0,head
h_p0_cp11,4.806685902175373,1.0,head
h_p0_cp12,4.753744743346548,1.0,head
h_p0_cp13,4.8109438131459665,1.0,head
h_p0_cp14,4.758429257039461,1.0,head
h_p0_cp15,4.815638556983471,1.0,head
h_p0_cp16,4.763512481254386,1.0,head
h_p0_cp17,4.820816819620552,1.0,head
h_p0_cp18,4.7690040631266735,1.0,head
h_p0_cp19,4.826537155872259,1.0,head
h_p0_cp20,4.774916329695686,1.0,head
h_p0_cp21,4.832873732408159,1.0,head
h_p0_cp22,4.781264257468151,1.0,head
h_p0_cp23,4.839924276887535,1.0,head
h_p0_cp24,4.788065297818687,1.0,head
h_p0_cp25,4.847825098004019,1.0,head
h_p0_cp26,4.795338989869099,1.0,head
h_p0_cp27,4.8567782225715765,1.0,head
h_p0_cp28,4.803106181632412,1.0,head
h_p0_cp29,4.867098770046163,1.0,head
h_p0_cp30,4.811387439302702,1.0,head
h_p0_cp31,4.8792884436921655,1.0,head
h_p0_cp32,4.820199740474911,1.0,head
h_p0_cp33,4.89408758066166,1.0,head
h_p0_cp34,4.829549628469805,1.0,head
h_p0_cp35,4.912074915935634,1.0,head
h_p0_cp36,4.839419390718579,1.0,head
h_p0_cp37,4.930080173245492,1.0,head
h_p0_cp38,4.849740408370694,1.0,head
h_p0_cp39,4.918566293799811,1.0,head
h_p0_cp40,4.860345706222229,1.0,head
h_p0_cp41,4.907031152358834,1.0,head
h_p0_cp42,4.8708976859305295,1.0,head
h_p0_cp43,4.898605123616474,1.0,head
h_p0_cp44,4.880815789526593,1.0,head
h_p0_cp45,4.892668316833811,1.0,head
h_p0_cp46,4.889321554144935,1.0,head
h_p0_cp47,4.888437769045288,1.0,head
h_p0_cp48,4.895875215329408,1.0,head
h_p0_cp49,4.88536776216627,1.0,head
h_p0_cp50,4.901053620853926,1.0,head
h_p0_cp51,4.88309790760619,1.0,head
h_p0_cp52,4.905670853194169,1.0,head
h_p0_cp53,4.881379335574727,1.0,head
h_p0_cp54,4.910339253441958,1.0,head
h_p0_cp55,4.880025940699514,1.0,head
h_p0_cp56,4.9154196654142925,1.0,head
h_p0_cp57,4.878884623015122,1.0,head
h_p0_cp58,4.92108412370805,1.0,head
h_p0_cp59,4.877817510895808,1.0,head
h_p0_cp60,4.927368702136484,1.0,head
h_p0_cp61,4.876694224995892,1.0,head
h_p0_cp62,4.934183601787716,1.0,head
h_p0_cp63,4.875395967152307,1.0,head
h_p0_cp64,4.941273397978891,1.0,head
h_p0_cp65,4.873833052468593,1.0,head
h_p0_cp66,4.948129885381051,1.0,head
h_p0_cp67,4.8719703399266585,1.0,head
h_p0_cp68,4.953898134591729,1.0,head
h_p0_cp69,4.869841524949836,1.0,head
h_p0_cp70,4.957443763375255,1.0,head
h_p0_cp71,4.867531939664605,1.0,head
h_p0_cp72,4.9579671752559555,1.0,head
h_p0_cp73,4.865149194275301,1.0,head
h_p0_cp74,4.956235425654656,1.0,head
h_p0_cp75,4.862799863571415,1.0,head
h_p0_cp76,4.953354175257504,1.0,head
h_p0_cp77,4.860577094622426,1.0,head
h_p0_cp78,4.950157290201303,1.0,head
h_p0_cp79,4.858556612958559,1.0,head
h_p0_cp80,4.73552266257186,1.0,head
h_p0_cp81,4.9553597526820505,1.0,head
h_p0_cp82,4.737574730284067,1.0,head
h_p0_cp83,4.960596181310252,1.0,head
h_p0_cp84,4.739923994932861,1.0,head
h_p0_cp85,4.965039248209928,1.0,head
h_p0_cp86,4.742572038487748,1.0,head
h_p0_cp87,4.967595988153304,1.0,head
h_p0_cp88,4.745520242477487,1.0,head
h_p0_cp89,4.967525319522765,1.0,head
h_p0_cp90,4.748769276072428,1.0,head
h_p0_cp91,4.965677553715065,1.0,head
h_p0_cp92,4.7523183231783905,1.0,head
h_p0_cp93,4.963281246301042,1.0,head
h_p0_cp94,4.756163910193936,1.0,head
h_p0_cp95,4.961360136147049,1.0,head
h_p0_cp96,4.760298111318018,1.0,head
h_p0_cp97,4.960714028526888,1.0,head
h_p0_cp98,4.764705808761985,1.0,head
h_p0_cp99,4.962050982886639,1.0,head
h_p0_cp100,4.769360612057884,1.0,head
h_p0_cp101,4.965844883603624,1.0,head
h_p0_cp102,4.774219111534273,1.0,head
h_p0_cp103,4.970223560801143,1.0,head
h_p0_cp104,4.77921363565989,1.0,head
h_p0_cp105,4.95727540210229,1.0,head
h_p0_cp106,4.784245142060546,1.0,head
h_p0_cp107,4.944911540324709,1.0,head
h_p0_cp108,4.789181023220311,1.0,head
h_p0_cp109,4.9350308904746,1.0,head
h_p0_cp110,4.793867446772915,1.0,head
h_p0_cp111,4.927253538602748,1.0,head
h_p0_cp112,4.798168566510287,1.0,head
h_p0_cp113,4.921098882357572,1.0,head
h_p0_cp114,4.8020326689107895,1.0,head
h_p0_cp115,4.9162272057297445,1.0,head
h_p0_cp116,4.805541212081361,1.0,head
h_p0_cp117,4.9124051521991445,1.0,head
h_p0_cp118,4.808860644313047,1.0,head
h_p0_cp119,4.909456450558043,1.0,head
h_p0_cp120,4.812175042539721,1.0,head
h_p0_cp121,4.907226456214708,1.0,head
h_p0_cp122,4.815639830910524,1.0,head
h_p0_cp123,4.9055570421207255,1.0,head
h_p0_cp124,4.81934819242357,1.0,head
h_p0_cp125,4.904268480227156,1.0,head
h_p0_cp126,4.823280030495166,1.0,head
h_p0_cp127,4.903150104777161,1.0,head
h_p0_cp128,4.827191500041744,1.0,head
h_p0_cp129,4.901967981065775,1.0,head
h_p0_cp130,4.830408366977555,1.0,head
h_p0_cp131,4.900501465618546,1.0,head
h_p0_cp132,4.8316176064345555,1.0,head
h_p0_cp133,4.898608262265283,1.0,head
h_p0_cp134,4.829372608747498,1.0,head
h_p0_cp135,4.896272029889642,1.0,head
h_p0_cp136,4.825139110774569,1.0,head
h_p0_cp137,4.893550096015185,1.0,head
h_p0_cp138,4.820253407890042,1.0,head
h_p0_cp139,4.8905073962226115,1.0,head
h_p0_cp140,4.815422033064013,1.0,head
h_p0_cp141,4.887186531673455,1.0,head
h_p0_cp142,4.8109363733911,1.0,head
h_p0_cp143,4.883616501858707,1.0,head
h_p0_cp144,4.806886906549759,1.0,head
h_p0_cp145,4.879842474422967,1.0,head
h_p0_cp146,4.803281187521087,1.0,head
h_p0_cp147,4.875948337027363,1.0,head
h_p0_cp148,4.800097689664875,1.0,head
h_p0_cp149,4.872047450747028,1.0,head
h_p0_cp150,4.797307952313289,1.0,head
h_p0_cp151,4.868259767869569,1.0,head
h_p0_cp152,4.79488485582337,1.0,head
h_p0_cp153,4.864693554085393,1.0,head
h_p0_cp154,4.792805247419777,1.0,head
h_p0_cp155,4.861436882169015,1.0,head
h_p1_cp0,53.66633354503958,1.0,head
h_p1_cp1,53.712371732896884,1.0,head
h_p1_cp2,53.66813011932967,1.0,head
h_p1_cp3,53.713539609116474,1.0,head
h_p1_cp4,53.67020816298334,1.0,head
h_p1_cp5,53.71483007248338,1.0,head
h_p1_cp6,53.67256326638741,1.0,head
h_p1_cp7,53.7162328097642,1.0,head
h_p1_cp8,53.67519282180233,1.0,head
h_p1_cp9,53.717749572485225,1.0,head
h_p1_cp10,53.67809684804787,1.0,head
h_p1_cp11,53.71939592472325,1.0,head
h_p1_cp12,53.681278737004774,1.0,head
h_p1_cp13,53.72120124789003,1.0,head
h_p1_cp14,53.68474582997288,1.0,head
h_p1_cp15,53.72320742566454,1.0,head
h_p1_cp16,53.688509751778255,1.0,head
h_p1_cp17,53.7254671444738,1.0,head
h_p1_cp18,53.69258646997251,1.0,head
h_p1_cp19,53.72804294433079,1.0,head
h_p1_cp20,53.696996091984616,1.0,head
h_p1_cp21,53.731008193161365,1.0,head
h_p1_cp22,53.7017624443564,1.0,head
h_p1_cp23,53.7344513306239,1.0,head
h_p1_cp24,53.70691247305901,1.0,head
h_p1_cp25,53.73848536251878,1.0,head
h_p1_cp26,53.71247543919158,1.0,head
h_p1_cp27,53.7432660102947,1.0,head
h_p1_cp28,53.71848172835686,1.0,head
h_p1_cp29,53.74902400638762,1.0,head
h_p1_cp30,53.72496078565844,1.0,head
h_p1_cp31,53.756115483892025,1.0,head
h_p1_cp32,53.73193711358863,1.0,head
h_p1_cp33,53.76505765376195,1.0,head
h_p1_cp34,53.73942221446426,1.0,head
h_p1_cp35,53.77625327354518,1.0,head
h_p1_cp36,53.74739852394947,1.0,head
h_p1_cp37,53.7875223624104,1.0,head
h_p1_cp38,53.755788640544544,1.0,head
h_p1_cp39,53.77854207610806,1.0,head
h_p1_cp40,53.76440075652977,1.0,head
h_p1_cp41,53.769605071978084,1.0,head
h_p1_cp42,53.772845739235954,1.0,head
h_p1_cp43,53.76286086173754,1.0,head
h_p1_cp44,53.780454238656446,1.0,head
h_p1_cp45,53.75787584101979,1.0,head
h_p1_cp46,53.78632829667412,1.0,head
h_p1_cp47,53.75410196324956,1.0,head
h_p1_cp48,53.78984122216857,1.0,head
h_p1_cp49,53.751153080846905,1.0,head
h_p1_cp50,53.791642601032066,1.0,head
h_p1_cp51,53.74877024716031,1.0,head
h_p1_cp52,53.79265231275565,1.0,head
h_p1_cp53,53.74677186062414,1.0,head
h_p1_cp54,53.79355909932575,1.0,head
h_p1_cp55,53.745020652213945,1.0,head
h_p1_cp56,53.794765990050216,1.0,head
h_p1_cp57,53.7434031089817,1.0,head
h_p1_cp58,53.796467354989986,1.0,head
h_p1_cp59,53.74181663426094,1.0,head
h_p1_cp60,53.79872045514188,1.0,head
h_p1_cp61,53.740163811803924,1.0,head
h_p1_cp62,53.801478656439315,1.0,head
h_p1_cp63,53.73835610234433,1.0,head
h_p1_cp64,53.80458476954053,1.0,head
h_p1_cp65,53.73632891992872,1.0,head
h_p1_cp66,53.80773065128055,1.0,head
h_p1_cp67,53.734063560647506,1.0,head
h_p1_cp68,53.81040936292159,1.0,head
h_p1_cp69,53.73159949638456,1.0,head
h_p1_cp70,53.811956104658584,1.0,head
h_p1_cp71,53.72901929113969,1.0,head
h_p1_cp72,53.811895059242595,1.0,head
h_p1_cp73,53.726423045403905,1.0,head
h_p1_cp74,53.81063191497328,1.0,head
h_p1_cp75,53.7239082507363,1.0,head
h_p1_cp76,53.8087676642481,1.0,head
h_p1_cp77,53.72155926350619,1.0,head
h_p1_cp78,53.80675767135207,1.0,head
h_p1_cp79,53.71944413722929,1.0,head
h_p1_cp80,53.668971640430584,1.0,head
h_p1_cp81,53.81134257933028,1.0,head
h_p1_cp82,53.672055516919265,1.0,head
h_p1_cp83,53.81625319362031,1.0,head
h_p1_cp84,53.67558812831836,1.0,head
h_p1_cp85,53.82104997247719,1.0,head
h_p1_cp86,53.6795725627328,1.0,head
h_p1_cp87,53.82515780624191,1.0,head
h_p1_cp88,53.68401153872013,1.0,head
h_p1_cp89,53.82821909610241,1.0,head
h_p1_cp90,53.68890651425329,1.0,head
h_p1_cp91,53.8307997810978,1.0,head
h_p1_cp92,53.69425622416077,1.0,head
h_p1_cp93,53.833729279955996,1.0,head
h_p1_cp94,53.700054362936896,1.0,head
h_p1_cp95,53.83780750644276,1.0,head
h_p1_cp96,53.70628597965186,1.0,head
h_p1_cp97,53.843846413803256,1.0,head
h_p1_cp98,53.712921961368664,1.0,head
h_p1_cp99,53.85278091300732,1.0,head
h_p1_cp100,53.719910828732985,1.0,head
h_p1_cp101,53.8653016370896,1.0,head
h_p1_cp102,53.727167190757555,1.0,head
h_p1_cp103,53.87809889362809,1.0,head
h_p1_cp104,53.73455717533678,1.0,head
h_p1_cp105,53.85997239957823,1.0,head
h_p1_cp106,53.741884066905016,1.0,head
h_p1_cp107,53.842129057847295,1.0,head
h_p1_cp108,53.748883710217314,1.0,head
h_p1_cp109,53.827899768423336,1.0,head
