name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp0,4.73377,0,4.73377,4.73377,4.73377,4.73377,42.7307,49.7114,4.82256,247.251,-6.98065,92.4421,0.0887985
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp1,4.79105,0,4.79105,4.79105,4.79105,4.79105,43.2055,49.9079,4.90013,242.393,-6.70233,93.1134,0.10908
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp10,4.74945,8.97196e-16,4.74945,4.74945,4.74945,4.74945,42.8788,49.9104,4.83875,248.135,-7.03164,92.7892,0.089298
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp100,4.76936,8.97196e-16,4.76936,4.76936,4.76936,4.76936,43.0362,49.9967,4.85839,248.966,-6.9605,93.033,0.0890314
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp101,4.96584,0,4.96584,4.96584,4.96584,4.96584,46.4355,57.3513,5.0358,287.695,-10.9158,103.787,0.069958
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp102,4.77422,0,4.77422,4.77422,4.77422,4.77422,43.0777,50.0329,4.86317,249.174,-6.95517,93.1106,0.0889482
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp103,4.97022,8.97196e-16,4.97022,4.97022,4.97022,4.97022,46.7312,58.0821,5.03574,291.901,-11.3509,104.813,0.0655142
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp104,4.77921,8.97196e-16,4.77921,4.77921,4.77921,4.77921,43.1203,50.0687,4.86809,249.367,-6.94837,93.1889,0.0888773
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp105,4.95728,0,4.95728,4.95728,4.95728,4.95728,46.4525,57.3924,5.02982,287.109,-10.9398,103.845,0.0725443
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp106,4.78425,8.97196e-16,4.78425,4.78425,4.78425,4.78425,43.1629,50.1025,4.8731,249.528,-6.93956,93.2655,0.0888579
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp107,4.94491,8.97196e-16,4.94491,4.94491,4.94491,4.94491,46.1759,56.708,5.02461,282.276,-10.5321,102.884,0.0797002
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp108,4.78918,8.97196e-16,4.78918,4.78918,4.78918,4.78918,43.2045,50.1326,4.87812,249.637,-6.92805,93.3371,0.0889434
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp109,4.93503,0,4.93503,4.93503,4.93503,4.93503,45.9631,56.1782,5.02079,278.362,-10.2151,102.141,0.0857547
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp11,4.80669,0,4.80669,4.80669,4.80669,4.80669,43.3607,50.1472,4.91933,242.838,-6.78649,93.508,0.112642
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp110,4.79387,0,4.79387,4.79387,4.79387,4.79387,43.2435,50.1566,4.88306,249.667,-6.91305,93.4001,0.0891943
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp111,4.92725,0,4.92725,4.92725,4.92725,4.92725,45.8026,55.7726,5.01817,275.188,-9.97002,101.575,0.0909177
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp112,4.79817,8.97196e-16,4.79817,4.79817,4.79817,4.79817,43.2787,50.1725,4.88783,249.595,-6.89384,93.4513,0.0896627
