obsnme,obsval,weight,obgnme,oname,otype,usecol
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp0,9.567982942826347e-06,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp1,2.044998836936429e-09,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp10,0.0003564115236258,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp100,0.0008766753603595,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp101,0.0001152205302332,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp102,0.0004394599232,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp103,5.71360483263561e-05,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp104,0.0001945114377122,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp105,3.444361323090561e-05,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp106,7.99513063611812e-05,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp107,4.525596182247682e-05,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp108,3.176557129336288e-05,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp109,0.0001096238440823,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp11,5.343281372915952e-10,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp110,1.2520747986854984e-05,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp111,0.000291448365715,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp112,4.9418481467000674e-06,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp113,0.0007229001141695,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp114,1.946244083228521e-06,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp115,0.0015786073399794,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp116,7.592293513880577e-07,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp117,0.0028380871187891,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp118,2.951883288915269e-07,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp119,0.0037245234491365,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp12,0.0004244489405209,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp120,1.28094143292401e-07,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp121,0.0028380518565427,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp122,1.092598722607363e-07,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp123,0.0015784849961164,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp124,2.571946424723137e-07,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp125,0.0007225198592095,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp126,8.424503903370351e-07,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp127,0.0002903141296428,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp128,2.8355198082863357e-06,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp129,0.0001063778429397,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp13,-1.2332748156040907e-09,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp130,9.35774050958571e-06,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp131,3.6420026617634e-05,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp132,2.9944852030894253e-05,1.0,oname:obs.csv_otype:lst_usecol:obsval,obs.csv,lst,obsval
