parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,c,inst,pname,pstyle,ptype,r,sp,usecol
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:65_c:52_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,52,0,p,m,gr,65,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:32_c:48_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,48,0,p,m,gr,32,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:35_c:56_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,56,0,p,m,gr,35,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:40_c:36_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,36,0,p,m,gr,40,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:59_c:34_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,34,0,p,m,gr,59,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:46_c:47_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,47,0,p,m,gr,46,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:46_c:52_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,52,0,p,m,gr,46,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:38_c:31_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,38,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:52_c:39_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,39,0,p,m,gr,52,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:37_c:61_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,61,0,p,m,gr,37,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:80_c:61_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,61,0,p,m,gr,80,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:76_c:60_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,60,0,p,m,gr,76,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:80_c:60_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,60,0,p,m,gr,80,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:65_c:59_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,65,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:62_c:47_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,47,0,p,m,gr,62,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:61_c:43_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,43,0,p,m,gr,61,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:77_c:51_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,51,0,p,m,gr,77,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:59_c:49_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,49,0,p,m,gr,59,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:40_c:48_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,48,0,p,m,gr,40,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:81_c:57_sp:0,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,57,0,p,m,gr,81,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:65_c:52_sp:1,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,52,0,p,m,gr,65,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:32_c:48_sp:1,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,48,0,p,m,gr,32,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:35_c:56_sp:1,none,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,56,0,p,m,gr,35,1,q
