iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,base
0,50,9.04794e+09,4.53404e+09,1.06125e+08,2.10495e+10,9.73327e+09,9.43758e+09,5.54598e+09,6.25371e+09,7.71111e+09,1.01784e+10,1.0693e+10,5.0006e+09,6.75624e+09,1.42955e+10,1.15068e+10,1.11541e+10,1.01807e+10,3.90829e+09,8.67286e+09,1.15913e+10,8.06552e+09,6.57985e+09,1.96079e+09,1.10828e+10,4.49108e+09,8.17678e+09,7.93208e+09,5.95037e+09,1.77951e+10,5.01001e+09,8.42794e+09,9.9884e+09,1.7929e+10,6.19573e+09,1.48751e+10,5.63327e+09,1.02611e+10,8.19405e+09,1.58931e+10,4.63574e+09,2.57251e+09,1.02404e+10,8.52702e+09,1.53964e+10,7.21955e+09,8.17308e+09,7.57699e+09,2.01627e+10,5.64988e+09,3.90982e+09,1.32322e+10,6.88358e+09,2.10495e+10,1.06125e+08
1,140,1.08292e+09,7.18631e+08,1.04139e+08,3.18688e+09,4.34391e+08,1.07084e+09,1.44399e+09,4.15261e+08,1.71187e+09,8.1933e+08,2.07228e+09,6.67869e+08,2.36621e+09,7.07736e+08,3.96918e+08,5.62854e+08,2.23822e+09,1.50599e+09,1.38252e+09,1.10707e+09,1.8644e+09,2.94674e+09,1.34045e+09,5.92671e+08,1.13862e+09,1.03768e+09,6.11779e+08,1.2396e+09,5.27312e+08,7.19925e+08,3.77782e+08,1.12623e+09,6.81762e+08,1.37071e+09,1.02521e+09,5.68433e+08,5.43355e+08,6.45789e+08,9.26012e+08,2.96602e+08,3.35902e+08,1.11131e+09,6.94839e+08,1.23116e+09,4.07114e+08,3.18688e+09,1.30176e+09,5.65769e+08,1.38328e+09,2.45467e+09,1.40974e+08,5.27575e+08,2.21616e+09,1.04139e+08
2,230,1.14729e+08,1.51299e+08,3.23238e+06,5.34652e+08,1.94441e+07,2.01053e+07,1.49288e+08,6.93427e+07,3.36452e+06,7.95915e+06,7.85843e+06,9.20796e+07,4.66838e+06,2.65337e+07,5.24481e+08,1.23444e+07,2.38341e+08,1.80325e+08,7.47211e+06,8.19577e+06,3.66134e+06,3.40636e+06,3.92317e+06,2.96482e+08,4.67015e+07,3.7182e+06,2.99303e+08,4.28443e+08,1.63765e+07,2.82674e+08,1.9297e+08,1.8546e+07,2.9313e+07,9.79673e+06,1.60409e+07,6.00785e+07,1.34703e+08,7.81272e+07,3.23238e+06,2.08214e+08,5.34652e+08,3.48387e+06,1.34126e+08,5.02783e+08,4.48392e+08,4.70434e+06,5.70732e+06,8.02444e+07,2.35651e+07,1.62334e+08,8.40974e+07,1.23026e+08,1.78237e+07,1.03971e+08
3,320,1.7308e+07,2.23634e+07,1.15695e+06,1.05106e+08,1.43334e+07,2.40519e+06,1.35727e+06,1.50682e+07,2.10369e+06,4.52273e+06,4.8718e+06,5.25218e+07,4.68334e+06,3.79729e+06,8.29925e+06,3.19198e+06,6.40298e+07,2.12759e+06,1.42498e+07,6.35554e+06,9.16279e+06,4.61982e+06,2.67829e+07,1.00251e+07,3.27082e+06,1.15695e+06,1.5542e+07,2.26211e+06,1.59724e+06,1.60626e+07,5.2303e+06,7.2158e+06,4.3998e+07,1.49126e+06,2.23947e+07,1.56475e+07,2.67564e+06,1.57503e+07,1.43342e+06,7.60321e+06,5.19061e+07,2.40234e+06,6.3183e+07,7.8814e+07,3.22347e+07,7.24381e+06,3.27254e+06,6.65142e+06,2.34693e+07,2.38315e+07,2.8102e+07,1.37333e+07,7.61065e+06,1.05106e+08
4,365,1.66866e+07,2.11052e+07,1.15695e+06,8.6877e+07,1.43334e+07,2.16171e+06,1.35727e+06,1.50682e+07,2.10369e+06,4.52273e+06,4.8718e+06,5.25218e+07,4.68334e+06,3.79729e+06,8.29925e+06,3.19198e+06,6.40298e+07,2.12759e+06,1.42498e+07,6.35554e+06,9.16279e+06,4.61982e+06,2.67829e+07,1.00251e+07,3.27082e+06,1.15695e+06,1.5542e+07,2.26211e+06,1.59724e+06,1.60626e+07,5.2303e+06,7.2158e+06,4.3998e+07,1.49126e+06,2.23947e+07,3.40874e+06,2.67564e+06,1.57503e+07,1.43342e+06,7.60321e+06,5.19061e+07,2.40234e+06,6.3183e+07,7.8814e+07,3.22347e+07,7.24381e+06,2.91096e+06,6.65142e+06,2.34693e+07,2.38315e+07,2.8102e+07,1.37333e+07,7.61065e+06,8.6877e+07
5,455,9.04297e+06,1.25308e+07,615844,5.47356e+07,4.27689e+06,1.05662e+06,1.31753e+06,2.64314e+06,2.28876e+06,1.91725e+06,2.67674e+06,5.47356e+07,2.44095e+06,2.38611e+06,8.28995e+06,1.82477e+06,5.07686e+07,3.55031e+06,9.26591e+06,3.38299e+06,6.39039e+06,3.32378e+06,2.31538e+07,9.38736e+06,2.5378e+06,842146,1.35117e+07,1.71741e+06,1.83178e+06,1.46793e+06,6.88458e+06,1.3071e+06,3.11582e+07,1.30458e+06,1.12705e+07,4.34562e+06,1.81201e+06,5.40582e+06,1.38352e+06,5.22407e+06,615844,2.64668e+06,5.66423e+06,2.0773e+07,2.46138e+07,4.09215e+06,1.36577e+06,3.41565e+06,1.30363e+07,3.28188e+07,2.45419e+06,1.53639e+07,2.64195e+06,3.55639e+07
6,545,7.16726e+06,1.00338e+07,204647,4.43955e+07,4.27689e+06,1.05662e+06,1.31753e+06,2.64314e+06,2.28876e+06,690147,1.08767e+06,4.43955e+07,2.44095e+06,2.40851e+06,8.28995e+06,488468,4.21653e+07,3.55031e+06,9.4399e+06,2.64773e+06,6.39039e+06,1.8932e+06,9.43306e+06,1.12186e+06,2.5378e+06,842146,9.32759e+06,1.71741e+06,1.83178e+06,1.46793e+06,6.88458e+06,1.3071e+06,3.11673e+07,1.30458e+06,1.12705e+07,408440,1.81201e+06,5.40582e+06,1.38352e+06,5.22407e+06,204647,2.64668e+06,1.65858e+06,2.0773e+07,1.69905e+07,4.09215e+06,1.0505e+06,3.01072e+06,1.30363e+07,2.12594e+07,2.45419e+06,1.53639e+07,2.64195e+06,2.12621e+07
7,590,6.88886e+06,9.18662e+06,204647,4.43955e+07,4.27689e+06,1.05662e+06,1.31753e+06,2.64314e+06,2.28876e+06,690147,1.08767e+06,4.43955e+07,2.44095e+06,2.40851e+06,8.28995e+06,488468,2.71991e+07,3.55031e+06,9.4399e+06,2.64773e+06,6.39039e+06,1.8932e+06,9.43306e+06,1.12186e+06,2.5378e+06,842146,9.32759e+06,1.71741e+06,1.83178e+06,1.46793e+06,6.88458e+06,1.3071e+06,3.11673e+07,1.30458e+06,1.12705e+07,408440,1.81201e+06,5.40582e+06,1.38352e+06,5.22407e+06,204647,2.64668e+06,1.65858e+06,2.0773e+07,1.69905e+07,4.09215e+06,1.07447e+06,3.01072e+06,1.30363e+07,2.12594e+07,2.45419e+06,1.53639e+07,2.64195e+06,2.22842e+07
8,635,6.87365e+06,9.16351e+06,204647,4.43955e+07,4.27689e+06,1.05662e+06,1.31753e+06,2.64314e+06,2.28876e+06,690147,1.08767e+06,4.43955e+07,2.44095e+06,2.40851e+06,8.28995e+06,488468,2.71991e+07,3.55031e+06,9.4399e+06,2.64773e+06,6.39039e+06,1.8932e+06,9.43306e+06,1.12186e+06,2.5378e+06,842146,9.32759e+06,1.71741e+06,1.83178e+06,1.42821e+06,6.88458e+06,1.29547e+06,3.11673e+07,1.30458e+06,1.12705e+07,408440,1.81201e+06,5.40582e+06,1.38352e+06,5.22407e+06,204647,2.64668e+06,1.65858e+06,2.0773e+07,1.69905e+07,4.09215e+06,1.07447e+06,3.01072e+06,1.30363e+07,2.12594e+07,2.45419e+06,1.53639e+07,2.64195e+06,2.15751e+07
9,725,5.82101e+06,8.19793e+06,173004,4.44652e+07,1.30641e+06,1.05662e+06,1.31753e+06,1.50572e+06,2.28876e+06,596199,1.01822e+06,4.44652e+07,2.44095e+06,2.40851e+06,8.28995e+06,460731,6.44108e+06,3.55031e+06,5.36926e+06,2.54013e+06,6.39039e+06,1.8019e+06,9.43306e+06,883223,2.5378e+06,517320,9.32759e+06,1.71741e+06,1.83178e+06,1.24424e+06,6.88458e+06,1.29547e+06,3.11673e+07,1.30458e+06,1.12705e+07,388753,1.81201e+06,5.40582e+06,1.38352e+06,5.22407e+06,173004,2.64668e+06,1.65858e+06,2.0773e+07,1.08343e+07,4.09215e+06,1.05037e+06,3.01072e+06,1.30363e+07,1.02198e+07,2.45419e+06,1.53639e+07,2.3511e+06,1.65094e+07
