iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,5,1e+06,9.04794e+09,4.53404e+09,0.75,100000,9.7796e+08,6.20356e+08
1,5,1e+06,9.04794e+09,4.53404e+09,1,100000,1.06749e+09,6.41092e+08
1,5,1e+06,9.04794e+09,4.53404e+09,1.1,100000,1.0935e+09,6.54968e+08
1,5,1e+06,9.04794e+09,4.53404e+09,0.75,1e+06,1.34719e+09,9.07188e+08
1,5,1e+06,9.04794e+09,4.53404e+09,1,1e+06,1.44003e+09,9.12031e+08
1,5,1e+06,9.04794e+09,4.53404e+09,1.1,1e+06,1.48957e+09,9.30181e+08
1,5,1e+06,9.04794e+09,4.53404e+09,0.75,1e+07,1.93132e+09,1.05115e+09
1,5,1e+06,9.04794e+09,4.53404e+09,1,1e+07,1.95657e+09,1.07754e+09
1,5,1e+06,9.04794e+09,4.53404e+09,1.1,1e+07,2.02153e+09,1.12525e+09
2,5,75000,1.08292e+09,7.18631e+08,0.75,7500,2.68833e+08,2.05844e+08
2,5,75000,1.08292e+09,7.18631e+08,1,7500,4.42318e+08,4.20594e+08
2,5,75000,1.08292e+09,7.18631e+08,1.1,7500,5.15947e+08,5.03645e+08
2,5,75000,1.08292e+09,7.18631e+08,0.75,75000,5.11817e+08,3.80555e+08
2,5,75000,1.08292e+09,7.18631e+08,1,75000,7.21466e+08,6.30173e+08
2,5,75000,1.08292e+09,7.18631e+08,1.1,75000,8.10455e+08,6.85672e+08
2,5,75000,1.08292e+09,7.18631e+08,0.75,750000,4.21888e+08,2.31e+08
2,5,75000,1.08292e+09,7.18631e+08,1,750000,5.03269e+08,3.4608e+08
2,5,75000,1.08292e+09,7.18631e+08,1.1,750000,5.66532e+08,4.22358e+08
3,5,5625,1.14729e+08,1.51299e+08,0.75,562.5,5.10819e+07,3.40118e+07
3,5,5625,1.14729e+08,1.51299e+08,1,562.5,5.38875e+07,3.73452e+07
3,5,5625,1.14729e+08,1.51299e+08,1.1,562.5,5.37866e+07,3.79046e+07
3,5,5625,1.14729e+08,1.51299e+08,0.75,5625,3.04166e+07,4.22851e+07
3,5,5625,1.14729e+08,1.51299e+08,1,5625,3.26652e+07,4.16695e+07
3,5,5625,1.14729e+08,1.51299e+08,1.1,5625,3.25395e+07,4.16254e+07
3,5,5625,1.14729e+08,1.51299e+08,0.75,56250,2.46802e+07,4.50195e+07
3,5,5625,1.14729e+08,1.51299e+08,1,56250,2.64674e+07,4.40039e+07
3,5,5625,1.14729e+08,1.51299e+08,1.1,56250,2.67092e+07,4.37317e+07
4,5,42187.5,1.7308e+07,2.23634e+07,0.75,4218.75,2.70462e+07,3.71367e+07
4,5,42187.5,1.7308e+07,2.23634e+07,1,4218.75,2.42744e+07,3.06151e+07
4,5,42187.5,1.7308e+07,2.23634e+07,1.1,4218.75,2.32052e+07,2.73235e+07
4,5,42187.5,1.7308e+07,2.23634e+07,0.75,42187.5,2.62409e+07,3.99203e+07
4,5,42187.5,1.7308e+07,2.23634e+07,1,42187.5,2.5492e+07,3.58269e+07
4,5,42187.5,1.7308e+07,2.23634e+07,1.1,42187.5,2.47949e+07,3.37306e+07
4,5,42187.5,1.7308e+07,2.23634e+07,0.75,421875,2.2408e+07,4.22188e+07
4,5,42187.5,1.7308e+07,2.23634e+07,1,421875,2.10881e+07,3.8939e+07
