obsnme,obsval,weight,obsgp
h_p0_cp0,9.567982942826347e-06,1.0,head
h_p0_cp1,2.044998836936429e-09,1.0,head
h_p0_cp2,2.4469728941767244e-05,1.0,head
h_p0_cp3,1.0359144653193653e-09,1.0,head
h_p0_cp4,5.785085204479401e-05,1.0,head
h_p0_cp5,-8.139977580867708e-10,1.0,head
h_p0_cp6,0.00012352576277407934,1.0,head
h_p0_cp7,-1.819444150896743e-09,1.0,head
h_p0_cp8,0.000230307536185137,1.0,head
h_p0_cp9,1.5129444363992661e-09,1.0,head
h_p0_cp10,0.0003564115236258658,1.0,head
h_p0_cp11,5.343281372915953e-10,1.0,head
h_p0_cp12,0.0004244489405209606,1.0,head
h_p0_cp13,-1.2332748156040907e-09,1.0,head
h_p0_cp14,0.00035643803039420163,1.0,head
h_p0_cp15,-2.0304469217080623e-09,1.0,head
h_p0_cp16,0.00023035957246975158,1.0,head
h_p0_cp17,1.7971615307033062e-09,1.0,head
h_p0_cp18,0.000123591333249351,1.0,head
h_p0_cp19,1.933130988618359e-09,1.0,head
h_p0_cp20,5.791076455352595e-05,1.0,head
h_p0_cp21,2.504293661331758e-09,1.0,head
h_p0_cp22,2.451463979014079e-05,1.0,head
h_p0_cp23,6.270511221373454e-09,1.0,head
h_p0_cp24,9.601221336197341e-06,1.0,head
h_p0_cp25,1.8251739675179124e-08,1.0,head
h_p0_cp26,3.539283625286771e-06,1.0,head
h_p0_cp27,3.1419858714798465e-08,1.0,head
h_p0_cp28,1.2517730283434503e-06,1.0,head
h_p0_cp29,5.020001481170766e-08,1.0,head
h_p0_cp30,4.5310616769711487e-07,1.0,head
h_p0_cp31,7.613925845362246e-08,1.0,head
h_p0_cp32,2.1245659809210338e-07,1.0,head
h_p0_cp33,9.432869774173014e-08,1.0,head
h_p0_cp34,1.9948174667661078e-07,1.0,head
h_p0_cp35,1.0021312846220098e-07,1.0,head
h_p0_cp36,3.131222001684364e-07,1.0,head
h_p0_cp37,9.147379387286492e-08,1.0,head
h_p0_cp38,5.288161446515005e-07,1.0,head
h_p0_cp39,7.561629900010303e-08,1.0,head
h_p0_cp40,8.047352366702398e-07,1.0,head
h_p0_cp41,5.206288733461406e-08,1.0,head
h_p0_cp42,1.062206592905568e-06,1.0,head
h_p0_cp43,3.0713408705196343e-08,1.0,head
h_p0_cp44,1.1875108612002805e-06,1.0,head
h_p0_cp45,1.58202055899892e-08,1.0,head
h_p0_cp46,1.1439365152909886e-06,1.0,head
h_p0_cp47,1.0556732377153821e-08,1.0,head
h_p0_cp48,1.0897078936977778e-06,1.0,head
h_p0_cp49,4.790535967913456e-09,1.0,head
h_p0_cp50,1.4537743027176475e-06,1.0,head
h_p0_cp51,5.29098542756401e-10,1.0,head
h_p0_cp52,3.2230202577920863e-06,1.0,head
h_p0_cp53,-1.6004833014449105e-09,1.0,head
h_p0_cp54,8.993578376248479e-06,1.0,head
h_p0_cp55,1.2898908607894555e-09,1.0,head
h_p0_cp56,2.5581123964002472e-05,1.0,head
h_p0_cp57,3.594777808757499e-10,1.0,head
h_p0_cp58,6.953669594622625e-05,1.0,head
h_p0_cp59,-4.4292391976341605e-10,1.0,head
h_p0_cp60,0.00017585768432581972,1.0,head
h_p0_cp61,2.920614861068316e-09,1.0,head
h_p0_cp62,0.00040322406107407005,1.0,head
h_p0_cp63,1.9188064470654353e-09,1.0,head
h_p0_cp64,0.0008081814355591632,1.0,head
h_p0_cp65,6.843947630841285e-11,1.0,head
h_p0_cp66,0.0013363740767999843,1.0,head
h_p0_cp67,-9.401901479577646e-10,1.0,head
h_p0_cp68,0.0016559493556087546,1.0,head
h_p0_cp69,2.381057129241526e-09,1.0,head
h_p0_cp70,0.001336375724122263,1.0,head
h_p0_cp71,1.3712906365981326e-09,1.0,head
h_p0_cp72,0.0008081788525942102,1.0,head
h_p0_cp73,-4.815774445887655e-10,1.0,head
h_p0_cp74,0.00040321510209651024,1.0,head
h_p0_cp75,-1.4917986845830455e-09,1.0,head
h_p0_cp76,0.00017584249462743173,1.0,head
h_p0_cp77,1.828311724239029e-09,1.0,head
h_p0_cp78,6.950445413167472e-05,1.0,head
h_p0_cp79,8.178631105693057e-10,1.0,head
h_p0_cp80,2.550482554397604e-05,1.0,head
h_p0_cp81,-1.0345502232667059e-09,1.0,head
h_p0_cp82,8.833916581352241e-06,1.0,head
h_p0_cp83,-2.0445440895855427e-09,1.0,head
h_p0_cp84,2.7615062208496965e-05,1.0,head
h_p0_cp85,2.259965435769118e-05,1.0,head
h_p0_cp86,7.524776856371318e-05,1.0,head
h_p0_cp87,5.3435622476172284e-05,1.0,head
h_p0_cp88,0.00019037075162486872,1.0,head
h_p0_cp89,0.0001141008708600566,1.0,head
h_p0_cp90,0.0004365370741652441,1.0,head
h_p0_cp91,0.00021273294100865314,1.0,head
h_p0_cp92,0.0008749804242143,1.0,head
h_p0_cp93,0.00032921820729825413,1.0,head
h_p0_cp94,0.0014468957447206776,1.0,head
h_p0_cp95,0.0003920759970696963,1.0,head
h_p0_cp96,0.0017931005554601143,1.0,head
h_p0_cp97,0.0003293061588465207,1.0,head
h_p0_cp98,0.00144763613707255,1.0,head
h_p0_cp99,0.00021306142593857658,1.0,head
h_p0_cp100,0.0008766753603595134,1.0,head
h_p0_cp101,0.00011522053023327317,1.0,head
h_p0_cp102,0.00043945992320004734,1.0,head
h_p0_cp103,5.7136048326356104e-05,1.0,head
h_p0_cp104,0.00019451143771220814,1.0,head
h_p0_cp105,3.444361323090561e-05,1.0,head
