parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,c,inst,pname,pstyle,ptype,r,sp,usecol
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:56_c:31_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,56,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:42_c:42_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,42,0,p,m,gr,42,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:35_c:56_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,56,0,p,m,gr,35,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:44_c:43_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,43,0,p,m,gr,44,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:82_c:31_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,82,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:63_c:43_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,43,0,p,m,gr,63,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:56_c:61_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,61,0,p,m,gr,56,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:79_c:33_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,33,0,p,m,gr,79,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:31_c:48_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,48,0,p,m,gr,31,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:85_c:34_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,34,0,p,m,gr,85,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:32_c:49_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,49,0,p,m,gr,32,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:30_c:37_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,37,0,p,m,gr,30,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:50_c:37_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,37,0,p,m,gr,50,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:42_c:40_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,40,0,p,m,gr,42,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:54_c:53_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,53,0,p,m,gr,54,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:80_c:36_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,36,0,p,m,gr,80,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:71_c:61_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,61,0,p,m,gr,71,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:70_c:47_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,47,0,p,m,gr,70,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:53_c:59_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,53,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:52_c:43_sp:0,log,factor,100.0,0.001,3000.0,p_inst:0,1.0,0.0,1,43,0,p,m,gr,52,0,q
