,r,c,sp,sidx,idx_strs,pargpq,parval1_q,q
0,22,11,0,"(22, 11, 0)",r:22_c:11_sp:0,p_inst:0,1.0,1.0
1,9,40,0,"(9, 40, 0)",r:9_c:40_sp:0,p_inst:0,1.0,1.0
2,17,43,0,"(17, 43, 0)",r:17_c:43_sp:0,p_inst:0,1.0,1.0
3,43,23,0,"(43, 23, 0)",r:43_c:23_sp:0,p_inst:0,1.0,1.0
4,33,31,0,"(33, 31, 0)",r:33_c:31_sp:0,p_inst:0,1.0,1.0
5,26,22,0,"(26, 22, 0)",r:26_c:22_sp:0,p_inst:0,1.0,1.0
6,37,37,0,"(37, 37, 0)",r:37_c:37_sp:0,p_inst:0,1.0,1.0
7,32,8,0,"(32, 8, 0)",r:32_c:8_sp:0,p_inst:0,1.0,1.0
8,9,28,0,"(9, 28, 0)",r:9_c:28_sp:0,p_inst:0,1.0,1.0
9,31,38,0,"(31, 38, 0)",r:31_c:38_sp:0,p_inst:0,1.0,1.0
10,22,11,1,"(22, 11, 1)",r:22_c:11_sp:1,p_inst:0,1.0,1.0
11,9,40,1,"(9, 40, 1)",r:9_c:40_sp:1,p_inst:0,1.0,1.0
12,17,43,1,"(17, 43, 1)",r:17_c:43_sp:1,p_inst:0,1.0,1.0
13,43,23,1,"(43, 23, 1)",r:43_c:23_sp:1,p_inst:0,1.0,1.0
14,33,31,1,"(33, 31, 1)",r:33_c:31_sp:1,p_inst:0,1.0,1.0
15,26,22,1,"(26, 22, 1)",r:26_c:22_sp:1,p_inst:0,1.0,1.0
16,37,37,1,"(37, 37, 1)",r:37_c:37_sp:1,p_inst:0,1.0,1.0
17,32,8,1,"(32, 8, 1)",r:32_c:8_sp:1,p_inst:0,1.0,1.0
18,9,28,1,"(9, 28, 1)",r:9_c:28_sp:1,p_inst:0,1.0,1.0
19,31,38,1,"(31, 38, 1)",r:31_c:38_sp:1,p_inst:0,1.0,1.0
20,22,11,2,"(22, 11, 2)",r:22_c:11_sp:2,p_inst:0,1.0,1.0
21,9,40,2,"(9, 40, 2)",r:9_c:40_sp:2,p_inst:0,1.0,1.0
22,17,43,2,"(17, 43, 2)",r:17_c:43_sp:2,p_inst:0,1.0,1.0
23,43,23,2,"(43, 23, 2)",r:43_c:23_sp:2,p_inst:0,1.0,1.0
24,33,31,2,"(33, 31, 2)",r:33_c:31_sp:2,p_inst:0,1.0,1.0
25,26,22,2,"(26, 22, 2)",r:26_c:22_sp:2,p_inst:0,1.0,1.0
26,37,37,2,"(37, 37, 2)",r:37_c:37_sp:2,p_inst:0,1.0,1.0
27,32,8,2,"(32, 8, 2)",r:32_c:8_sp:2,p_inst:0,1.0,1.0
28,9,28,2,"(9, 28, 2)",r:9_c:28_sp:2,p_inst:0,1.0,1.0
29,31,38,2,"(31, 38, 2)",r:31_c:38_sp:2,p_inst:0,1.0,1.0
30,22,11,3,"(22, 11, 3)",r:22_c:11_sp:3,p_inst:0,1.0,1.0
31,9,40,3,"(9, 40, 3)",r:9_c:40_sp:3,p_inst:0,1.0,1.0
32,17,43,3,"(17, 43, 3)",r:17_c:43_sp:3,p_inst:0,1.0,1.0
33,43,23,3,"(43, 23, 3)",r:43_c:23_sp:3,p_inst:0,1.0,1.0
34,33,31,3,"(33, 31, 3)",r:33_c:31_sp:3,p_inst:0,1.0,1.0
35,26,22,3,"(26, 22, 3)",r:26_c:22_sp:3,p_inst:0,1.0,1.0
36,37,37,3,"(37, 37, 3)",r:37_c:37_sp:3,p_inst:0,1.0,1.0
37,32,8,3,"(32, 8, 3)",r:32_c:8_sp:3,p_inst:0,1.0,1.0
38,9,28,3,"(9, 28, 3)",r:9_c:28_sp:3,p_inst:0,1.0,1.0
39,31,38,3,"(31, 38, 3)",r:31_c:38_sp:3,p_inst:0,1.0,1.0
40,22,11,4,"(22, 11, 4)",r:22_c:11_sp:4,p_inst:0,1.0,1.0
41,9,40,4,"(9, 40, 4)",r:9_c:40_sp:4,p_inst:0,1.0,1.0
42,17,43,4,"(17, 43, 4)",r:17_c:43_sp:4,p_inst:0,1.0,1.0
43,43,23,4,"(43, 23, 4)",r:43_c:23_sp:4,p_inst:0,1.0,1.0
44,33,31,4,"(33, 31, 4)",r:33_c:31_sp:4,p_inst:0,1.0,1.0
45,26,22,4,"(26, 22, 4)",r:26_c:22_sp:4,p_inst:0,1.0,1.0
46,37,37,4,"(37, 37, 4)",r:37_c:37_sp:4,p_inst:0,1.0,1.0
47,32,8,4,"(32, 8, 4)",r:32_c:8_sp:4,p_inst:0,1.0,1.0
48,9,28,4,"(9, 28, 4)",r:9_c:28_sp:4,p_inst:0,1.0,1.0
49,31,38,4,"(31, 38, 4)",r:31_c:38_sp:4,p_inst:0,1.0,1.0
50,22,11,5,"(22, 11, 5)",r:22_c:11_sp:5,p_inst:0,1.0,1.0
51,9,40,5,"(9, 40, 5)",r:9_c:40_sp:5,p_inst:0,1.0,1.0
52,17,43,5,"(17, 43, 5)",r:17_c:43_sp:5,p_inst:0,1.0,1.0
53,43,23,5,"(43, 23, 5)",r:43_c:23_sp:5,p_inst:0,1.0,1.0
54,33,31,5,"(33, 31, 5)",r:33_c:31_sp:5,p_inst:0,1.0,1.0
55,26,22,5,"(26, 22, 5)",r:26_c:22_sp:5,p_inst:0,1.0,1.0
56,37,37,5,"(37, 37, 5)",r:37_c:37_sp:5,p_inst:0,1.0,1.0
57,32,8,5,"(32, 8, 5)",r:32_c:8_sp:5,p_inst:0,1.0,1.0
58,9,28,5,"(9, 28, 5)",r:9_c:28_sp:5,p_inst:0,1.0,1.0
59,31,38,5,"(31, 38, 5)",r:31_c:38_sp:5,p_inst:0,1.0,1.0
60,22,11,6,"(22, 11, 6)",r:22_c:11_sp:6,p_inst:0,1.0,1.0
61,9,40,6,"(9, 40, 6)",r:9_c:40_sp:6,p_inst:0,1.0,1.0
62,17,43,6,"(17, 43, 6)",r:17_c:43_sp:6,p_inst:0,1.0,1.0
63,43,23,6,"(43, 23, 6)",r:43_c:23_sp:6,p_inst:0,1.0,1.0
64,33,31,6,"(33, 31, 6)",r:33_c:31_sp:6,p_inst:0,1.0,1.0
65,26,22,6,"(26, 22, 6)",r:26_c:22_sp:6,p_inst:0,1.0,1.0
66,37,37,6,"(37, 37, 6)",r:37_c:37_sp:6,p_inst:0,1.0,1.0
67,32,8,6,"(32, 8, 6)",r:32_c:8_sp:6,p_inst:0,1.0,1.0
68,9,28,6,"(9, 28, 6)",r:9_c:28_sp:6,p_inst:0,1.0,1.0
69,31,38,6,"(31, 38, 6)",r:31_c:38_sp:6,p_inst:0,1.0,1.0
70,22,11,7,"(22, 11, 7)",r:22_c:11_sp:7,p_inst:0,1.0,1.0
71,9,40,7,"(9, 40, 7)",r:9_c:40_sp:7,p_inst:0,1.0,1.0
72,17,43,7,"(17, 43, 7)",r:17_c:43_sp:7,p_inst:0,1.0,1.0
