well_id,r,c,sp,q
0,56,31,0,0.0
1,42,42,0,0.0
2,35,56,0,410.59615
3,44,43,0,0.0
4,82,31,0,0.0
5,63,43,0,484.419626
6,56,61,0,2499.51656
7,79,33,0,1506.25352
8,31,48,0,1394.42006
9,85,34,0,1932.14193
10,32,49,0,1779.76301
11,30,37,0,2482.00119
12,50,37,0,1016.56481
13,42,40,0,0.0
14,54,53,0,2334.73115
15,80,36,0,0.0
16,71,61,0,380.583716
17,70,47,0,0.0
18,53,59,0,0.0
19,52,43,0,0.0
0,56,31,1,0.0
1,42,42,1,0.0
2,35,56,1,0.0
3,44,43,1,0.0
4,82,31,1,2644.4053
5,63,43,1,0.0
6,56,61,1,2499.51656
7,79,33,1,0.0
8,31,48,1,1394.42006
9,85,34,1,1932.14193
10,32,49,1,0.0
11,30,37,1,0.0
12,50,37,1,0.0
13,42,40,1,2640.11827
14,54,53,1,2334.73115
15,80,36,1,2590.99552
16,71,61,1,380.583716
17,70,47,1,2118.89455
18,53,59,1,0.0
19,52,43,1,0.0
0,56,31,2,0.0
1,42,42,2,0.0
2,35,56,2,0.0
3,44,43,2,0.0
4,82,31,2,0.0
5,63,43,2,0.0
6,56,61,2,0.0
7,79,33,2,1506.25352
8,31,48,2,1394.42006
9,85,34,2,0.0
10,32,49,2,1779.76301
11,30,37,2,2482.00119
12,50,37,2,0.0
13,42,40,2,2640.11827
14,54,53,2,0.0
15,80,36,2,0.0
16,71,61,2,380.583716
17,70,47,2,2118.89455
18,53,59,2,1124.26749
19,52,43,2,2594.50144
0,56,31,3,0.0
1,42,42,3,0.0
2,35,56,3,410.59615
3,44,43,3,0.0
4,82,31,3,0.0
5,63,43,3,484.419626
6,56,61,3,2499.51656
7,79,33,3,1506.25352
8,31,48,3,1394.42006
9,85,34,3,0.0
10,32,49,3,1779.76301
11,30,37,3,0.0
12,50,37,3,0.0
13,42,40,3,0.0
14,54,53,3,0.0
15,80,36,3,2590.99552
16,71,61,3,0.0
17,70,47,3,2118.89455
18,53,59,3,1124.26749
19,52,43,3,0.0
0,56,31,4,0.0
1,42,42,4,0.0
2,35,56,4,0.0
3,44,43,4,0.0
4,82,31,4,0.0
5,63,43,4,0.0
6,56,61,4,2499.51656
7,79,33,4,1506.25352
8,31,48,4,0.0
9,85,34,4,0.0
10,32,49,4,1779.76301
11,30,37,4,2482.00119
12,50,37,4,0.0
13,42,40,4,2640.11827
14,54,53,4,0.0
