well_id,r,c,sp,q
0,22,11,0,0.000675208290140448
1,9,40,0,68.2894595485087
2,17,43,0,14.212187302541007
3,43,23,0,0.17101803429570278
4,33,31,0,0.00496915938625012
5,26,22,0,0.07259118972705914
6,37,37,0,0.0022547909940149415
7,32,8,0,0.6645883951541806
8,9,28,0,0.6639269702482633
9,31,38,0,35.41175294543396
0,22,11,1,0.41541651877341296
1,9,40,1,0.09788112621452566
2,17,43,1,19.33946737050731
3,43,23,1,0.012556210763986133
4,33,31,1,0.7982172147531157
5,26,22,1,0.0005257471291949191
6,37,37,1,0.22939852309406197
7,32,8,1,1.0326280736502635
8,9,28,1,1.6994954334469703
9,31,38,1,0.6920102239074919
0,22,11,2,160.57569507138422
1,9,40,2,72.72068977420726
2,17,43,2,2.45050225073961
3,43,23,2,6.232693820789829e-05
4,33,31,2,0.8627738753757174
5,26,22,2,9.404020206575902
6,37,37,2,4.284457083734936
7,32,8,2,1.3009687583486384e-05
8,9,28,2,0.5403649128494605
9,31,38,2,65.01243120046509
0,22,11,3,86.24592869404174
1,9,40,3,54.230881747559096
2,17,43,3,1.1032207571536992
3,43,23,3,27.1446062976125
4,33,31,3,52.77255366404867
5,26,22,3,0.8355765785567567
6,37,37,3,0.013969625153972995
7,32,8,3,130.8118904916173
8,9,28,3,3.260874137616627
9,31,38,3,0.5999540451983857
0,22,11,4,0.027430308673896616
1,9,40,4,0.02823054525387149
2,17,43,4,6.549227618645075
3,43,23,4,0.008170510143095836
4,33,31,4,1.8785510838226325
5,26,22,4,2.3181768014722474e-05
6,37,37,4,6.180019321273277
7,32,8,4,51.27330947357858
8,9,28,4,5.0273834546505345
9,31,38,4,6.311765524986747
0,22,11,5,0.015277128401289803
1,9,40,5,0.05498077681277007
2,17,43,5,238.68361215138208
3,43,23,5,4.069894301517562
4,33,31,5,0.00038296664467036006
5,26,22,5,1.3706935547986405
6,37,37,5,15.726169104024242
7,32,8,5,9.697472695490914
8,9,28,5,1.1943553732829484
9,31,38,5,154.75711303860032
0,22,11,6,0.10329597570598159
1,9,40,6,5.679335441375232
2,17,43,6,0.3743403723825281
3,43,23,6,0.08932301453691656
4,33,31,6,2.097458003181611
5,26,22,6,2.662740437524247
6,37,37,6,317.74935417226743
7,32,8,6,0.020761768615296394
8,9,28,6,0.00923999205869668
9,31,38,6,1.9683896027752643
0,22,11,7,117.30580583053809
1,9,40,7,2.133471110468971
2,17,43,7,0.9561886754046294
3,43,23,7,0.37907824635146836
4,33,31,7,0.3747597493432688
5,26,22,7,0.007933359939018945
6,37,37,7,6.837458243663043
7,32,8,7,0.04593929162215106
8,9,28,7,0.00032642233016312903
9,31,38,7,5.844260841335767e-05
0,22,11,8,77.41625801134667
1,9,40,8,0.25125078435107145
2,17,43,8,18.65097277884874
3,43,23,8,167.6355641710731
4,33,31,8,7.751984873910355
5,26,22,8,0.004744775747112898
6,37,37,8,16.889573744505444
7,32,8,8,245.92387550374048
8,9,28,8,4.018232447381534
9,31,38,8,0.23645069533134153
0,22,11,9,0.03873017337260167
1,9,40,9,90.6705442526201
2,17,43,9,0.028147538278981258
3,43,23,9,0.002430947680412219
4,33,31,9,6.423267550158208
5,26,22,9,23.305811560525715
6,37,37,9,0.11403173238200187
7,32,8,9,0.017929071520869675
8,9,28,9,4.975578169873227
9,31,38,9,0.5080065613120268
