,r,c,sp,sidx,idx_strs,pargpq,parval1_q,q
0,22,11,0,"(22, 11, 0)",r:22_c:11_sp:0,p_inst:0,1.0,0.880464429660207548167250024562235921621322631835937500000000
1,9,40,0,"(9, 40, 0)",r:9_c:40_sp:0,p_inst:0,1.0,0.28488833986249573193560991057893261313438415527343750000000
2,17,43,0,"(17, 43, 0)",r:17_c:43_sp:0,p_inst:0,1.0,0.189915511037235862357164251079666428267955780029296875000000
3,43,23,0,"(43, 23, 0)",r:43_c:23_sp:0,p_inst:0,1.0,0.148397186866282643213921232927532400935888290405273437500000
4,33,31,0,"(33, 31, 0)",r:33_c:31_sp:0,p_inst:0,1.0,7.24506605900234910630497431327512458665296435356140136719e-05
5,26,22,0,"(26, 22, 0)",r:26_c:22_sp:0,p_inst:0,1.0,0.407880600553744532277278267429210245609283447265625000000000
6,37,37,0,"(37, 37, 0)",r:37_c:37_sp:0,p_inst:0,1.0,12.88635128604283686115650198189541697502136230468750000000000
7,32,8,0,"(32, 8, 0)",r:32_c:8_sp:0,p_inst:0,1.0,0.06210900373823310255394503087700286414474248886108398437500
8,9,28,0,"(9, 28, 0)",r:9_c:28_sp:0,p_inst:0,1.0,1.24145389283116891476765886181965470314025878906250000000000
9,31,38,0,"(31, 38, 0)",r:31_c:38_sp:0,p_inst:0,1.0,0.013746449888841759737201364544034731807187199592590332031250
10,22,11,1,"(22, 11, 1)",r:22_c:11_sp:1,p_inst:0,1.0,0.029366459771179347082448174433011445216834545135498046875000
11,9,40,1,"(9, 40, 1)",r:9_c:40_sp:1,p_inst:0,1.0,0.16872535532196697438678256730781868100166320800781250000000
12,17,43,1,"(17, 43, 1)",r:17_c:43_sp:1,p_inst:0,1.0,0.081368405444563460249263187051838031038641929626464843750000
13,43,23,1,"(43, 23, 1)",r:43_c:23_sp:1,p_inst:0,1.0,11.43455556887399104937230731593444943428039550781250000000000
14,33,31,1,"(33, 31, 1)",r:33_c:31_sp:1,p_inst:0,1.0,2.404472283830442869145826989552006125450134277343750000000000
15,26,22,1,"(26, 22, 1)",r:26_c:22_sp:1,p_inst:0,1.0,0.276331090330240725094768095004837960004806518554687500000000
16,37,37,1,"(37, 37, 1)",r:37_c:37_sp:1,p_inst:0,1.0,0.180988238650062305268306772632058709859848022460937500000000
17,32,8,1,"(32, 8, 1)",r:32_c:8_sp:1,p_inst:0,1.0,11.0889468021096870842256976175121963024139404296875000000000
18,9,28,1,"(9, 28, 1)",r:9_c:28_sp:1,p_inst:0,1.0,0.07386578236842390732252994212103658355772495269775390625000
19,31,38,1,"(31, 38, 1)",r:31_c:38_sp:1,p_inst:0,1.0,0.106958199395853340019080235379078658297657966613769531250000
20,22,11,2,"(22, 11, 2)",r:22_c:11_sp:2,p_inst:0,1.0,0.092042308742556838696557974799361545592546463012695312500000
21,9,40,2,"(9, 40, 2)",r:9_c:40_sp:2,p_inst:0,1.0,4.60458133451955120563070522621273994445800781250000000000000
22,17,43,2,"(17, 43, 2)",r:17_c:43_sp:2,p_inst:0,1.0,0.063546358771588151714837522376910783350467681884765625000000
23,43,23,2,"(43, 23, 2)",r:43_c:23_sp:2,p_inst:0,1.0,6.073364917507501736793074087472632527351379394531250000000000
24,33,31,2,"(33, 31, 2)",r:33_c:31_sp:2,p_inst:0,1.0,0.145724340501543231374270703781803604215383529663085937500000
25,26,22,2,"(26, 22, 2)",r:26_c:22_sp:2,p_inst:0,1.0,0.054441949806454517646336910274840192869305610656738281250000
26,37,37,2,"(37, 37, 2)",r:37_c:37_sp:2,p_inst:0,1.0,2.649790008874265190286223514704033732414245605468750000000000
27,32,8,2,"(32, 8, 2)",r:32_c:8_sp:2,p_inst:0,1.0,0.19098133262317978919853089792013633996248245239257812500000
28,9,28,2,"(9, 28, 2)",r:9_c:28_sp:2,p_inst:0,1.0,2.46400526715697543167493677174206823110580444335937500000000
29,31,38,2,"(31, 38, 2)",r:31_c:38_sp:2,p_inst:0,1.0,33.57930338267917136363394092768430709838867187500000000000000
30,22,11,3,"(22, 11, 3)",r:22_c:11_sp:3,p_inst:0,1.0,1.321781341949264110269268712727352976799011230468750000000000
31,9,40,3,"(9, 40, 3)",r:9_c:40_sp:3,p_inst:0,1.0,0.04838770817401612939212540709377208258956670761108398437500
32,17,43,3,"(17, 43, 3)",r:17_c:43_sp:3,p_inst:0,1.0,2.946000879231146729608781242859549820423126220703125000000000
33,43,23,3,"(43, 23, 3)",r:43_c:23_sp:3,p_inst:0,1.0,12.87401655165981395612107007764279842376708984375000000000000
34,33,31,3,"(33, 31, 3)",r:33_c:31_sp:3,p_inst:0,1.0,0.213611626543613819517730689767631702125072479248046875000000
35,26,22,3,"(26, 22, 3)",r:26_c:22_sp:3,p_inst:0,1.0,5.231409342910463777798213413916528224945068359375000000000000
36,37,37,3,"(37, 37, 3)",r:37_c:37_sp:3,p_inst:0,1.0,0.209964130549329136554703723049897234886884689331054687500000
37,32,8,3,"(32, 8, 3)",r:32_c:8_sp:3,p_inst:0,1.0,0.16823048172070909078712475093198008835315704345703125000000
38,9,28,3,"(9, 28, 3)",r:9_c:28_sp:3,p_inst:0,1.0,0.29140137997645765288723396224668249487876892089843750000000
39,31,38,3,"(31, 38, 3)",r:31_c:38_sp:3,p_inst:0,1.0,5.611562049878513924738854257157072424888610839843750000000000
40,22,11,4,"(22, 11, 4)",r:22_c:11_sp:4,p_inst:0,1.0,0.809602249426611075833193353901151567697525024414062500000000
41,9,40,4,"(9, 40, 4)",r:9_c:40_sp:4,p_inst:0,1.0,0.01094635910105893825128298146864835871383547782897949218750
42,17,43,4,"(17, 43, 4)",r:17_c:43_sp:4,p_inst:0,1.0,1.183642432354174767183963012939784675836563110351562500000000
43,43,23,4,"(43, 23, 4)",r:43_c:23_sp:4,p_inst:0,1.0,1.568397596701457175072391692083328962326049804687500000000000
44,33,31,4,"(33, 31, 4)",r:33_c:31_sp:4,p_inst:0,1.0,2.766572444811711051215752377174794673919677734375000000000000
45,26,22,4,"(26, 22, 4)",r:26_c:22_sp:4,p_inst:0,1.0,0.343806155038860306039083525320165790617465972900390625000000
46,37,37,4,"(37, 37, 4)",r:37_c:37_sp:4,p_inst:0,1.0,10.03903624861015586589019221719354391098022460937500000000000
47,32,8,4,"(32, 8, 4)",r:32_c:8_sp:4,p_inst:0,1.0,0.26639081192064989478396341837651561945676803588867187500000
48,9,28,4,"(9, 28, 4)",r:9_c:28_sp:4,p_inst:0,1.0,0.21913306451125155738246519376843934878706932067871093750000
49,31,38,4,"(31, 38, 4)",r:31_c:38_sp:4,p_inst:0,1.0,83.06055568122323506941029336303472518920898437500000000000000
50,22,11,5,"(22, 11, 5)",r:22_c:11_sp:5,p_inst:0,1.0,0.146690299430454168527759861717640887945890426635742187500000
51,9,40,5,"(9, 40, 5)",r:9_c:40_sp:5,p_inst:0,1.0,0.21290711123694880391177264300495153293013572692871093750000
52,17,43,5,"(17, 43, 5)",r:17_c:43_sp:5,p_inst:0,1.0,0.111999495011530211807659895839606178924441337585449218750000
53,43,23,5,"(43, 23, 5)",r:43_c:23_sp:5,p_inst:0,1.0,0.225732754709731253672799766718526370823383331298828125000000
54,33,31,5,"(33, 31, 5)",r:33_c:31_sp:5,p_inst:0,1.0,0.013441660826165869463411084439030673820525407791137695312500
55,26,22,5,"(26, 22, 5)",r:26_c:22_sp:5,p_inst:0,1.0,11.05926770428781757971137267304584383964538574218750000000000
56,37,37,5,"(37, 37, 5)",r:37_c:37_sp:5,p_inst:0,1.0,3.084139251173100504388457920867949724197387695312500000000000
57,32,8,5,"(32, 8, 5)",r:32_c:8_sp:5,p_inst:0,1.0,3.5982898901509379439855873528131269267760217189788818359e-03
58,9,28,5,"(9, 28, 5)",r:9_c:28_sp:5,p_inst:0,1.0,0.24343783703506430282637040818372042849659919738769531250000
59,31,38,5,"(31, 38, 5)",r:31_c:38_sp:5,p_inst:0,1.0,4.804884140082828380968749115709215402603149414062500000000000
60,22,11,6,"(22, 11, 6)",r:22_c:11_sp:6,p_inst:0,1.0,6.574579261237793126326778292423114180564880371093750000000000
61,9,40,6,"(9, 40, 6)",r:9_c:40_sp:6,p_inst:0,1.0,2.48934279312965811570279583975207060575485229492187500000000
62,17,43,6,"(17, 43, 6)",r:17_c:43_sp:6,p_inst:0,1.0,1.035282663514611067867576821299735456705093383789062500000000
63,43,23,6,"(43, 23, 6)",r:43_c:23_sp:6,p_inst:0,1.0,11.88164926212622773959992628078907728195190429687500000000000
64,33,31,6,"(33, 31, 6)",r:33_c:31_sp:6,p_inst:0,1.0,0.965688425283081186556444208690663799643516540527343750000000
