obsnme,obsval,weight,obsgp
h_p0_cp0,63.92259368298167,1.0,head
h_p0_cp1,62.829583726151185,1.0,head
h_p0_cp2,63.9903342015147,1.0,head
h_p0_cp3,62.869295653558694,1.0,head
h_p0_cp4,64.0695181959802,1.0,head
h_p0_cp5,62.91544356957845,1.0,head
h_p0_cp6,64.16021569515691,1.0,head
h_p0_cp7,62.96795188729874,1.0,head
h_p0_cp8,64.2625075463608,1.0,head
h_p0_cp9,63.026738781028286,1.0,head
h_p0_cp10,64.37648576328698,1.0,head
h_p0_cp11,63.09171624036719,1.0,head
h_p0_cp12,64.50225427092498,1.0,head
h_p0_cp13,63.16278929991865,1.0,head
h_p0_cp14,64.63992969829535,1.0,head
h_p0_cp15,63.23985484950111,1.0,head
h_p0_cp16,64.7896418763015,1.0,head
h_p0_cp17,63.322799770677705,1.0,head
h_p0_cp18,64.95153396808348,1.0,head
h_p0_cp19,63.41149836526435,1.0,head
h_p0_cp20,65.12576250161067,1.0,head
h_p0_cp21,63.505809801536785,1.0,head
h_p0_cp22,65.31249773864002,1.0,head
h_p0_cp23,63.6055766666624,1.0,head
h_p0_cp24,65.51192462490377,1.0,head
h_p0_cp25,63.71062534393706,1.0,head
h_p0_cp26,65.72424416215763,1.0,head
h_p0_cp27,63.82076836872967,1.0,head
h_p0_cp28,65.94967478590644,1.0,head
h_p0_cp29,63.935809104365184,1.0,head
h_p0_cp30,66.18845335284772,1.0,head
h_p0_cp31,64.05554957393603,1.0,head
h_p0_cp32,66.44083526948363,1.0,head
h_p0_cp33,64.17979469502603,1.0,head
h_p0_cp34,66.70709264249358,1.0,head
h_p0_cp35,64.3082851435261,1.0,head
h_p0_cp36,66.98750809433594,1.0,head
h_p0_cp37,64.44012519840622,1.0,head
h_p0_cp38,67.28236049753883,1.0,head
h_p0_cp39,64.57019653816359,1.0,head
h_p0_cp40,67.59189803275373,1.0,head
h_p0_cp41,64.70267178036619,1.0,head
h_p0_cp42,67.9162966195818,1.0,head
h_p0_cp43,64.83748760444462,1.0,head
h_p0_cp44,68.25561919575712,1.0,head
h_p0_cp45,64.97391792235172,1.0,head
h_p0_cp46,68.60984835198451,1.0,head
h_p0_cp47,65.11113435426725,1.0,head
h_p0_cp48,68.97916160259079,1.0,head
h_p0_cp49,65.24826494775235,1.0,head
h_p0_cp50,69.36447385849098,1.0,head
h_p0_cp51,65.38438419461036,1.0,head
h_p0_cp52,69.76684846958736,1.0,head
h_p0_cp53,65.5185022451042,1.0,head
h_p0_cp54,70.18713108846516,1.0,head
h_p0_cp55,65.64956742652103,1.0,head
h_p0_cp56,70.62571403899926,1.0,head
h_p0_cp57,65.77648175440214,1.0,head
h_p0_cp58,71.08213990764683,1.0,head
h_p0_cp59,65.89813123834818,1.0,head
h_p0_cp60,71.55424943365416,1.0,head
h_p0_cp61,66.01342920035209,1.0,head
h_p0_cp62,72.03648168376809,1.0,head
h_p0_cp63,66.12137812625078,1.0,head
h_p0_cp64,72.51681525722604,1.0,head
h_p0_cp65,66.2211285458435,1.0,head
h_p0_cp66,72.97209861549582,1.0,head
h_p0_cp67,66.31203657070641,1.0,head
h_p0_cp68,73.36338118702761,1.0,head
h_p0_cp69,66.39371029734389,1.0,head
h_p0_cp70,73.63886045070711,1.0,head
h_p0_cp71,66.46602339508529,1.0,head
h_p0_cp72,73.76220617750465,1.0,head
h_p0_cp73,66.52909725436803,1.0,head
h_p0_cp74,73.76948929319036,1.0,head
h_p0_cp75,66.58325850205271,1.0,head
h_p0_cp76,73.71232456667273,1.0,head
h_p0_cp77,66.62897725322999,1.0,head
h_p0_cp78,73.62960603679794,1.0,head
h_p0_cp79,66.66679979339601,1.0,head
h_p0_cp80,63.90972615884287,1.0,head
h_p0_cp81,73.7998642652943,1.0,head
h_p0_cp82,63.894842066408444,1.0,head
h_p0_cp83,73.96006446199202,1.0,head
h_p0_cp84,63.877997704745205,1.0,head
h_p0_cp85,74.07162914697301,1.0,head
h_p0_cp86,63.85925806336505,1.0,head
h_p0_cp87,74.08336761127582,1.0,head
h_p0_cp88,63.83869688033805,1.0,head
h_p0_cp89,73.95988539628505,1.0,head
h_p0_cp90,63.81639645577082,1.0,head
h_p0_cp91,73.73868183834244,1.0,head
