well_id,r,c,sp,q
0,65,52,0,0.0
1,32,48,0,2631.86962
2,35,56,0,2358.76642
3,40,36,0,1149.24144
4,59,34,0,513.723324
5,46,47,0,0.0
6,46,52,0,2510.00294
7,38,31,0,0.0
8,52,39,0,0.0
9,37,61,0,0.0
10,80,61,0,0.0
11,76,60,0,0.0
12,80,60,0,906.548582
13,65,59,0,2331.14358
14,62,47,0,2235.17014
15,61,43,0,0.0
16,77,51,0,0.0
17,59,49,0,2208.28516
18,40,48,0,0.0
19,81,57,0,959.269615
0,65,52,1,0.0
1,32,48,1,0.0
2,35,56,1,0.0
3,40,36,1,0.0
4,59,34,1,513.723324
5,46,47,1,1500.82714
6,46,52,1,2510.00294
7,38,31,1,1675.81552
8,52,39,1,0.0
9,37,61,1,0.0
10,80,61,1,1345.89726
11,76,60,1,0.0
12,80,60,1,0.0
13,65,59,1,0.0
14,62,47,1,0.0
15,61,43,1,1705.75946
16,77,51,1,0.0
17,59,49,1,0.0
18,40,48,1,0.0
19,81,57,1,959.269615
0,65,52,2,2149.00424
1,32,48,2,0.0
2,35,56,2,0.0
3,40,36,2,1149.24144
4,59,34,2,0.0
5,46,47,2,1500.82714
6,46,52,2,2510.00294
7,38,31,2,1675.81552
8,52,39,2,1730.52909
9,37,61,2,0.0
10,80,61,2,1345.89726
11,76,60,2,0.0
12,80,60,2,906.548582
13,65,59,2,2331.14358
14,62,47,2,2235.17014
15,61,43,2,0.0
16,77,51,2,0.0
17,59,49,2,0.0
18,40,48,2,0.0
19,81,57,2,0.0
0,65,52,3,2149.00424
1,32,48,3,2631.86962
2,35,56,3,0.0
3,40,36,3,1149.24144
4,59,34,3,513.723324
5,46,47,3,1500.82714
6,46,52,3,2510.00294
7,38,31,3,0.0
8,52,39,3,0.0
9,37,61,3,1102.64721
10,80,61,3,0.0
11,76,60,3,782.744673
12,80,60,3,0.0
13,65,59,3,0.0
14,62,47,3,2235.17014
15,61,43,3,1705.75946
16,77,51,3,0.0
17,59,49,3,2208.28516
18,40,48,3,0.0
19,81,57,3,0.0
0,65,52,4,0.0
1,32,48,4,2631.86962
2,35,56,4,0.0
3,40,36,4,0.0
4,59,34,4,513.723324
5,46,47,4,1500.82714
6,46,52,4,0.0
7,38,31,4,0.0
8,52,39,4,1730.52909
9,37,61,4,0.0
10,80,61,4,0.0
11,76,60,4,782.744673
12,80,60,4,906.548582
13,65,59,4,2331.14358
14,62,47,4,0.0
15,61,43,4,0.0
16,77,51,4,2687.59836
17,59,49,4,0.0
18,40,48,4,0.0
19,81,57,4,959.269615
0,65,52,5,0.0
1,32,48,5,0.0
2,35,56,5,0.0
3,40,36,5,1149.24144
4,59,34,5,0.0
5,46,47,5,1500.82714
6,46,52,5,2510.00294
7,38,31,5,1675.81552
8,52,39,5,0.0
9,37,61,5,1102.64721
10,80,61,5,0.0
11,76,60,5,0.0
12,80,60,5,906.548582
13,65,59,5,2331.14358
14,62,47,5,2235.17014
15,61,43,5,0.0
16,77,51,5,0.0
17,59,49,5,2208.28516
18,40,48,5,313.217163
19,81,57,5,959.269615
0,65,52,6,0.0
1,32,48,6,0.0
2,35,56,6,2358.76642
3,40,36,6,1149.24144
4,59,34,6,0.0
5,46,47,6,1500.82714
6,46,52,6,2510.00294
7,38,31,6,0.0
8,52,39,6,0.0
9,37,61,6,0.0
10,80,61,6,0.0
11,76,60,6,0.0
12,80,60,6,906.548582
13,65,59,6,2331.14358
14,62,47,6,0.0
15,61,43,6,1705.75946
16,77,51,6,0.0
17,59,49,6,2208.28516
18,40,48,6,313.217163
19,81,57,6,0.0
0,65,52,7,0.0
1,32,48,7,2631.86962
2,35,56,7,2358.76642
3,40,36,7,0.0
4,59,34,7,513.723324
5,46,47,7,0.0
6,46,52,7,0.0
7,38,31,7,0.0
8,52,39,7,1730.52909
9,37,61,7,1102.64721
10,80,61,7,0.0
11,76,60,7,782.744673
12,80,60,7,906.548582
13,65,59,7,2331.14358
14,62,47,7,0.0
15,61,43,7,1705.75946
16,77,51,7,0.0
17,59,49,7,2208.28516
18,40,48,7,0.0
19,81,57,7,0.0
0,65,52,8,2149.00424
1,32,48,8,2631.86962
2,35,56,8,2358.76642
3,40,36,8,1149.24144
4,59,34,8,0.0
5,46,47,8,1500.82714
6,46,52,8,2510.00294
7,38,31,8,1675.81552
8,52,39,8,1730.52909
9,37,61,8,0.0
10,80,61,8,1345.89726
11,76,60,8,0.0
12,80,60,8,0.0
13,65,59,8,2331.14358
