r,c,sp,qref,a
72,58,0,685.9061949096155,1.0
70,32,0,685.9061949096155,1.0
41,36,0,0.0,0.0
84,42,0,0.0,0.0
76,61,0,0.0,0.0
72,45,0,0.0,0.0
37,35,0,0.0,0.0
34,60,0,0.0,0.0
66,39,0,0.0,0.0
58,52,0,685.9061949096155,1.0
54,31,0,0.0,0.0
34,54,0,685.9061949096155,1.0
55,37,0,0.0,0.0
77,52,0,0.0,0.0
35,37,0,0.0,0.0
71,31,0,685.9061949096155,1.0
73,59,0,685.9061949096155,1.0
54,41,0,685.9061949096155,1.0
68,55,0,0.0,0.0
59,40,0,685.9061949096155,1.0
72,58,1,0.0,0.0
70,32,1,0.0,0.0
41,36,1,685.9061949096155,1.0
84,42,1,685.9061949096155,1.0
76,61,1,685.9061949096155,1.0
72,45,1,685.9061949096155,1.0
37,35,1,0.0,0.0
34,60,1,685.9061949096155,1.0
66,39,1,0.0,0.0
58,52,1,685.9061949096155,1.0
54,31,1,0.0,0.0
34,54,1,685.9061949096155,1.0
55,37,1,685.9061949096155,1.0
77,52,1,685.9061949096155,1.0
35,37,1,685.9061949096155,1.0
71,31,1,0.0,0.0
73,59,1,685.9061949096155,1.0
54,41,1,685.9061949096155,1.0
68,55,1,0.0,0.0
59,40,1,0.0,0.0
72,58,2,0.0,0.0
70,32,2,685.9061949096155,1.0
41,36,2,685.9061949096155,1.0
84,42,2,0.0,0.0
76,61,2,0.0,0.0
72,45,2,0.0,0.0
37,35,2,0.0,0.0
34,60,2,685.9061949096155,1.0
66,39,2,685.9061949096155,1.0
58,52,2,685.9061949096155,1.0
54,31,2,685.9061949096155,1.0
34,54,2,685.9061949096155,1.0
55,37,2,0.0,0.0
77,52,2,0.0,0.0
35,37,2,0.0,0.0
71,31,2,685.9061949096155,1.0
73,59,2,0.0,0.0
54,41,2,0.0,0.0
68,55,2,0.0,0.0
59,40,2,0.0,0.0
72,58,3,685.9061949096155,1.0
70,32,3,685.9061949096155,1.0
41,36,3,0.0,0.0
84,42,3,0.0,0.0
76,61,3,0.0,0.0
72,45,3,0.0,0.0
37,35,3,685.9061949096155,1.0
34,60,3,0.0,0.0
66,39,3,685.9061949096155,1.0
58,52,3,685.9061949096155,1.0
54,31,3,0.0,0.0
34,54,3,685.9061949096155,1.0
55,37,3,685.9061949096155,1.0
77,52,3,685.9061949096155,1.0
35,37,3,685.9061949096155,1.0
71,31,3,685.9061949096155,1.0
73,59,3,0.0,0.0
54,41,3,0.0,0.0
68,55,3,685.9061949096155,1.0
59,40,3,0.0,0.0
72,58,4,0.0,0.0
70,32,4,685.9061949096155,1.0
41,36,4,685.9061949096155,1.0
84,42,4,0.0,0.0
76,61,4,685.9061949096155,1.0
72,45,4,0.0,0.0
37,35,4,685.9061949096155,1.0
34,60,4,0.0,0.0
66,39,4,0.0,0.0
58,52,4,685.9061949096155,1.0
54,31,4,0.0,0.0
34,54,4,685.9061949096155,1.0
55,37,4,685.9061949096155,1.0
