r,c
25,25
90,25
25,26
90,26
25,27
90,27
25,28
90,28
25,29
90,29
25,30
90,30
25,31
90,31
25,32
90,32
25,33
90,33
25,34
90,34
25,35
90,35
25,36
90,36
25,37
90,37
25,38
90,38
25,39
90,39
25,40
90,40
25,41
90,41
25,42
90,42
25,43
90,43
25,44
90,44
25,45
90,45
25,46
90,46
25,47
90,47
25,48
90,48
25,49
90,49
25,50
90,50
25,51
90,51
25,52
90,52
25,53
90,53
25,54
90,54
25,55
90,55
25,56
90,56
25,57
90,57
25,58
90,58
25,59
90,59
25,60
90,60
25,61
90,61
25,62
90,62
25,63
90,63
25,64
90,64
25,65
90,65
25,66
90,66
26,25
26,66
27,25
27,66
28,25
28,66
29,25
29,66
30,25
30,66
31,25
31,66
32,25
32,66
33,25
33,66
34,25
34,66
35,25
35,66
36,25
36,66
37,25
37,66
38,25
38,66
39,25
39,66
40,25
40,66
41,25
41,66
42,25
42,66
43,25
43,66
44,25
44,66
45,25
45,66
46,25
46,66
47,25
47,66
48,25
48,66
49,25
49,66
50,25
50,66
51,25
51,66
52,25
52,66
53,25
53,66
54,25
54,66
55,25
55,66
56,25
56,66
57,25
57,66
58,25
58,66
59,25
59,66
60,25
60,66
61,25
61,66
62,25
62,66
63,25
63,66
64,25
64,66
65,25
65,66
66,25
66,66
67,25
67,66
68,25
68,66
69,25
69,66
70,25
70,66
71,25
71,66
72,25
72,66
73,25
73,66
74,25
74,66
75,25
75,66
76,25
76,66
77,25
77,66
78,25
78,66
79,25
79,66
80,25
80,66
81,25
81,66
82,25
82,66
83,25
83,66
84,25
84,66
85,25
85,66
86,25
86,66
87,25
87,66
88,25
88,66
89,25
89,66
