parnme,r,c,sp
a_r:72_c:58_sp:0,72,58,0
a_r:70_c:32_sp:0,70,32,0
a_r:41_c:36_sp:0,41,36,0
a_r:84_c:42_sp:0,84,42,0
a_r:76_c:61_sp:0,76,61,0
a_r:72_c:45_sp:0,72,45,0
a_r:37_c:35_sp:0,37,35,0
a_r:34_c:60_sp:0,34,60,0
a_r:66_c:39_sp:0,66,39,0
a_r:58_c:52_sp:0,58,52,0
a_r:54_c:31_sp:0,54,31,0
a_r:34_c:54_sp:0,34,54,0
a_r:55_c:37_sp:0,55,37,0
a_r:77_c:52_sp:0,77,52,0
a_r:35_c:37_sp:0,35,37,0
a_r:71_c:31_sp:0,71,31,0
a_r:73_c:59_sp:0,73,59,0
a_r:54_c:41_sp:0,54,41,0
a_r:68_c:55_sp:0,68,55,0
a_r:59_c:40_sp:0,59,40,0
a_r:72_c:58_sp:1,72,58,1
a_r:70_c:32_sp:1,70,32,1
a_r:41_c:36_sp:1,41,36,1
a_r:84_c:42_sp:1,84,42,1
a_r:76_c:61_sp:1,76,61,1
a_r:72_c:45_sp:1,72,45,1
a_r:37_c:35_sp:1,37,35,1
a_r:34_c:60_sp:1,34,60,1
a_r:66_c:39_sp:1,66,39,1
a_r:58_c:52_sp:1,58,52,1
a_r:54_c:31_sp:1,54,31,1
a_r:34_c:54_sp:1,34,54,1
a_r:55_c:37_sp:1,55,37,1
a_r:77_c:52_sp:1,77,52,1
a_r:35_c:37_sp:1,35,37,1
a_r:71_c:31_sp:1,71,31,1
a_r:73_c:59_sp:1,73,59,1
a_r:54_c:41_sp:1,54,41,1
a_r:68_c:55_sp:1,68,55,1
a_r:59_c:40_sp:1,59,40,1
a_r:72_c:58_sp:2,72,58,2
a_r:70_c:32_sp:2,70,32,2
a_r:41_c:36_sp:2,41,36,2
a_r:84_c:42_sp:2,84,42,2
a_r:76_c:61_sp:2,76,61,2
a_r:72_c:45_sp:2,72,45,2
a_r:37_c:35_sp:2,37,35,2
a_r:34_c:60_sp:2,34,60,2
a_r:66_c:39_sp:2,66,39,2
a_r:58_c:52_sp:2,58,52,2
a_r:54_c:31_sp:2,54,31,2
a_r:34_c:54_sp:2,34,54,2
a_r:55_c:37_sp:2,55,37,2
a_r:77_c:52_sp:2,77,52,2
a_r:35_c:37_sp:2,35,37,2
a_r:71_c:31_sp:2,71,31,2
a_r:73_c:59_sp:2,73,59,2
a_r:54_c:41_sp:2,54,41,2
a_r:68_c:55_sp:2,68,55,2
a_r:59_c:40_sp:2,59,40,2
a_r:72_c:58_sp:3,72,58,3
a_r:70_c:32_sp:3,70,32,3
a_r:41_c:36_sp:3,41,36,3
a_r:84_c:42_sp:3,84,42,3
a_r:76_c:61_sp:3,76,61,3
a_r:72_c:45_sp:3,72,45,3
a_r:37_c:35_sp:3,37,35,3
a_r:34_c:60_sp:3,34,60,3
a_r:66_c:39_sp:3,66,39,3
a_r:58_c:52_sp:3,58,52,3
a_r:54_c:31_sp:3,54,31,3
a_r:34_c:54_sp:3,34,54,3
a_r:55_c:37_sp:3,55,37,3
a_r:77_c:52_sp:3,77,52,3
a_r:35_c:37_sp:3,35,37,3
a_r:71_c:31_sp:3,71,31,3
a_r:73_c:59_sp:3,73,59,3
a_r:54_c:41_sp:3,54,41,3
a_r:68_c:55_sp:3,68,55,3
a_r:59_c:40_sp:3,59,40,3
a_r:72_c:58_sp:4,72,58,4
a_r:70_c:32_sp:4,70,32,4
a_r:41_c:36_sp:4,41,36,4
a_r:84_c:42_sp:4,84,42,4
a_r:76_c:61_sp:4,76,61,4
a_r:72_c:45_sp:4,72,45,4
a_r:37_c:35_sp:4,37,35,4
a_r:34_c:60_sp:4,34,60,4
a_r:66_c:39_sp:4,66,39,4
a_r:58_c:52_sp:4,58,52,4
a_r:54_c:31_sp:4,54,31,4
a_r:34_c:54_sp:4,34,54,4
a_r:55_c:37_sp:4,55,37,4
a_r:77_c:52_sp:4,77,52,4
a_r:35_c:37_sp:4,35,37,4
a_r:71_c:31_sp:4,71,31,4
a_r:73_c:59_sp:4,73,59,4
a_r:54_c:41_sp:4,54,41,4
a_r:68_c:55_sp:4,68,55,4
a_r:59_c:40_sp:4,59,40,4
a_r:72_c:58_sp:5,72,58,5
a_r:70_c:32_sp:5,70,32,5
a_r:41_c:36_sp:5,41,36,5
a_r:84_c:42_sp:5,84,42,5
a_r:76_c:61_sp:5,76,61,5
a_r:72_c:45_sp:5,72,45,5
a_r:37_c:35_sp:5,37,35,5
a_r:34_c:60_sp:5,34,60,5
a_r:66_c:39_sp:5,66,39,5
a_r:58_c:52_sp:5,58,52,5
a_r:54_c:31_sp:5,54,31,5
a_r:34_c:54_sp:5,34,54,5
a_r:55_c:37_sp:5,55,37,5
a_r:77_c:52_sp:5,77,52,5
a_r:35_c:37_sp:5,35,37,5
a_r:71_c:31_sp:5,71,31,5
a_r:73_c:59_sp:5,73,59,5
a_r:54_c:41_sp:5,54,41,5
a_r:68_c:55_sp:5,68,55,5
a_r:59_c:40_sp:5,59,40,5
a_r:72_c:58_sp:6,72,58,6
a_r:70_c:32_sp:6,70,32,6
a_r:41_c:36_sp:6,41,36,6
a_r:84_c:42_sp:6,84,42,6
a_r:76_c:61_sp:6,76,61,6
a_r:72_c:45_sp:6,72,45,6
a_r:37_c:35_sp:6,37,35,6
a_r:34_c:60_sp:6,34,60,6
a_r:66_c:39_sp:6,66,39,6
