parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,c,inst,pname,pstyle,ptype,r,sp,usecol
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:22_c:11_sp:0,log,factor,1.0,1e-06,500.0,p_inst:0,1.0,0.0,1,11,0,p,m,gr,22,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:9_c:40_sp:0,log,factor,1.0,1e-06,500.0,p_inst:0,1.0,0.0,1,40,0,p,m,gr,9,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:17_c:43_sp:0,log,factor,1.0,1e-06,500.0,p_inst:0,1.0,0.0,1,43,0,p,m,gr,17,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:43_c:23_sp:0,log,factor,1.0,1e-06,500.0,p_inst:0,1.0,0.0,1,23,0,p,m,gr,43,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:33_c:31_sp:0,log,factor,1.0,1e-06,500.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,33,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:26_c:22_sp:0,log,factor,1.0,1e-06,500.0,p_inst:0,1.0,0.0,1,22,0,p,m,gr,26,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:37_c:37_sp:0,log,factor,1.0,1e-06,500.0,p_inst:0,1.0,0.0,1,37,0,p,m,gr,37,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:32_c:8_sp:0,log,factor,1.0,1e-06,500.0,p_inst:0,1.0,0.0,1,8,0,p,m,gr,32,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:9_c:28_sp:0,log,factor,1.0,1e-06,500.0,p_inst:0,1.0,0.0,1,28,0,p,m,gr,9,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:31_c:38_sp:0,log,factor,1.0,1e-06,500.0,p_inst:0,1.0,0.0,1,38,0,p,m,gr,31,0,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:22_c:11_sp:1,log,factor,1.0,1e-06,500.0,p_inst:0,1.0,0.0,1,11,0,p,m,gr,22,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:9_c:40_sp:1,log,factor,1.0,1e-06,500.0,p_inst:0,1.0,0.0,1,40,0,p,m,gr,9,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:17_c:43_sp:1,log,factor,1.0,1e-06,500.0,p_inst:0,1.0,0.0,1,43,0,p,m,gr,17,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:43_c:23_sp:1,log,factor,1.0,1e-06,500.0,p_inst:0,1.0,0.0,1,23,0,p,m,gr,43,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:33_c:31_sp:1,log,factor,1.0,1e-06,500.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,33,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:26_c:22_sp:1,log,factor,1.0,1e-06,500.0,p_inst:0,1.0,0.0,1,22,0,p,m,gr,26,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:37_c:37_sp:1,log,factor,1.0,1e-06,500.0,p_inst:0,1.0,0.0,1,37,0,p,m,gr,37,1,q
pname:p_inst:0_ptype:gr_usecol:q_pstyle:m_r:32_c:8_sp:1,log,factor,1.0,1e-06,500.0,p_inst:0,1.0,0.0,1,8,0,p,m,gr,32,1,q
