,r,c,sp,sidx,idx_strs,pargpq,parval1_q,q
0,22,11,0,"(22, 11, 0)",r:22_c:11_sp:0,p_inst:0,1.0,0.925728294144909424900902195076923817396163940429687500000000
1,9,40,0,"(9, 40, 0)",r:9_c:40_sp:0,p_inst:0,1.0,0.02805131273090699997596608739058865467086434364318847656250
2,17,43,0,"(17, 43, 0)",r:17_c:43_sp:0,p_inst:0,1.0,4.99999999999999943156581139191985130310058593750000000000e+02
3,43,23,0,"(43, 23, 0)",r:43_c:23_sp:0,p_inst:0,1.0,0.024219329954443008512399160281347576528787612915039062500000
4,33,31,0,"(33, 31, 0)",r:33_c:31_sp:0,p_inst:0,1.0,91.31757612239032084744394524022936820983886718750000000000000
5,26,22,0,"(26, 22, 0)",r:26_c:22_sp:0,p_inst:0,1.0,0.131953495424883493480905372052802704274654388427734375000000
6,37,37,0,"(37, 37, 0)",r:37_c:37_sp:0,p_inst:0,1.0,1.237735395030800544802218610129784792661666870117187500000000
7,32,8,0,"(32, 8, 0)",r:32_c:8_sp:0,p_inst:0,1.0,0.69941385414465462311284227325813844799995422363281250000000
8,9,28,0,"(9, 28, 0)",r:9_c:28_sp:0,p_inst:0,1.0,12.5786984515763418102096693473868072032928466796875000000000
9,31,38,0,"(31, 38, 0)",r:31_c:38_sp:0,p_inst:0,1.0,2.09185544282783936767761492903083819783205399289727210999e-06
10,22,11,1,"(22, 11, 1)",r:22_c:11_sp:1,p_inst:0,1.0,43.75503278839480003625794779509305953979492187500000000000000
11,9,40,1,"(9, 40, 1)",r:9_c:40_sp:1,p_inst:0,1.0,0.56546166470589109831479390777531079947948455810546875000000
12,17,43,1,"(17, 43, 1)",r:17_c:43_sp:1,p_inst:0,1.0,42.55533112598764944323193049058318138122558593750000000000000
13,43,23,1,"(43, 23, 1)",r:43_c:23_sp:1,p_inst:0,1.0,7.97310267756169178954284149085651733912527561187744140625e-03
14,33,31,1,"(33, 31, 1)",r:33_c:31_sp:1,p_inst:0,1.0,4.78541977551094419141008984297513961791992187500000000000e+02
15,26,22,1,"(26, 22, 1)",r:26_c:22_sp:1,p_inst:0,1.0,4.287013556224375854242225614143535494804382324218750000000000
16,37,37,1,"(37, 37, 1)",r:37_c:37_sp:1,p_inst:0,1.0,0.730107740864743504083378411451121792197227478027343750000000
17,32,8,1,"(32, 8, 1)",r:32_c:8_sp:1,p_inst:0,1.0,0.19937803110623397717660054695443250238895416259765625000000
18,9,28,1,"(9, 28, 1)",r:9_c:28_sp:1,p_inst:0,1.0,43.2544469097429811199617688544094562530517578125000000000000
19,31,38,1,"(31, 38, 1)",r:31_c:38_sp:1,p_inst:0,1.0,0.032852542182719338126339891914540203288197517395019531250000
20,22,11,2,"(22, 11, 2)",r:22_c:11_sp:2,p_inst:0,1.0,0.209104900899219153798114234632521402090787887573242187500000
21,9,40,2,"(9, 40, 2)",r:9_c:40_sp:2,p_inst:0,1.0,1.3249214445193712208492797799408435821533203125000000000e+02
22,17,43,2,"(17, 43, 2)",r:17_c:43_sp:2,p_inst:0,1.0,4.71173600716940298941542986099761947116348892450332641602e-04
23,43,23,2,"(43, 23, 2)",r:43_c:23_sp:2,p_inst:0,1.0,9.42992469094050577479299013461400136293377727270126342773e-05
