well_id,r,c,sp,q
0,22,11,0,1.1919602076703688
1,9,40,0,0.7601097503647767
2,17,43,0,0.004930582179590381
3,43,23,0,0.020718134360878406
4,33,31,0,0.007894795824302551
5,26,22,0,0.03736562892448291
6,37,37,0,0.04824642287503108
7,32,8,0,0.0002701393971175103
8,9,28,0,198.85360209409555
9,31,38,0,0.035820359827139304
0,22,11,1,0.12268102148459621
1,9,40,1,0.6303715728919537
2,17,43,1,0.027650167785583504
3,43,23,1,51.74594889320214
4,33,31,1,378.182748
5,26,22,1,0.47878994753592996
6,37,37,1,3.2016790156849915
7,32,8,1,1.4426814187640038
8,9,28,1,4.134484756426297
9,31,38,1,8.842874443606971e-05
0,22,11,2,0.06470413751341648
1,9,40,2,0.006214668809077306
2,17,43,2,0.0034365715098953146
3,43,23,2,0.09461368768552701
4,33,31,2,0.011971339266326857
5,26,22,2,0.2812379736674042
6,37,37,2,2.802271576972888e-05
7,32,8,2,2.1461907719291764
8,9,28,2,226.33782866651674
9,31,38,2,76.05588715492911
0,22,11,3,1.6688273571385488
1,9,40,3,386.33810800000003
2,17,43,3,227.9894292417024
3,43,23,3,11.056189799991616
4,33,31,3,59.119186125205275
5,26,22,3,0.016806940300614814
6,37,37,3,0.04587393883129897
7,32,8,3,0.011529071380035371
8,9,28,3,0.0009587017721069393
9,31,38,3,0.44882944568986344
0,22,11,4,0.00397633861623044
1,9,40,4,595.05471
2,17,43,4,0.0385316044907155
3,43,23,4,0.17623493133623835
4,33,31,4,0.1525477223125561
5,26,22,4,0.2185371813048069
6,37,37,4,0.24243049508387185
7,32,8,4,0.013278849854793107
8,9,28,4,322.5880433299431
9,31,38,4,0.5460219346443854
0,22,11,5,0.00021242844460970468
1,9,40,5,4.5187008186189695e-05
2,17,43,5,0.5852951248251277
3,43,23,5,0.2127813552735235
4,33,31,5,18.603332616816633
5,26,22,5,500.9121405440372
6,37,37,5,32.65249333000229
7,32,8,5,260.83976006105905
8,9,28,5,69.80739313753156
9,31,38,5,12.862249814838815
0,22,11,6,77.36201042224026
1,9,40,6,0.03928358196728175
2,17,43,6,0.002456610522949847
3,43,23,6,4.740362715111058
4,33,31,6,0.0012690290648937968
5,26,22,6,1.951080439420355
6,37,37,6,0.6210933005273658
7,32,8,6,7.074542273447022
8,9,28,6,2.5116672899915718e-05
9,31,38,6,13.89875579167536
0,22,11,7,1.720802519188895
1,9,40,7,0.6349815003302304
2,17,43,7,281.3854005
3,43,23,7,0.004770636544703192
4,33,31,7,355.684798
5,26,22,7,3.4255207426902916
6,37,37,7,7.028670634941888
7,32,8,7,9.672596666074103e-06
8,9,28,7,0.018937069849710227
9,31,38,7,46.66973013800842
0,22,11,8,4.796225593737213e-06
1,9,40,8,0.00018953795745489405
2,17,43,8,6.376981510000001e-07
3,43,23,8,0.5961938005793039
4,33,31,8,5.229781396979428
5,26,22,8,0.008054216600371443
6,37,37,8,0.0023078308069482733
7,32,8,8,16.045398364517578
8,9,28,8,732.43775
9,31,38,8,0.39916807066316384
0,22,11,9,2.777108062358839
1,9,40,9,722.981895
2,17,43,9,0.0002958311751908787
3,43,23,9,1.9287529848434704
4,33,31,9,0.010979034571688622
5,26,22,9,0.8808291036033746
6,37,37,9,742.513605
7,32,8,9,0.17448274499006933
8,9,28,9,0.033588738228574694
9,31,38,9,0.6014525979807829
