SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155
0,0.4349474028793824,0.2861583290398758,0.4380411550749107,0.2860738654024198,0.44155292064225266,0.2859998298246814,0.44542754333739143,0.2858882217031129,0.4495916585756492,0.2857392472418683,0.4539630614352962,0.2855452163229032,0.4584576864620038,0.28530195549967524,0.4630089283394526,0.2850002162998628,0.4675814022238804,0.2846349587016721,0.4721341622103894,0.2842013875731969,0.4764969082691803,0.28369401602466304,0.48012863599211286,0.2831099531212399,0.4818940119888674,0.28244494355927185,0.4805181431409642,0.28169958059621814,0.47744986039361226,0.28087235951516193,0.4739957246214211,0.2799644955842958,0.4708608798238642,0.27898047659013175,0.4683479103218541,0.2779216285564704,0.4665676122278228,0.2767958606044795,0.46554861518561136,0.27560880724794845,0.4652900703975076,0.27436874831651753,0.4657754934495326,0.2730837619422478,0.4669779430240738,0.2717637780264931,0.4688448593435679,0.27041707556005024,0.47127440764938716,0.2690548725947052,0.47407984378748025,0.26768729257107793,0.4769305303947961,0.2663232282980421,0.4793079730394866,0.2649730129072464,0.480562567103205,0.2636460447735253,0.4802970048908796,0.2623516944532201,0.4791058185661835,0.26109804917439194,0.4778138831649854,0.2598933191030392,0.47709572478474116,0.25874494097440714,0.4774277740390829,0.25766029361043746,0.4791066760436868,0.2566445427599781,0.4821586158913169,0.25570492711934434,0.4858755939748023,0.25484518431266356,0.48754715017417644,0.2540702540034452,0.48117741781445256,0.25337452525537685,0.4728223958436987,0.25282085902725243,0.4363517235807872,0.47688980834786465,0.4378478855602156,0.4781245434118125,0.4393661197263128,0.47043001307870735,0.44081950030383843,0.4597748668806412,0.44211352677578053,0.4488650425475298,0.4431540280256811,0.43845096838609,0.443871375057918,0.4286076635693954,0.44425048392563005,0.41925120722895404,0.4443375831907482,0.4102852563577435,0.44421539705014673,0.4016382544784879,0.44394242806187656,0.39326509487173367,0.4434953759210509,0.3851377312314454,0.442698429758957,0.37724359683914954,0.4411637416989409,0.36957394625995926,0.4383166260376097,0.3621255758333257,0.4337087794168003,0.35489865094241874,0.4276405613823502,0.3478901986276366,0.4205528745459851,0.34110226493918683,0.41275041523545486,0.33453441031444847,0.40443316611770813,0.3281874666100808,0.39578886943214736,0.32206208704725026,0.38700881698528933,0.3161601602596992,0.3782598624855636,0.31048232845548984,0.36967132601183555,0.3050320881169625,0.3613369956161507,0.299812213871363,0.3533186638319211,0.2948251572492803,0.3456572321604822,0.29007453379906867,0.33837949602198286,0.2855641933385745,0.33150238496612816,0.2812981481691009,0.32503789029188446,0.277279653818563,0.31899324479642555,0.27351250476302374,0.31337368467546234,0.2700001288364275,0.30818367119902534,0.2667462454833131,0.3034248724797877,0.26375274038905383,0.2990984660215362,0.2610238947409661,0.29520723585203634,0.25856084850433014,0.2917499474122082,0.25636624343718817,0.2887200447949206,0.25443252318384657
1,0.7106891744446565,0.581825780869956,0.7129320707550901,0.581845674486577,0.7156384093269288,0.581845236642762,0.7186487125449335,0.5818152840794539,0.7219636568010638,0.5817478413362774,0.7255569064406915,0.5816307418755291,0.7294052689188995,0.581454040124785,0.7334873213868532,0.5812057854444312,0.7377773493657285,0.5808756088128939,0.7422067620557037,0.580451149082589,0.7465514241876481,0.5799238238178257,0.7502361648838964,0.5792829991999127,0.752137536619154,0.5785236530455966,0.751016302125014,0.5776382642435838,0.7481671058546097,0.5766254181076724,0.7447703983512729,0.5754853774881787,0.741452315548158,0.5742186790881001,0.7384766297724469,0.5728342857481038,0.7359296944254434,0.5713369698374,0.7338231589418429,0.5697388701093002,0.7321390779289926,0.568050974635367,0.7308478806108722,0.5662877740255532,0.7299059702466517,0.5644629909872101,0.7292538401528811,0.5625926908494387,0.7288004435349128,0.5606917165153162,0.7284047428617597,0.5587753701862602,0.7278544065461058,0.5568591334151312,0.7268518822426661,0.5549578154718424,0.7250568917220075,0.5530851056547403,0.7222867251572145,0.5512548014704775,0.7188684284500815,0.5494795806672774,0.7152524911921698,0.5477718031922942,0.7118074312433389,0.5461423599104335,0.7087908497949338,0.5446013289410937,0.7063646383369582,0.5431585421681804,0.7045787234655948,0.5418219640446543,0.703230182567542,0.5405987062226856,0.7014749024208362,0.5394960190715112,0.6973796838436819,0.5385188339217117,0.6931862604029515,0.537671189514499,0.7111809898534116,0.6936685062640094,0.7117995563359528,0.6933558507766873,0.7123709124049044,0.6899844621849376,0.7128832243585421,0.6854782499866199,0.7133000086241749,0.680686216106566,0.7135913156379721,0.6758452658599159,0.7137371049207036,0.6709828656747872,0.7137369153014067,0.6660802399284801,0.713613025222461,0.6611173823600776,0.7133925507088859,0.6560879515326201,0.7130850472410468,0.6509940351841705,0.7126493674624965,0.6458481016349173,0.7119564157380517,0.6406631343804189,0.7107543303256051,0.6354568131340472,0.7086845835778584,0.6302462603098651,0.7054575262667765,0.6250459415518422,0.7012205876556432,0.6198739594829472,0.6962014099823137,0.614741972192843,0.6905540716057047,0.609664661275017,0.6843849283831052,0.6046544367737356,0.6778204664538978,0.5997240932879997,0.6709982045805163,0.594885380207811,0.6640513820137476,0.5901510472323035,0.6570888024256885,0.5855326494153194,0.650194196854107,0.5810421056726933,0.6434320256052323,0.5766910890489378,0.636851395371541,0.5724918398065093,0.6304910674540505,0.5684550479796349,0.6243849873686879,0.5645922529041529,0.6185592310609699,0.5609142240662961,0.6130388825756354,0.5574318196746432,0.6078442855327805,0.5541548099328428,0.602993057464957,0.5510924931781852,0.5985004923373938,0.5482542010799989,0.5943813356270155,0.5456476387929623,0.5906452763221741,0.543279806262261,0.5873025137513254,0.5411579412275069,0.5843607623144531,0.5392870251910548
2,1.0356565576623673,0.8775568311468569,1.037990001343382,0.8771672408666469,1.0406354362085475,0.8767943240665383,1.0435498065031368,0.8766109159470665,1.0466792122780588,0.876288241365956,1.0499642455847693,0.8758958969587138,1.053344559093821,0.8754301293183732,1.0567728267291172,0.8748862847310575,1.060221353502782,0.8742588822225796,1.0636604120399034,0.8735445542822432,1.0669741592273323,0.8727393205795931,1.0698056368238946,0.8718416457241155,1.071408602448967,0.8708500836804332,1.0709481255360291,0.8697657506099989,1.0693805365506859,0.8685900945799385,1.0675716023313164,0.867325677354621,1.0659924960682474,0.8659779136660536,1.064850150260649,0.8645513258483756,1.0642237713359435,0.8630534641658423,1.0641390890007547,0.8614910269574103,1.0646003982963916,0.8598742945621742,1.0656027748862258,0.8582113767372246,1.0671291375257783,0.8565132534238644,1.0691400848939787,0.8547905966110828,1.071553929684996,0.8530546286035923,1.0742098047653221,0.8513167635365972,1.0768217043564863,0.849588916799417,1.0789373209017374,0.8478813141927016,1.0799902590220545,0.8462055154853333,1.0796349649467563,0.8445713841723201,1.078398410736987,0.8429890780356487,1.0770093418440796,0.8414673540857223,1.0760647800171843,0.8400149642348049,1.0759869834186508,0.8386400256183902,1.0770427418633215,0.8373488447517132,1.0792648319436007,0.8361432362119811,1.0820610524208556,0.8349653745322906,1.08314849478363,0.8340766395245588,1.0774744406085,0.8333634744606574,1.070128173231903,0.8327776962535247,1.0366998088158739,1.073039630637791,1.0378225289137601,1.0734352505462676,1.038978114513757,1.0661952749294765,1.0401096793218194,1.056353439840473,1.0411552694380868,1.0461983129532175,1.0420529499671554,1.0363639689578337,1.042757879330052,1.0269209318048662,1.0432592736179542,1.0178006472595325,1.0435862854638478,1.0089280244236627,1.0437863695658507,1.0002484669769864,1.0438835600173069,0.991730203038323,1.0438299018780324,0.9833572243419588,1.0434465614774573,0.9751246170538184,1.04237317332266,0.9670333854292449,1.0400841897458863,0.9590873060160248,1.0361504308284526,0.9512930458109512,1.0307675875186144,0.9436568687209995,1.0242424637151564,0.9361861582336684,1.0167765678940388,0.9288876905272851,1.008518862005007,0.9217698249959743,0.9996670050576556,0.9148394562662077,0.990456458572933,0.9081051053044134,0.9811080394081385,0.9015752843803688,0.971803158144121,0.8952588891572857,0.9626744822689846,0.8891654532714169,0.9538148136916166,0.8833052915757611,0.945287296659709,0.877687368530973,0.9371351630008962,0.8723224601770107,0.9293875832969455,0.8672198576216461,0.9220670775174562,0.8623893310222988,0.915189660820499,0.8578392740895606,0.9087687470242924,0.8535779948595541,0.902814720202818,0.849613073452513,0.8973363429376037,0.8459502333229411,0.8923392588331203,0.8425929635149481,0.8878261763063617,0.8394714305323951,0.8837238045804516,0.8368613975479355,0.8803584095162978,0.8346471750056494
3,1.4906837001542903,1.2888104140952672,1.4935509261569075,1.2885413142546622,1.4967566540681796,1.288316661593897,1.5002203587508074,1.2880088879219356,1.5038432223307125,1.2876273334709465,1.5075109873509251,1.2871624684592387,1.5111091516225263,1.2866040617979544,1.5145458843081396,1.2859435730608948,1.517775391777638,1.285171576028511,1.5207822256884018,1.284279979726846,1.5234773278749543,1.2832605028143618,1.5255132776579476,1.282107391097102,1.5261059919469675,1.2808149730508174,1.5243654897124328,1.2793806905130845,1.5213824972371928,1.2778030148984705,1.5181413207564591,1.2760834742144702,1.5151774199224386,1.274225795448638,1.512731348919984,1.2722357407517038,1.5108991583961584,1.270121994478603,1.5097160912839067,1.2678942793290964,1.5091944752022306,1.265564917050512,1.509336340167792,1.2631476962308121,1.5101336914773587,1.2606580190164776,1.5115560135837023,1.258112620942713,1.5135258018983129,1.2555294752201012,1.515879212713854,1.25292716108011,1.5183062164127157,1.2503248626784185,1.5202994775854057,1.2477422034245746,1.5212061657672038,1.2451978416718967,1.5206217091270253,1.2427100484732696,1.519149827530614,1.2402960936568064,1.5176293679027009,1.2379718826434956,1.5167473283431057,1.2357523551296423,1.516988639675329,1.2336501840086072,1.5186585555762588,1.2316769541209305,1.5217781682303961,1.2298404984097795,1.5255922473484282,1.2280819955047195,1.5272268168258147,1.2266271852961281,1.5203354536326423,1.2254925282498679,1.5113061430771189,1.2245700953153182,1.492531774348902,1.515055883824508,1.494537178522767,1.5156726624817727,1.496616394625381,1.5067349891531578,1.4986671887822223,1.494569127772576,1.5005713219726935,1.4820551331209666,1.502210458458971,1.4699951660607513,1.50349257696945,1.4584810362786393,1.5043864917697085,1.447427473495837,1.5049355557773714,1.4367363176183345,1.5052206324579243,1.42633329859251,1.505296623817952,1.4161713219477596,1.5051167586748369,1.4062210895835139,1.5044517625947327,1.3964673294734473,1.50281542318814,1.3869008477089924,1.499498685083861,1.3775179936352753,1.4939352400171013,1.368317431558157,1.4864535665628362,1.3592990556838456,1.4775473777894823,1.3504649846349488,1.4675553566104438,1.3418175256649316,1.4567078324636415,1.333361573093989,1.445251481264523,1.3251031319028028,1.433450738473094,1.3170504249493022,1.4215477044679599,1.3092133979544762,1.409735336018921,1.3016038250911164,1.3981567405949455,1.2942345275070823,1.3869128291288602,1.2871194993848114,1.3760752775939142,1.2802736225922708,1.3656948551817043,1.2737114003209646,1.3558105781272705,1.2674475763754027,1.3464522410343494,1.2614966559863123,1.3376438548872238,1.2558726129485658,1.3294054226112049,1.250589293538638,1.3217525329951947,1.2456589809741603,1.3146986465303914,1.2410933852817907,1.3082545030763764,1.2369006902680317,1.3024298825901812,1.2330219534009648,1.297233094203904,1.229685526111859,1.2926517163701619,1.2269041540077357
4,1.7601430621185195,1.6099287049927766,1.761834590878102,1.6096080477917871,1.7638482218255451,1.6092148749211486,1.7660288925082308,1.6087427433060446,1.768352417408831,1.6081848117895716,1.7707719780651017,1.6075348215639584,1.7732419224900517,1.6067871036797396,1.7757269651901304,1.6059357796074942,1.7782056238837327,1.604976453298133,1.7806446625422936,1.60390522345591,1.78291370072764,1.6027200874568321,1.7846279236672233,1.6014188377754732,1.784997175410901,1.600001844155005,1.7831414153202223,1.5984701924309717,1.780050507589549,1.5968269279312304,1.776622594932696,1.5950763380847213,1.7733436910587974,1.5932247312221097,1.7704255002811342,1.5912790258553007,1.7679448527299078,1.5892486152966947,1.7659196189808068,1.58714357877311,1.7643419595859746,1.5849750403501144,1.7631894030933506,1.582755233978789,1.762424868351863,1.5804970998148835,1.7619894207194937,1.578213844999997,1.7617884710948908,1.5759197932599804,1.7616731344625154,1.573628910143826,1.7614160353107309,1.5713554707994049,1.7606979587999205,1.5691134723456575,1.7591532409558353,1.5669168637995137,1.756580817789359,1.5647790554043022,1.7533275880469574,1.5627127764014495,1.7498696548759383,1.5607301374057543,1.7465977436702844,1.5588424368056528,1.7437852454470972,1.557060282778493,1.7416039496443045,1.5553931126701932,1.7401025621118884,1.5538500368755228,1.7390496946188692,1.552438705563851,1.7374917687644782,1.551166247951177,1.7332913296421053,1.5500356074039092,1.7287108982345043,1.5490715527916978,1.7612547411108932,1.7292728339193795,1.7625784373261315,1.7287071768050393,1.7639549497166764,1.724730001064557,1.76535596418602,1.719469012315459,1.7667304084950137,1.713885438988732,1.7680287221148125,1.7082480989613555,1.7692151782725287,1.70259060127882,1.7702819490566077,1.6968930072123223,1.771252136556784,1.6911352784732547,1.7721596130696233,1.6853106569816338,1.7730104192470777,1.679422458892776,1.7737368537943459,1.673483233540383,1.7741399001112232,1.6675090172827844,1.7738359137696171,1.6615182892683265,1.7722756387846137,1.6555291411900157,1.7690063286732531,1.64955916147872,1.7642083577565832,1.6436241758989132,1.7581743276919928,1.6377395342926033,1.751092760216287,1.6319194637014867,1.743106847617832,1.6261770285204635,1.7344219349148466,1.620525585275546,1.7252893206963975,1.6149780098137558,1.7159491841771177,1.6095470325919805,1.7065980695477383,1.6042461461618562,1.697382448779678,1.59908855950278,1.6884054935284667,1.594087714309833,1.6797387761380242,1.589257030244468,1.6714322915064193,1.5846100810490849,1.6635215690829643,1.5801601840905737,1.6560330555660467,1.5759202701960682,1.6489865995859907,1.571902917106065,1.6423979998788614,1.5681201151171504,1.636279990048907,1.5645833369597937,1.6306429064205537,1.5613029856778073,1.6254955022613562,1.5582891839945665,1.620844894555801,1.5555505850528768,1.6166967271804822,1.5530952707936363,1.6130568747884706,1.550927069555054
5,2.1719121280603226,1.9777137090524197,2.175088965373719,1.977337714912162,2.178692562969899,1.9770875974098203,2.1826617561917026,1.976858866104319,2.1869214751580124,1.9765203637998456,2.19138503585163,1.9760954354949472,2.1959657303207316,1.9755736350058308,2.2005929034131477,1.9749437634388822,2.205222380964719,1.9741955167295009,2.209799258236489,1.9733187972665345,2.214118488513505,1.972304963597778,2.2175727667032787,1.971146549249173,2.21890742176918,1.969838220850545,2.216720559345948,1.9683761207062687,2.2125791641781207,1.9667596971554002,2.207902939874179,1.9649911496730326,2.2034533475044515,1.9630751695067554,2.1995592868119758,1.961020855729748,2.1963376685286278,1.958838568607268,2.193815703262261,1.9565421433951515,2.191985235658091,1.954146664649699,2.1908219704768492,1.9516691969480753,2.190285905976256,1.9491272001107782,2.1903103751809563,1.946539112025532,2.1907800732231237,1.9439232771146413,2.1914945792925176,1.9412983944724211,2.1921211571264596,1.9386829963573886,2.1921565048913276,1.9360954444872087,2.1909871885273375,1.9335535371775798,2.1882477053855753,1.931074583225353,2.1844973246882002,1.9286749120976483,2.1805102687010143,1.9263696818110083,2.17691592826442,1.9241725941794352,2.174151753185297,1.922095536623447,2.1724908691848333,1.920148142414952,2.1719909865102682,1.918334914048076,2.1721808995390997,1.9165645635373143,2.1711869210900807,1.9152122090645058,2.1648467958820286,1.9141186326953425,2.1573601569425938,1.913216953192895,2.1730592674538567,2.159467494078009,2.174243693265013,2.159413885331264,2.175388821575231,2.1529642804421085,2.1764043579748944,2.1442603357089127,2.1771891506704124,2.1351810212913436,2.177644532802966,2.1262455987166393,2.1776966994636022,2.117511357369245,2.1773260459693495,2.108926394581694,2.176578958914041,2.1004352848216126,2.1755391858662714,2.0920033483106746,2.1742783448570546,2.083615804759426,2.1728028957227874,2.075272164163177,2.171000488053647,2.0669798340382757,2.168594782957584,2.0587508895343807,2.165160599825508,2.05059901417555,2.1603289613797387,2.0425376413844627,2.1542139995859384,2.0345809070032557,2.147006899993836,2.026741260628964,2.138818027065075,2.019031579402506,2.1297425368036365,2.011464550010918,2.1199614227427688,2.0040530773766774,2.1097132704621404,1.9968102430492674,2.099235264943319,1.9897497293330124,2.0887255986774025,1.98288528432924,2.078335197853587,1.9762309822251347,2.068174719923616,1.9698010511424842,2.0583244489116517,1.9636097321262675,2.0488439024033336,1.9576710558316308,2.0397786143154035,1.9519991098437628,2.0311640917531215,1.946607714651407,2.0230295248087344,1.9415103875327175,2.0153988524312827,1.9367200974089092,2.0082923555939347,1.9322487948045641,2.0017273720741384,1.9281067378571728,1.9957190184328044,1.9242996026306616,1.9902791471782046,1.9207347031774333,1.9853850633454642,1.917791745501114,1.9811564921105318,1.9153084995973035
6,2.583736218833998,2.41236446460944,2.585810613278074,2.4122136387417092,2.588144615016085,2.4120025213890623,2.5905825392304513,2.411718930780543,2.59303145583995,2.4113498502994215,2.595371247672874,2.410882001282115,2.597479755420742,2.410301630543911,2.599259092739061,2.409594759215153,2.6006650161197813,2.408747463602009,2.6017102952481985,2.407746290957677,2.6024063831178497,2.406578581354348,2.6026590482755134,2.405233492153208,2.602172614512645,2.4037021997243557,2.600594784871456,2.4019791209459593,2.5984739908906453,2.4000616655280944,2.59630023549362,2.3979510335685372,2.5943503789032265,2.3956523081830055,2.5927555767375496,2.393173825056318,2.591574836163988,2.390527465453244,2.5908333582441707,2.387727802672604,2.5905384959539095,2.3847924486767953,2.590682863939226,2.3817406598974173,2.5912373854017305,2.3785940015737443,2.592136322791954,2.375375385852519,2.5932497701522745,2.372108848665282,2.5943413221426606,2.3688191794616773,2.5950115480902216,2.3655314079642844,2.5946535425182917,2.3622700591486003,2.592525182843352,2.359059299714868,2.588174840685416,2.3559219183873554,2.582247034414223,2.3528794559751915,2.575632057042908,2.3499519748583695,2.5690352572248476,2.347158030156111,2.562921904150874,2.344514812371094,2.557569258912044,2.3420380849952207,2.5530857630415995,2.33974239886427,2.549297646063549,2.337640972634006,2.545367969426771,2.335745598113621,2.539364791434487,2.3340625635783985,2.5334688708595903,2.3326269487999354,2.586108276688135,2.5338763222964507,2.58881252126612,2.533332808556063,2.5917011257635374,2.5296175994066754,2.594689124491479,2.5246398221456436,2.597663599592984,2.5192448804683325,2.6005080212991896,2.5136654013073763,2.6031286421406667,2.5079323112796663,2.6054867227090996,2.502034379581569,2.6076114577419465,2.4959658381130136,2.6095645905851166,2.489734312980784,2.6113763886888393,2.4833589580082407,2.6129690897686926,2.4768652671847953,2.614069336786482,2.470281603028152,2.6141300623298345,2.4636358572438257,2.6123640908936454,2.4569539611579105,2.608146703428991,2.4502593694171053,2.601834811892763,2.443572495930164,2.593968652220199,2.436911628621268,2.5849177167802844,2.430293130383377,2.574927757512655,2.4237327088596463,2.564252125448436,2.417245446381132,2.553158583978219,2.410847030681153,2.541890120933361,2.4045537170689313,2.5306413659677767,2.3983825870121995,2.5195564508438997,2.392351642073972,2.5087388185276525,2.386479459102882,2.4982634479397072,2.380784747016575,2.4881866175316403,2.3752865664725054,2.4785527861250705,2.370003438816121,2.4693987460446634,2.3649535017081087,2.4607553468164376,2.3601542614553077,2.452648718444136,2.355622481223243,2.445100643730848,2.3513742105162647,2.4381291775116285,2.347424563446125,2.4317490459042412,2.343787798648422,2.4259725905283567,2.340477068510727,2.4208103686295193,2.337504239564301,2.416271649533318,2.3348757618118423
7,2.8912826037991994,2.7241030900903294,2.8937692680611935,2.723940074386993,2.8967045879732396,2.723824791976763,2.8998984419443525,2.723652413720025,2.9033041045207932,2.723430703089697,2.9068429736430588,2.723151159578105,2.910436010119511,2.7228051404679037,2.9140206256981487,2.722384068233837,2.9175634987305603,2.7218796694717033,2.9210379919575464,2.7212842993992843,2.9243228625125868,2.7205909274759836,2.927019459289455,2.719793684148283,2.928274571518525,2.718887681593026,2.927128327381722,2.7178696949279577,2.9246965338626474,2.7167380120065348,2.921986780728157,2.7154930371108836,2.919541529945755,2.714137181796228,2.9175954944783205,2.7126749243767296,2.9162307860930157,2.7111128555619897,2.9154616761745626,2.709459307239442,2.915271451829958,2.707724312937762,2.9156240254475763,2.705919241290513,2.9164628728888284,2.7040565435612405,2.9177022892555007,2.7021495060051413,2.919213199932088,2.7002119346310183,2.920805605418269,2.698257990350463,2.922210844197271,2.696301841788703,2.92308004433931,2.6943576774007303,2.923044293701328,2.692439280970943,2.9219369385750342,2.6905601418178637,2.9201709524679624,2.688733260372988,2.918307053765569,2.686971068725801,2.91682823925674,2.685285390631045,2.916100428591292,2.6836872685283195,2.9163717339682975,2.6821869796410613,2.917689096134614,2.6807938705157053,2.919541774064952,2.679516332713881,2.919904588966876,2.6783616939056287,2.914272523415802,2.6773341980935252,2.907208578065795,2.676453826445652,2.892116853542457,2.909854317456241,2.893088741610975,2.910238398751339,2.8939966108611173,2.90377264251003,2.8947825545338812,2.8949493133971473,2.89535725181576,2.885803137772382,2.8956321190962537,2.876890094987028,2.8955399205387202,2.8682625341392036,2.895060010631573,2.8598523696021054,2.894228968931744,2.851588211166211,2.893114924115124,2.8434224146187326,2.89177271962647,2.8353311483247006,2.8901939109977874,2.8273080093990486,2.888254754150716,2.819357846467073,2.8856713917679846,2.811491386541151,2.8820213669013235,2.8037222793729795,2.8769725832317974,2.7960646742262294,2.8707482336545356,2.7885322491030595,2.863675169356144,2.781137798124904,2.8559819111670772,2.773893084819334,2.847821023753796,2.766809100236257,2.8393412717847752,2.7598962551352626,2.8306947417493826,2.7531646146855424,2.822018757255538,2.7466242100265044,2.8134244303605414,2.7402851005472764,2.804996425912126,2.7341576054042704,2.7967975642232057,2.728252284339381,2.788875038603181,2.722580051882271,2.7812650149124236,2.7171519189617053,2.77399649838311,2.711979017204351,2.7670931436958126,2.7070723404501784,2.7605750969753426,2.702442541629035,2.754459948374503,2.6980997946673053,2.748763326776075,2.694053570593447,2.7434993190881825,2.6903126804668034,2.7386805530162874,2.6868851758453154,2.7343181318075986,2.6837784191318947,2.730421279517559,2.680999033556934,2.7269817490508332,2.6785508849972524
8,3.2032615882111783,3.0614600134561853,3.2054113285974055,3.061426782889942,3.2079558619877684,3.0613638477897385,3.2107739886247906,3.0612618257006243,3.21385217964345,3.061110439079605,3.217159686503849,3.0608989960991133,3.2206675990561378,3.0606163421695407,3.224353103660957,3.060251182604175,3.228193973372976,3.059792254164198,3.232127708777914,3.0592286187891435,3.2359354951020607,3.0585502081426954,3.2390318079149596,3.0577477725559596,3.240257340746534,3.0568138582923585,3.2383301924243417,3.055742668028491,3.2346233216385762,3.054530742081356,3.2303857415658976,3.0531769236414545,3.2262861197777006,3.051682619416976,3.2226114842914466,3.0500517509968654,3.21946259643749,3.0482907948263653,3.216862283405638,3.046408625518035,3.214803708638126,3.0444163477497037,3.213268029859067,3.0423271104877276,3.212226792943747,3.040155843339543,3.211635191600801,3.0379189720311697,3.211417184906488,3.035634098180773,3.211441025770796,3.0333195648862294,3.2114856159036154,3.0309942065806905,3.2112125634428175,3.0286767748733894,3.210204848544871,3.0263857924518147,3.2082106216384876,3.0241390938922272,3.205609281459428,3.02195364003113,3.202927183576028,3.019845337645229,3.200593756364061,3.0178289383380617,3.1989094142911334,3.015918005709692,3.1980617159628704,3.0141249281724782,3.1980803364894674,3.01246096131329,3.198591011014205,3.010936260112971,3.1981374725544693,3.0095598924051874,3.19345724028918,3.008339771274617,3.1880540476215034,3.0072824579346547,3.204247283106442,3.1896183770102855,3.205401533782535,3.1897400886243714,3.206592887501495,3.184893373864166,3.2077985657444117,3.178328845006661,3.2089797800212234,3.171508211894885,3.210101773216042,3.1648388609907716,3.211142827848012,3.158368388543508,3.2121044344043566,3.1520566624186137,3.2130123261645407,3.1458585779162602,3.213895977701478,3.139742879830934,3.2147526275961993,3.133691921949069,3.215500124517663,3.1276981686507743,3.2159169057159955,3.1217599299287504,3.2155850582039394,3.11587887414513,3.2139156304249656,3.1100580280718524,3.2104449613769104,3.104300936776319,3.2054397337946203,3.098611202586112,3.1993049168577565,3.092992563143321,3.1923197073834877,3.0874490789026687,3.1846685941865416,3.081985477305267,3.176536935397618,3.076607531842994,3.168117607435067,3.0713223646334487,3.1595847803338506,3.0661386155986943,3.151077570727062,3.061066502674728,3.142699377106373,3.056117637796496,3.134524828866998,3.0513048534986478,3.126608222630561,3.046641738956309,3.11899048876339,3.0421424514133166,3.1117040131130818,3.037821271351547,3.104775624529686,3.033692392465906,3.0982282035678836,3.029769717738489,3.0920815845194145,3.0260667127982668,3.0863529669697547,3.0225962902078045,3.0810572508830947,3.019370697879058,3.076207248464399,3.0164014113430415,3.071813820866752,3.0136990029483703,3.0678863177064253,3.011273023117969,3.064432862184235,3.009131848622186
9,3.5955199399005315,3.4253597368333333,3.598014282748527,3.4252244659666045,3.6008128326725712,3.4252352609338885,3.6038517779111876,3.4251809848418504,3.6070521699272584,3.425083866611619,3.610323419892941,3.424933279983159,3.613574063526527,3.424717920414606,3.6167304547188923,3.4244261448538778,3.619753722294672,3.424046243930581,3.622625543875216,3.4235666857612763,3.6252638472251255,3.4229763904131962,3.627371140615282,3.422265153184025,3.628289645443339,3.4214239182192054,3.6272750432644596,3.420445237441307,3.625220693915672,3.4193236441213477,3.622932601917829,3.4180559957911516,3.6208469965730146,3.4166416951467244,3.619153934837172,3.4150828596732326,3.6179217590558674,3.4133842651213238,3.6171646701232305,3.411553297161287,3.616871788508769,3.4095997876898823,3.6170154753453643,3.407535791759345,3.617547945853068,3.405375353508057,3.6183895358869664,3.4031342455956555,3.619409002836064,3.4008296788262675,3.620395553625614,3.3984800134803947,3.6210258645301283,3.39610440277293,3.6208458866091373,3.393722466890141,3.619337012417184,3.3913539408164493,3.6162194061142783,3.389018340531589,3.611998813292033,3.386734654520893,3.6073650143095595,3.3845210717309637,3.602882559862799,3.3823947482495744,3.5989461265939284,3.380371612068952,3.595805792539948,3.378466182631263,3.5935445211080332,3.376691328335863,3.591882721477566,3.3750576761463162,3.589614380849212,3.3735342550770886,3.584034535189346,3.372290593231397,3.5778946624261128,3.3713210881503732,3.5971321593319923,3.579232433196206,3.5988893362199814,3.579093550756149,3.6007249536106114,3.5746929370483915,3.602558405474991,3.5687163059224813,3.604298168267597,3.5623764279691006,3.605852554481956,3.5560018262064785,3.6071505371141765,3.5496240292252152,3.6081671754173392,3.543207760739444,3.60893296243742,3.5367205268077506,3.6095036779531444,3.5301473150551548,3.6099065005932234,3.523489143706226,3.6100749886940853,3.516757847979396,3.609774859735261,3.509971233051911,3.608537059722888,3.503149447449778,3.6056908298833568,3.49631272295661,3.6007204600336085,3.489480198472502,3.5939894877488396,3.4826695960761085,3.5860314880049433,3.4758972853125836,3.5772252827540054,3.46917870441032,3.5678146537072135,3.462528820407441,3.558009210296306,3.4559625537625887,3.548005324754289,3.449495131416605,3.537972214296131,3.4431423270988586,3.5280427317425342,3.436920586812733,3.5183151434788984,3.4308470592585962,3.5088607167527037,3.424939516063592,3.499731881996164,3.419216207184329,3.4909687098553217,3.413695644451524,3.482603314165505,3.408396337342833,3.4746624864902276,3.403336501241724,3.4671692188188885,3.398533761902719,3.460143495227345,3.3940048768793316,3.4536027438023282,3.3897654911748556,3.4475621119464623,3.385829916821854,3.4420346777612902,3.382210862877511,3.4370316172513915,3.3789188326462583,3.4325622258202433,3.375922825520981,3.428602115151501,3.373391818457457
