SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155
0,0.29788149867777935,0.4043176275086604,0.29800228461291617,0.4075595503033156,0.2975503086430698,0.41149977449759084,0.29632461984308306,0.41602911203322823,0.29451143080281944,0.420423559704569,0.2923789597754125,0.422175092944995,0.29012607744376784,0.4158189995433048,0.2878668728684957,0.4067921166442029,0.285655868343615,0.3975734864880636,0.28351325962094415,0.388857824415924,0.28144146206205084,0.3807249889042857,0.2794344530209046,0.37309948094926393,0.2774826925637956,0.3658924152364495,0.27557562873113833,0.35903587794318675,0.2737029516292333,0.3524855239701916,0.2718552110873426,0.3462154440434287,0.2700241127595446,0.34021229746201326,0.2682026597679119,0.3344704828283169,0.2663852365769965,0.32898858532257225,0.2645676929989729,0.3237669196805312,0.2627474550710371,0.3188059049358837,0.2609236572428223,0.31410502705908594,0.2590972596871417,0.3096621958081016,0.25727109599260994,0.3054733575192704,0.2554497991850487,0.3015322775997471,0.2536395788096896,0.2978304527010667,0.2518478601639134,0.29435715238194704,0.25008283442051754,0.2910996219055187,0.24835299366642755,0.28804349673368995,0.24666673144994908,0.2851734779813166,0.2450320749579462,0.28247428993319557,0.24345658519969124,0.27993189070315,0.24194742650114517,0.2775348201017776,0.24051156845481178,0.2752754690430368,0.23915604903574586,0.2731510019517146,0.23788820999891797,0.271163699527523,0.23671582372406813,0.26932062378337257,0.23564706417289497,0.26763269026723147,0.2346903211518694,0.2661133708078335,0.2338538977342806,0.26477728980719484,0.30173309409789284,0.23521168888598093,0.3062680251463197,0.23678837628217117,0.3111843778215538,0.23857965837394318,0.3154111670925513,0.24058034886760402,0.3166037760789269,0.2427840250020788,0.3171003230614281,0.24518241094203677,0.31796546606696025,0.24776429858203936,0.3194945877691889,0.25051367951858244,0.3217168543184686,0.2534066114130193,0.324592695863263,0.25640629351867644,0.3280751100126373,0.2594562849833151,0.33212502041691444,0.26247367823877465,0.3367133425662366,0.2653489874195642,0.3418200379493266,0.26796704817350214,0.3474330354771883,0.2702636872447171,0.35354757793096564,0.27228799859252567,0.3601657573810234,0.2741385511326556,0.3672954966408325,0.2759047548544664,0.3749473725026135,0.2776430699893,0.38312564084537554,0.27937289808990073,0.3918050553262098,0.2810772786007921,0.40087508749941436,0.2827018384217654,0.41001743449635697,0.28415181138978834,0.4184811998197987,0.2852922614218813,0.4248479260857384,0.285962012258091,0.42751087486706585,0.2860146827543044,0.42773895570276393,0.2853875523434104,0.42647080432310064,0.28415245850260956,0.42396808520450446,0.2824652434142422,0.42107194967321043,0.28049742256623317,0.41836701044416075,0.2783960604447052,0.41611560632727734,0.2762716374239439,0.41436732760230993,0.27420091956869513,0.41303215410178434,0.2722347644798741,0.41190731920304813,0.2704059018461849,0.4106972270216453,0.2687350338220066,0.40908408372173005,0.2672351198317964,0.40690049053039135,0.2659142144653328
1,0.6474568859680689,0.6908786533161025,0.6475871744074905,0.6914741884747573,0.6466364732040597,0.6921487592282112,0.6442315108603416,0.6928357849381722,0.640719672463745,0.6932412392961306,0.636601545046848,0.6923898360062853,0.6322479296997322,0.6881967225276417,0.6278736251121275,0.682737023260292,0.6235823730627672,0.6769686937138345,0.6194142214581752,0.6711736483057743,0.6153762377303337,0.6654013270942821,0.6114598537765668,0.65964351048625,0.6076500104445912,0.6538884414956103,0.6039297738761628,0.6481337452807011,0.6002826239381603,0.6423869621063392,0.5966935938692555,0.6366629471101888,0.5931498583987226,0.6309809573581588,0.5896410552369924,0.6253622301708187,0.5861594577435844,0.6198282095963671,0.5827000510188785,0.614399360286954,0.5792605540625316,0.6090944385382704,0.5758414042514686,0.6039300828384613,0.5724456829898649,0.598920610202647,0.5690789630050176,0.5940779407642669,0.5657490674979323,0.58941160704154,0.5624657167970514,0.5849288284255498,0.5592339287769071,0.5806346480036255,0.5560497887945166,0.5765321451722007,0.5529514853424177,0.572622748728266,0.549952801727841,0.5689066829186211,0.5470664932914442,0.5653835950087589,0.5443041015567536,0.5620532691260254,0.5416761891557971,0.5589162844274955,0.5391928017421879,0.5559746346079587,0.5368639194814909,0.5532322320603127,0.5346997630774313,0.5506951219258382,0.5327109010923641,0.5483713356825685,0.5309081574825788,0.5462704386090268,0.529302355206009,0.5444028820794937,0.5279039553432057,0.5427792881645808,0.6530156767143906,0.5292242439555508,0.659559414673509,0.5307473704931929,0.6665184315843923,0.5324653338378221,0.6718933812685516,0.5343686496364428,0.6713200280457163,0.5364459655601191,0.6691357887509419,0.5386834049160482,0.6673099510024078,0.5410634227422414,0.6663861482387907,0.5435628176870082,0.6664097810791227,0.5461493776959315,0.6672969665882954,0.5487765907545133,0.668948649347886,0.5513763851481155,0.6712790321767949,0.5538519089708368,0.6742191632848842,0.556077705392035,0.6777148332185639,0.5579229840592972,0.6817242260695134,0.5593143387973746,0.6862164871190813,0.560304494447107,0.691170981972102,0.561003050362008,0.696576380094588,0.5615131419177729,0.7024279735899849,0.5619068821063707,0.7087200908973476,0.5622233080317258,0.7154267126849156,0.5624727448549818,0.722455345157171,0.5626404278251204,0.7295463379932838,0.5626881592959387,0.73608749832375,0.5625556876963355,0.7409128395576048,0.5621696459958875,0.7426531662467909,0.5614644339272268,0.7420750150782385,0.5604152303089976,0.7395711588781777,0.5590628865357038,0.7349318675540119,0.5574895689731592,0.7292788429717872,0.5557855121441397,0.7234954060166058,0.5540293191546336,0.7180292916077019,0.5522818181434429,0.713049910399704,0.5505872528456396,0.7085781594310502,0.5489769391475445,0.7045516191678964,0.5474729624724826,0.700857476789579,0.5460910901092867,0.6973703681739678,0.5448428165498027,0.6940228609743904,0.5437367128624618
2,0.9734415288634293,1.0424804350300256,0.9736085557028279,1.043460827711719,0.9730807332915264,1.0445963551267559,0.9716142403387407,1.0458187097095593,0.9694304171297007,1.0468034052402233,0.9668495480158644,1.0464782937521477,0.9641090710524232,1.0425294183644656,0.9613435579916669,1.0372538003402443,0.9586160942226707,1.0317051979235357,0.9559488021512329,1.0261870462997384,0.9533432370894322,1.0207454221872319,0.9507919532125575,1.01536285300206,0.9482845341439725,1.0100181213317259,0.9458105717860138,1.0047004864843687,0.9433610700878687,0.9994103278636958,0.9409290769675464,0.9941564354080958,0.9385099453213417,0.9889530028615766,0.9361013959167598,0.9838171473037456,0.9337034402815821,0.9787670851380771,0.9313181820837397,0.9738208719132119,0.9289495165118853,0.9689955484216924,0.9266027558567306,0.9643065401586258,0.9242842097135933,0.9597671968607848,0.9220007424139306,0.955388411316147,0.9197593219416925,0.9511783077812239,0.9175665687360722,0.9471420315234802,0.9154283238901884,0.943281696257809,0.9133492969439009,0.9395965523311735,0.911332854427022,0.9360834259637152,0.9093809391010329,0.9327374509186331,0.9074942977043402,0.9295530733527922,0.9056730365606432,0.9265252832603229,0.9039174867409702,0.923650942086728,0.9022292502731303,0.9209299595466489,0.9006122179094352,0.9183660710802158,0.8990733193434427,0.9159670531081675,0.8976228125142385,0.9137443371738263,0.8962740302628159,0.9117121332488615,0.8950426261488316,0.9098862821454645,0.8939454579357227,0.9082830724221367,0.9781365902325473,0.896136726582711,0.9836365134969263,0.8986821896477863,0.9895671511910747,0.9015769824719571,0.9946325647707449,0.9048146879846015,0.9960141931879865,0.9083862900342223,0.9965052722397646,0.9122782407990766,0.99737710936346,0.9164690273199412,0.9989751465206633,0.9209232433784379,1.0013236655828353,0.9255817174564953,1.0043617066088244,0.9303461149827138,1.0080169804850019,0.9350580315390273,1.0122248671343772,0.9394783314971522,1.016931465268675,0.9432864440117121,1.0220930503796992,0.946142918780195,1.027675446836779,0.9478632033747534,1.0336540160066174,0.9486079847661868,1.0400139749173871,0.9486914737972512,1.0467501667561057,0.9484069972951293,1.0538645482138438,0.9479608067978179,1.0613577417735238,0.9474690285972046,1.069206481263161,0.9469733361404821,1.0773091883785977,0.9464550996559623,1.0853666213658606,0.9458438858186254,1.0926623294907503,0.9450251242239894,1.0978278669352204,0.9438565275791542,1.0992777911600666,0.9422073600636033,1.0980906500837921,0.9400216584926389,1.0949074908917107,0.9373642737856168,1.0897009140911975,0.9343758409730613,1.0835815981510473,0.9312116059753761,1.0773967691335735,0.9280053264815301,1.071571967615224,0.9248581987243283,1.066266016447324,0.9218412787034761,1.061494295434989,0.9190024148194658,1.0571890363476324,0.9163732323401803,1.0532297295118904,0.9139746447291814,1.0494821396394654,0.9118207221611299,1.045874915883142,0.9099212104171004
3,1.3914149078563953,1.4387679615030422,1.3916324417148638,1.4407322701644198,1.3905775531370068,1.4431047398925245,1.3878067394732294,1.445790050375741,1.3837269369760117,1.4482148316008103,1.378926124194652,1.4484146581201929,1.3738403971648545,1.4421144099777987,1.368720330699916,1.4335874566348323,1.3636856372593997,1.4247932360177997,1.3587802716740351,1.4162928934147394,1.35400872058886,1.4081638448176337,1.3493568181647433,1.4003591016610424,1.3448030643884088,1.392818397597124,1.3403247017832998,1.3854954168515503,1.335900926801301,1.3783604276565287,1.3315144313040932,1.371397011822656,1.3271519055298715,1.3645982375417878,1.322803928058662,1.3579635513855857,1.3184646001825333,1.3514964976287436,1.3141312145827262,1.3452030850045014,1.3098041290587374,1.339090596834051,1.3054868563118915,1.3331666907735948,1.3011862315021887,1.3274386957701356,1.2969124441149682,1.3219130624786595,1.2926787529853714,1.3165949530805838,1.28850082637259,1.3114879710006704,1.2843958035892657,1.3065940383508785,1.280381284847242,1.3019134358134736,1.2764744815454854,1.2974450279757557,1.2726917062206582,1.2931867015971081,1.2690482624793644,1.2891360341282478,1.265558654533861,1.2852911723625962,1.2622369534217226,1.2816518403717136,1.2590971473570938,1.2782203204872105,1.256153347584141,1.2750021952076502,1.2534197961015379,1.272006652497584,1.2509106982572988,1.2692462572766634,1.2486399525006455,1.266736235794214,1.246620860139486,1.2644934328315809,1.2448658791980163,1.2625351408044425,1.3977736779747971,1.246509945321394,1.405255922567259,1.248412386606631,1.4131859293548583,1.2505632497835253,1.4191995551097456,1.252950436905449,1.4181404371417343,1.2555594040507305,1.4151225437372064,1.2583725980352336,1.4124668320456157,1.2613683237025521,1.410806954658869,1.2645185893863151,1.4101892602647288,1.267785330424495,1.4105067686585893,1.2711144295440346,1.4116338790888272,1.2744274922101666,1.4134602457822096,1.2776135274336142,1.4158954139871762,1.2805294139283536,1.4188667748463661,1.2830266032531348,1.4223172445556767,1.2850213116088212,1.4262040745477413,1.2865716011392958,1.4304986307792322,1.2877995305356538,1.4351863485702177,1.2888194401847461,1.4402655265266364,1.2897093332092444,1.4457425986676187,1.2905071161173287,1.4516190659802475,1.2912136067910942,1.4578598093487536,1.2917941925067802,1.4643232762804383,1.2921782573530052,1.4706303376250878,1.2922605794244701,1.4760078729083514,1.2919137843644835,1.4794569009291163,1.2910231449284497,1.481179395016109,1.2895442624925213,1.4807908990521768,1.2875455584831932,1.4774752359137602,1.2851661722013459,1.4726654681768323,1.2825588520573903,1.4675734605900697,1.2798562072611157,1.4628173724906406,1.2771602507494466,1.4586170841568342,1.2745444852061223,1.4549686090581293,1.2720601772422289,1.4517310336209246,1.2697426960043248,1.4486726214274168,1.26761653470287,1.4455390657252718,1.265698889231592,1.4421939309188974,1.2640020788906232
4,1.7860213796399917,1.8885045084236767,1.7861506857614482,1.8916777355810763,1.785243883828026,1.8955320986510518,1.7829437444879954,1.8999370332053844,1.7795777196184968,1.9040642798399758,1.7756194711865192,1.905057951816272,1.7714206623879676,1.8967003159904552,1.7671832896477313,1.8852091673061733,1.7630037498709363,1.8734354215891502,1.7589173311946988,1.862194832670571,1.7549277266049568,1.8515984282573956,1.751023815312611,1.8415750929875647,1.7471888361679329,1.832033356407071,1.7434052417775512,1.8229009990806946,1.739657213837731,1.8141288364708006,1.7359318672544795,1.8056860992922064,1.7322195836538108,1.797554994392071,1.7285138100020114,1.789726168618678,1.7248106838998498,1.7821953586586583,1.72110875787455,1.774961096438395,1.7174089337531937,1.7680231838533984,1.7137145743938593,1.7613816543545147,1.710031676823604,1.7550360172898143,1.7063689460677856,1.7489846698245914,1.7027375804587002,1.7432244352836268,1.6991506768571885,1.7377502304789505,1.6956223682308396,1.7325548716838588,1.6921669127062422,1.727629042881964,1.6887979291587543,1.722961529539439,1.6855279421168885,1.718539844889772,1.6823683449994693,1.7143512453881358,1.679329752056839,1.7103842176422628,1.676422550210918,1.7066302009733547,1.673657443603853,1.7030850970590972,1.671045935523385,1.699750436519034,1.6686007217637477,1.6966339096905776,1.6663358276795823,1.6937489168978663,1.6642664178375166,1.691113285022983,1.6624084751739379,1.6887475532938674,1.6607783873736877,1.686673105718915,1.7919455312152408,1.662981595136902,1.7988990769545443,1.6655352639693377,1.806334397118201,1.6684316612674146,1.8123466813459423,1.6716612399015869,1.8127895001992564,1.6752117504902364,1.8117756920137666,1.6790668199898124,1.8111764766116443,1.6832034245181438,1.8115057752424941,1.6875876118485886,1.8128049228580332,1.6921676458540043,1.814990560311868,1.6968628122069476,1.817962843264947,1.7015477738605573,1.8216331570002076,1.7060380833882753,1.8259287318217448,1.7100888468374567,1.8307923130445785,1.7134431190240913,1.8361816313419916,1.7159597624835843,1.842069383069012,1.7177548578220019,1.8484434587036942,1.719058541692355,1.8553066417849755,1.720084350969597,1.8626743230842848,1.7209786348266651,1.8705675864952378,1.721815741628446,1.8789958612548643,1.7225974454008135,1.8879158153824003,1.723282943377698,1.8971408566377934,1.7237739493272768,1.9061335347236126,1.7239191294415366,1.9139014704065909,1.7235344480183943,1.9191727616122305,1.7224527057642556,1.9223361488706485,1.7206040219686578,1.923105260962247,1.7180756711063796,1.9206367451208828,1.715053196184692,1.9165600607915079,1.7117406868776812,1.9122312918003561,1.7083140347909125,1.908326083215265,1.7049066666367654,1.9050609828671907,1.7016128118702583,1.9023868909921535,1.6984965883851233,1.9000823351038247,1.6956009392014455,1.8978050123002845,1.692954524378058,1.8951839607230718,1.6905765357673692,1.8920206032479818,1.6884798661751517
5,2.15487929647841,2.2054591221979316,2.1550134345137746,2.2078357263867434,2.1539220890184945,2.2107304020279224,2.151184268065616,2.214038426430467,2.1471929587612704,2.21711699694176,2.1425145794018152,2.2177645050902335,2.1375702605017723,2.21120194758903,2.132603003969085,2.2021854016397007,2.127730358838892,2.192892022663747,2.12299730956098,2.1839396504230755,2.1184113092758716,2.175407362024593,2.1139623313250913,2.167237142864758,2.1096335761674356,2.1593583974938766,2.1054069348493267,2.1517184177017232,2.10126559868038,2.144285013232073,2.0971951199440837,2.1370422747636497,2.093183661247197,2.129985571198695,2.089221889558554,2.1231173409725366,2.085302810013116,2.116443923266197,2.0814217075565833,2.1099733261814086,2.0775762414095214,2.1037137544148514,2.073766629375275,2.0976727160247446,2.0699957961690507,2.0918565415955492,2.0662693563363725,2.0862701682319944,2.0625953500030736,2.080917067350566,2.058983729696937,2.0757992326228623,2.055445679220921,2.070917191333918,2.0519928992547567,2.0662700527801596,2.0486370003198333,2.0618556497579994,2.0453891076925346,2.057670844348296,2.0422597251613737,2.05371204588291,2.039258845439855,2.0499759278906127,2.0363962478158877,2.046460296728919,2.033681892882267,2.043164978539089,2.0311263103795176,2.0400925117014044,2.028740881041675,2.037248459368938,2.0265379393454896,2.034641256423519,2.0245306669276304,2.0322816276156046,2.0227327914926216,2.030181715794864,2.021158137603362,2.0283541019491413,2.1608435042621874,2.0228199693137356,2.167858740946527,2.024741775809191,2.175279216304784,2.026915750045681,2.1808454892921056,2.0293321581279224,2.1796304174642196,2.0319786264314748,2.1765278653417313,2.0348389703176055,2.173763672088738,2.0378911964247584,2.171950104151307,2.041104060291032,2.1711380958985376,2.0444312720506503,2.1712316109839485,2.0478023650474864,2.172116298466564,2.051110102288014,2.1736919170470967,2.0541978187982206,2.1758769361293733,2.056859489292957,2.17860677119493,2.058879482793957,2.1818315806881414,2.060139532762375,2.185514767990906,2.0607363635837515,2.189631915602107,2.0608633280700213,2.194169383663235,2.0607024113665715,2.199121293028,2.0603829717526128,2.204482346568275,2.059979448356009,2.210230750117382,2.059520563422425,2.2162885873684943,2.0589974940637017,2.222435931039498,2.0583685379376844,2.2281532635475068,2.0575632787178875,2.232453107937214,2.0564935709307415,2.2341926345332492,2.0550790528950715,2.234142995092131,2.0532884165460423,2.232758736867319,2.0511697087930476,2.230014933924832,2.0488208898709623,2.2267276529673876,2.0463496917677158,2.2235170998451386,2.0438498562464686,2.2206823908070263,2.0413937622178673,2.218303888066474,2.0390338869368483,2.216322417741476,2.036807201287364,2.2145716087697256,2.0347395762563796,2.21279992329836,2.0328492232921485,2.21073496985891,2.031149096584375,2.2082359925442816,2.0296484905775527
6,2.565972102563122,2.648774395063147,2.566107282776813,2.6514338437707297,2.5650751758781407,2.6546613545042805,2.562474547251226,2.6583367608852053,2.55867334716662,2.6617247879538293,2.554203176226274,2.6623091408898802,2.5494581814727466,2.65462314109263,2.544663953689761,2.6441038634418366,2.539927649101217,2.633236992521744,2.535288167723851,2.622725149379943,2.530749297534631,2.6126556766212676,2.526298541024352,2.602959980508608,2.5219170882056097,2.593555737529298,2.5175849329275803,2.584381548463374,2.513283463746405,2.575399822242044,2.508996757229461,2.5665919102431975,2.5047121889203634,2.5579524884398497,2.500420673741622,2.5494849571531946,2.496116710745493,2.541198081151671,2.491798342351991,2.533103665396638,2.4874670935497596,2.5252149831708492,2.4831279101611914,2.5175457046811363,2.478789064071783,2.5101091378064075,2.4744619547478197,2.5029176630524548,2.470160735028323,2.4959823081510577,2.4659017305811437,2.4893124531993647,2.4617026878435766,2.4829156819864675,2.4575819455231374,2.476797803900147,2.453557660323374,2.4709630679071903,2.4496472212109768,2.465414575333164,2.445866955072889,2.4601548710889753,2.442232163462454,2.455186656196216,2.4387574561462824,2.450513528690716,2.4354572787323905,2.4461406276133095,2.4323464809827584,2.442075044756098,2.429440757815088,2.4383259046795835,2.426756827409216,2.4349040944969826,2.4243122843447438,2.431821719330533,2.4221251540907085,2.4290914188209385,2.420213241811167,2.4267256804719404,2.5723949386081575,2.4221207354858763,2.5799370217526203,2.4243260866595264,2.587984212393588,2.4268184048161103,2.594397042187217,2.4295846083187196,2.594515090861402,2.4326087181354517,2.59296108609383,2.4358705707578183,2.5918362734036062,2.439343501119837,2.591715193972782,2.4429902787159943,2.592641089441435,2.446756276210913,2.594517630966072,2.4505587738657635,2.5972309278197603,2.454272317239549,2.600680486016736,2.45771420227746,2.6047837431013674,2.460644456428925,2.609474558300313,2.4628119179523797,2.614701415227292,2.4640781737979998,2.620426531793186,2.4645537853374053,2.626625587532693,2.464461720981208,2.6332870731410916,2.4640128575285947,2.640409426274395,2.4633587161425976,2.6479922886567513,2.4625894018687835,2.6560138686299397,2.4617451090188345,2.6643770578538644,2.4608267466251537,2.672791968065827,2.459802562112525,2.6805604030397503,2.4586134999758693,2.686345860417223,2.457183772008527,2.688601941559751,2.4554444257817245,2.688403585780855,2.4533707355284533,2.686403443634273,2.4510095099262887,2.6825974587167716,2.448452400902451,2.6780623683846168,2.4457995606219667,2.6736093928332387,2.443138116646728,2.6696288169115823,2.440535479825081,2.6662310941021437,2.4380406828473538,2.6633529041819464,2.4356884379955277,2.660802907242379,2.4335032677819695,2.658290657968499,2.4315027927856647,2.655501438939056,2.429700059485876,2.6522709543737983,2.4281050642223168
7,2.87979088106126,2.94350341585007,2.8797681712589416,2.9462791109557718,2.878374316927423,2.949664642076441,2.875148077815154,2.9535501028645705,2.8705262765896307,2.9572259334778046,2.8651371921981275,2.958244691447162,2.859449255707527,2.9512812622820763,2.853734863360195,2.9416494669662776,2.848128839481074,2.931783143060893,2.8426867745977504,2.922374774992876,2.8374234915967724,2.9135142511210774,2.8323347694380976,2.9051367728319506,2.8274086754870384,2.8971615994962328,2.822631168385378,2.8895260751674647,2.8179887145094398,2.882188809385079,2.8134694020859983,2.875125348631186,2.8090633354889496,2.8683230612448716,2.804762721216384,2.861776891264362,2.800561853740441,2.8554861825026183,2.796457087693743,2.849452404064181,2.7924468072856166,2.8436775546752666,2.788531360275548,2.838163055830397,2.7847129085752647,2.8329089922216326,2.780995163769944,2.8279136009735466,2.7773830152252628,2.823172945786663,2.7738820996531612,2.8186807420559443,2.7704983847922353,2.8144283291002523,2.7672378364993637,2.8104048178316763,2.7641062155532157,2.806597472666902,2.761109020217033,2.802992401911238,2.758251555088476,2.799575611336762,2.7555390785170952,2.7963343937017164,2.7529769799195907,2.7932589236403818,2.7505709494701125,2.7903438151531716,2.7483271114104757,2.787589306911865,2.7462520985955754,2.78500175949061,2.7443530522045947,2.78259330766226,2.7426375394004756,2.78038074034516,2.741113391248143,2.7783838658329283,2.739788468999948,2.7766236911312205,2.8859530184964743,2.741306460060042,2.893210314550352,2.74306683588134,2.900851613371034,2.7450650078006253,2.9063864141099414,2.7472952920228133,2.9043819489314022,2.7497505737278614,2.900242172438441,2.7524217628765317,2.896428411414789,2.75529684840505,2.893621902614957,2.7583592347772035,2.891885501517263,2.7615849066949236,2.891120672705339,2.7649379255429363,2.8912093022448286,2.7683642173418757,2.8920490684514863,2.7717853943045023,2.89355780492861,2.7750988405928085,2.895670623456097,2.778196942410561,2.898336516502606,2.781019112434348,2.901515916261471,2.7836085753246387,2.9051791321007627,2.7860536146801884,2.909305098547465,2.788433092469125,2.913879558435592,2.790793515125078,2.9188911805261046,2.7931437867967137,2.92432248578024,2.7954539315123847,2.9301287716008435,2.79765180172103,2.936191952906074,2.7996180948848033,2.942233577899645,2.801185616438278,2.9477106694074546,2.8021558963184137,2.951927892576294,2.802349323810598,2.95499066142224,2.8016892324203084,2.9565985469701825,2.800264066725438,2.9561627357627303,2.798265554379104,2.9546939346843697,2.7959050857660612,2.9530470642902737,2.7933645426006386,2.951649372412198,2.790781346348686,2.950630106420128,2.7882518552192774,2.9499345435171884,2.785840793928549,2.9493766252530516,2.783590645816779,2.9486714059432404,2.7815289922434547,2.947509985828407,2.7796736531314585,2.9457306526651506,2.7780361012602692
8,3.2171100753348814,3.2787085781933043,3.2172373461320882,3.2816887312514553,3.216002680286364,3.2853240326094397,3.2129405083546865,3.2894978972839897,3.2084932760753877,3.293451993059027,3.203297166372941,3.2945682671406438,3.197826767846403,3.2871488718173323,3.1923583469592383,3.2768779095241847,3.1870285950786412,3.266357374848376,3.181893459293341,3.256326057262928,3.1769668416389294,3.246878139636626,3.1722424511790854,3.2379424709149767,3.1677052507442522,3.2294309870446387,3.163337197522476,3.221275066876086,3.1591200190089794,3.2134288695356,3.15503648048854,3.2058646452109865,3.151070901405643,3.1985672442590807,3.147209335523047,3.1915296116881042,3.14343965780606,3.1847494833600694,3.139751690950136,3.1782270954726997,3.136137420949779,3.1719636511764575,3.1325912832821823,3.1659603158267986,3.1291104309933937,3.1602175684005664,3.125694849882511,3.1547347941458717,3.122347230228529,3.1495100457292473,3.119072602898577,3.144539927556083,3.115877773355062,3.139819584214562,3.1127705785771265,3.135342803197311,3.1097591145280354,3.13110226813753,3.106851188199954,3.1270900249604168,3.1040541079121176,3.1232982125357953,3.1013747823459012,3.119719968408486,3.0988200803436765,3.116350342038773,3.0963973503706517,3.113187201849092,3.0941149428165575,3.110231966220216,3.091982552732452,3.1074898553312935,3.090011262301455,3.1049695754734663,3.0882132854482154,3.102682566473648,3.0866014791583547,3.100641991206622,3.0851886889947346,3.0988616445891393,3.2232876480717936,3.086832186491223,3.2305621045106228,3.088737491323155,3.2382149542696355,3.0908985616868487,3.2437297192342536,3.0933076639869674,3.2416172953298226,3.0959548480747547,3.237341451349429,3.098826892256224,3.233392877519587,3.1019053318011256,3.2304634404584527,3.1051629744646325,3.2286201078601056,3.1085579807713732,3.2277669594272864,3.1120245117914926,3.227788732546109,3.1154601700743165,3.2285867633208265,3.118713501652056,3.2300835017378318,3.1215836319399015,3.232219587971739,3.1238592493813795,3.2349502823635627,3.125424515443148,3.238242782669763,3.1263745252410033,3.2420744092864835,3.1268985983264126,3.2464311008245157,3.127173719600802,3.25130519466353,3.12732351929744,3.2566904991652916,3.127415385479626,3.2625703722787924,3.1274686002812264,3.268889532306846,3.127461448977101,3.275491986921607,3.127335034501141,3.2820046965407723,3.1269965991788924,3.2877033741382866,3.1263330632733104,3.291691530915533,3.125241601031211,3.29426946740122,3.1236799596060347,3.295311207502952,3.121703860541097,3.294316015200569,3.119430485047327,3.2923394925096967,3.1169889406017735,3.290253900785053,3.114491002383185,3.288489136537115,3.1120220339897022,3.287168974627711,3.109642842996756,3.2862271705553785,3.107395206422667,3.2854600243083887,3.105307439889781,3.2845592898473597,3.103398786830016,3.283191622536664,3.101682505418145,3.2811814807914814,3.100167905241364
9,3.584814168190838,3.632519562257027,3.5850548490563647,3.634938458314844,3.5839570723381113,3.6378869563766747,3.581056449875434,3.641260016311043,3.5767893516667657,3.644398725297458,3.571784259895753,3.645037804048867,3.5665093144486524,3.638251266063368,3.5612359505665356,3.628957325269446,3.55609739064038,3.6194108675044703,3.5511471841631588,3.6102558666949367,3.5463977773693447,3.6015783901103964,3.5418423117801305,3.5933207193274654,3.5374660428679223,3.585409600454449,3.5332520703563235,3.577787738279097,3.5291841320863853,3.570416860237982,3.5252479214385195,3.563273924679463,3.5214316581652625,3.5563466727307413,3.5177262638000615,3.5496300230548843,3.5141253104596597,3.5431234556412625,3.510624827130506,3.5368291906365723,3.5072230033006377,3.5307509261274785,3.503919807693248,3.52489293923047,3.500716537683133,3.51925941417852,3.497615320095568,3.5138539182563617,3.4946185885280854,3.508678992388638,3.491728572913104,3.50373585547921,3.4889468511889272,3.4990242416334643,3.4862740162882493,3.4945423989553235,3.48370951085703,3.4902872786580263,3.481251693111448,3.486254933947955,3.4788981882406835,3.482441127743592,3.476646526985173,3.478842113839025,3.474495013446219,3.4754554971238747,3.4724437042331324,3.4722810275019396,3.470495323962584,3.4693211653126057,3.4686559172076774,3.466581281454052,3.466935069834249,3.4640694366108216,3.465345621886414,3.4617957966007955,3.4639029148654754,3.4597718245016944,3.4626237281188526,3.458009410999286,3.5911863825247954,3.4647208487441885,3.5986865325110733,3.467154600960314,3.606600244588955,3.4699194783092073,3.612428667141869,3.4730080483037344,3.6107231867629075,3.476409829425997,3.6069006268575525,3.480109233671162,3.6034277102871477,3.484081874710203,3.6009860398880496,3.4882881171683784,3.5996367871237913,3.4926622646156065,3.599279081378271,3.497095699230472,3.599792449553369,3.5014137984553555,3.601072557590454,3.5053525843721878,3.6030359329810544,3.5085585937365176,3.605617554407749,3.5106590596927085,3.6087680829772566,3.5114523821688657,3.612452196961841,3.5111182837364017,3.616647827089,3.5100070156855754,3.621345406872939,3.5084477090806274,3.6265455570915854,3.5066764154861563,3.632252132612038,3.504834341221559,3.63845399853265,3.502987438265152,3.6450812625344673,3.501144966034166,3.6519093325207628,3.4992717946057423,3.65838172499171,3.4972976240767637,3.6634160643170772,3.4951308043126357,3.6657292411188274,3.492686377763888,3.666078949682364,3.4899293459670178,3.6647864004067126,3.4869061558139047,3.6616236539795417,3.4837145060606476,3.6576602083217695,3.4804620820575503,3.653732065979208,3.477242149898022,3.650242111533607,3.4741260262365343,3.647304150248671,3.4711646499913402,3.644858299939362,3.4683931872922975,3.6427233679850435,3.465835657254908,3.640628026313823,3.4635085591773382,3.638280370380654,3.46142340654139,3.635526197886839,3.4595883868729045
