SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
0,62.94665937632226,93.28628286971619,63.94430380221013,95.36808727569264,65.09615508116413,97.73922080459499,66.39802624298913,100.366043251739,67.84624959542985,103.20293140482309,69.43824051747305,106.18501380526685,71.17320708305218,109.21340767965006,73.05304660640374,112.12714319964138,75.08349570024242,114.65789554329604,77.27563836880553,116.3825438004578,79.64791852187291,116.75159263855981,82.22880429346486,115.3792888163316,85.0600439838272,112.6333554453978,88.19946410890606,109.04503446677631,91.71861627354208,105.01887666090795,95.67844126769663,100.80458310170121,100.02904213823699,96.5451665526079,104.28361086816244,92.32307662530813,106.6847642099693,88.18886711140613,103.35987500290824,84.17611541714606,98.17955026632136,80.30848262832147,92.90089315131542,76.60295545312223,88.01335657933173,73.0714416383367,83.57270874308396,69.72172349522918,79.52652591126369,66.55817485131791,75.81322312968024,63.582379181489735,72.38495253339482,60.79368405569565,69.20861545517396,58.189696238990564,66.26204534686606,55.76671747060676,63.530156008429856,53.52012364064952,61.002106889269115,51.4446926546462,58.669485548835944,49.534886925109845,56.52526839396449,47.78509534915935,54.56331197222104,46.18983761545742,52.77817233511669,44.74393159286201,51.165099517553635,43.44262311306264,49.72009739948317,42.281677148802025,48.43997620766496,41.25743035241918,47.32235718396749,40.36680692988476,46.365616034726614,39.60730235217916,45.568771953159754,38.97694179488226,64.15531672645243,46.18058012552115,65.5650272901558,46.892975271944664,67.17550466720185,47.70553996029347,68.98601543380971,48.61788754646907,70.99494599059553,49.62961827079375,73.19917721081508,50.74018893520884,75.593229557037,51.94862139827301,78.1681323134561,53.25291559678891,80.90995876134588,54.64893448291564,83.79796225098902,56.128381363585376,86.80226462241416,57.67531354932369,89.88112651249234,59.26055307244891,92.97804023936543,60.83377132264539,96.01934741557625,62.31492745912258,98.9139267082117,63.59174737703131,101.55770067092742,64.53814040223158,103.8466082838112,65.06883277723587,105.70013817747561,65.19866502407447,107.08992115740097,64.96888457899998,108.05443241803279,64.38665029566091,108.67988991828439,63.423922355503294,109.06803037016482,62.0750284453041,109.30988048081531,60.427482693457335,109.47066175937057,58.60587913425828,109.58332189581111,56.72011105554412,109.64710841613038,54.84804781118235,109.62943304478031,53.03813330725758,109.47176096745218,51.3177246335149,109.10214757286579,49.700807755096434,108.45646451891402,48.19349193845738,107.50427237970916,46.79749276574867,106.26385965349408,45.51220773410427,104.7898889836767,44.335909536566575,103.15137836534677,43.26641589396684,101.41612880560817,42.30145733287,99.64530578499166,41.438872738172066,97.894640334776,40.676707022156506,96.2172427380783,40.013253219810196,94.66474990031432,39.44706328338631
1,154.9074850249753,197.1149718507586,156.3676925682118,199.3988241571181,158.04946290846738,201.9784839793843,159.94511065405595,204.80842243814652,162.0477017338543,207.82958718840933,164.3519268779026,210.9618784771464,166.85517369969813,214.08896116485732,169.55885265275484,217.02975886788954,172.47006958107207,219.49319284348226,175.60379163423846,221.03200951462367,178.98570984513032,221.0748137719038,182.6559936112899,219.22249803825576,186.67381593171373,215.84359300580752,191.12108025475453,211.48010907079532,196.0985179704393,206.55212749474973,201.68990694486774,201.32658608034154,207.81713538372503,195.9640839665701,213.77186233092715,190.56444696405725,217.0230927845354,185.19510234587818,212.01973511047305,179.90576807259905,204.32227016721598,174.73529870425477,196.4719186250167,169.71473683928951,189.1885499152766,164.86875734848186,182.56298697645894,160.21651875492537,176.5246477567416,155.772329703889,170.98539757153463,151.54626634143156,165.87413170998627,147.54477177162806,161.13961487523164,143.77123741742457,156.74600238724656,140.22656173142755,152.66796118857252,136.9096840263407,148.88697123651622,133.81809271382292,145.38888506562523,130.94830605449926,142.1624713854627,128.29632006168956,139.19863977047112,125.85801378469277,136.49009132671742,123.62949843001068,134.03119682843692,121.6073951879392,131.81795548958345,119.78902829866196,129.84793477266055,118.17252508864493,128.12013547464034,116.75682269744406,126.63476521677205,115.54159039375772,125.39293359414884,114.52708479075658,156.71330293176197,126.64881311496079,158.812465198388,128.1169767903318,161.20159533792508,129.79909118677438,163.87644915358428,131.69713155824454,166.8313675247893,133.8132577465994,170.05846857140716,136.14953655613976,173.54653224892442,138.70739625753998,177.27951765672577,141.4866119100824,181.23463395693543,144.48347574425276,185.37986959325798,147.68758858044148,189.67089653586413,151.0764392025047,194.04736033902253,154.60678551504304,198.42884620234048,158.2023761294162,202.71144407636604,161.7401274447183,206.7670141785017,165.04374787288197,210.44895318623367,167.905082293751,213.6095567911957,170.1536504387504,216.13200386377602,171.72909854960858,217.96961456340793,172.5649366152731,219.16665659787708,172.50176823265554,219.83358360344522,171.32057262156837,220.10455145987268,168.9204217039312,220.10313218657706,165.52532581308236,219.9232864582081,161.4979154914159,219.62222395006984,157.16945057375403,219.22009769382555,152.77977322765523,218.70353618796275,148.4814921467261,218.03273835253145,144.3636241565763,217.1538328706633,140.47431456262612,216.01792315276435,136.83724687132892,214.6033882225045,133.46213248318583,212.9288849614418,130.35100692444107,211.0438351971419,127.50188174098005,209.01087326762058,124.91082295149621,206.8935012310908,122.57312040912136,204.75204491125672,120.48393862334456,202.64488883955283,118.63867260924084,200.63061622057134,117.03313549684015,198.76820139820512,115.66364993530861
2,244.73716642055868,296.43498925361644,246.1865041351333,298.5080783695513,247.85607266011152,300.813019222754,249.7379732320689,303.2914391168365,251.82469900706548,305.87151532848236,254.10987071765499,308.4632275624051,256.58915900533555,310.94816289256136,259.261453076832,313.15917382707147,262.13036996327685,314.84665445828114,265.2062467188826,315.6434007066025,268.5088062101228,315.09054823179713,272.0706724769068,312.8724529096649,275.9416057982103,309.2878559360371,280.1919545880663,304.77779138484345,284.90885967098967,299.6901156955181,290.16235589547153,294.2537288160378,295.8686861415955,288.6147801594936,301.3496009605401,282.8718874924938,304.2121897602583,277.09775838609346,299.22934878337526,271.35010513264666,291.63749258676455,265.67656427399874,283.839653281615,260.1168428791633,276.52547121095324,254.70378759249928,269.79126662097985,249.46412213444262,263.58009915984087,244.41911997254357,257.8174559322588,239.58527552655605,252.44405299402985,234.9749687310675,247.41866984274245,230.5971051645426,242.71403039608379,226.4577191910526,238.31226727779648,222.56053498113593,234.20147302149385,218.9074847008579,230.37342023760002,215.49918397964504,226.82219789823986,212.33536295746288,223.5434824255203,209.41524821321974,220.53420711133097,206.73788813076175,217.79244667293796,204.3024129954635,215.31738223396218,202.10822214305134,213.1092554804444,200.155093998623,211.16926060936288,198.4432203325829,209.49935753897392,196.97317241489077,208.1020167462175,195.74581262358527,246.50115283458956,209.30963631570359,248.54528060458054,210.7122738535893,250.86352159554193,212.30718672380624,253.44881245868623,214.0912138718075,256.2926501003435,216.0606302368194,259.384493692887,218.21086593570953,262.7109569230626,220.53599618501642,266.25477441331986,223.02783668743703,269.99352289482533,225.67436130504177,273.8980774298422,228.45698262193278,277.93080039024073,231.346024986903,282.0435266562449,234.29362307959343,286.1755755158043,237.22378551610984,290.25237399457245,240.02165323304342,294.1859080697932,242.52996865878868,297.87909357906267,244.5704887151103,301.23674980864575,246.00816332905117,304.184537792346,246.8193094133371,306.6913313850913,246.99890948755942,308.7803351342609,246.48779748117877,310.5138025517149,245.18500430027802,311.96704712303193,243.05298863112827,313.2065203666463,240.24137757944916,314.27618976686847,236.980472783182,315.19059095793733,233.48224868754,315.9321464764649,229.90468279072672,316.4519890746825,226.3536307344318,316.6758813688706,222.89634837979236,316.5186484702055,219.57470859018338,315.90953812733454,216.41486042982308,314.82335189586723,213.43348175569372,313.2982513183629,210.64159120641318,311.41991827429155,208.04680521977355,309.2934011914883,205.65465880954443,307.02225648426304,203.4693771314423,304.69979073432637,201.49432728085262,302.40865007163967,199.7322830092777,300.2232899759647,198.18557861889218,298.2116384836171,196.8561962344857
3,326.92114514764484,370.95308987496253,328.3485799761438,372.4373212904258,329.9967598732784,374.0706319635817,331.8594516005046,375.804097667551,333.9309143873779,377.57882074696784,336.2066281531103,379.32288507654846,338.6842389147714,380.94431733803543,341.3647892686066,382.31643019545754,344.25433273321295,383.2529573584031,347.3660730674636,383.48180657905596,350.72321095126404,382.66434616784557,354.3626584021967,380.5714899255006,358.3394649796059,377.4371800172645,362.7304017565838,373.6020137367151,367.6301012261257,369.33500989467035,373.1164689647431,364.8136083709918,379.111342954656,360.15087415533304,384.93143653813513,355.42239210430193,388.1469570966932,350.6831229931021,383.43962673547094,345.9761816704453,376.14161981484494,341.33695996628023,368.69658382500916,336.7949866038245,361.80140066465634,332.37482478781556,355.5470805599841,328.0966158215543,349.86709189752,323.9765172800179,344.67586405686166,320.0271216467469,339.9025974956344,316.25787793863503,335.49455941624103,312.67551885052757,331.4132528474988,309.28449199403497,327.63010413448967,306.0873934564829,324.12321145191106,303.0854008396341,320.87525683152563,300.27869995440057,317.8723379540256,297.6668949455584,315.10343394246985,295.24938694400214,312.5602497042575,293.02570282336865,310.23722547048,290.99575467004763,308.13154350743775,289.160013138702,306.24301488179196,287.5195841376384,304.57378592651355,286.07618743572857,303.12786003271606,284.8320461043796,301.91047567459674,283.78970515090924,328.43156366419294,303.68731544038826,330.1793015191228,305.76965081307503,332.1581243833359,308.16185848160455,334.36076449963525,310.868745249566,336.77852961412,313.895195235723,339.40073174750194,317.245505306733,342.2139357956738,320.92217883272735,345.20103986862557,324.9237747610381,348.3402122546107,329.24112319660304,351.60372939556964,333.8507913891659,354.9567943728078,338.7041730147157,358.3564799489575,343.71034952211625,361.75105354314485,348.71215311287983,365.0801291178442,353.46060199688924,368.2763713650668,357.6078952966958,371.26980360412756,360.7636625346089,373.9958606478916,362.65999015968964,376.4073761397757,363.3300442125595,378.487415567862,362.887690285522,380.25457814145125,361.34648502302434,381.7526500619407,358.61694691552134,383.0337918891148,354.6796648031076,384.14391334369316,349.79738740188236,385.1128788834078,344.34702102365475,385.94878488694303,338.6636268807529,386.6351050656173,332.9873534307749,387.1306115074019,327.4703204502911,387.3736655687895,322.2010790018354,387.29381785877547,317.22748833301955,386.8327196290969,312.5731022453958,385.9699868774714,308.2476102700748,384.7380585763899,304.25309683469703,383.20910681117306,300.5876695356026,381.4715965378971,297.2475226366583,379.6127631480515,294.22809602103763,377.71106269768484,291.52471773705133,375.83558046253944,289.1329525661077,374.04796452957464,287.04878292588154,372.40387362509995,285.268694070075
4,424.05173554930286,461.8558747442225,425.61165257418565,463.74788161038003,427.4012227390608,465.8895627845063,429.40860597157115,468.2452698112256,431.62198030949986,470.76770522875324,434.03036867407116,473.38977621221636,436.62465547463535,476.00851531465617,439.39883743013667,478.4551634188579,442.35158198740316,480.44805913476796,445.4882103715399,481.54455058864494,448.8232687817857,481.17237454602304,452.383843346414,478.930063225744,456.21349544173955,475.19259722300114,460.37541763930244,470.5071227829844,464.9487637545474,465.2936827597548,469.99672274012835,459.81463352530403,475.43810829288486,454.22317186037674,480.6335043034941,448.6104873386611,483.3333897362888,443.0353502482644,478.62723885130754,437.53964265608454,471.43473740602434,432.15572056232793,464.01582067477653,426.9097166553304,457.02230904237854,421.82303940259783,450.5496998225165,416.9131486922547,444.55013599983283,412.19407047723735,438.95940106238294,407.67682560226456,433.72727790932515,403.3698288414312,428.8198437647057,399.27927127147086,424.21536320209594,395.4094868488611,419.8999311894198,391.7633019269614,415.86426627080255,388.342366319098,412.1017053706853,385.14746379718736,408.607131191451,382.17879832814407,405.3765344421653,379.43625041547136,402.40695503213703,376.9195963926832,399.6965982405486,374.62868312763305,397.2449719741147,372.5635517762289,395.0529407639363,370.72450705286445,393.1226415503148,369.1121325887521,391.4572520787073,367.72725759651775,390.0606387332081,366.57088436954473,425.9855735711185,391.4886332525389,428.2284136689485,393.14273173021166,430.7740457847751,395.01734813851783,433.61484933030533,397.1058742843961,436.7412006991422,399.4004120080102,440.1406184128591,401.891299907598,443.7966014382537,404.56628572152914,447.6871077365185,407.4090829183373,451.7826084965173,410.3968657834895,456.0436486717771,413.4959868939045,460.4178714824162,416.6548917212625,464.83657121148065,419.7931187605477,469.21112022589296,422.786242951348,473.43022144491215,425.4506315595196,477.36003666028927,427.5421147774044,480.85079979313474,428.79909213799954,483.7546624764405,429.06063922788974,485.9574288427485,428.39478910918945,487.41682169765784,426.9585238005457,488.18229778123293,424.87611606375793,488.37031417887175,422.21395480109624,488.1224144642881,419.03370940497723,487.57152012742756,415.46429815854447,486.8233714021674,411.65840252327695,485.949818613346,407.74933225667235,484.98890129984113,403.83688109647505,483.9484624275949,399.9904003248298,482.81242877152386,396.25685048498366,481.55059947813385,392.66822800159923,480.13278577310456,389.2469345764449,478.544934986421,386.00927164736953,476.7987363987235,382.9676053740462,474.9258543650321,380.1316829000154,472.9668201308,377.5094327051293,470.9637285255749,375.10745720791056,468.9587601487485,372.9313416019162,466.99609777342846,370.98585126642956,465.1237435878997,369.27505990928,463.3930006833423,367.8024333823716
5,513.35611191877,553.3786516587583,514.8505010972608,554.9437040089194,516.5713983291784,556.6438674779133,518.5102158895626,558.4163609926097,520.658557724984,560.1874189025465,523.008898532772,561.8707346772244,525.5554314345652,563.3637024100153,528.295138877196,564.5378888468331,531.229174640419,565.2211031749878,534.364691361739,565.1776412967175,537.7172945881271,564.1248063139146,541.314295295693,561.8767810817556,545.1986501650074,558.6322561187876,549.4322077657297,554.6821513945183,554.0922687249949,550.262267965223,559.2402292580903,545.5355543382484,564.7947362095252,540.6132821368228,570.12221266091,535.5761046609109,572.9954427851649,530.4870164727237,568.5520539248549,525.3978929757077,561.6587496915672,520.3524678427273,554.5482650396351,515.3877020262388,547.8616223947597,510.5345578785662,541.6895711369141,505.8186083632608,535.9813803243549,501.2606225066087,530.6705241104094,496.877151008502,525.7047216440676,492.6811009620585,521.0481988650038,488.682286282202,516.6776070222013,484.887946541059,512.5776902005076,481.30323270641236,508.73809678456723,477.93166059529534,505.1513950025538,474.7755321003856,501.8120308044331,471.8363214420029,498.7159309153916,469.1150201448041,495.8604875494939,466.612431496645,493.24470751048773,464.32940402576975,490.8693560308719,462.26699478864634,488.73697841307234,460.4265571220864,486.85173890850194,458.80975342644774,485.21907136470224,457.41850034409435,483.84517958220033,456.25485991777475,515.07666307904,485.4813342564922,517.0659176180759,487.3870904502347,519.315971928753,489.5611232962422,521.8177080500041,492.00179127365254,524.5604591962409,494.7068484826544,527.531505974874,497.6728807016468,530.7153882529469,500.89425305992074,534.0930164047907,504.3611954620404,537.6405603916661,508.05638678068084,541.328090895229,511.9490054191908,545.117960588381,515.9847521106569,548.9629698993971,520.0701773400963,552.8045196177377,524.0509200407482,556.5712931029634,527.6889805046377,560.1796283907327,530.6584338368527,563.5376066471707,532.6021596883425,566.5554857591934,533.2927396040086,569.1638565784731,532.8072739659099,571.3351897035197,531.3252019067422,573.0945522349273,528.9567938231896,574.5047466443934,525.721035119958,575.6409540981067,521.6578714390092,576.5690770467272,516.9723576102068,577.3318059796932,511.93152727221315,577.9408431939985,506.7675703117195,578.3731141758475,501.64641466800094,578.5706687272564,496.67410902863486,578.4466619817566,491.91384094620224,577.9019251182299,487.401438449503,576.8553201721732,483.1563680833935,575.2816096566215,479.18870786626434,573.2331344491091,475.5033128381374,570.8198632441845,472.102221356913,568.173962016948,468.98601701616457,565.4229584905879,466.15458729652687,562.6775444716188,463.6075378700306,560.0299005694684,461.34441091974134,557.556539023744,459.36479185643907,555.3214889170467,457.6683526741064
6,600.0579975082001,653.4630491832157,601.3459274543964,655.68388022033,602.8192149210522,658.190581641757,604.4661611213539,660.9373849676089,606.2748529303117,663.8647127867907,608.2338837753191,666.8892818994757,610.3332514021249,669.8843509868215,612.5654742021402,672.6416233889138,614.9269900162911,674.8097265699332,617.4199338458594,675.8299209278159,620.0544243353411,674.9751599349252,622.8514759084148,671.7443218612218,625.8464140349686,666.6613443081017,629.0916005476643,660.4705066966701,632.6533962997894,653.7379493606487,636.5854610335982,646.8108593903154,640.8214884494765,639.8828861180527,644.8298951307994,633.0587768105274,646.736843931615,626.3961679950132,642.4512048128347,619.9285880673157,636.0793579286592,613.6771111780159,629.5107558194253,607.6560008083858,623.293054104,601.8753970335431,617.508752709234,596.342618164958,612.1197675717295,591.0628352657455,607.0737177121941,586.0394709438029,602.3296327161759,581.2744809299788,597.8601844449597,576.7685892614084,593.6484764602229,572.5215085995828,589.6845184798515,568.5321593931337,585.9625667257687,564.798892386791,582.479393740038,561.3197131057436,579.2332858936928,558.0925023666579,576.2235423592585,555.115223148073,573.4502829438691,552.3861016925987,570.9144137090636,549.9037700368315,568.6176379763779,547.6673588097569,566.5624365354162,545.6765331024974,564.7519749141723,543.93146996963,563.189897575116,542.4327826069845,561.8803215758147,541.1814008697833,601.9032413427784,563.0625954080497,604.0423058977028,564.4299562441452,606.4687910957003,565.9767246765919,609.1749377635015,567.6966151401865,612.1511346146387,569.5823684752945,615.3852179736941,571.6255419496613,618.861540363516,573.816078385214,622.5597858212943,576.1415465802136,626.4535120281278,578.5858206090714,630.5084098157117,581.1268240389429,634.6803059864424,583.7327993722155,638.9130241018604,586.3564980878368,643.136414925535,588.9271239397245,647.2652541581915,591.341757023916,651.2003668212251,593.4628571425923,654.834229686968,595.1362022948306,658.0638595107091,596.2432140853073,660.8122727833835,596.7549442852137,663.0533317899099,596.6532450194467,664.8237141514846,595.8692397848979,666.2053962214577,594.2981549251859,667.2963396167208,591.902262950912,668.1858800742433,588.8317521028436,668.9394791503723,585.3171767194149,669.5909243261509,581.5705338954133,670.1391366317733,577.7498913933591,670.5484793130397,573.9614361993386,670.7539281527511,570.2730275904114,670.6743747562564,566.7273656271284,670.2364774583518,563.3515754885552,669.4043270446947,560.1633868102971,668.1970183416721,557.1748851560701,666.6750864316258,554.3947236380347,664.9159854111911,551.829412201232,662.9970811826893,549.4840692045486,660.9903554968748,547.3628622222324,658.9645151103962,545.4692684468632,656.9884021645096,543.8062289671424,655.1316932346317,542.3762394678139
7,693.1210351696765,740.8377742510324,694.5570659094795,742.2836133055987,696.2131227998658,743.8374652382636,698.0827925559322,745.4333721376722,700.1606507905017,746.99449849587,702.4431330157532,748.4316595846888,704.9295950136702,749.6401835743293,707.6236215478468,750.4915461808932,710.5346849891594,750.8174290501706,713.6803153276607,750.3923841150106,717.0890070590387,748.9503465808388,720.8040798944455,746.3185966344474,724.8883798821851,742.6829571553471,729.42817736422,738.3185784766456,734.5290678549949,733.4529532542847,740.278312353077,728.2483178108178,746.5921395043335,722.8201749675225,752.7221055792434,717.2558943414482,755.9980278289775,711.62599427876,750.5656623747674,705.9896778080757,742.2875362085149,700.3972783571545,733.843191137199,694.8914040516524,725.9921552563877,689.507675602073,718.8309810736193,684.2754056759038,712.2861835434225,679.218305867134,706.265775335116,674.3552100231982,700.6956061949439,669.70078200286,695.5222657370616,665.266182832109,690.7083152782366,661.0596848786416,686.227149729217,657.0872300092616,682.0591587656861,653.3529335894242,678.1892669330639,649.8595370529492,674.6055548108171,646.6088101104095,671.2986246845267,643.6019010078426,668.2614161283993,640.8396308299216,665.4892301309822,638.3227266447581,662.9797749411937,636.051988931297,660.7331042158622,634.0283913079611,658.7513798718398,632.2531146097344,657.0384253202346,630.727445115105,655.5993778532398,629.4533473295662,694.9948207317468,657.1370814835433,697.169550324924,658.931380889645,699.6405951784777,660.9822933899293,702.4026162635687,663.2899027736786,705.4491583289284,665.853810790389,708.7720082874728,668.6725211943755,712.3602731212936,671.7422493957274,716.199116541991,675.0547661542234,720.268067170213,678.593560997273,724.5387849463934,682.327171125685,728.9721660118236,686.198005688961,733.5147422494804,690.1048123248297,738.0945870131012,693.8784032015834,742.6175563186799,697.256569288957,746.9658763162583,699.8804435913031,751.0028245999271,701.3611352478026,754.588638798429,701.4665184245061,757.6108715288676,700.3266102911723,760.0222609615611,698.2121634026332,761.8610029945548,695.3421491861093,763.2266633246358,691.8389207865259,764.2387086624362,687.7978296218016,765.0027251775291,683.3857493063404,765.5910190480888,678.7897143337301,766.0342896456636,674.1656389845873,766.3197676565864,669.6235273649344,766.3937895427912,665.2337091792082,766.170237330922,661.0384982459877,765.5488519997978,657.0623768402127,764.4463817850633,653.3191382387706,762.8344363813092,649.8164065686896,760.76110904148,646.5583438890537,758.3318633972046,643.5472215913735,755.675069010182,640.7843144643422,752.9156435628265,638.2704001832212,750.1628164007095,636.0060308695745,747.5081392040956,633.9916729507443,745.027980872983,632.2277706100203,742.7864390026307,630.7146878639985
8,789.398385755864,842.6113789488016,790.8008240046546,844.7554690973714,792.4072433675893,847.1733110733328,794.2059909232078,849.8203443004708,796.1853541522943,852.6381800067365,798.334301988226,855.5454050919035,800.6433794906252,858.4182955145349,803.1057924138872,861.0538295169306,805.7187447087335,863.1100960741255,808.4851315441811,864.0441413517416,811.4157320585929,863.1499094069109,814.5320374832002,859.939771346794,817.8696050453609,854.9177217600651,821.4807147834721,848.8016331478987,825.431076102516,842.1382791991938,829.77202220865,835.2640207336513,834.4292041774106,828.3679833407136,838.8446319884765,821.5543063370815,841.0682369249513,814.8822195098553,836.8537642418195,808.3879517676996,830.4591042651867,802.0957166351055,823.8467543000414,796.022955920844,817.5883198164408,790.1827930862881,811.7727177133941,784.5852039368299,806.3632912950144,779.2376249899562,801.307882270296,774.1453281030133,796.5653162555,769.3117064690739,792.1075691417846,764.7385348437867,787.9163699029134,760.4262307582749,783.9795878282413,756.3741270139933,780.2886367280156,752.5807569424842,776.8369521596044,749.0441477423201,773.619308022599,745.7621119834189,770.6317004233542,742.7325230162105,767.8715505057395,739.953557116226,765.3380145970925,737.4238846576857,763.0322327672972,735.1427949727708,760.9573984030931,733.1102448707825,759.1185910178231,731.3268280703224,757.5223742018613,729.7933812114472,756.1762092675934,728.5132597860053,791.4620455845422,758.0791060640472,793.8553170349747,760.2989163251356,796.571512174575,762.8354157789979,799.6025138153988,765.6880426380043,802.9382444126188,768.8555047396785,806.5658997990085,772.3350609589816,810.4689064436769,776.1212316764993,814.6255515470652,780.2035079806549,819.0072222212012,784.5623264395097,823.5761827365714,789.1621278447948,828.2828393360412,793.9397942244461,833.0625384559313,798.786570417511,837.8322049601082,803.5230558667828,842.4876963306789,807.8731997469037,846.9037867557038,811.4596156777927,850.9401658614004,813.8690229612025,854.4579075528428,814.837038275965,857.3489067207607,814.4483047097858,859.5714485523781,812.9037018434279,861.1687225230986,810.3229097220469,862.2460393725971,806.7203404223244,862.9316872983753,802.1387743301204,863.3447250421092,796.8203484372681,863.576149854614,791.0823970107133,863.6805328074017,785.2011245010606,863.6737880574335,779.373665978037,863.5348367912006,773.7254969838116,863.2117847640989,768.3306744927127,862.6353735626443,763.2303392453314,861.741864491773,758.4458762588224,860.5010067376238,753.9872848665926,858.9326394045304,749.8582021225642,857.0944610533672,746.0588263245161,855.0596348835445,742.5875920313924,852.9013117302109,739.4421222533414,850.6879540703081,736.6197663633989,848.485445081398,734.1179003196906,846.3602740283757,731.9340889791949,844.3801046725129,730.0658769129611
9,870.6580621315048,909.2956405153352,872.1639108961717,910.8542006350824,873.9081594581052,912.6085773414728,875.8865389180398,914.5246030070091,878.095389544611,916.5573261451739,880.5322782613516,918.64407538554,883.1968009312504,920.6905093109783,886.0916420334904,922.5447422472695,889.2240040720516,923.956768098104,892.6075736830022,924.5376084543575,896.2652455754899,923.7885157656126,900.2328141461179,921.3646819175383,904.5635202831928,917.6023812255456,909.3318799142278,912.9912948343275,914.6299198090427,907.9104474937795,920.5314031127921,902.5990254835949,926.9462307822421,897.1977005603383,933.1493028795801,891.7899236572609,936.5805440854037,886.4284743759656,931.640877394526,881.1498750205674,923.9261050005705,875.9815599064962,915.9948294516153,870.9452972331183,908.5737329357071,866.058834829226,901.7579278197335,861.3367544169555,895.4815894782703,856.7909876102956,889.6624228819279,852.4311893136376,884.2360439832115,848.2650490797216,879.1584238009873,844.2985731548941,874.401040225875,840.5363511672103,869.9457198129203,836.9818138459934,865.7807539979486,833.6374841448362,861.8983496620929,830.5052208097397,858.2931173780856,827.5864500838851,854.9612747443998,824.8823781124515,851.9002955297144,822.394174331193,849.1087975428584,820.1231153737795,846.5865181634124,818.0706802771115,844.3342761180852,816.2385909693763,842.3538627164216,814.6287963710259,840.6478443546047,813.2429993826022,839.2192875824119,812.0859547743191,872.0688395832034,840.4403385244207,873.6930074504475,841.8489528323848,875.521378164703,843.4378860391255,877.5436560564872,845.1988208323137,879.7482245649405,847.1222275012799,882.1217963438464,849.1970980740373,884.6489267063731,851.4104656713971,887.3113947483487,853.7465536246547,890.0874567797459,856.1852893526618,892.9509764889796,858.6997573628759,895.8704470995992,861.2519812428619,898.8079597986357,863.786366367926,901.7182725025244,866.2206784411183,904.5483410818482,868.4367044552675,907.2380404141768,870.2785253199069,909.7232976452442,871.5755112718061,911.9431679406871,872.2067268256947,913.8515499809942,872.1685261166739,915.4307306739876,871.4867715896619,916.6980092038682,870.1451822032075,917.696504825534,868.0896437845446,918.4794619837774,865.3126821524838,919.0969097318315,861.9548933058262,919.5873156777149,858.2190578922091,919.9733399783814,854.2903381464153,920.2602073398665,850.3079044578092,920.4360045513853,846.3669468652529,920.4743542304186,842.5300091043657,920.3407843624555,838.8379618746392,920.0037402038241,835.3180102383255,919.4480570009878,831.988887627365,918.6829924403734,828.864040791188,917.7365567000048,825.953536603003,916.6451859490865,823.2651995164733,915.4470215425008,820.8052970758735,914.1805619881252,818.5789610547976,912.8864185633831,816.59045208102,911.6089718452922,814.843328649062,910.3959032268037,813.3401504509716
