SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
0,62.94665934840182,93.28628280253913,63.94430379148193,95.36808725083897,65.09615507209105,97.73922078489224,66.39802623487422,100.36604323560938,67.84624958784691,103.20293139193106,69.43824051013291,106.1850137961228,71.17320707574974,109.2134076762301,73.05304659889124,112.12714320617621,75.08349569309203,114.65789556634903,77.27563836034876,116.38254384826921,79.64791850637857,116.75159270764243,82.22880427800766,115.3792888648572,85.06004396536159,112.63335547030586,88.19946408467199,109.04503447712727,91.71861625006193,105.01887665890595,95.67844123890262,100.80458309669736,100.02904212387165,96.54516654569326,104.28361091404683,92.32307661752849,106.68476450935837,88.18886710329225,103.35987504869459,84.17611540895695,98.17955024999344,80.30848262019937,92.9008931252445,76.60295544515175,88.0133565545362,73.07144163057855,83.57270872235729,69.72172348772071,79.52652589412152,66.55817484411953,75.81322311527228,63.58237917460112,72.38495252109917,60.79368404913136,69.20861544445843,58.18969623275327,66.26204533736237,55.766717464699276,63.53015599987591,53.52012363506718,61.00210688146036,51.44469264937838,58.669485541728434,49.53488692014173,56.525268387196064,47.78509534447377,54.56331196633995,46.1898376110308,52.77817232929862,44.74393158866376,51.165099512023005,43.442623109053244,49.72009739409942,42.28167714492796,48.4399762020014,41.25743034859967,47.32235717810564,40.36680692599423,46.36561602821182,39.60730234796,45.568771937103975,38.97694178459239,64.1553167154445,46.18058011915113,65.5650272806154,46.8929752662491,67.17550465845767,47.70553995472829,68.98601542552233,48.61788754114745,70.99494598262844,49.62961826527169,73.1991772031887,50.740188929438695,75.59322954984398,51.9486213923866,78.16813230775452,53.25291559029385,80.90995875609615,54.648934476360665,83.7979622412108,56.12838135709042,86.80226461636946,57.67531354325295,89.88112650843277,59.260553067960835,92.97804023605815,60.83377132204489,96.01934742060675,62.31492745896274,98.91392671406105,63.59174738331898,101.55770068398932,64.53814041216252,103.84660829893078,65.0688327855113,105.70013819357938,65.19866502987443,107.08992117158542,64.96888458441792,108.05443242794395,64.3866503028551,108.67988992486845,63.423922363892,109.06803037268821,62.07502845007554,109.3098804807526,60.427482693237295,109.47066175805799,58.605879130422885,109.58332189481504,56.72011104911986,109.64710841664714,54.84804780368945,109.62943304793522,53.03813329946025,109.47176097385042,51.31772462588735,109.10214758217747,49.70080774787624,108.45646452963058,48.19349193174176,107.50427238944296,46.7974927595564,106.26385966046912,45.5122077284162,104.78988898772585,44.33590953133777,103.15137836580149,43.26641588913972,101.41612880260362,42.30145732837894,99.64530577831327,41.43887273393963,97.89464032383825,40.6767070180801,96.21724272200122,40.01325321574546,94.66474987744903,39.447063279059684
1,154.90748498680716,197.11497177483446,156.36769255396632,199.39882412936677,158.04946289690298,201.97848395779488,159.94511064422267,204.80842242082477,162.04770172495037,207.8295871750045,164.35192686954628,210.96187846804287,166.8551736916445,214.0889611620148,169.55885264449617,217.02975887514725,172.47006957176322,219.49319287001342,175.60379162281245,221.03200956601626,178.98570983183765,221.0748138450811,182.65599359448112,219.22249809104397,186.67381591078114,215.8435930346211,191.1210802282839,211.48010908431536,196.09851793809372,206.55212749716213,201.68990690947166,201.3265860788575,207.81713536561705,195.9640839629021,213.7718624013403,190.56444695922696,217.0230932185384,185.1951023404761,212.01973518104074,179.90576806689018,204.32227015051524,174.73529869840684,196.47191858815876,169.71473683337155,189.1885498818895,164.86875734258413,182.56298694869523,160.2165187491444,176.52464773516493,155.77232969820474,170.9853975532161,151.5462663360216,165.87413169512922,147.54477176637596,161.13961486278933,143.77123741237602,156.7460023766578,140.22656172660592,152.66796117944034,136.90968402172587,148.886971228077,133.8180927093805,145.3888850592102,130.94830605019072,142.16247137947553,128.29632005746734,139.1986397631499,125.8580137804886,136.49009132003812,123.629498425735,134.03119682204826,121.60739518349756,131.81795548304981,119.78902829397282,129.8479347653409,118.17252508352402,128.1201354665576,116.75682269158142,126.63476520731484,115.54159038680947,125.39293356932905,114.52708477218802,156.71330291718812,126.64881310530212,158.81246518626793,128.11697678216854,161.2015953273391,129.79909117875235,163.87644914390577,131.697131550716,166.83136751587568,133.8132577389799,170.0584685632469,136.14953654822943,173.54653224157073,138.70739624867693,177.27951765014893,141.48661190241273,181.23463395066116,144.48347573574944,185.37986958880944,147.6875885722332,189.6708965333408,151.076439194732,194.047360339377,154.60678550950274,198.42884620641084,158.20237612859123,202.71144408518947,161.740127448096,206.76701419246524,165.0437478851802,210.4489532074855,167.90508231288868,213.609556816859,170.1536504585729,216.13200389140894,171.7290985708764,217.96961458909163,172.5649366431584,219.1666566204496,172.5017682712239,219.83358361588017,171.320572666704,220.1045514688313,168.92042173890073,220.10313219193395,165.5253258326979,219.92328646126157,161.49791549803166,219.62222395262495,157.16945057204882,219.22009769703104,152.77977322106702,218.70353619294812,148.48149213784643,218.03273836000497,144.3636241470472,217.15383288026592,140.4743145532043,216.0179231633809,136.83724686236994,214.60338823229122,133.46213247484823,212.9288849694956,130.35100691673753,211.04383520010649,127.50188173384069,209.0108732680708,124.91082294479975,206.89350122811126,122.57312040274479,204.75204490430545,120.48393861717344,202.6448888278204,118.63867260303246,200.6306162029048,117.03313549023505,198.76820137266216,115.66364992791648
2,244.73716638317893,296.4349892002018,246.1865041210187,298.50807835047175,247.85607264857444,300.8130192088657,249.73797322227554,303.29143910672946,251.82469899808834,305.87151532242797,254.1098707091948,308.46322756034084,256.5891589971066,310.94816289607917,259.26145306826254,313.15917383956247,262.1303699513805,314.8466544849063,265.2062467114527,315.6434007534805,268.5088061985695,315.09054829579384,272.07067246191224,312.8724529570815,275.9416057794083,309.2878559641374,280.191954564266,304.7777913996659,284.9088596420625,299.69011570258675,290.16235586674316,294.25372881884067,295.86868612212714,288.61478015992,301.3496010271118,282.87188749139773,304.2121901689222,277.097758384017,299.2293488501873,271.35010512986247,291.6374925695779,265.67656427070904,283.8396532494449,260.11684287547376,276.52547118065814,254.70378758855128,269.7912665954491,249.46412213027003,263.58009914010444,244.41911996859935,257.8174559155677,239.5852755223863,252.4440529804798,234.97496872695837,247.41866983136373,230.5971051604747,242.71403038635512,226.45771918706816,238.3122672693244,222.56053497723101,234.20147301355897,218.9074846970103,230.37342023143742,215.499183975817,226.82219789168283,212.33536295361648,223.5434824195838,209.41524820929922,220.53420710506487,206.7378881266878,217.79244666687472,204.30241299115195,215.3173822275139,202.10822213842624,213.10925547310256,200.15509399349548,211.1692606012184,198.44322032662944,209.49935752934158,196.9731724077781,208.10201672123995,195.74581260452604,246.50115282040272,209.30963630589852,248.54528059290007,210.712273845634,250.86352158556363,212.307186715996,253.4488124496734,214.0912138647814,256.29265009219944,216.06063022962428,259.384493685542,218.2108659285066,262.7109569164342,220.53599617768566,266.25477440505364,223.02783667967876,269.9935228932609,225.6743612971791,273.8980774275019,228.45698261443854,277.93080038914275,231.3460249796936,282.0435266572612,234.29362307437802,286.1755755194925,237.22378551419243,290.25237400167975,240.02165323633554,294.1859080829707,242.52996866869114,297.8790935900203,244.5704887301576,301.23674982475103,246.00816334341292,304.18453780983873,246.81930942676965,306.6913314015453,246.99890950337473,308.78033514793066,246.48779750226169,310.51380256221495,245.18500432468684,311.9670471310958,243.05298864940357,313.2065203727998,240.241377588721,314.27618977266224,236.98047278484702,315.1905909648745,233.4822486844736,315.93214648565345,229.90468278484727,316.45198908727224,226.35363072729257,316.67588138551434,222.89634837239936,316.5186484902251,219.5747085829536,315.9095381488712,216.41486042295446,314.8233519160682,213.4334817491727,313.29825133499867,210.64159120028643,311.419918286621,208.04680521395557,309.29340119936376,205.65465880392216,307.02225648810105,203.46937712590451,304.69979073407944,201.49432727529646,302.40865006666377,199.73228300346838,300.2232899659796,198.1855786124706,298.21163846716036,196.85619622709447
3,326.92114511341657,370.9530903248033,328.3485799631668,372.4373214080489,329.9967598624951,374.0706320498191,331.85945159114317,375.80409773207987,333.9309143784674,377.5788207959674,336.20662814445524,379.32288511551906,338.6842389061332,380.9443173709152,341.36478925964207,382.3164302271448,344.25433272264394,383.2529573942256,347.3660730559203,383.4818066250237,350.72321093730693,382.6643462232455,354.3626583847916,380.57148996624716,358.33946495810756,377.43718004007036,362.7304017297124,373.6020137485327,367.630101193582,369.33500989959066,373.1164689296692,364.81360837206836,379.1113429347059,360.1508741542772,384.93143660355383,355.422392101977,388.14695751020565,350.6831229899984,383.4396268007381,345.9761816668555,376.1416197943849,341.33695996236247,368.69658378937316,336.79498659984233,361.8014006312218,332.37482478384516,355.54708053190166,328.0966158179769,349.86709187565856,323.9765172755465,344.6758640382656,320.02712164316256,339.90259748067314,316.25787793486796,335.4945594038634,312.6755188468021,331.41325283730424,309.28449199053244,327.6301041258318,306.087393453107,324.12321144411345,303.08540083630623,320.8752568259713,300.2786999510759,317.8723379480228,297.6668949421955,315.10343393725367,295.2493869405268,312.5602496988595,293.0257028196748,310.23722546500636,290.9957546660496,308.13154350131964,289.1600131343631,306.2430148752976,287.5195841327143,304.57378591882326,286.07618742979884,303.1278600230675,284.8320460973849,301.9104756488351,283.7897051313197,328.43156365124815,303.6873154297864,330.17930150836673,305.7696508041518,332.1581243740608,308.16185847263364,334.3607644909969,310.86874524022545,336.7785296061233,313.895195226049,339.40073174026145,317.24550529661667,342.2139357892359,320.9221788220792,345.2010398621884,324.9237747496625,348.3402122496822,329.24112318497225,351.60372939155815,333.8507913783708,354.95679436979674,338.70417300681703,358.3564799478256,343.71034951763113,361.7510535439715,348.7121531175039,365.0801291210317,353.46060201467736,368.27637137062135,357.60789533069163,371.26980361217943,360.7636625803222,373.99586065776543,362.65999020129294,376.4073761503222,363.33004424756206,378.48741557781034,362.88769032008383,380.2545781496846,361.34648506337317,381.75265006872945,358.616946959613,383.03379189450675,354.67966483606745,384.1439133485112,349.7973874197081,385.11287889048566,344.3470210281287,385.9487848946044,338.6636268776767,386.6351050771772,332.98735342304155,387.1306115237159,327.470320440524,387.3736655909217,322.2010789916332,387.29381788683145,317.2274883231027,386.8327196616156,312.5731022360955,385.9699869153437,308.24761026143295,384.73805861575744,304.25309682676897,383.2091068546789,300.58766952828626,381.47159658607967,297.24752262980746,379.612763204092,294.2280960145114,377.71106276411894,291.5247177307546,375.83558054357275,289.13295255974657,374.0479646302016,287.04878291897575,372.40387375478844,285.26869406249546
4,424.0517355061471,461.8558193667244,425.6116525591923,463.74790403439374,427.4012227260374,465.88956479802386,429.4086059609165,468.24527099637817,431.6219803008328,470.7677059865008,434.0303686665313,473.3897767231587,436.6246554661759,476.00851567199385,439.39883741989007,478.4551636780316,442.3515819848958,480.44805933881514,445.4882103599437,481.5445507659675,448.82326876975685,481.1723747079147,452.3838433342947,478.9300633443971,456.21349542438406,475.19259729568637,460.37541761764044,470.50712282646225,464.94876372787166,465.29368278533076,469.99672271146204,459.8146335399948,475.43810827803367,454.22317186806373,480.63350436837504,448.6104873423314,483.33339012258716,443.03535024909644,478.6272389163735,437.5396426551849,471.4347373911797,432.15572056033034,464.0158206466814,426.9097166528972,457.0223090154799,421.82303939976543,450.54969979998185,416.9131486893503,444.5501359842954,412.1940704737024,438.9594010475627,407.6768255984685,433.7272778981208,403.3698288378957,428.81984375577576,399.2792712681162,424.21536319477644,395.40948684534777,419.8999311838509,391.7633019235002,415.864266266731,388.34236631580194,412.1017053671572,385.147463793862,408.60713118919494,382.17879832489785,405.37653444080826,379.4362504122571,402.40695503245024,376.9195963894297,399.69659824088944,374.628683124331,397.2449719750345,372.5635517728863,395.0529407676505,370.7245070493019,393.1226415545929,369.1121325846882,391.4572520830597,367.72725759200586,390.06063874470755,366.5708843572849,425.9855735557635,391.48863325503993,428.22841365530184,393.14273173078703,430.7740457732868,395.01734813940476,433.61484932072676,397.1058742815457,436.7412006908595,399.400412004602,440.14061840413507,401.8912999036874,443.7966014287256,404.566285715626,447.6871077363951,407.40908291307784,451.7826084897761,410.3968657774003,456.04364866837767,413.49598688734403,460.4178714840777,416.65489171956415,464.8365712148259,419.793118758887,469.2111202338862,422.78624295568966,473.43022145822226,425.4506315730527,477.36003667987984,427.54211480151497,480.8507998187906,428.7990921687561,483.75466250841896,429.0606392542631,485.95742887769455,428.39478912782937,487.41682173165043,426.9585238142482,488.1822978110355,424.87611607595613,488.3703142062161,422.2139548127956,488.12241448904655,419.03370941235073,487.5715201520688,415.4642981611356,486.8233714321645,411.65840252077635,485.9498186472265,407.7493322520503,484.98890134472254,403.83688109069357,483.9484624871419,399.990400318714,482.8124288505166,396.2568504786675,481.5505995828488,392.6682279954999,480.1327859107986,389.2469345707642,478.5449351650641,386.00927164197986,476.79873663359194,382.96760536902605,474.9258546754756,380.1316828953094,472.96682054830853,377.5094327006463,470.96372909704655,375.1074572036218,468.9587609600466,372.93134159781056,466.99609899832586,370.9858512623035,465.1237456253201,369.2750599048293,463.3930231130982,367.8024333776241
5,513.3561118803846,553.3785433610603,514.8505010841117,554.9437476217341,516.5713983157367,556.6438713354024,518.5102158787698,558.4163632554748,520.6585577170192,560.1874203484427,523.008898526386,561.8707356509389,525.5554314248269,563.3637030859383,528.2951388625515,564.5378893232298,531.2291746465842,565.221103524978,534.3646913457255,565.1776415613032,537.7172945744953,564.1248065177442,541.3142952859334,561.8767812303793,545.1986501472417,558.6322562202828,549.4322077441795,554.6821514615723,554.0922686983306,550.2622680112108,559.2402292300452,545.5355543696134,564.7947361945272,540.6132821571932,570.122212726455,535.5761046745242,572.9954431699017,530.4870164809441,568.5520539916447,525.3978929804082,561.6587496784152,520.3524678449744,554.5482650152447,515.387702027344,547.8616223719213,510.53455787854665,541.6895711193322,505.8186083617943,535.9813803152852,501.26062250654684,530.6705241036149,496.87715100608426,525.704721642951,492.6811009608125,521.0481988689073,488.68228628170004,516.6776070305717,484.8879465404456,512.5776902148065,481.30323270637524,508.7380968071516,477.93166059622484,505.1513950265071,474.7755321025345,501.81203084143397,471.83632144549097,498.71593096138207,469.11502014998206,495.86048761148123,466.6124315038552,493.24470758621413,464.329404035568,490.86935612738074,462.2669948016151,488.7369785360729,460.4265571388857,486.85173906589495,458.8097534484751,485.2190715696363,457.4185003726932,483.84518030327945,456.2548599967584,515.0766630658767,485.48133444719156,517.0659176045797,487.3870905854469,519.315971917951,489.5611233996198,521.8177080421284,492.0017913483451,524.560459190208,494.70684853778914,527.5315059662337,497.67288074184063,530.7153882404003,500.8942530850958,534.0930164143098,504.3611954819815,537.6405603814695,508.05638679333657,541.3280908904951,511.94900542435124,545.1179605914548,515.984752118372,548.9629699003798,520.0701773485723,552.8045196221102,524.0509200536646,556.5712931104541,527.6889805295908,560.1796284024983,530.6584338759932,563.5376066623091,532.6021597361823,566.5554857802247,533.2927396460785,569.1638566030833,532.8072739982165,571.3351897291631,531.325201934379,573.0945522592028,528.95679385166,574.5047466728728,525.7210351494093,575.6409541284121,521.657871460129,576.5690770828622,516.9723576199607,577.3318060310773,511.931527276089,577.9408432559461,506.76757030773274,578.3731142608221,501.64641466284087,578.5706688415498,496.6741090232448,578.4466621332475,491.913840940422,577.901925318437,487.40143844458413,576.8553204337944,483.15636807998686,575.2816099908329,479.1887078646408,573.2331348873557,475.50331283843514,570.8198638209672,472.1022213594421,568.1739627940785,468.98601702122676,565.4229595576322,466.1545873046144,562.6775459971802,463.60753788166653,560.0299028862455,461.3444109355661,557.5565429091697,459.36479187780833,555.321532525467,457.6683527023049
6,600.0579974713883,653.4628794978166,601.3459274402245,655.6839480399295,602.8192149087514,658.1905875048772,604.4661611117291,660.9373883750551,606.2748529214824,663.8647149503961,608.2338837686813,666.8892833456752,610.3332513940342,669.8843519836413,612.5654741929842,672.6416240945941,614.9269900145675,674.8097270922638,617.4199338361713,675.8299213391533,620.0544243255704,674.9751602722982,622.8514758986084,671.7443220963228,625.8464140205884,666.6613444646663,629.0916005294588,660.4705067940964,632.6533962772344,653.737949421559,636.5854610099792,646.810859428212,640.8214884374174,639.8828861411471,644.8298951858794,633.0587768244693,646.7368442560081,626.3961680031131,642.451204870998,619.9285880719369,636.0793579223988,613.6771111807155,629.510755806205,607.6560008103705,623.2930540956288,601.8753970356515,617.5087527102626,596.3426181673188,612.1197675861945,591.0628352718795,607.0737177379625,586.0394709521115,602.3296327581353,581.2744809426707,597.8601845066133,576.7685892798353,593.6484765468185,572.5215086252578,589.6845185993589,568.5321594285126,585.9625668889396,564.7988924348938,582.4793939600296,561.3197131709795,579.2332861929627,558.0925024536034,576.223542765908,555.1152232632695,573.4502835028867,552.3861018443075,570.9144144913906,549.9037702357853,568.6176391129736,547.6673590700311,566.5624382820308,545.6765334432542,564.7519778848036,543.9314704198821,563.1899320673292,542.4327832138756,561.8802350499524,541.1814030182852,601.9032413282838,563.0626299148856,604.0423058848482,564.4299592067605,606.4687910853563,565.9767263944013,609.174937753856,567.6966162279643,612.1511346073119,569.5823691996003,615.3852179653244,571.6255424433513,618.8615403548893,573.8160787253476,622.5597858215511,576.1415468176428,626.4535120225224,578.5858207742878,630.5084098131025,581.1268241525237,634.6803059880979,583.7327994483477,638.9130241047056,586.3564981451728,643.1364149319018,588.9271239806266,647.2652541685983,591.3417570573479,651.2003668370737,593.462857173243,654.8342297075874,595.1362023237767,658.0638595370566,596.2432141101311,660.8122728139067,596.7549443072604,663.053331821912,596.6532450429637,664.8237141835627,595.8692398132936,666.2053962574415,594.2981549569388,667.2963396565887,591.9022629769694,668.1858801225194,588.831752120173,668.939479214592,585.3171767329152,669.5909244089629,581.5705339059801,670.1391367436003,577.7498914053617,670.5484794636951,573.9614362155921,670.7539283546386,570.2730276133126,670.6743750254336,566.7273656596217,670.2364778149856,563.3515755338805,669.4043275142404,560.1633868731176,668.1970189653654,557.1748852408818,666.6750872661039,554.3947237514096,664.9159865452292,551.8294123514245,662.9970827576478,549.4840694022753,660.990357768138,547.362862481551,658.9645185864294,545.4692687869135,656.9884080512225,543.8062294169115,655.1317610334837,542.3762400744071
7,693.1210351304298,740.8375883065161,694.5570658930789,742.2836865287511,696.2131227918816,743.8374712953652,698.0827925469184,745.4333756039483,700.1606507787451,746.9945006701323,702.4431330051533,748.4316610228028,704.9295950059509,749.6401845538603,707.6236215496347,750.4915468682874,710.5346849557766,750.8174295351921,713.6803153270557,750.3923844710182,717.0890070496281,748.9503468524741,720.8040798716851,746.3185968232515,724.8883798620857,742.6829572854831,729.4281773376905,738.3185785688316,734.5290678233338,733.4529533173968,740.2783123189832,728.248317854804,746.5921394897956,722.8201750002478,752.7221056566395,717.2558943658356,755.9980282897865,711.6259942993847,750.565662453756,705.9896778272076,742.2875361995252,700.3972783775212,733.843191108464,694.8914040752469,725.9921552361142,689.5076756331428,718.8309810652653,684.2754057196835,712.2861835364015,679.2183059255492,706.2657753505866,674.3552101083418,700.695606221199,669.7007821207899,695.5222657793927,665.2661829969583,690.7083153418954,661.0596851105827,686.2271498187001,657.0872303336632,682.0591588890574,653.3529340425964,678.1892671078919,649.8595376864043,674.6055550477582,646.6088109963855,671.298625011232,643.6019022502361,668.2614165786399,640.8396325823757,665.489230772425,638.3227291456335,662.9797758820282,636.0519925836646,660.7331056854621,634.0283968855696,658.751382411647,632.2531238499715,657.0384561416489,630.7275392394771,655.5992995326126,629.4531222330119,694.9948207151796,657.1371123254943,697.1695503166396,658.931383440207,699.6405951690845,660.9822948453398,702.4026162514996,663.289903683424,705.4491583182928,665.8538113880807,708.772008280324,668.6725215956706,712.3602731247323,671.7422496740876,716.1991165119678,675.0547663402235,720.2680671755204,678.5935611245474,724.5387849465893,682.327171216771,728.9721660038615,686.1980057489337,733.5147422512463,690.1048123704253,738.0945870176357,693.878403245802,742.6175563287586,697.256569336438,746.9658763320031,699.8804436485889,751.0028246245623,701.3611353130209,754.5886388263665,701.4665184795438,757.6108715598256,700.3266103338392,760.0222609941128,698.2121634378731,761.8610030312467,695.3421492211232,763.2266633567003,691.8389208243669,764.238708700766,687.7978296621618,765.0027252250135,683.385749353489,765.5910190982535,678.7897143910309,766.0342897253271,674.1656390660199,766.3197677603622,669.623527478008,766.3937896830979,665.2337093389752,766.1702375209599,661.0384984731253,765.5488522527501,657.06237716032,764.4463821191711,653.3191386882337,762.834436827788,649.8164071990145,760.7611096322368,646.5583447724388,758.3318641937177,643.5472228316545,755.6750700986324,640.7843162151022,752.9156450966738,638.2704026827718,750.1628186427749,636.0060345209392,747.5081426988846,633.9916785276262,745.0279869074764,632.227779849764,742.7865121717035,630.7147819880723
8,789.3983857123127,842.6113788647839,790.8008239907452,844.7554690655785,792.4072433565628,847.1733110507099,794.2059909120051,849.8203442824245,796.18535414524,852.6381799944296,798.334301982399,855.545405082294,800.6433794839639,858.4182955141727,803.1057924093806,861.05382952973,805.7187447014065,863.110096109025,808.4851315367838,864.0441414191646,811.4157320495041,863.1499095027452,814.5320374718914,859.9397714160581,817.8696050312237,854.9177217983142,821.4807147656369,848.8016331657903,825.4310760805923,842.138279206922,829.7720221851132,835.2640207380142,834.4292041660628,828.3679833459528,838.8446320452828,821.554306346117,841.0682372591566,814.8822195252253,836.8537642984098,808.3879517922213,830.4591042535334,802.0957166723834,823.8467542761274,796.0229559758379,817.588319794059,790.182793165989,811.7727176949892,784.5852040511337,806.3632912803351,779.2376251529117,801.3078822585857,774.1453283344946,796.5653162460969,769.3117067971505,792.1075691341596,764.7385353081575,787.9163698966256,760.4262314151003,783.9795878229796,756.3741279427041,780.2886367235088,752.5807582557268,776.8369521555547,749.044149600013,773.6193080186796,745.7621146170801,770.6317004194505,742.7325267634652,767.8715505018946,739.9535624864693,765.3380145933734,737.423892460771,763.0322327602709,735.1428066113763,760.9573983950112,733.1102630964888,759.118591008091,731.3268591852255,757.5223741892318,729.7937306497902,756.1762092352744,728.51239423173,791.4620455702564,758.0791060501617,793.8553170233106,760.2989163151921,796.5715121625113,762.8354157695112,799.6025138073799,765.6880426302184,802.938244405928,768.8555047295378,806.5658997918944,772.335060950356,810.4689064395636,776.121231667883,814.6255515415603,780.2035079720152,819.0072222178337,784.5623264315262,823.5761827347301,789.1621278388204,828.2828393364906,793.9397942221161,833.0625384596516,798.7865704214914,837.8322049679732,803.5230558812365,842.4876963435138,807.8731997772096,846.9037867741238,811.4596157275496,850.940165885363,813.8690230258843,854.4579075812451,814.837038338932,857.3489067507859,814.4483047689253,859.5714485802298,812.903701906632,861.1687225463005,810.3229097989795,862.2460393904441,806.7203405174771,862.9316873112911,802.1387744398063,863.3447250512149,796.8203485686522,863.5761498614597,791.0823971804142,863.6805328136152,785.2011247326426,863.6737880646061,779.3736663025711,863.5348368006596,773.7254974429893,863.2117847765808,768.3306751438708,862.6353735779355,763.2303401685355,861.741864508326,758.445877567028,860.5010067529537,753.9872867198394,858.932639416741,749.8582047524021,857.0944610617717,746.0588300685534,855.059634888199,742.5875973989891,852.9013117312435,739.4421300543066,850.687954064077,736.6197780003677,848.4854450695951,734.1179185441956,846.3602740095265,731.9341200932812,844.3801046439969,730.0662263508128
9,870.6580621009026,909.2956404570641,872.1639108835487,910.8542006147521,873.9081594479669,912.6085773271018,875.8865389123357,914.5246029950547,878.095389540111,916.5573261379607,880.5322782546808,918.6440753831988,883.19680093027,920.6905093145564,886.0916420282038,922.5447422603931,889.2240040677887,923.956768127055,892.6075736772189,924.5376085067896,896.2652455681134,923.7885158380702,900.2328141364058,921.3646819723706,904.563520269963,917.6023812597149,909.3318798964742,912.9912948550852,914.6299197865252,907.910447508125,920.5314030890856,902.599025496367,926.9462307759884,897.1977005746354,933.1493029641185,891.7899236754297,936.5805445371248,886.4284744004148,931.6408774798533,881.1498750543103,923.9261049953537,875.9815599536449,915.9948294292599,870.9452972994242,908.5737329147687,866.0588349228074,901.757927803827,861.3367545493566,895.4815894668719,856.7909877979699,889.6624228739669,852.4311895800478,884.2360439777823,848.26504945832,879.1584237972245,844.2985736933825,874.4010402232549,840.5363519336568,869.9457198111119,836.9818149376367,865.7807539965473,833.6374857009475,861.8983496609629,830.5052230309572,858.2931173766032,827.586453262189,854.9612747429563,824.8823826801272,851.9002955278563,822.3941809483658,849.1087975398059,820.1231251044193,846.5865181598847,818.0706949907035,844.334276113091,816.2386143828953,842.3538627103782,814.6288370925316,840.6478443446064,813.243483015475,839.2192875574683,812.0847343430843,872.0688395709223,840.4403385157906,873.69300744083,841.8489528263638,875.5213781597846,843.4378860329222,877.5436560531749,845.1988208282817,879.7482245600527,847.1222274987963,882.1217963455093,849.197098072208,884.6489267049446,851.4104656700075,887.3113947496264,853.746553623723,890.0874567817998,856.1852893530985,892.9509764925375,858.6997573648569,895.8704471049439,861.2519812469073,898.8079598058368,863.7863663752663,901.7182725118893,866.2206784535058,904.5483410936904,868.4367044750322,907.2380404287273,870.2785253489574,909.7232976625813,871.5755113092866,911.9431679597487,872.2067268668548,913.8515500007603,872.1685261626385,915.4307306932836,871.4867716459019,916.6980092213214,870.1451822762762,917.6965048404783,868.089643878654,918.479461996616,865.3126822681039,919.096909743276,861.9548934521981,919.5873156882346,858.2190580870963,919.9733399886438,854.2903384154728,920.2602073506082,850.3079048363481,920.4360045630615,846.3669474022503,920.4743542433669,842.530009868672,920.3407843765816,838.8379629639404,920.0037402182206,835.3180117921346,919.4480570145226,831.9888898464433,918.6829924516707,828.864043967573,917.7365567091292,825.9535411690055,916.6451859554805,823.2652061322262,915.44702154524,820.8053068053463,914.1805619875888,818.5789757674679,912.8864185580429,816.5904754938522,911.6089718348655,814.8433693700971,910.3959032074334,813.3406340835611
