SP,0,1,2,3,4
0,2999.9999999999995,1297.7060100344058,1356.4257093892986,2999.9999999999995,2999.9999999999995
1,1658.014914693413,3.4233334819569243e-31,9.042036319055984e-15,404.69570698246883,1182.5285086346798
2,1.0815361507271633e-28,1.8716478767153555e-33,1.9931912255527124e-15,7.795444034325528e-29,1.7282575824348803e-29
3,5.374589275808474e-30,9.487535893007642e-28,2.876967485158601e-17,9.162945080620168e-30,1.3733846005267205e-28
4,1.7877323134446777e-28,6.620034567360906e-28,6.673785561608637e-16,4.215475417135799e-28,3.243126351288154e-28
5,4.9893017007092285e-29,5.004726296087159e-27,1.5269244564471558e-16,7.9890038982584805e-28,3.705871784690483e-29
6,2.528880335547734e-28,2.0560861437364967e-27,1.002844651284284e-15,1.1100625962430879e-27,2.7932673884945675e-29
7,6.718287440768737e-29,1.8564439026450445e-27,3.402555436619962e-16,8.827923785242593e-28,4.077070643399925e-28
8,1.7169595018590706e-29,1.3118602201650892e-26,4.4334340726617256e-16,5.061511931237304e-28,3.2848596582722902e-28
9,3.527814031806457e-29,1.03808767041894e-26,4.1196463035156214e-15,5.914225625648089e-29,4.379246802248293e-29
10,9.732304609158461e-30,6.235661742217166e-27,7.435168787167849e-16,7.034150942990622e-28,3.061724875570954e-28
11,1.0607876447617032e-28,5.6684987254957005e-27,6.125646292915372e-23,1.8075948502583186e-28,2.416646474635178e-28
12,2.4832098202617898e-29,7.210743311451376e-28,181.02578232856263,2.733733830105082e-28,2.781334347247845e-28
13,1.981622967130325e-29,1.2043214102293332e-26,136.23880365003814,6.28139881681444e-28,1.4690250402429562e-28
14,5.318217546137107e-29,1.6206822200791075e-26,1.230967641566609e-16,5.76327951584883e-28,4.084980317310902e-28
15,1.6139577591677032e-29,1.3555956191969697e-26,3.316853977093664e-14,4.006262350692833e-29,4.155827606337786e-28
16,1.1633950495353754e-28,5.112688752832782e-27,3.017639102259318e-17,1.1913613240329637e-28,2.6921038612995244e-28
17,3.6458271947081075e-29,4.052129760342144e-27,6.430353388000325e-16,2.105338090135159e-28,5.254485477395976e-29
18,9.5630145394988e-29,1.5711875490304806e-26,5.46889554158712e-17,1.7212389050299623e-28,2.891851279230799e-28
19,6.052679111869861e-29,1.2384522255175036e-26,2.5462111281412084e-17,3.2493266420028657e-28,3.8214337315401607e-28
20,5.26642513338451e-29,1.852399503928611e-28,4.079315171771291e-18,1.8222478067577028e-28,2.706679694084749e-29
21,9.054507118542123e-29,1.7898043507541038e-28,6.408747697166187e-18,3.494457801618258e-28,3.5995648415264113e-28
22,8.80280906443784e-29,2.8416818514039187e-27,1.3030145344770978e-18,3.213892630569645e-28,2.0748048933256576e-28
23,7.854780243200233e-29,1.140155640421246e-26,5.819243494344481e-19,3.2044554722794354e-29,2.6234204297967977e-28
24,6.3627554362905e-30,1.3173438771623192e-26,1.2842788095922408e-18,7.552463333479485e-29,2.9926108031233967e-28
25,5.136432592189222e-29,4.150615031804319e-28,2.484426864305496e-19,1.2036263427518727e-29,1.4366914600473172e-28
26,1.029717440755345e-28,1.297741141075939e-26,2.1958249541465513e-19,4.0088796782025094e-29,1.9896021362673224e-28
27,7.127464987227823e-29,1.3516020012346386e-26,1.8516000268665596e-19,2.56726497698005e-28,1.0727186980123798e-29
28,1.014361542395751e-28,2.7207240740249836e-27,4.57373944441484e-21,5.817863921406099e-29,2.745805378440569e-28
29,1.0077753472300146e-28,1.1146638968622404e-26,8.644217700703282e-20,5.068535267361433e-29,1.293943151930353e-29
30,9.421155994089024e-29,1.3867884283549774e-26,1.427854576074923e-20,1.7494771456621387e-28,2.3216580449599196e-28
31,5.055709119361193e-29,4.3278798116217665e-27,2.086193297367484e-20,3.9047453561080794e-30,3.166739561119743e-28
32,1.5035465088288653e-29,6.921094359412377e-27,5.420515488071302e-21,1.1415390736665818e-28,2.225280839238826e-28
33,3.9724984665869326e-29,3.125952613980561e-27,7.33007725498419e-21,2.037985558978806e-28,8.131028073643474e-29
34,2.822397840623764e-29,9.384940100237365e-28,6.227858331450811e-21,1.7260543242208742e-28,1.2834410691091461e-28
35,9.664106715127144e-29,1.427021196374899e-26,6.998724953392272e-21,2.6196819872453634e-29,2.9662884264423825e-28
36,8.248365355505266e-29,3.508243677373289e-27,2.901186253797272e-21,3.346168496190557e-30,2.931189045336999e-28
37,5.584892000123974e-29,7.110565132521757e-27,3.29062428972856e-21,1.2486978721960165e-28,1.9123829907742353e-28
38,8.863457684543374e-31,7.456885036601244e-27,1.0115126264044233e-21,8.918441145982465e-29,4.4435545811026824e-29
39,5.85452982834949e-29,1.3624459305272114e-26,5.378894940587239e-22,3.1341744894110033e-29,1.1681253779816154e-28
40,1.601753447679048e-29,1.3462796264257764e-26,1.4804171241366709e-21,1.498418342312951e-28,4.2277636664442665e-29
41,7.949808955656301e-30,1.510788233747784e-27,1.697995930118652e-21,7.548645440675471e-29,1.9786273975120002e-28
42,8.848849397769716e-29,1.1616216630226967e-28,2.5118938857652984e-21,1.3761851659765941e-28,7.087882236814166e-29
43,5.456036453488531e-29,5.490561817192521e-27,8.24735339384347e-22,5.733687259949365e-29,2.6860978186752975e-28
44,7.457357753096828e-29,1.0593485358909406e-26,1.6423357284926704e-21,9.199893200247304e-29,5.2970662462177895e-30
45,3.573981863957601e-29,1.1476844279819462e-26,1.1746152131604073e-21,1.658284174716307e-29,3.751634249965735e-29
