SP,0,1,2,3,4,5,6,7,8,9
0,1311.7108660577348,992.8430835362532,2959.793549243317,2999.9999999999995,2999.999999999948,2542.8908508010513,324.13231126604364,554.2953796194294,2999.9999999999995,1374.3684345125564
1,2.8056956474281302e-18,4.579005045006042e-23,3.45771178260859e-18,2999.9999999999995,7.349238350514478e-26,3.6256895639638486e-21,1.9705191619443635e-20,8.239980952258764e-21,2999.9999999999995,1.959514507181065e-18
2,8.049420839277704e-19,5.884509634008758e-20,6.253216314474061e-20,2999.9999999999995,1.8366928126640537e-29,2.4253688796001513e-21,3.820274544995365e-21,1.4359109600644554e-20,2999.9999999999995,5.600483803724626e-19
3,9.775277490003156e-20,3.4499093015162295e-20,2.00496456511156e-19,1094.8945612117877,7.769636284814396e-23,8.640034733567822e-21,2.3693145188897104e-21,3.72296122287191e-20,2999.9999999999995,1.1796265094898977e-19
4,1.464063716725932e-19,4.399315719801613e-20,1.2593951508345983e-19,9.703038649439744e-21,1.4672611535585025e-21,6.0463438416074954e-21,1.2623569097919356e-20,3.2960978938894783e-20,2999.9999999999995,1.0849612974997842e-20
5,3.445832740988376e-20,4.683740268912453e-20,5.127897453469957e-20,1.5359442253641913e-20,1.054675841875744e-21,2.7215063704295744e-21,9.736962583994153e-21,1.9610020738778033e-20,2999.9999999999995,2.677009296559342e-20
6,2.6798088263346295e-20,3.690364414892992e-20,1.8004898454424865e-19,6.858178750859868e-22,2.322183983086514e-22,4.57337461833428e-21,8.17971929972908e-21,6.170146731750682e-20,2999.9999999999995,1.8337942821006626e-20
7,6.747003911693124e-20,4.4387401504696554e-21,1.0456576935642599e-19,1.0455968821072337e-20,2.937550255827248e-22,8.36203841822939e-22,4.4193220616086016e-21,3.499169406460571e-20,155.54638785888997,1.3104346611762897e-20
8,4.673773752273148e-20,7.79431614217759e-21,6.723793983030839e-20,9.937433016425808e-21,4.923459128940042e-21,4.820220656149166e-21,6.509353166017808e-21,4.263389144474802e-20,5.707981102282657e-20,1.2037444915225616e-20
9,7.045755067202233e-21,6.168770113856378e-23,2.422419772330903e-20,7.93996227997515e-22,2.3340632311989583e-21,2.578321129979784e-21,1.7655170135974827e-21,3.7875286271592303e-20,3.956014440491032e-21,2.002323509287978e-20
10,6.856160925128125e-21,1.4459674598584087e-20,4.498888297905765e-20,2.2715436441883646e-20,4.167482919227789e-21,1.46506144647873e-21,3.708345220010661e-21,3.2524518406394434e-21,8.807719526176866e-21,1.7766826281583496e-20
11,2.2608436206980133e-20,4.1098850732701924e-21,6.163248361491223e-20,2.2729398651775563e-23,3.4625839045946387e-22,1.9972074225691043e-21,4.048685502989523e-21,2.8089495949111807e-20,6.67684938300518e-21,1.5462901235143904e-20
12,1.7020531881667878e-20,1.3752400477593193e-20,8.70798477341673e-20,7.158631369216557e-21,3.7081612008495784e-21,3.6910635936728865e-21,3.3833958909716996e-21,1.8572369461870045e-20,7.06993762980622e-21,1.15135347085169e-20
13,2.2709368574287784e-20,5.101143907347789e-21,3.044023498040599e-20,2.8780086457184535e-26,1.942755582300522e-21,3.5289829415097365e-21,7.082542207122022e-22,2.3188626363374635e-20,6.4474917351267714e-21,1.2581033957723554e-20
14,3.3950667125666536e-21,4.484938154864128e-21,7.297495487111746e-20,3.471811210603009e-22,6.594963393300043e-21,2.8889176302528978e-21,3.935882120121835e-21,1.5206998190612868e-20,2.2312796881812357e-21,7.123364856510334e-21
15,1.2690928453868564e-20,4.238184136096115e-21,2.556325190093052e-20,1.1531909549735613e-23,1.4352559306739826e-21,8.126487888812025e-22,2.9995071507207304e-21,4.698785875956355e-21,4.921243243900825e-21,7.931043836677001e-21
16,1.1654533207604755e-20,2.5012058113088506e-21,6.56868700578916e-20,4.808090985720081e-21,3.91128898066023e-21,2.4136459300765803e-21,2.0453107974178373e-21,1.3834817597879485e-20,6.1138324192838655e-21,1.978306794907439e-21
17,9.960458477854016e-21,7.27947448479779e-21,7.168956072883043e-20,9.561648531399544e-24,2.8424930618510018e-21,1.1661687390309648e-21,4.798904050457397e-22,2.478884820339489e-20,2.568255930627768e-21,5.221640517354126e-21
18,1.380819231801615e-20,2.1596840071760283e-21,1.6031675501389027e-20,9.167477143865756e-21,7.825162320133062e-21,1.2314365675517765e-21,2.73651063737551e-21,2.022097533451645e-20,5.224876626735734e-21,1.0589986406019966e-20
19,1.1603905149693179e-20,7.10001821509773e-21,9.19387037240521e-21,1.2023540121243484e-24,4.308521574491164e-21,1.6756487722189124e-23,2.658888911024192e-21,1.1425696242633672e-21,2.4140273096143748e-21,8.144808317166509e-21
20,4.9344261004363654e-21,2.8479354542568886e-21,5.862863285720783e-20,1.095916413363335e-20,2.685459674288088e-21,1.5680087238882183e-21,2.3880716401309413e-21,1.8232816465230037e-20,4.770564354965964e-21,7.08721624585078e-21
21,2.259518327435266e-21,8.341082653292887e-21,6.517151290830923e-20,3.567341227295461e-21,8.22823207445496e-21,1.6417277419545334e-22,2.853003983391686e-21,1.694363674985281e-20,4.134059652601818e-21,5.92884473895793e-21
22,3.2212344121202006e-21,6.4516760616273426e-21,6.417583100055582e-20,1.2016894639881361e-23,3.4440618915132954e-21,2.571201590890405e-21,1.5580198058080153e-21,7.919734310221195e-21,3.962224867874242e-21,5.642903795976686e-21
23,1.5722748205547812e-20,1.3808979822080615e-21,1.9558008703294336e-20,1.0601742919997333e-20,8.517798855659428e-21,1.1630700634185423e-21,1.454041438286027e-21,7.203549140714277e-21,4.575782650957347e-21,1.1984725820557126e-20
24,1.6072665597548524e-20,3.557148440736078e-21,8.280467692051859e-21,1.4827788474691577e-21,5.5814085227634164e-21,1.0012256027185179e-22,2.8777347506822592e-21,9.298084729244718e-21,2.2065073542318444e-21,2.3886158216269117e-21
25,7.487532553758208e-21,5.835647121271535e-21,5.488246418963885e-20,2.5285829418791764e-21,4.565211264806e-21,1.076161727651443e-22,1.8664303078261673e-21,1.369105055042399e-20,6.412109195180887e-22,1.1325893994303397e-20
26,8.264646991934343e-21,5.174398711142526e-21,3.271654489694015e-20,2.8713453654695344e-21,3.371323971471764e-21,1.250607927542948e-21,3.1576222716885376e-21,9.768954288958201e-21,1.893827429709553e-21,8.462523990497542e-21
27,6.798766131967532e-21,7.524654031862291e-21,3.8898338446826164e-20,1.8459461444491888e-21,2.968793943948304e-23,1.743217162207115e-21,1.2496006436748457e-21,1.1538433600999037e-21,5.736683277466772e-22,5.9082008359808096e-21
28,1.174909197007323e-20,4.587543305665605e-22,4.6476291928858586e-21,5.788299795447531e-22,9.301211836981886e-21,4.716359846256995e-22,4.104944298581274e-21,8.960702400136839e-21,1.5126900816792574e-21,5.952288883578419e-21
29,8.76295273003463e-21,8.993820661582415e-21,4.96161553070508e-20,2.5067507114562055e-21,6.600319670494072e-21,4.853264617152662e-22,2.827360093826101e-21,1.998026090425857e-20,1.3530876754929044e-21,1.958615432638131e-20
30,5.4154246152402254e-21,1.6159659023008304e-21,4.167048316191352e-20,7.3311462072646965e-22,5.660779220005926e-21,3.201221899606553e-23,4.167568185625312e-21,3.584127818171661e-21,2.3448790127696304e-21,4.395750771542853e-21
31,3.1755659384969663e-21,7.770939391521957e-21,5.0033013592689496e-20,5.387266577060325e-22,4.469618002768193e-21,2.120079807098372e-21,4.2448974938608396e-21,1.9696128655249928e-20,2.386011719203574e-21,4.456013143513683e-21
32,6.046420108679812e-21,5.515707529141826e-21,6.161283807536409e-20,8.321956908394699e-22,4.986782754539673e-21,1.0892373637904672e-21,5.223292886311016e-23,7.403108665992343e-21,2.356406779172588e-21,2.180439880438947e-20
33,8.54877565635903e-21,5.386982576090393e-21,2.972777572086129e-20,8.441841575331029e-22,4.376287856449721e-21,1.825467242774448e-21,2.7515051792442063e-21,1.1154743439126018e-20,3.1132674250218955e-22,1.7562098474131447e-20
34,1.231613919891577e-20,1.3196353314539672e-21,5.250440282836371e-20,2.100478422067255e-22,4.414623038866114e-22,9.62418572420782e-22,2.607222806035792e-22,3.808540721813076e-21,2.0757622199100052e-21,6.4680298613228325e-21
35,7.068802736642645e-21,9.734925442214285e-21,1.6978743079619062e-20,4.93600502683741e-22,9.91742783203554e-21,1.4697781925591747e-21,5.239069016970678e-21,1.2122394152799922e-20,2.506015688730044e-21,1.7823176471444282e-20
36,1.7479266261547715e-20,1.814590935061962e-21,3.400077823987148e-20,1.8304462803727134e-21,1.0321987031477143e-20,9.909580934792554e-22,3.0035094396788128e-21,8.747983923964106e-21,3.3313481421771018e-21,3.201722225406017e-20
37,1.3010200619185357e-20,6.052933701619786e-21,2.2651975598662718e-20,9.870621043170124e-22,9.801272531849913e-21,1.5063465561063967e-21,2.6079946756659753e-21,2.790528395886942e-21,1.0493032952144054e-21,2.9380796955639384e-20
38,2.0271282976060988e-20,5.1319806947030444e-21,2.7611147672472465e-21,9.840071623643145e-22,3.169506871433363e-21,1.0180330351026181e-21,5.221213718360852e-21,7.740888461089595e-21,2.830504827871336e-21,4.4633400091329066e-20
39,2.704709075657524e-20,7.115059597949257e-22,5.571747387433385e-21,1.2821226114730525e-21,3.842624836152012e-21,7.798941189488691e-22,3.976784718985169e-21,1.3512559751808611e-20,7.982464149173413e-22,2.1875536740965815e-20
40,1.9477295535185096e-20,9.365616448146272e-21,5.617770548696825e-20,1.5282902036658991e-21,5.847330731879484e-21,6.550942064402354e-22,2.212779019309405e-21,9.973256666879509e-21,2.1422760179430118e-21,4.557557698438222e-21
41,9.606570894067733e-21,5.195794291277239e-21,8.90438308313644e-21,2.382272180880359e-22,4.780669360239257e-21,9.762093985339496e-22,4.152902074950452e-21,4.524258099958641e-21,1.5460609983122663e-22,2.1487366688499143e-20
42,1.649971258344711e-20,1.0548019624329158e-20,3.737055963486385e-20,1.3373889285381702e-21,5.224654792738299e-21,1.0900987194351562e-21,4.498292762195953e-21,8.840230844352852e-21,1.706776557838937e-21,5.750273008262386e-20
43,1.1975385745304633e-20,3.600711630774451e-21,2.969941179156285e-20,8.138194190215052e-22,2.6649980802216077e-21,2.1612257790172976e-21,3.829896253057353e-21,1.850398801986671e-20,1.5954518190074386e-21,5.973089227139375e-20
44,1.9206829992125935e-20,9.899536441461578e-21,2.7930087859876793e-20,8.280489166817851e-23,4.9304639739646896e-21,2.0505809625554527e-21,6.332994666317852e-22,1.4143078198970705e-20,2.6022698363461395e-21,3.177276698228086e-20
45,1.0476704465417291e-20,3.4681431706879386e-21,3.560054195996508e-20,5.917910960559131e-23,1.000151575971909e-20,8.588181599913986e-22,1.1483544501441578e-21,1.8455608228156787e-20,6.462930430928656e-22,7.406307061511794e-21
46,9.387244881087545e-21,4.3942759361271134e-21,4.671714994442299e-20,3.574030189536692e-22,2.9696708535634613e-21,9.960517131240041e-22,4.236566939685976e-21,7.836218458155224e-21,1.1963921223458169e-21,6.403008287724271e-20
47,1.1684307380388017e-20,9.160142315169011e-21,4.4944134295161795e-20,1.0417334642623494e-22,1.5436022557380595e-21,5.303334458871887e-22,7.175150520468668e-21,1.2034571479912018e-20,3.3149185463592556e-22,2.5610316276547317e-20
48,2.1017774357700084e-21,9.018301110685988e-21,4.176484026629107e-20,2.7840501076279204e-22,2.555560568043549e-21,1.0928500627464535e-21,6.316037746172719e-21,8.739803229695407e-22,4.39860502491468e-22,4.982326448993821e-20
49,2.4784346420333397e-20,5.5350027387173955e-21,3.308685463364164e-20,7.285782652047157e-21,9.415203170219912e-22,1.843747645904323e-21,6.403611246299657e-21,1.8247947751403488e-20,2999.9999999999995,6.8142655599617e-20
50,1.527617017221743e-20,9.240913038569896e-21,1.8407810779877986e-20,2.0256358617569308e-21,4.330834959579222e-21,2.944760286728787e-22,2.7012497571361504e-21,1.1611977203615732e-20,2999.9999999999995,3.737865125253685e-20
51,4.209796881758428e-21,3.5705791763007006e-21,3.439871113392697e-20,2999.9999999999995,4.930311181073679e-21,2999.9999999999995,5.40935521094332e-22,1.3558692842416915e-20,2999.9999999999995,3.9473101947012116e-20
