SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1387.2291161231105,724.1355149446385,1649.6043900482164,2999.9999999949814,3.367782073218015e-09,2999.9999999999995,411.6285264533146,2999.9999998526123,2999.9999989309463,453.80644669231884,1217.521109486931,999.4202357505646,8.662967334110917e-09,815.6168840300485,1.9548215428755978e-09
1,3.7667675717143227e-07,6.220744656980851e-08,39.44374569331679,2992.2395044606374,1.9685361867558825e-08,1190.5835323460108,7.957404236246368e-13,881.657376168881,2999.999433522937,7.417822512271905e-10,1.245151632354221e-07,1.211731075244219e-06,7.60124200458223e-09,30.191419619109666,5.18911502311516e-10
2,2.6096239223133113e-07,1.2639782330684066e-07,0.6983103506273378,3.2979722294491405e-09,2.834999157943489e-08,1.0564169947218038e-10,5.255836453471272e-08,2.3357811391615326e-09,1.1128103211756985e-11,2.0574248163271565e-08,1.8697642268026263e-08,5.679475790467325e-07,8.591529812784216e-10,0.010232408861433735,1.669329942231181e-09
3,7.863719927015811e-08,3.608321885747185e-10,1.3889033554362213,1.634093152273716e-08,1.1368640657449575e-08,7.604723191125522e-11,7.437881513234678e-08,5.088166551727079e-10,1.3812781679243945e-09,5.148363589308643e-08,8.125251556602276e-09,6.814729159709804e-07,5.78205945360059e-09,0.9377027030067704,1.937627922370014e-09
4,4.127787392104883e-08,4.154548389908087e-08,2.15374959689816,2.325917053225027e-08,7.625307128312937e-09,9.754763968894635e-11,3.782817055916816e-08,2.5379272899344206e-09,1.903555356374252e-10,3.4476487029198275e-08,4.033345749631047e-08,4.896324280684664e-07,1.7821150553714463e-09,0.16047076354950673,1.9740190256804287e-09
5,4.780385136906018e-08,2.5635700961173736e-08,3.2752594491016085,1.6698065051858543e-13,1.519775758265797e-08,1.5234741833852655e-10,4.11102010489284e-08,4.343925798284396e-09,6.490578989100469e-09,2.4462699196197228e-08,7.42626576071289e-09,1.4473757600996662e-07,5.989347612727782e-09,0.020025553090832655,5.108218097886004e-10
6,8.203777351239472e-08,1.4780032461268561e-08,4.064601971919121,1.39192950848242e-08,1.2057543989081111e-08,4.6282871676111044e-12,2.502719281926968e-09,4.730852849847357e-10,6.24761114097472e-09,1.80790848461294e-08,4.592189729167995e-11,2.3351052250318778e-07,8.756487770423842e-10,0.5928491252959345,9.73332017035763e-11
7,5.811440224285013e-08,4.831454222212428e-09,1.9564132341254556,4.0698386246230534e-11,1.3148431289920275e-08,3.5171775560658047e-13,1.609468975260301e-08,1.560740528630357e-09,1.3503743774068411e-10,1.9643492072542016e-08,5.746932379735243e-09,2.3110080511618545e-07,7.774588886416898e-09,0.8240767865598655,1.4386035534775788e-11
8,1.1488596445103116e-10,3.42625974980219e-08,8.529231188578741,1.8366922306861538e-10,1.1126073147941097e-08,2.3590682195306376e-11,1.869434126849932e-08,7.401096693751223e-10,2.575934216765798e-10,4.8195087834308064e-09,1.5940355247231222e-08,3.322970377422096e-08,2.2406687270937173e-10,0.10886923775403426,1.969426003446517e-09
9,1.9852225936475213e-08,9.555638308180755e-09,14.39883593997912,5.280794622286837e-10,7.46889803159282e-09,6.929760246336312e-11,2.3219057818317722e-08,2.763797604841785e-09,1.6482043558070038e-09,5.904128947516213e-09,5.895343465367909e-09,3.280370645927781e-08,6.6118215931802095e-09,2.2263714676050417,1.024003790975123e-09
10,2.4529793350419554e-08,2.6794711467244e-08,5.836620138964368,4.3534453607164837e-10,2.004504637860197e-09,1.1557240270739749e-11,1.3274788381893662e-08,5.728902132439663e-09,3.1835693832869967e-09,1.8657485606286985e-09,4.090007944044641e-09,3.426097159293388e-08,5.2440004336822625e-09,2.636621221850145,1.2233948017341053e-10
11,5.7789959809051355e-08,1.095474808715476e-09,0.46657668625393195,1.4196914415337243e-09,8.126229246731525e-09,2.4764826331916413e-11,6.966714036691198e-09,5.516792160998327e-09,4.370867331900332e-09,7.231121726759598e-09,1.6749146594565209e-09,2.592120490228182e-08,5.343745568889403e-09,2.2138337305931026,1.5164318034463922e-10
12,9.936759576205112e-09,1.591432077575469e-08,0.36374342831751494,2.975749735147428e-10,9.058012484934189e-09,8.927477757598551e-11,2.073235674262843e-09,2.484303538598974e-09,4.5496361917078825e-09,1.1476938178936932e-09,2.4362775769448007e-09,5.43555960645144e-08,4.4204978220940065e-09,6.638933784533283,1.2981473282773265e-09
13,1.2953104836751506e-08,2.279241922854616e-09,0.04897898557419875,5.99443432068811e-09,1.9951641290941987e-09,6.364697178580377e-11,1.3756230916525669e-08,1.4882786052680347e-09,3.648827763941043e-10,1.4683844324820397e-09,9.850908080067388e-10,3.124125040683685e-08,1.4155541805854534e-09,9.52046552560887,2.014997387261158e-09
