SP,SIReN_r81_c42,SIReN_r66_c34,SIReN_r35_c60,SIReN_r77_c56,SIReN_r58_c51,SIReN_r45_c36,SIReN_r70_c35,SIReN_r37_c40,SIReN_r39_c54,SIReN_r74_c58,SIReN_r54_c37,SIReN_r49_c31,SIReN_r71_c61,SIReN_r67_c31,SIReN_r59_c44,SIReN_r72_c42,SIReN_r68_c53,SIReN_r73_c62,SIReN_r58_c37,SIReN_r35_c36
0,1176.269431506929,2.3419963600349186e-175,882.7773296314551,640.1619406152874,4.866366065295225,156.16188165021998,1760.80781078,321.3597731503555,289.6757068017023,869.3910615122381,201.44756487122112,309.78540499168986,20.63241012617696,1842.782635943284,13.794812261170756,18849.77710980937,108.85780795512638,297.6653469715056,7.191588840035691e-45,940.2522058937948
1,1127.1102529050802,3.159556834807505e-196,834.1111571930678,695.7930293013742,4.160792998451296,152.17183491896623,1703.3488576946197,320.9944767683686,322.03767812780313,862.8591632023127,196.65516326200918,299.64743851502453,13.573012273891377,1759.3512170411786,121.46059611667873,114936.91536276523,261.42689813668204,285.4720003959026,1.4349597390420136e-42,909.2946838699422
2,1093.53270982977,1.697961965951937e-218,788.4647477635078,863.140478139588,3.507068027525953,160.09624247277407,1685.9471308188638,390.2875842867772,512.8069959831569,855.9699576773581,191.37003847581218,290.3290452381858,11.418177352111321,1675.8461527777545,318.23141869005974,263983.2318405002,683.8875932764092,239.70587854290693,1.4251999649885337e-40,877.84323959505
3,1075.225918353821,1.5468492046770208e-242,746.0192583314927,1108.6295520269477,2.905852440417292,190.58293459440426,1711.3497930605852,593.9359796814534,992.0569424713959,848.3861340033798,185.61678238229885,281.8774901387201,11.535158937512495,1592.375962689059,7.466064219897201,227389.42883514756,1167.0655725240574,176.17519006009124,9.273142842376672e-39,845.9333274019638
4,1058.434858371263,3.0915477026777687e-269,706.8642213361377,1289.8705349040858,2.360108370265344,248.3351872981506,1751.6912368444055,951.592091818739,1781.1404373835367,839.4691701641062,179.42014693213224,239.14363705336518,13.537676545942954,1508.8956343213817,805.649580267747,85047.55550850218,945.8342008475507,147.91398272834786,4.381729808814881e-37,813.591180312222
5,1020.8125767978589,1.8052288613504438e-302,670.9867463292477,1280.117316720377,1.8734301924370393,326.74058634768494,1769.6930980191848,1390.7897070730248,2676.065013160329,828.7599459873858,172.81641813074415,140.5958712245907,18.247198945391915,1425.222642087318,134.65727936806792,241395.42467255204,773.5479795321028,141.32809725351774,1.5849043679856495e-35,780.8435900584674
6,949.3883652026935,1e-322,638.2693364142152,1084.1020790478733,1.4448170050816371,412.814394492825,1742.8376416566134,1742.1642099757753,3368.828906817,816.1228055365732,165.84561655598142,156.24037654370275,27.887732158231096,1341.0380260441755,1003.6923532172812,50412.48403749921,3254.9777124946872,144.74130293994216,4.4760228101767555e-34,747.7320510579306
7,857.5308597555784,1.023e-321,608.5084611943001,797.006602852542,1.0747752447319876,496.7646840149011,1674.254915672035,1857.922570106698,3571.7772605620858,801.575229754183,158.54810574727878,230.06101488039906,42.92992508730516,1255.9075314221402,1924.3287959538636,298053.4807269025,5046.05133000687,158.59498744016201,9.508318185441774e-33,714.3119397322965
8,768.1706831252625,3.6e-322,581.4062410988134,499.3957438323768,0.7629366159378849,575.129116837475,1591.4308677735585,1667.0170217739108,3148.5302612478904,785.2025300181292,150.96987530192962,251.03908122833354,58.61565105682221,1169.3230711482033,1195.7433883096548,51293.786384577936,4871.114756894577,186.18442484746546,1.1957940607977185e-31,680.6429273471553
9,686.1053773197578,2.08e-322,556.6121719575854,813.9989837775245,0.5078508660612113,649.1550534700657,1520.7956688805793,1189.7330543619742,2163.228776815411,767.2594175781527,143.15853923974225,246.88833228097673,72.10095856033749,1080.7143770772009,1871.0605039292436,182772.90433023614,2803.399487879498,238.55336846793182,1.2666201313495577e-30,646.797513636635
