SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155
0,0.43494756073188284,0.28613861776725974,0.4380408890616586,0.2860817099363479,0.4415532279557624,0.286000460961244,0.4454274900291838,0.28588855612743036,0.44959184295700716,0.2857393295141723,0.45396309607551816,0.2855459723874879,0.45845755205721556,0.2853017423308741,0.46300908540209285,0.2850001607333523,0.4675811073786446,0.284635193021779,0.47213431829755076,0.28420141298891965,0.4764967226727558,0.2836941574779224,0.48012864817418843,0.2831096784802723,0.48189419122756966,0.28244529510461697,0.4805183592586254,0.28169953959415833,0.47744946210222544,0.2808722834137648,0.4739959879192978,0.2799648249459701,0.47086082598062096,0.2789799220862375,0.46834795053612915,0.2779217611592728,0.46656756926466686,0.27679586480192836,0.4655487850585151,0.2756089509413672,0.46528982689498993,0.2743687595545521,0.46577561437520154,0.27308386320350575,0.46697807652726064,0.27176347334984097,0.46884465521456337,0.2704172499585461,0.4712746068616153,0.26905511893472434,0.47407987246661853,0.2676871009516751,0.47693052691563603,0.26632315541084955,0.4793079591270503,0.2649730434081178,0.48056256355863813,0.26364621281999684,0.4802970871122418,0.2623517068404812,0.4791058221228719,0.2610980949964085,0.4778138447928782,0.25989342362828866,0.4770959525975108,0.2587451817121678,0.47742765640729695,0.2576602779975195,0.47910670640854336,0.2566450265568119,0.4821592959204212,0.25570513942644385,0.485876129018966,0.254845726370775,0.48754771877478903,0.25407130235743575,0.48118377732968676,0.25338580287274587,0.4728067607868372,0.2527926059337529,0.4363514569518781,0.4768962515495514,0.4378481931458849,0.4781251315668996,0.43936606824884306,0.470430359019224,0.4408196864713919,0.45977496859901584,0.44211355884444536,0.44886585773760607,0.4431538927568227,0.43845063665057377,0.4438715303467408,0.4286077167842058,0.44425018892288815,0.4192513266688875,0.44433773101403584,0.4102853281121811,0.44421520460547353,0.40163839635635284,0.44394243484976975,0.39326488328607234,0.4434955396794366,0.38513808166370256,0.4426985984726094,0.3772435032574732,0.44116346040511384,0.36957387774901435,0.4383168552331337,0.36212587537914176,0.4337087189184292,0.3548981506668932,0.427640602849127,0.3478902872923972,0.42055283838444935,0.341102308878478,0.4127506290799144,0.334534516025363,0.40443289901466056,0.3281874897904931,0.3957890207351021,0.3220621610153593,0.3870088929558862,0.31615988599468625,0.3782597173311811,0.3104824965135931,0.36967153425354604,0.305032310514434,0.36133700996661505,0.29981210164097316,0.3533186218923559,0.29482503348059624,0.3456572687684428,0.29007456855886576,0.3383794690234682,0.285564363771744,0.3315025109840175,0.2812981636010636,0.32503784045321704,0.277279700728505,0.318993187640178,0.27351261105417657,0.31337386909160014,0.2700003670826061,0.30818357152379716,0.2667462305729977,0.30342481651669306,0.26375322266732176,0.29909923419144835,0.261024107788418,0.29520773269336026,0.25856138671927403,0.2917506246129082,0.2563672945149542,0.28872775042684745,0.2544438000794683
1,0.7106238275454803,0.5818272166611107,0.7129582450278965,0.5818462253190232,0.7156403006919125,0.5818453582042806,0.7186500772358776,0.581815818889345,0.7219642905110812,0.5817478656764362,0.7255576517011121,0.5816309988017421,0.7294057663131251,0.5814541819293594,0.7334875258349968,0.5812061010472338,0.737777748217103,0.5808754666712114,0.7422069137774288,0.5804513645386944,0.7465516249337746,0.5799236549527914,0.7502362756554055,0.5792834104122341,0.7521374669081701,0.5785233645548225,0.7510162169100977,0.5776383333815911,0.7481675130952261,0.5766255673115604,0.7447703563847135,0.5754849949524216,0.7414522592352547,0.5742193282775093,0.738476595423604,0.5728340168775595,0.7359296761371299,0.5713370606026406,0.7338231494347736,0.5697387072288675,0.7321394112006224,0.5680510710174532,0.7308477434934193,0.5662877098883833,0.7299059793574916,0.5644631962277805,0.7292539259213148,0.5625927115974071,0.7288004860285731,0.5606916895125924,0.7284049104015111,0.5587755222701863,0.7278545080097513,0.5568593371396038,0.7268518749398513,0.5549578354503798,0.7250573501983494,0.5530851783440958,0.7222868261263052,0.5512548986406495,0.7188689324770374,0.5494798211937033,0.7152530633557793,0.5477719831617244,0.7118080919700099,0.5461425569626213,0.7087917729881446,0.5446017873740642,0.7063663243993035,0.54315895649385,0.7045806389948858,0.5418223851769496,0.7032331365420375,0.5405994694822968,0.701480192999595,0.5394967400990407,0.6974414833895928,0.5385199262683578,0.6930301536840543,0.5376740060597258,0.711207164900387,0.6937304298359802,0.7118014485242948,0.6933609878137875,0.7123722756272173,0.6899877659711613,0.7128838572517567,0.6854800272854001,0.713300756801521,0.6806876618228669,0.7135918148881987,0.6758462491429054,0.7137373115746775,0.6709838031419594,0.7137373163406392,0.6660806112563,0.7136131819566495,0.6611178364657455,0.7133927549074319,0.6560880633174311,0.7130851350085486,0.650994567448432,0.7126492892964439,0.6458480203303155,0.7119563592418451,0.6406632842465808,0.7107546291613066,0.6354569969609216,0.7086845764884028,0.6302460081596423,0.7054574995269112,0.6250465253754754,0.7012205774900189,0.6198737763524532,0.6962013815269412,0.6147420026075204,0.690553944656287,0.6096646291304036,0.6843853859317561,0.6046544932810716,0.6778201517823466,0.5997240557866441,0.6709982694824265,0.5948855541715016,0.664051464958711,0.5901510897942152,0.6570887305199532,0.5855326602483963,0.6501942930352596,0.5810421574939885,0.6434320410127644,0.5766913499103172,0.6368512608529899,0.5724918575520949,0.6304913246900716,0.5684551198918335,0.6243848243703444,0.5645923493052514,0.6185594453989817,0.5609144639248836,0.6130390448350741,0.5574319993137017,0.6078442991588789,0.5541550063196269,0.6029931370645292,0.5510929485603963,0.5985010597337774,0.5482546146443751,0.5943813887073165,0.545648057031882,0.5906454612648682,0.5432805628889072,0.5873027955553064,0.5411586547841162,0.5843612525577565,0.5392881128150045
2,1.035656624262664,0.8773012028765448,1.0379899216072281,0.8771250049488659,1.0406355402048357,0.8769038604618208,1.0435497118470651,0.8766309808932745,1.0466792703421615,0.8762996067161316,1.0499641488205977,0.8759031011731702,1.0533445851985346,0.8754350921592162,1.0567729206624212,0.8748896586469347,1.0602213049764881,0.8742615418623482,1.0636604066622346,0.873546354379591,1.0669741424882397,0.8727407617986119,1.0698057230318234,0.8718426152515157,1.071408573645906,0.8708510263770839,1.070948287406188,0.8697664043092244,1.069380328422615,0.8685904765490469,1.067571682221228,0.8673262912597188,1.0659925697062071,0.8659781885907669,1.0648501565300226,0.8645517391474781,1.0642237935380159,0.8630536583703892,1.0641390383080465,0.8614917086069106,1.0646005013009128,0.8598745978260511,1.0656027801006076,0.8582118758992917,1.0671290457979394,0.8565138192499677,1.0691402503445835,0.8547912892683701,1.0715539493561104,0.8530555542257311,1.0742097806975082,0.8513180779406146,1.076821711148603,0.8495902953749352,1.0789374918390138,0.8478834073618414,1.0799901680289226,0.8462082268939723,1.0796351151707804,0.8445750959958288,1.0783983815178744,0.8429938697809425,1.077009317301243,0.8414739420945376,1.076064743990146,0.840024274854988,1.0759870936870788,0.8386533963969862,1.0770428138159318,0.8373693514859504,1.0792646716960086,0.836179609586701,1.0820609396280791,0.8350909580697709,1.0831486121510199,0.8341094150607012,1.0774744897510546,0.8332401900123081,1.0701281232578927,0.832487702595921,1.0366997290738242,1.07303953073995,1.0378226327981106,1.0734354538359214,1.0389780220383413,1.0661951631261362,1.04010973907943,1.0563534776499501,1.0411551734821258,1.0461983004597537,1.0420529782248935,1.0363640741670712,1.0427579756162535,1.026920840238996,1.0432592283723428,1.017800763814436,1.0435862824419386,1.0089280436834276,1.0437863538553493,1.0002485097419087,1.0438836668447375,0.9917301665091527,1.0438298661212315,0.9833573160815342,1.0434467204344589,0.9751247364730429,1.0423730456356437,0.9670333708121253,1.0400842961485792,0.9590875175569856,1.0361505227852177,0.9512931580889713,1.030767614871448,0.94365704787399,1.0242425596503908,0.9361862823275073,1.0167767078926075,0.9288881424823376,1.0085189324400172,0.9217700981288826,0.9996673318583017,0.9148398902414925,0.990456456456618,0.9081056361604651,0.9811084581392863,0.9015759122522753,0.9718035464339988,0.8952597806279194,0.9626748961511038,0.889166743686178,0.9538154005580223,0.8833066303443687,0.9452881768793631,0.8776894346160015,0.93713611244749,0.8723251354683194,0.9293890876010467,0.8672235253774436,0.9220688698090286,0.8623940665107293,0.9151921329121346,0.857845782965298,0.9087721629897001,0.8535871893399787,0.9028197330901516,0.8496262517030568,0.8973435318192566,0.8459703752354335,0.8923504335416443,0.8426264107033975,0.8878457890335201,0.8396006681178493,0.8838337970759199,0.8368989221695382,0.8803179143584119,0.8345263941806108
3,1.4906838900758985,1.288754609406107,1.4935510013861446,1.2885634287750274,1.4967566051132346,1.2883185281831144,1.5002204204331542,1.2880100658382527,1.5038431948261934,1.2876281045160731,1.5075110515645622,1.2871627999582134,1.5111091451278027,1.2866045066896175,1.5145458517281787,1.285943853648472,1.517775431870873,1.285171844471243,1.5207822093208556,1.2842800253626379,1.523477369326436,1.2832607406278764,1.5255132685341861,1.2821074671620696,1.5261061062226418,1.2808151867435038,1.524365425003226,1.2793807402363424,1.521382607222938,1.2778031124833198,1.5181412723963092,1.2760836089203471,1.5151773854026647,1.274225909672042,1.512731379410038,1.2722360174501202,1.5108992166563138,1.2701221330253727,1.5097161396476946,1.267894494005657,1.5091944077459472,1.2655652086217126,1.5093363949031324,1.263148099962057,1.510133780377388,1.2606585501060792,1.511555933891353,1.2581133184481188,1.5135258220815941,1.2555303099144293,1.5158792097438847,1.2529282781642037,1.5183063235792866,1.2503264644887995,1.5202993355452958,1.24774419411321,1.5212062108665467,1.2452004685924316,1.5206216968114366,1.2427135983042383,1.519149832451228,1.2403009140824695,1.5176294991679198,1.2379785850346559,1.5167473009892785,1.2357615504768371,1.5169886537927475,1.2336635494829427,1.5186584373983363,1.231697209384581,1.5217783037735704,1.2298741436122624,1.5255924523831517,1.2282050135301132,1.5272267921369096,1.2266995264246638,1.5203354646699523,1.2253663673305235,1.5113062317263293,1.2242130889405964,1.4925318500185119,1.515055908750091,1.4945371295525973,1.515672728261167,1.49661645658943,1.5067350775524881,1.4986671609232702,1.494569208570439,1.500571386619233,1.4820550036128988,1.5022104518139563,1.4699952102038065,1.5034925448123235,1.4584810972571534,1.5043865312127591,1.4474275279104751,1.5049355397223536,1.4367362233148364,1.505220673110656,1.4263334359216904,1.505296602913614,1.4161713246129422,1.5051168678372986,1.4062212910173326,1.5044517030527353,1.3964672920780916,1.502815520095369,1.3869009018689493,1.499498650809234,1.3775181189677383,1.493935219427982,1.368317515599343,1.486453619509779,1.3592993192354133,1.4775474450546346,1.3504650950475097,1.467555369357396,1.3418177739780106,1.4567078506769389,1.3333618379315824,1.4452514766300812,1.3251035249760468,1.433450863588003,1.3170509542175266,1.4215476529684048,1.309214108385369,1.4097353702895157,1.3016046569110464,1.3981567641720871,1.2942356437528129,1.386912960767389,1.2871210948739162,1.3760752316220943,1.2802756144558356,1.3656949631047364,1.2737140313325117,1.3558106687002007,1.26745113153029,1.346452373889108,1.2615014818146897,1.337644162969023,1.2558793232286838,1.329405641515048,1.250598497005809,1.3217528659713484,1.2456723610270972,1.3146990724703342,1.2411136660808364,1.3082553360555342,1.2369343849327077,1.3024311501318604,1.2331455136412774,1.2972348540934202,1.2297568825200544,1.2926738497568944,1.2267770182024835
4,1.7600867132005824,1.6099294107586115,1.7618568575429157,1.6096084243423672,1.7638501693385626,1.6092150869431046,1.766029975307173,1.6087428056202513,1.768353170052008,1.6081849402081163,1.7707724796447515,1.607535055194424,1.7732422703501474,1.6067871428463583,1.775727254855951,1.6059358144176223,1.7782057863420466,1.6049764629345467,1.7806448635083996,1.6039054061439084,1.7829137451792418,1.6027200200232734,1.7846279729249992,1.6014188703843968,1.7849972548723656,1.6000018424856377,1.783141503832075,1.5984702597960434,1.7800504717941166,1.5968269765826035,1.776622701720054,1.5950764270842634,1.7733437482868506,1.5932246186442285,1.7704254911961426,1.5912790664487877,1.7679448407235527,1.5892486787808964,1.7659196274827431,1.5871436090933788,1.7643419572477301,1.5849750925561024,1.7631894219728752,1.5827552801317013,1.7624249226061184,1.5804970753558354,1.7619894058676135,1.5782139720374793,1.7617885286972663,1.5759198879980467,1.7616731860779498,1.573628991179185,1.761416070374065,1.5713555185352623,1.7606980478997492,1.569113592875504,1.7591533173855622,1.5669170462423405,1.7565809475055087,1.5647792594201266,1.7533277170069692,1.5627130257279482,1.7498698356818405,1.5607304440977154,1.7465980083027814,1.5588428426349359,1.7437855748859363,1.5570607303884443,1.7416044713574144,1.55539377256303,1.7401031575255774,1.5538507831251895,1.739050536954073,1.5524397285737777,1.7374936420508973,1.5511677373079282,1.73331190991375,1.5500411102521467,1.7286589689635512,1.5490653299796422,1.761277007511538,1.7292934460029417,1.7625803848683663,1.7287089359553087,1.7639560328230033,1.7247309556834016,1.765356717008268,1.7194696735861033,1.7667309098860002,1.7138860307995503,1.7680290702664936,1.7082483905282428,1.7692154678124425,1.7025908230062043,1.7702821116484904,1.6968931297739889,1.77125233607605,1.6911355542226376,1.7721596531766006,1.6853106599594543,1.7730104681990595,1.6794225511368182,1.7737369183742888,1.6734832381348828,1.7741399773663586,1.6675091220716418,1.7738359004537765,1.661518367577685,1.7722757513485536,1.6555292184233787,1.7690063901091737,1.649559087532337,1.7642083401163826,1.643624205525965,1.7581743195953838,1.6377396297297577,1.7510928144068008,1.631919454496108,1.7431067832251899,1.626177105467187,1.7344220195950584,1.6205256373569181,1.725289339467105,1.6149779848741717,1.7159491584799127,1.6095471403786692,1.7065981297537034,1.6042462506857604,1.6973824816279783,1.5990886391081514,1.6884055063861034,1.5940877670539784,1.679738805936534,1.5892571525198174,1.6714323079886393,1.5846102617366684,1.66352164459626,1.5801603868848493,1.6560330824568026,1.5759205191300378,1.6489866521325498,1.5719032235812909,1.6423980963383262,1.568120521487916,1.6362800911956428,1.564583784567182,1.6306430314662161,1.5613036458953446,1.6254955510303108,1.5582899305877038,1.6208448756871097,1.5555516073877984,1.6166970651857044,1.55309675972617,1.6130571815989592,1.5509325725553884
5,2.1719122084272033,1.9775130464380388,2.175089034710423,1.9773510831010044,2.178692528298069,1.977140326018641,2.1826617954245853,1.9768694369415971,2.1869214550011224,1.9765265028690377,2.1913850938372352,1.9760994416651068,2.195965742946243,1.9755763481762711,2.200592922923329,1.974945767710444,2.205222398685924,1.9741969125497265,2.2097992822021695,1.973319860703592,2.2141185095846017,1.9723057866652545,2.2175728112387594,1.9711472665198457,2.218907424639854,1.9698386609017042,2.2167205427805263,1.9683765361486765,2.212579271509234,1.9667600688182632,2.2079029084989026,1.9649913669775967,2.203453329598978,1.9630756343681408,2.1995592890136337,1.9610211290844963,2.19633768203983,1.9588389176616288,2.1938157225923307,1.9565424688041788,2.191985293969796,1.9541471562229116,2.1908219906316675,1.9516697467952966,2.190285883000585,1.949127938839544,2.190310427478328,1.9465399899033748,2.1907800843551715,1.9439244427175202,2.191494607942384,1.9412999302721567,2.192121171318964,1.9386850229013393,2.1921565098617624,1.9360980762942814,2.190987249114149,1.9335570501522696,2.188247707376305,1.9310792885758374,2.184497377650734,1.9286812777264228,2.180510306970515,1.9263784157600914,2.1769159442890818,1.9241848378655917,2.174151780662279,1.9221133320820047,2.1724909544172477,1.9201753607882892,2.1719910222374055,1.918381174690592,2.1721809321459684,1.9167399802144285,2.171187021262245,1.9152601065146926,2.164846854320631,1.9139491202301058,2.1573604341781363,1.9128138545642073,2.173059337331,2.1594675578920457,2.1742436592465406,2.159413979439816,2.1753888611522525,2.152964364572474,2.176404339525709,2.144260356951287,2.177189210397665,2.1351810928096886,2.1776445475130064,2.126245606815536,2.177696721531,2.117511440664258,2.1773260661604206,2.108926416929327,2.176578985787296,2.1004353078353564,2.1755392105780897,2.0920034057557118,2.1742783796811036,2.0836159412795707,2.172802893748294,2.075272210013971,2.1710004819021327,2.066979911406017,2.1685948822996433,2.058751000567815,2.1651605884808625,2.050599073075833,2.1603289743279177,2.042537950559612,2.1542140468442117,2.03458109069025,2.1470069477205174,2.026741499367084,2.13881804699349,2.0190318982010473,2.129742720314851,2.011464973058741,2.1199614453229367,2.004053594387144,2.1097133947865587,1.9968109542932968,2.0992354532410724,1.9897506065696062,2.0887257736841103,1.9828864242520319,2.078335464633939,1.9762325061226,2.068175047577651,1.9698030687629289,2.0583248936337104,1.9636123537321366,2.0488445230266916,1.9576745623272256,2.0397793565464464,1.9520038096999035,2.0311651683407406,1.9466140743225804,2.023030948447418,1.9415191142419206,2.015400771857918,1.9367323300506458,2.008295053192057,1.932266573312802,2.0017313934546874,1.9281339219357534,1.9957251199655757,1.9243454622761997,1.990289581076687,1.920911123849301,1.985436262533512,1.9178396025976199,1.9811748098134478,1.9151383849185977
6,2.5837025180332875,2.4123645755092005,2.585824064091417,2.412213654612072,2.5881457912662316,2.412002558615397,2.590583220726684,2.4117189361856624,2.5930319122475964,2.411349875985872,2.5953715596101947,2.410882015928594,2.5974799814693026,2.410301629223497,2.5992592585551817,2.409594761881208,2.6006651386015287,2.4087474827566204,2.6017103850607692,2.407746279201637,2.602406448582456,2.4065785955120345,2.6026591182501533,2.405233476269163,2.602172652002612,2.40370224207027,2.6005948584084595,2.4019791048268972,2.5984739598046813,2.4000616406696924,2.5963002658959877,2.397951066401253,2.59435040555916,2.3956523001327534,2.5927555983231008,2.3931738284603647,2.591574852381686,2.390527436234046,2.590833365122397,2.387727861237355,2.590538543535613,2.3847924243708185,2.590682858794223,2.3817406682227324,2.591237413931455,2.378594009629535,2.5921363788120173,2.375375385253268,2.593249828007675,2.372108862434911,2.5943413844076977,2.36881920141099,2.5950116542057238,2.3655313772712474,2.5946537002746255,2.362270091795211,2.5925253438372438,2.3590593204489703,2.588175092549335,2.3559219422105446,2.582247327533095,2.3528794872165726,2.5756324517877673,2.349952013355203,2.5690357963412085,2.3471580952550113,2.5629226549926374,2.344514885679884,2.5575703055912142,2.3420381974084425,2.553087270502568,2.3397425576764257,2.549299986844027,2.337641206283828,2.545371980813657,2.3357460359210522,2.5394119153833077,2.334067499406688,2.5333499632260663,2.332614524193319,2.5861217272496355,2.5339234248801485,2.5888136972338076,2.533336828845715,2.5917018068711566,2.529619931178721,2.594689580122281,2.524641349315384,2.597663911027368,2.5192459180232833,2.6005082466293366,2.5136661633755817,2.6031288069978844,2.507932833849005,2.6054868441051737,2.502034808136464,2.607611546175047,2.4959661232476953,2.609564652677086,2.4897345506351716,2.6113764575579537,2.483359101673199,2.6129691182269834,2.476865412967057,2.614069406007793,2.470281699811992,2.6141300430117167,2.463635909544729,2.6123641289979376,2.45695404026037,2.6081467322521013,2.4502593968227804,2.6018348267870657,2.4435725299472693,2.5939686666462634,2.436911630655859,2.58491773698631,2.4302931826912495,2.5749277615365913,2.423732706588235,2.564252138205142,2.417245466253899,2.5531585704807385,2.4108470429169873,2.5418901366244926,2.404553713291191,2.5306413760984494,2.398382607691749,2.519556443127389,2.3923516650431544,2.5087388332563827,2.38647943340161,2.4982634506165526,2.3807847814229652,2.488186604992487,2.375286587743407,2.4785528052865184,2.3700034625670114,2.46939874456708,2.36495353318245,2.460755346731808,2.360154299893799,2.4526487193126734,2.355622547498278,2.4451006672302373,2.3513742841402423,2.4381291791018507,2.347424676463577,2.4317490507172073,2.3437879578418683,2.425972610816035,2.3404773024974106,2.4208104036949756,2.3375046772165873,2.416271674444068,2.33488069783045
7,2.891218684557449,2.7240568581567493,2.8937946778890664,2.7239583988702045,2.896706753983299,2.7238263425436666,2.8998997182123074,2.7236533418836397,2.9033049342173123,2.7234312782743983,2.9068435462481315,2.7231515604271666,2.9104364209087903,2.722805437196236,2.914020926268455,2.722384282642377,2.9175637207531473,2.7218798354037195,2.921038152278285,2.7212843993882774,2.924322993912121,2.7205910309239996,2.927019554549771,2.7197937434117048,2.9282746682864103,2.718887746816278,2.9271283744095897,2.7178697132303693,2.9246965856238236,2.716738038760033,2.9219868077522424,2.7154930609476455,2.919541543266817,2.7141371922566493,2.9175955145812402,2.712674946345518,2.9162308022532826,2.7111128574723837,2.915461689157825,2.7094593117442693,2.915271451534194,2.707724317814291,2.9156240368027957,2.7059192450274954,2.9164628913564474,2.7040565503831937,2.9177022756254947,2.702149507007007,2.9192132106919693,2.700211941657956,2.9208056127987203,2.698257988095731,2.9222108666380677,2.6963018642932144,2.9230800186298107,2.6943576814463754,2.9230443177359287,2.6924392895356477,2.921936943314055,2.6905601578321283,2.920170967965972,2.68873328147891,2.9183070803247406,2.686971100534688,2.916828252987376,2.6852854183607118,2.916100442048471,2.6836873125236416,2.916371752536602,2.6821870414276887,2.9176891492301373,2.6807939596550336,2.9195418522401018,2.6795164600319326,2.919904664117872,2.678361957790245,2.914272599168653,2.677336921884411,2.907208825837978,2.676446943908756,2.89214226354224,2.9098543946185798,2.8930909077875016,2.910238490808359,2.8939978876771613,2.90377270838528,2.8947833847649993,2.8949493397933264,2.895357824746116,2.885803164547051,2.8956325303078527,2.8768901100273605,2.8955402216417676,2.86826256455574,2.8950602329696564,2.8598523778693052,2.8942291287517112,2.8515882153223746,2.8931150537756776,2.8434224332487537,2.8917728096223034,2.8353311556514575,2.8901939978636935,2.827308033695393,2.8882547985567992,2.81935782466787,2.8856714483420327,2.8114913895703126,2.882021400560689,2.803722282841129,2.876972601734124,2.7960646753041414,2.8707482617053945,2.7885322571412443,2.8636751929653563,2.781137794963887,2.855981930884025,2.7738930828871227,2.8478210364409082,2.7668090999159736,2.8393412891054854,2.7598962515662175,2.8306947676253214,2.7531646240534458,2.822018759737661,2.7466242125747393,2.8134244598094935,2.740285104201502,2.8049964543371337,2.734157604660796,2.7967976104171486,2.7282523012192175,2.7888750607802337,2.7225800558869517,2.781265092507466,2.717151927951259,2.773996578382112,2.7119790336051843,2.767093257530296,2.707072361575532,2.7605752626415927,2.7024425734775837,2.754460156827697,2.698099821846313,2.7487636037555143,2.69405361456801,2.7434997220781723,2.690312741897133,2.7386811721440116,2.686885264775032,2.734319063404384,2.683778546303092,2.7304228111444835,2.6809992976203296,2.7270000741268374,2.678553608706769
8,3.203216166557284,3.061460229169046,3.205429325982827,3.0614268559340805,3.207957384817521,3.0613639026900543,3.2107748793230173,3.0612618497522526,3.213852758074321,3.0611104758039067,3.2171600850243856,3.0608990242205802,3.2206678864557787,3.0606163672083984,3.2243533126964063,3.060251195807402,3.228194128924169,3.0597922577366123,3.232127830661259,3.0592286541074016,3.235935575655834,3.0585501933181054,3.2390318769689324,3.0577477864719387,3.2402574028891675,3.0568138511048217,3.2383302365995563,3.0557426812763624,3.2346233496091266,3.0545307510590334,3.2303857723865814,3.0531769320382214,3.226286146350769,3.051682616836161,3.2226114937307995,3.050051753277347,3.219462609914682,3.0482908023964184,3.216862298800913,3.0464086318864356,3.2148037279692088,3.044416353861731,3.213268055593429,3.0423271160098366,3.2122268249753576,3.0401558513452613,3.2116352330226547,3.0379189859874933,3.211417240414228,3.0356341052832643,3.211441099505255,3.0333195863645486,3.2114857142790916,3.0309942134968266,3.2112126958337743,3.0286767973074245,3.2102050253618124,3.026385820020379,3.208210850363998,3.024139127033316,3.2056095845047903,3.021953681069846,3.20292758936699,3.019845388893757,3.20059430240839,3.017829002252212,3.1989101707950467,3.015918084844914,3.1980627713746723,3.0141250273362337,3.198081826962083,3.0124610855720113,3.1985933204351036,3.01093641629875,3.1981415117747405,3.00956009145358,3.1935043941977805,3.008340085300756,3.1879350499103563,3.007283244065671,3.2042652805625953,3.1896655319320533,3.2054030568026124,3.189744111891585,3.2065937783369645,3.184895705771754,3.2077991442382157,3.178330365761486,3.2089801788794796,3.1715092605342243,3.210102060952554,3.164839612034159,3.2111430370960696,3.1583689315628924,3.2121045900051377,3.152057057488113,3.2130124470532304,3.1458588971642394,3.2138960545665425,3.139743086388793,3.214752687599166,3.1336920967130464,3.21550016993368,3.1276982832576055,3.2159169427326346,3.1217600326291106,3.215585085471438,3.115878950427527,3.2139156671165563,3.1100580865330434,3.210444992336088,3.1043009717686383,3.2054397421471896,3.098611232313654,3.199304926529145,3.0929925907450757,3.192319715417723,3.0874491009198306,3.184668600898254,3.081985494913155,3.17653694324942,3.0766075467546985,3.1681176137228704,3.071322376067934,3.1595847846545064,3.0661386311088137,3.1510775754119416,3.0610665160054196,3.1426993821745635,3.056117660724156,3.1345248351056565,3.0513048643139964,3.1266082285458414,3.0466417629429676,3.1189904938609163,3.0421424798517123,3.111704024896436,3.037821305157239,3.1047756363210346,3.0336924340624583,3.0982282187563412,3.0297697695639605,3.092081601648141,3.026066777207302,3.086352999143402,3.0225963694873217,3.0810572871947897,3.0193707975076998,3.076207248004351,3.0164015358182166,3.0718138273628406,3.013699159142756,3.067886389961349,3.011273222293865,3.0644329332039644,3.0091321625408427
9,3.59551993394112,3.425264167781528,3.598014278428424,3.4252623394681803,3.6008128302883278,3.425238473577304,3.6038517779661507,3.4251828662264305,3.607052170918823,3.425085088016154,3.610323422265337,3.4249341223366514,3.613574062601052,3.424718522033836,3.616730455444759,3.424426587432775,3.6197537227539724,3.424046572078663,3.6226255456777166,3.423566925663168,3.6252638504900805,3.422976582823235,3.627371146771176,3.422265299651506,3.628289656513212,3.4214240300504577,3.6272750486613083,3.4204453239695685,3.625220699899904,3.419323715292475,3.6229325954647424,3.418056056168914,3.620846994081488,3.416641758129937,3.6191539355754085,3.415082917144753,3.6179217594944335,3.4133843216545285,3.6171646702929428,3.41155336133605,3.6168717895595983,3.409599863786078,3.617015476040346,3.4075358849872255,3.617547946491974,3.4053754706172223,3.6183895371227957,3.403134394863956,3.619409004488271,3.4008298766008562,3.620395556634416,3.3984802716151066,3.621025869366226,3.39610474303951,3.6208458927909812,3.3937229176385006,3.619337020900557,3.391354540376781,3.616219413452886,3.3890191418853166,3.611998817277214,3.3867357327351,3.6073650158411033,3.3845225358576383,3.602882559653878,3.3823967653816394,3.5989461245582763,3.380374457432585,3.5958057900358433,3.3784703560682474,3.5935445203726353,3.376697854789466,3.5918827213498723,3.3750689900378106,3.589614399642461,3.3735944774004105,3.584034530612999,3.372283774805162,3.5778946392405704,3.3711451520627223,3.5971321550984374,3.5792324279762564,3.59888933391421,3.579093571406671,3.600724953829431,3.574692940011544,3.602558406752639,3.5687163064020546,3.6042981708906505,3.5623764277051495,3.605852553865075,3.5560018255771215,3.6071505381704156,3.5496240319536168,3.608167176032863,3.543207764135375,3.608932964145538,3.5367205263723704,3.6095036801571303,3.530147325238653,3.6099065031736735,3.523489154373318,3.610074992662142,3.5167578582558803,3.609774865538202,3.5099712434354773,3.6085370736168896,3.503149461330409,3.605690835316859,3.496312740449064,3.600720468877345,3.4894802291490357,3.5939894995350934,3.482669629604111,3.586031499671808,3.475897324172272,3.57722529568617,3.469178755124997,3.5678146705016944,3.462528886583767,3.558009230352196,3.4559626398591563,3.548005349855186,3.4494952433775823,3.5379722475812945,3.4431424731057096,3.528042775260657,3.4369207803557966,3.518315201212795,3.430847314731879,3.508860793475833,3.424939854311517,3.499731982805317,3.4192166563266086,3.490968846882695,3.4136962427125317,3.4826034945786173,3.408397137676088,3.4746627289022505,3.403337578576526,3.4671695441815094,3.398535225118914,3.4601439349785967,3.3940068930208667,3.4536033450427213,3.3897683354846877,3.4475629531367478,3.385834088687494,3.4420358992817977,3.382217387065508,3.4370334962747235,3.3789301424969937,3.4325654370223817,3.375982971267592,3.428639990005286,3.3733852464087617
