SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155
0,4.734693956241086,4.7919458431994775,4.737137019582697,4.7944358492191155,4.7399701704240496,4.7973002350792395,4.743190246124747,4.80053065814718,4.74679474952439,4.804125803506427,4.750780432892583,4.808093118361484,4.7551436968550345,4.812449606502,4.759883144912838,4.817222347544958,4.765002077146372,4.822448779875827,4.770508118904809,4.828177319480591,4.776410063874178,4.834470149957188,4.7827154832965535,4.841411135478218,4.789431972821751,4.84912196000636,4.796570227166,4.85779035488593,4.804144678367692,4.867716927697647,4.812170613122243,4.879386910996246,4.820660370146665,4.8935200558507965,4.829618995964731,4.9106821151318645,4.839033602239434,4.927822052379923,4.848848475182107,4.916442453649475,4.858920600809359,4.9050403627403085,4.868954810841106,4.896662828603362,4.8784398149664305,4.8907363098956065,4.886688103283756,4.886529768039795,4.893225018152036,4.883540573153027,4.8985724270469575,4.881439387261884,4.903464818232146,4.8799926080601,4.908457525564486,4.879012266919741,4.913881024287182,4.8783272737684085,4.919894374687024,4.877766657198649,4.926528681559184,4.877153224676045,4.933690343244826,4.876313239997181,4.94111566733574,4.875106072953881,4.948277250777196,4.873465536247,4.954283311976402,4.8714238456036885,4.957946701300971,4.869087908180015,4.958430437240395,4.866597192170896,4.956544411734411,4.86409073482937,4.953454274700583,4.861690144788998,4.95003909944537,4.859493923366606,4.7364583303211365,4.955555852449892,4.738518438977678,4.961118837055652,4.740874386864505,4.96585606648922,4.743522041927342,4.968613681278078,4.74645367455905,4.968606319946244,4.749660855135612,4.966721526313844,4.753136864058646,4.964243654641099,4.756875725026201,4.962240481998953,4.760867899416357,4.961542456164262,4.765095446477647,4.9628806521672,4.769529316325578,4.966741807833994,4.774128489724928,4.971198570610885,4.77883772819976,4.957837407042097,4.783581730095775,4.945060324107205,4.7882598656464195,4.93481484129274,4.792753093394822,4.926709546408562,4.796954677651741,4.920252934530807,4.800820831381296,4.915101270220477,4.804404779094753,4.91102279500726,4.807820321471217,4.907846787519535,4.811195703483972,4.905426708725146,4.814643499078191,4.903615670868019,4.818232505581271,4.9022505910495635,4.821938092932342,4.901143178948794,4.825543830168128,4.900083104139296,4.828461298864184,4.898865674126211,4.829546685656182,4.89734751995352,4.827542081538045,4.89548871808238,4.8237412447904955,4.893304278578382,4.819325376646932,4.890804031219275,4.814923213829854,4.887970331348491,4.810798122432848,4.884779239189817,4.807036673801032,4.881245471644242,4.803653426623881,4.877453284606364,4.8006384843242,4.87353961226359,4.797975824990749,4.86965793385546,4.795649112697533,4.865950115373065,4.793643514362593,4.862532769110781
1,9.575846489113705,9.64509178360504,9.578795001075946,9.647828708520377,9.582199121857663,9.650971161303103,9.586052238224854,9.654509228780547,9.59034863317324,9.658440834336783,9.59508451456969,9.66277042925161,9.600257938528896,9.667508138705196,9.605868792220361,9.67266996136156,9.611919892384865,9.678278775934379,9.618383655876926,9.684366424771431,9.625291840698921,9.6909779312426,9.632647453166811,9.698179596345154,9.64045799234658,9.706073448516081,9.648738490120419,9.71482224276625,9.657515162411077,9.724691805881822,9.666824716779978,9.736116023464962,9.676607307236717,9.74974272322554,9.686853019414961,9.766081974201176,9.69757843274608,9.782353841929494,9.708743910021724,9.772619566447146,9.720164717152379,9.76281571544706,9.731485792630963,9.755718780939443,9.742103771780588,9.750812403575367,9.751211176655033,9.747437050554026,9.758251125660564,9.745138648021422,9.763834654873275,9.743616699792046,9.768819335263533,9.742649808944645,9.773850345934829,9.74208214097617,9.779308096052745,9.741759745424154,9.785374568351564,9.741525784938233,9.7920894182703,9.741189092580058,9.799360321988928,9.740547329627425,9.806919010779984,9.73949558904447,9.81422512940323,9.737986936423885,9.82036224129344,9.736045938511522,9.824108524752262,9.733790116319701,9.824599712721096,9.731361452365167,9.822660847956625,9.728902402517477,9.819483854204822,9.726537253207143,9.815972110166145,9.724365339997604,9.578181414548805,9.82177685423203,9.580901576514844,9.827628926063612,9.58400317537794,9.832628833281255,9.587478868603728,9.835591333604773,9.591317228473763,9.835709373802327,9.595503022522811,9.833890587035365,9.600018356269576,9.831446394496794,9.604844152130703,9.829461112214862,9.60995846643472,9.828769063652004,9.615320417027444,9.830095761869085,9.620872561882676,9.83392115531143,9.626547120272512,9.838350214546754,9.632263755281688,9.825283365307937,9.637904747593655,9.812811785862039,9.643308862956287,9.802851007446563,9.648296228666391,9.795015158379146,9.652708266322234,9.788817934102127,9.65647166680932,9.783916981010258,9.659645127833118,9.780079140804,9.66237082571704,9.777130436864468,9.664809309390304,9.774919591918568,9.667099287999033,9.773292065570253,9.669334685780578,9.77207133921198,9.671535938523085,9.771048605227845,9.67358820952756,9.76998885694622,9.675123577093167,9.768666305452188,9.675400601804242,9.76692996074649,9.673597996611207,9.764751539024262,9.670583460366785,9.762169778266875,9.667148687153375,9.759220754189474,9.663719698058488,9.755911568998785,9.660480941629352,9.752247545225902,9.65749892990553,9.748256768445586,9.654789968984637,9.744025314428983,9.65235074701939,9.73969730721512,9.65017095560029,9.735434004348459,9.648239063072626,9.731384225995102,9.646546666393967,9.727664843106401
2,14.45382350420602,14.51205522664927,14.456253818634522,14.514535189830596,14.459099103712916,14.517375968640568,14.46235403551872,14.520576217397739,14.466012697806288,14.524139288303413,14.47007046659132,14.528075156747837,14.474525754419105,14.532402305425672,14.47937987381612,14.537148913484632,14.484635520646997,14.542353719251324,14.490300442731776,14.548067532031489,14.496382684124377,14.554356996476562,14.502898395797489,14.561312532733199,14.509864878176034,14.569063427309692,14.517304346303671,14.577805196842089,14.52523845643142,14.587847386836874,14.533685975033684,14.599687188352123,14.54264805219998,14.614061898238788,14.552125478232773,14.631553243101912,14.562102973215497,14.64903053391044,14.572518143894156,14.63722346046637,14.583210049272118,14.625403124795398,14.593849626585516,14.616699534193597,14.603882394265794,14.61052672929781,14.612558736390131,14.60613724273405,14.619364153804124,14.603015486693186,14.624849426413634,14.600823953359448,14.629795635187397,14.599326121771501,14.634790909013443,14.598339320032427,14.64017950689017,14.597696847277312,14.646124006167483,14.597232597584936,14.652655291136302,14.596777948814967,14.659681115693337,14.59617238423831,14.66694962152523,14.595280539760816,14.673969117092494,14.594032923209822,14.67992154372509,14.592448878593428,14.683727759347128,14.590616240472523,14.684628866019203,14.588655500315426,14.683351240814497,14.586678069259197,14.680939237627832,14.584785782267076,14.678176923354288,14.58306042759109,14.455603450831092,14.683022807608364,14.457699417128946,14.687875028389946,14.460107842311848,14.691953024303341,14.462825921860357,14.694222729946707,14.465852353160196,14.69398321697891,14.4691858676977,14.692044997675655,14.472822801013951,14.68958155608841,14.47675489313412,14.687577683318526,14.480967944411342,14.68681240610255,14.48544391080686,14.687984786174367,14.49015446271325,14.691566001609553,14.495050633183839,14.695684641687551,14.500053594989769,14.682433235083352,14.5050542571284,14.669728467645486,14.509913864636324,14.659477037367978,14.514472756988608,14.651307164217595,14.518588009345759,14.64474675522813,14.52219812123627,14.63946550599664,14.525372220579918,14.635240931341496,14.528263858192954,14.63190939279003,14.531044556032992,14.62933092260592,14.533858867591773,14.627363666968556,14.536796542825334,14.6258440797075,14.53985477107658,14.624575932300964,14.542851997855417,14.623337388128762,14.545263545009988,14.621915679329014,14.546055373607356,14.620169396845078,14.544085955623107,14.618073199110732,14.540532547753072,14.615664032062458,14.536466168458551,14.612977736851068,14.532452475126945,14.610023699743431,14.528723535860612,14.606795997573645,14.525350164514938,14.603318774093044,14.522338004631626,14.599671497217738,14.519671599003482,14.595972767512652,14.517330923034413,14.59235403586883,14.515295281515339,14.58893519102374,14.513543566619884,14.585812693061103
3,19.307535487311025,19.37251783728273,19.310009926207236,19.37534474223297,19.31293630810969,19.37855436173478,19.316317812177356,19.3821490701801,19.32015228217362,19.386141857721967,19.324434995805433,19.390536805667466,19.32916042002086,19.395361703524458,19.33432353049662,19.40064810599727,19.3399209863109,19.40643113293723,19.34594755719326,19.412756170429837,19.352407006987974,19.419684400160342,19.359306782653327,19.427301470545864,19.366656836989275,19.435731896282157,19.37446885113311,19.445164852230896,19.382752899830383,19.455900110454294,19.3915143161806,19.468419516832377,19.400770138560937,19.483437107637563,19.410532882276048,19.501508656399842,19.420772333344793,19.51953358423217,19.43140841607613,19.508695630509905,19.44228482579148,19.49776217659453,19.4530850683685,19.4897855350198,19.46327073510713,19.48416125143688,19.472115988697208,19.480121156471856,19.479118641521676,19.477147261106484,19.484816884386664,19.4748986938107,19.48996874971885,19.473150305268685,19.49514091993546,19.47174048541373,19.50066272370175,19.470550140633055,19.50668726144681,19.469484590398718,19.513243501071383,19.468459805663805,19.52024819471366,19.46740372239534,19.52747074343817,19.4662716084342,19.534452744499323,19.465049311680097,19.54041534008016,19.463749251143575,19.544307864051895,19.462403996813663,19.545385395642455,19.461063825469736,19.544337284133306,19.459775104314097,19.54216147279594,19.458580007261126,19.539613705896038,19.457510115091214,19.30933172184908,19.544567963313437,19.311454957836997,19.54953083798501,19.313907972133975,19.55374531176308,19.31669310017839,19.556210268598363,19.31981289626237,19.556233120585176,19.32326423737961,19.55459454273379,19.32705720065728,19.55241527555596,19.331190537181627,19.550617773471966,19.335656526346884,19.549911131052333,19.340434395719274,19.550911896641523,19.345488024085842,19.55402879676761,19.350763824723156,19.557660521477075,19.356186182267322,19.546490188908805,19.361648191056542,19.53582949602396,19.36701070983934,19.527298661309516,19.372118638365393,19.52056794848769,19.37683874447717,19.515220037725918,19.381121792653687,19.510957114674998,19.385048174041394,19.507571577764008,19.388780882408746,19.504904019627435,19.392499943725532,19.50281320864982,19.396356772558647,19.501154167940506,19.40044034804379,19.49976181356847,19.40472483268622,19.498443450155293,19.40895536512292,19.49698658091237,19.41243474813117,19.49519579508584,19.413808986832056,19.492960018782238,19.4115883150966,19.49029846148101,19.407284131302653,19.487308937169544,19.402278686304705,19.484104485026982,19.397310472028046,19.480778793901994,19.392693850069705,19.477404185294382,19.38853615553377,19.474040053756585,19.38485472741001,19.470748760835136,19.381628947355033,19.467598196130172,19.37882214398693,19.46465253116557,19.37639207475926,19.461965376213,19.374299259950455,19.45957598216187
4,24.168552924986592,24.219411784730273,24.1708703263518,24.221922612945505,24.1736045380308,24.224777425052665,24.176752819132904,24.227972847176538,24.180309051399885,24.23152047358341,24.184266592886956,24.23543877768618,24.18862054494999,24.239750766850882,24.193370669221103,24.244483394817188,24.19852031345982,24.249672052637997,24.204077040727494,24.255365226000478,24.210049416213764,24.261629888260895,24.21645024468767,24.26855932012608,24.223298209933184,24.27628745934139,24.230610321163958,24.28501523317148,24.238402315311482,24.29505720881628,24.246691930755603,24.30691506586051,24.25549622207958,24.32132928315265,24.264820172994206,24.338883525957208,24.274646295782304,24.356419824739955,24.284903261517822,24.344437538300937,24.295423010496908,24.332435118537283,24.30587618873617,24.323566163440244,24.315693833409846,24.31723850992058,24.324111139210807,24.312692104885585,24.330597895640224,24.309419985149333,24.335731354465654,24.307081970977244,24.34032326026837,24.305441647640603,24.34497969297602,24.304316037379436,24.350049748634955,24.30354246792663,24.355704100397407,24.30296107004916,24.361977120164003,24.302411447707694,24.36875118851053,24.301739774516527,24.37578888802016,24.30082057575875,24.38260404006769,24.29959032740623,24.388372939363727,24.298066963157616,24.39199001921798,24.296330105056384,24.39266429905343,24.294485396943898,24.391124506227772,24.292641033404223,24.388432232761307,24.2908880482207,24.385397884806473,24.28929807655303,24.1701354374147,24.390473361064654,24.17201627997568,24.3955490445814,24.174194197996,24.39981964630346,24.17666433287315,24.402228197130103,24.179424205464557,24.402061522495153,24.182461889422335,24.40015720733208,24.185782211284746,24.39771948265268,24.1893853313464,24.395755434639057,24.193265870141744,24.39506207429274,24.197407488458058,24.39635851230814,24.201780953227626,24.40013179705486,24.2063429048711,24.404449143603877,24.21103325864301,24.390801598987615,24.21575682980455,24.377683498928217,24.2203895181106,24.367078907018517,24.224789941490343,24.358599625764693,24.228833898886485,24.351755630762483,24.232471441352917,24.34620372109407,24.235769057432016,24.341713308373112,24.23886850849708,24.338116015772485,24.241930135931185,24.335269663217478,24.245068659984998,24.333032957498784,24.248390791731232,24.331247937115585,24.251879230724448,24.329729059747606,24.255314799340738,24.328268787023532,24.25808743486233,24.326669190894336,24.2590041432962,24.324796598951465,24.256739287021723,24.322625467124283,24.25263634418342,24.32019076137469,24.247926607915666,24.31752591490649,24.243258132775622,24.314637885174243,24.238899433246512,24.31152581263533,24.234947216530834,24.308209878198745,24.231421140560023,24.304759000788827,24.228310282723807,24.301282386464916,24.22558751869215,24.297900099293667,24.223214992738363,24.294721086224662,24.221162124548616,24.291832799568123
5,29.0283288189964,29.08720217554026,29.03037756853561,29.089217631420404,29.032806868399216,29.09156515563494,29.03563468913199,29.094267538483365,29.03887724046717,29.09733772289764,29.042545256101366,29.100795437872524,29.0466427245253,29.104669363748577,29.05117023578908,29.108996249974012,29.056128522107603,29.113819024475575,29.061523321800205,29.11919026831347,29.067372788654957,29.12518221850079,29.073706203827086,29.131897602614547,29.08055883108134,29.13948291949009,29.0879680039655,29.148152769836948,29.095968250545383,29.15823443288301,29.104587558258615,29.170237772846264,29.11383725846296,29.184904932163853,29.123714205356634,29.20281199265406,29.13419266217205,29.220807605398356,29.145191195810717,29.209552104209127,29.156515719424288,29.1983199122195,29.167785530896822,29.19020131180946,29.17834528041903,29.184562292732114,29.187311812939488,29.18060660916303,29.19406771363787,29.177773282950618,29.199261312084605,29.17568982208956,29.203801518458175,29.17410323901732,29.208361108899993,29.172828469486653,29.21332633831816,29.17171861532282,29.218870295247935,29.170647272992962,29.225033304213454,29.169498048187222,29.23173836338656,29.16816900647167,29.23874579563841,29.166590147460603,29.245574749837214,29.164740660116376,29.25139504336578,29.162660623316256,29.25509118322686,29.160435819713133,29.255872426389,29.158167722710616,29.254482645005943,29.15595608972827,29.251991709030833,29.1538881187131,29.249183780448128,29.152034712067092,29.029965605194633,29.254022700837872,29.03185936540976,29.25889290193227,29.034007437914543,29.263005843083175,29.036425954343123,29.265300292598024,29.03914351569086,29.26505870964538,29.042186541973024,29.263117097204997,29.045579713723356,29.260684780771907,29.04933809717501,29.25877569287831,29.053464108840853,29.25819225316929,29.057946599682833,29.259659968738262,29.06275305102649,29.263672654144436,29.067817495940517,29.268269961112225,29.073029311875505,29.254650592523593,29.078235087127137,29.241656932639916,29.083239846119604,29.23128983706218,29.087829212406692,29.223162525835264,29.091821670999614,29.216776065477298,29.095155063147427,29.211774810915696,29.097952073675913,29.207910850155457,29.100454087399243,29.204992931459984,29.102924391213968,29.202850393094035,29.105575366834366,29.20130608638756,29.108540790694978,29.20015390075779,29.111822434229605,29.19914866009769,29.11520146247086,29.198016155064057,29.11806331710208,29.196500290316518,29.119224301836084,29.194445465073287,29.1173865561189,29.19184861910473,29.1138147036918,29.188795800766528,29.109678524206878,29.185388400624632,29.105614882579584,29.1817066637495,29.101894883378595,29.177809224071922,29.0986203698781,29.173762121898868,29.095807055123963,29.169659290259656,29.093420397615624,29.165614170464988,29.09140637583284,29.1617404740476,29.089725723461513,29.15813679787392,29.08834150785653,29.15488146609628
6,33.88300953323282,33.946925657551105,33.88552802988677,33.94930264935073,33.888425978665374,33.95205583844797,33.891711598074394,33.9551867716719,33.89539839163778,33.95870376264961,33.89949615967759,33.9626327572274,33.904008951605775,33.96700048956835,33.90893978261529,33.97180280128794,33.91429416485725,33.97709897146814,33.92008060447749,33.98295809416551,33.92630966363903,33.98944860291479,33.932994272985084,33.996664392804654,33.94015083178415,34.00474160016041,33.94779843044411,34.01388450938373,33.95595713029796,34.02440937869551,33.96464370504188,34.036814797380345,33.97388039615361,34.05183227620804,33.98373246073678,34.07003105547385,33.99417543394608,34.08826384809959,34.00510811129685,34.077257892231444,34.01636520741815,34.066230917504626,34.027584266162314,34.0582750691498,34.03813862870613,34.05276543749646,34.04718719224113,34.0489165655346,34.0541457580714,34.046179751246925,34.05963240619269,34.044190414368565,34.06452316935,34.04269569993147,34.06947847486807,34.04151372037411,34.074886703203894,34.04049708665895,34.080935830805856,34.03951815228915,34.08766967404066,34.03846158341932,34.09499652230461,34.03722707416842,34.10263894622909,34.03574252571839,34.110033385406524,34.033991674667924,34.11622238061358,34.03200941720539,34.119929510531406,34.02985789802638,34.120252156954024,34.02763013753403,34.11805726073279,34.02541719371945,34.11460001405882,34.02330187284005,34.110827884819194,34.021355441575636,33.884946908845464,34.11672423985464,33.887157645306765,34.12268495824329,33.889644477271524,34.12777205002043,33.89242029611934,34.1307461721766,33.89549852135704,34.13077308557648,33.89888915771015,34.1288050569548,33.90259863312696,34.12620853571679,33.906629977171576,34.12407882485841,33.910977872052314,34.12333670315555,33.9156244418094,34.12474018131494,33.92053502702022,34.12879132245297,33.925654126801035,34.13350721882652,33.93090095709193,34.11993193925351,33.93616222041187,34.106998954361615,33.94129305952645,34.096713307374046,33.94612841372434,34.08868112944907,33.950525231445496,34.08238908405205,33.95443488864393,34.07747040946371,33.95794834286536,34.073670708647114,33.961254844649076,34.070795303028945,33.96457669881795,34.0686723953323,33.96808956973487,34.06712736242419,33.9718914852172,34.06596530772113,33.97595935877881,34.06496106171099,33.9800404127268,34.06386854719882,33.983453217042204,34.06245856719461,33.98488508567565,34.060585785795276,33.98289066052556,34.058240617766494,33.978911028401946,34.055495344776354,33.974268419508356,34.05243378913622,33.96966762809666,34.04911781432159,33.96540640458394,34.04559134011972,33.961581694883805,34.04190564127297,33.9581973201328,34.038138132565166,33.955228335059005,34.03438592831134,33.952647960483176,34.030749235431685,33.95042099783873,34.02731795487553,33.94852096704395,34.024166791674176
7,38.76845665869944,38.80596951210717,38.77096181576833,38.80868089573246,38.773864907375646,38.811806842190435,38.777154261345814,38.81532892418656,38.780820018759506,38.81923677116951,38.78485455094362,38.82352927301649,38.78925399596808,38.82820820065874,38.79401925238076,38.833307129149624,38.79915887850967,38.838857369328046,38.80468618210173,38.84485629877603,38.81061148510375,38.85139775489433,38.816939635201415,38.858548658032355,38.823675489413866,38.86640995238239,38.83082105015512,38.875145116130824,38.83838197885454,38.88501957037733,38.84636986295999,38.89646820962184,38.854795073602915,38.91014380070837,38.86364870000794,38.92655848171659,38.87292010489879,38.942884443746074,38.88255845850873,38.932798412672845,38.8924120874803,38.92260635517707,38.90217753984738,38.91511469972578,38.9113159420766,38.90978625546279,38.91910712131156,38.90593947236553,38.92504730884555,38.9031042270701,38.92968451943057,38.90097444717178,38.933789754789814,38.89933732808581,38.937948248181,38.898029883975425,38.94251377897554,38.89691458295982,38.9476653297364,38.89586303228117,38.953440008772375,38.89475020264454,38.959748485521686,38.893456418317676,38.966345283382,38.89188762664965,38.972720234916444,38.890003367201885,38.9780157894072,38.88783905762435,38.98109400920903,38.885488182934225,38.98115339583857,38.88305983133271,38.97897454658252,38.88067093417576,38.975682447405624,38.87841794373002,38.97212628619821,38.876378012999595,38.770268161290446,38.977413151825644,38.77241325652203,38.98273255602304,38.77489650283196,38.98724039099494,38.77770971766665,38.98982536910913,38.7808352690176,38.989724784470425,38.784254038421395,38.98778156489463,38.787946320968736,38.98522695077736,38.791896456432696,38.98307694376275,38.79608770370088,38.98207101478278,38.80049503671166,38.98290456391943,38.80508157229554,38.986022680108,38.809796146220826,38.9897036870031,38.814567861634636,38.97750390077655,38.81929203312139,38.965854043662915,38.82382442171934,38.956478386479716,38.8279927940086,38.949022532140944,38.83164024942313,38.94304273716034,38.8346954033002,38.93822635841894,38.83722021440829,38.93435933762298,38.83936102601013,38.931280329916206,38.84128525908724,38.92884654557705,38.84314258030261,38.926911396298365,38.84503452479019,38.92531069936304,38.84697283811117,38.9238555810723,38.84879628166499,38.92233708429529,38.850018958710685,38.92055736232577,38.84967473819542,38.91838699128977,38.84669558148596,38.91581083883315,38.84221218266414,38.91288166966622,38.83725287085413,38.90965547806287,38.832360527304246,38.90616300924617,38.827761494328286,38.90242453084714,38.823527424327246,38.89848039765606,38.81967519963305,38.894415523109274,38.816202782361614,38.89034933859288,38.81309692967442,38.88640871099851,38.81035404133734,38.88270853542225,38.80797842823098,38.879342486546406
8,43.62869830267309,43.67855490870387,43.631255864147505,43.68130295389004,43.63425863661216,43.68456169671052,43.637686874187914,43.68828469433356,43.64152696589336,43.69241409798299,43.64576918563077,43.69690728922859,43.650410110226815,43.701742604674465,43.655450950390076,43.70693167087,43.66089453853171,43.71250389142898,43.66674464692595,43.71849971525238,43.672993297467485,43.7249856169846,43.679634380677,43.73203691056143,43.68666572390951,43.73975871887025,43.694101482043536,43.748315926477794,43.70197919866,43.75797536076303,43.71035661793668,43.7691789148019,43.71928094801495,43.782592031021856,43.728722314458324,43.798741928336504,43.73866685492875,43.81479555155578,43.74904083872933,43.80426287905902,43.759611295421145,43.793640232085984,43.7700093838632,43.785767580573605,43.77967034833365,43.78008771599113,43.78788430336243,43.77571617724631,43.7942904340229,43.772467017739984,43.799016967243205,43.77004916541202,43.80333384348356,43.76825875825244,43.8080150603242,43.766923171176366,43.813342278795645,43.765875961083225,43.81934662702345,43.764938407000926,43.82595531801378,43.76391898994089,43.83301710835851,43.76262531971055,43.84022895530262,43.760892790631836,43.84702616182409,43.758636240759174,43.852505129942145,43.75589886312876,43.85550031779558,43.75282944860079,43.85523912355229,43.74960291751454,43.85265605114486,43.746392336193935,43.84902348278155,43.74334711452006,43.84525466142719,43.740590376765425,43.630614181630946,43.85085456321478,43.6329013710081,43.85661189593381,43.63554418629074,43.86158447759628,43.63852014198122,43.864511430142294,43.64180061072682,43.864517300135134,43.64535864663634,43.86247797305133,43.64918718963577,43.85970677708359,43.65328339734976,43.85731466112739,43.65764655744921,43.856159937525774,43.66226939372753,43.8570045609049,43.66712546597008,43.86035351716981,43.67216083837508,43.864331309752,43.67729281584611,43.85089004056322,43.68241730470247,43.83806449982036,43.68740844390561,43.82774583704044,43.69212232602683,43.81954013400894,43.69642415983593,43.812960631020054,43.70024212680116,43.807672634738225,43.703614230839825,43.80345670049894,43.70665696344172,43.80015382103435,43.7094996406414,43.79762348440547,43.71222248227261,43.79571705261607,43.714859293339416,43.7942664221577,43.71749192174927,43.79278742975244,43.72027513661016,43.79128537764261,43.7217554378377,43.78960160293958,43.721831317199026,43.7875816351442,43.719342802799005,43.78518031253414,43.7152959076291,43.782408705165984,43.71067189530592,43.7792683684295,43.70598382022612,43.77572965500808,43.701445614699715,43.77175715478023,43.69713452206214,43.7673690949466,43.69309191959236,43.76267208884149,43.689360848469505,43.757836050512836,43.68599111611705,43.75305085779934,43.68304133631003,43.748490910819,43.68056084895792,43.74430011739193
9,48.48288317520664,48.5431967968621,48.48573561160167,48.5461833126883,48.48907493426842,48.54958626155492,48.492894022148,48.55338996023562,48.49717513772356,48.55758592703357,48.50189676761236,48.56216861425288,48.5070384825231,48.56713609089935,48.51258132807672,48.572493747574896,48.51850515847585,48.578258868510076,48.52479350703021,48.58446164708823,48.531442441048824,48.59114068466905,48.53845926290628,48.59835632915947,48.545859946206136,48.606193248510095,48.55367174395093,48.61479270736456,48.561926004738666,48.62439100118539,48.57065190529018,48.63538425870253,48.579858777477895,48.648373956914675,48.58952552417889,48.663834731538046,48.59963279148191,48.67913427307627,48.61011969443612,48.66973677753167,48.62081154189573,48.66017587070338,48.63136979418792,48.653084029990644,48.64124525235994,48.64798009011774,48.649715229524666,48.64423186888405,48.65636722995345,48.64143327108007,48.6615575007623,48.63930847594605,48.66628800967047,48.6376699655584,48.671135538187556,48.63636940909507,48.67641639722944,48.635271478149136,48.68228858394289,48.63423819766273,48.68877131935682,48.63312262284747,48.69574222444976,48.63178102172328,48.70291837576435,48.63009934285414,48.70976831754051,48.62802623827057,48.71541086594678,48.62559952132419,48.71867998648918,48.62293211211085,48.718762439202465,48.62016629769768,48.71649043251559,48.61743144723833,48.71303921161857,48.614842727130416,48.7092957927006,48.612489953546884,48.48520895830648,48.71497751143343,48.48791906940071,48.72070250279542,48.490996424109795,48.72558402369852,48.49441947456658,48.72845275330464,48.49817244753319,48.72850530148854,48.502241829102786,48.72661630265699,48.506616414035555,48.72406016700813,48.51128268909789,48.721894611199936,48.5162187626134,48.720935027731954,48.521393694200235,48.72188163637811,48.52676248797732,48.72519550024126,48.53226488892298,48.72909311548915,48.5378205684722,48.71652575200553,48.54331880077588,48.70451681978476,48.54862134279591,48.69485336285225,48.553575204526,48.68715765263403,48.55804574949314,48.68096151150256,48.561968337309146,48.675935941894735,48.56538629487753,48.671859809819374,48.5684115768444,48.66857326946197,48.571174826167194,48.66593977783723,48.573789453031736,48.66382170206627,48.57632926165361,48.6620741020926,48.57879290341989,48.660511558142105,48.581104242615254,48.6589468490835,48.582700439948425,48.657197122231494,48.58282306147943,48.65513612421298,48.58051696421126,48.65273200053123,48.576770991144315,48.650002675866446,48.57250201039955,48.6469642010602,48.56820041414572,48.64361144750444,48.56407497298615,48.6399348083129,48.56020987668687,48.63595979803732,48.556615222048826,48.63177438622827,48.55330427086555,48.627514462259626,48.55030770274169,48.62333141049045,48.54762742430399,48.61936391566867,48.545257375288166,48.61572243790515
