SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,4.6441623424646276e-05,0.00026181471334658403,0.0005301991640937545,0.0008015646892084761,0.0010989673142496915,0.0014501396612203055,0.0018754464159380473,0.002353257817426759,0.0027864506417892036,0.0030794009139606983,0.0031711270684683587,0.0028852482088889417,0.002276717493935343,0.0016580338968433888,0.001173012467568212,0.0008185214088909991,0.000557136911625288,0.0003562388024096483,0.00019378301119323308,4.2186609468986176e-05,4.988835061409645e-05,0.00019774618571254598,0.0003198661468512042,0.0004240942253079397,0.0005072104888550111,0.0005709821219496989,0.0006195657116216846,0.0006596497673161309,0.000697945291572811,0.0007426521449887052,0.0008062234710745862,0.0009159137649565839,0.001168486354902332,0.0018420148767078156,0.007468312572044998,0.007560683851046825,0.0020991816201564057,0.0014038653852761248,0.0007297030018118145,0.00014083334405248435,0.000748739279511872,0.0014659158279731665,0.0016812166423782208,0.0014606064315224887,0.0013414097512172989,0.0014052729289248409,0.001625954948196911,0.0019980877077461707,0.0024924524641129313,0.0028681707207009175,0.002825837854981987,0.002524883840809658,0.0021073237579523753,0.0016917363412524502,0.0013560270849558456,0.0010821216422796493,0.0008175294390295835,0.0005214493842735659,0.00016006733554710276,0.00016090503651850223,0.0005682362037720205,0.0010338976206650547,0.0016813781022798654,0.0025900456227963414,0.0032717567674348555,0.0028989505127368182,0.002325763207632452,0.0020572804937537756,0.00201871269957406,0.002147509687227915,0.0026128737061771193,0.004218975263281428,0.0040302002862200315,0.002062524411685772,0.0012766214023968785,0.0008553070354048002,0.0005441330980496359,0.00026227153402224777
1,4.505028784889732e-05,0.0002590245104245538,0.0005211818902581709,0.0007751229325228936,0.0010354682735001118,0.001324179022242376,0.001666707059580432,0.0020542022449135484,0.002401932615023184,0.002635388502975549,0.0027061569701535525,0.002460062754160589,0.001954362559642453,0.0014730198159499022,0.001096109412991575,0.0008044137314651282,0.0005743855108514555,0.0003852823937816102,0.00022202085349910935,6.202436888987431e-05,6.356053630137337e-05,0.00021838491144960347,0.0003517069400847041,0.0004715728424478301,0.0005762406713739614,0.0006673177863043582,0.0007469253301441654,0.0008196141403164599,0.0008902392226779835,0.0009643283044646489,0.001046939840589632,0.00114851719349636,0.0012783382156206892,0.001598947200934465,0.003745475092931696,0.0038664776798635137,0.0020006918214611194,0.0017071405910276548,0.0009885073114280084,0.0001988481242127764,0.0010022892134378498,0.0020222728348726843,0.0023674134814090477,0.002084837498833136,0.0019452164310956013,0.0020511362427394226,0.002339590766190295,0.0027798969054799705,0.0033388065568453248,0.0037989923759261563,0.0038643924340709046,0.003592451940507239,0.0030353916818075346,0.002399025621465351,0.0018623844520316256,0.0014323669048487031,0.0010474322669083566,0.000654392115048111,0.00020405599005422857,0.00019992264383366504,0.0006837730725585158,0.0012088912460215641,0.0018957244186699525,0.0028191611326016204,0.0034902631651068305,0.003083852014737504,0.0024581919129877438,0.002128860840871072,0.002042174123559384,0.0021721234630805867,0.0027523703720689343,0.004751446058458833,0.004576453677530637,0.002234889960847591,0.0013281086251114716,0.0008654071261247714,0.0005407187147135146,0.00025772598182413815
2,4.9420826872808394e-05,0.00027261962218591,0.0005427706439984712,0.0007965775851071621,0.0010535267007364727,0.0013396451950075422,0.0016644780416881924,0.0019879840717592725,0.0022014022484362172,0.0022249103865487306,0.0020987951448310053,0.0018488452926644062,0.001534073330669155,0.00123120109816335,0.0009663069245692706,0.0007405752535803287,0.0005494267967580796,0.0003859073228961171,0.0002393528389690886,9.464515613373265e-05,7.567550643599501e-05,0.00019963002299962522,0.000316939020110728,0.00042546169016677656,0.0005233270645515765,0.0006108994939523274,0.000690981393776019,0.0007665104376500625,0.0008414389968933218,0.0009209591973421537,0.0010113938199116925,0.0011283601498522427,0.0013459377621854991,0.001885542065748104,0.006372299502503741,0.006437252286386042,0.0019734558323688334,0.0013287449557027723,0.0006889941011525998,0.00013263485917525846,0.0007063089832906184,0.001390114547415406,0.001674553162861566,0.0016296423876601602,0.0016664318212639881,0.001858202450974099,0.002183922434479145,0.002632118550021379,0.0031755057713028292,0.003585836302682541,0.0035638934044147025,0.003229636937256777,0.0026947923002105644,0.0021241615499752184,0.0016381825886117374,0.0012421710546050074,0.0008957755477888036,0.0005601081870972987,0.00020697515948144224,0.00019563657838464932,0.0005531898007180235,0.0009227412423063032,0.001351009891791424,0.0018520794198812545,0.0022267053291043608,0.002135409960585966,0.001959875608664274,0.0019343320793903953,0.0020325752878547886,0.002260798826755479,0.00287761109656034,0.004881677170110444,0.004687231616617761,0.0023146033533923897,0.001384388548163404,0.0009045779592024447,0.0005667000508831384,0.00027147803815824633
3,5.036925485055947e-05,0.00025748730803380456,0.0005074796264496535,0.0007455612052300065,0.0009846775130777196,0.0012354751445835827,0.0015119502830122427,0.0018071107986423237,0.002064437003508448,0.002221902699664128,0.002247488058905938,0.002045360224806031,0.0016476489916769886,0.0012467375864015744,0.0009311789208117049,0.0006934835128885716,0.000504215553031886,0.0003414783057409152,0.00019605247855181487,5.191254520019975e-05,5.221700441749276e-05,0.00019051108083822856,0.00030921193543328887,0.0004163890424310236,0.0005113386287476299,0.0005964385225633739,0.0006756646234743674,0.0007530253888609266,0.0008331199316644251,0.0009217638108266373,0.0010302353703643854,0.0011849745813139645,0.001484485944427248,0.0022132874995541823,0.007914824900949639,0.008139676374614017,0.002831132527131228,0.0021579773824341162,0.001173542956069871,0.00020996933666771428,0.001213086124918018,0.0024297737448349234,0.0027386090562138616,0.002223657125613024,0.0019029500797920122,0.0018726866890721892,0.0020185038628989732,0.002270323093601058,0.0025815056147938677,0.002832401519560496,0.002876187562284964,0.0027191486595595326,0.002352444155224658,0.0019169433750855988,0.001530007496678762,0.0012006893043021597,0.0008914943536738596,0.0005665868077948119,0.00019209654001245825,0.0001718288593200929,0.0005559046926372761,0.000976749904925473,0.001523854009315663,0.0022675872500524706,0.0028308597295097033,0.0025782340541525353,0.002167593208276493,0.001992522799168019,0.0020186650461685857,0.0022559377966073937,0.0030068285313715123,0.005480125105660797,0.005304845204502147,0.0024848121371249853,0.0014170785216914925,0.0008983373012424036,0.0005546251473506282,0.000266307208513518
4,5.3912600618237364e-05,0.0002731714843856155,0.0005409989595413692,0.000797012097214203,0.0010572312011761919,0.0013423223647184269,0.0016639786669910156,0.001991659993581784,0.0022343246765924776,0.0023196031606352967,0.002256701844990086,0.002013539870854909,0.001633009177865892,0.001257552115402333,0.0009500609080198727,0.0007091406075548268,0.0005172664252531365,0.0003562133501261444,0.00021219849780524476,6.794946637909407e-05,6.658735241301078e-05,0.00020762796679139092,0.0003337160829624435,0.0004490642397877744,0.0005512747900339782,0.0006407367304452741,0.0007198898139302053,0.0007926290599893136,0.0008626009467510511,0.0009305425439970251,0.0009975876132718767,0.0010764322649268881,0.0012149814502455058,0.0015412625121968178,0.004050284715745333,0.004086275117450636,0.0017218719497372923,0.0013265093918997887,0.0007370308884003742,0.00017061933235683324,0.0007938235653921948,0.0015554831125384728,0.0018621777184864893,0.0017633429019482125,0.0017345125444707358,0.0018853049550586962,0.0022192507689765386,0.0027481897417599263,0.0034266830143337987,0.003865855863414661,0.003596691243512709,0.002983209915873329,0.00237356986443833,0.0018567118038747004,0.0014515937562374443,0.0011203707239727176,0.0008145939487694375,0.000503937046498178,0.0001589773881426563,0.00015922559651222832,0.0005264571893573369,0.0009141858436984543,0.0013979923601325859,0.0020185979719028065,0.0024987442506662298,0.002369884479699687,0.002135614306296706,0.002091642947547082,0.0021781699852840026,0.002337745315208224,0.002728367670136206,0.004011238949488709,0.0037581394449703424,0.002027372483859561,0.001293934235481864,0.0008751361007481766,0.0005574502849228606,0.0002701760365552459
5,5.0340354462626415e-05,0.0002883304028526533,0.0005809926457998875,0.0008697061188088632,0.0011709255651332331,0.00150342999774534,0.0018711881605116489,0.0022255835083070698,0.002440017649954351,0.0024191590482122924,0.00220856218673665,0.001860035103910927,0.0014818627310949613,0.0011452961166001983,0.0008714043778255873,0.0006510554200091858,0.00047050591340309944,0.00031607186178581384,0.00017875642233641245,3.9405203688900334e-05,4.575878834262655e-05,0.0001862428027321494,0.00031140009922224466,0.0004331604004697684,0.0005450531154531494,0.0006523315490053944,0.0007378912285882168,0.0008450125502196539,0.0009422420806474949,0.0010491446208978042,0.001179156987349533,0.0013572864472187604,0.0016769449770322599,0.0024082959828411153,0.007834599970782896,0.008128458548018396,0.0032450948916581427,0.0026186260249802897,0.001468487660495834,0.0002951490775645628,0.0015399202191555546,0.003068162450562287,0.0034755011281072355,0.002861230770120997,0.002457798935096428,0.00243040703443345,0.0026797371998756054,0.00315110323444947,0.0037822343269349997,0.004251697261160779,0.004165275229538256,0.0037227304246364615,0.0031017616964352924,0.0024742977917915267,0.0019594202257761043,0.0015391331373994903,0.0011463544306410255,0.0007238174267315284,0.00022446929818309685,0.00022284546690399393,0.0007729762829249883,0.0013858871558989048,0.002212121791345281,0.003346559233939077,0.00418920189836934,0.0037282165204981805,0.0030081802959587003,0.0026463665226887094,0.0025459992494177705,0.00260786275943309,0.002965511326524125,0.004358711327460613,0.0040953529290488865,0.0021992478602534033,0.0014005632402235872,0.0009470639448014172,0.000602548099381613,0.00028942615574934513
6,5.588455083542715e-05,0.00025567790666554684,0.0005053454856375908,0.0007600196799261244,0.0010312209438932745,0.0013289240534077058,0.0016660761731098917,0.0020324952600197467,0.002357012138420989,0.0025655193791048756,0.002613982874154541,0.00237319968294306,0.0018786020804443737,0.0013818644912746815,0.0009991322562336218,0.0007194207886957641,0.0005050103899171321,0.00032676872820036097,0.00017278327891483386,1.995882842740831e-05,3.9928412902058845e-05,0.00020387281514095372,0.0003383503689667123,0.0004602307032679116,0.0005677668590118705,0.0006624790443285961,0.0007494972791994149,0.0008320838923536803,0.0009161038631795108,0.0010071881034337193,0.0011170870623604542,0.0012748562053548525,0.0015872508771444943,0.002353428305647345,0.008376129280457566,0.008571996518095272,0.0028713390243239696,0.0021175272614711083,0.0011499990325534453,0.00023287011262338115,0.001200739747226659,0.002366185102670589,0.0027187846307640253,0.002355944894786249,0.0021386314350467827,0.002212009929025365,0.002538657733801926,0.003106315554843584,0.003866014064817464,0.0044299268040909594,0.004314240527217803,0.003790202825466941,0.0031098512670726403,0.00244927478017698,0.0019233538567294053,0.0015059429372764016,0.0011216794951018402,0.0007094125754653125,0.0002197753886531361,0.00022617254631825145,0.0007765153985082444,0.0013862384217655527,0.0022060394451421054,0.0033295946496284977,0.00413736898225356,0.003586001801560253,0.0027413238383979096,0.0022391417019133474,0.00200772686346902,0.0019866374751121726,0.0022932377756193743,0.0035268090136695925,0.003357722450159465,0.0017896377282739296,0.0011481668292882472,0.0007893002067614895,0.0005125975382362194,0.000254440537818019
7,4.717646195359518e-05,0.0002773610965101734,0.0005624950830040443,0.0008456635421282933,0.0011466099085922182,0.0014875703025854863,0.0018786004073750927,0.00227404287901212,0.0025519437239061847,0.002617572975258687,0.002501683431546591,0.002201908812299796,0.0017743452005387248,0.001367432064587727,0.0010368127496086395,0.0007743191945281168,0.000561872643623145,0.0003845804273700491,0.00022885455914219653,7.108497061111222e-05,6.944196027182587e-05,0.00022380991220977955,0.0003611262431532234,0.0004891267579573771,0.0006046072109045458,0.0007070710924268271,0.0007982317810660878,0.0008819709755564307,0.0009607838093470939,0.001036807746314517,0.0011127571493051553,0.0011934895601798876,0.00130317812418596,0.0015198699143839163,0.003071573203362006,0.003147322531194495,0.001709172961411496,0.0014163778063041362,0.0008059432050405903,0.00018298955853443045,0.0008585101608192719,0.0016899743634186445,0.002025277513449752,0.0019082197594006128,0.0018896432943012187,0.0020362119042868134,0.0022966263893429146,0.0026406119356948204,0.003051128765772731,0.003427904216428076,0.0035937935444478623,0.003485478729467457,0.0030560697113122524,0.0024946030589402426,0.001990717950211535,0.0015641922210101642,0.0011637778223753928,0.0007424592580151121,0.0002578049112951619,0.00023350172709930145,0.0007362731498516194,0.0012891012481570888,0.0020092393067169395,0.00297753043329692,0.003702952928281734,0.003353328954983652,0.0027928797369932415,0.002523984284920934,0.002452591779961705,0.002476358196732133,0.0026559599682385894,0.003482041681824118,0.0032146905182529745,0.001881892829989711,0.0012697509228214257,0.0008852031221708891,0.0005712470490625142,0.0002755924629333209
8,3.664673220450437e-05,0.00026839739526174486,0.0005525721696462524,0.0008385989238239198,0.0011424092687115138,0.0014827707183671462,0.001870816236533387,0.0022874037949363094,0.002633202622774074,0.002815324193183406,0.002807380690401964,0.002514831507855202,0.001989245744005886,0.0014706738688080117,0.0010691388175730768,0.0007735239312262763,0.0005464775196652864,0.0003591303146478909,0.0001969145019705958,3.7030254260579025e-05,5.091134185711808e-05,0.0002161993453186936,0.0003554032502055799,0.00047943733009822326,0.0005863562108878986,0.0006777508013457199,0.0007565514856931357,0.000826825223171387,0.0008926259430854565,0.0009584667498785801,0.0010312518540832704,0.0011250372206457746,0.0012865084799259584,0.0016444387039590642,0.004033584016592317,0.004328209255992958,0.0024784066356996776,0.0022364020436544145,0.0012869915195648474,0.00023876673453509026,0.001355058508484859,0.0027502966567805867,0.003088358203633213,0.0024434657790171816,0.0020393561934919538,0.002013063205977224,0.002258019236942843,0.0027247921744354576,0.0033523851621329558,0.0038434736815603798,0.003823273995052486,0.0034482249822566403,0.002879821977490161,0.002283171213003139,0.0017840471179072447,0.0013769185308396652,0.0010081030488381544,0.0006334168018784616,0.0002146647312733414,0.0002106968030798805,0.0006571799352029757,0.0011299317936053646,0.0017168724446022376,0.0024653000133524443,0.0030294327088555735,0.002819351332122185,0.0024619025135237445,0.0023273593817100674,0.0023580124872365875,0.002516126102272552,0.0029914838588299365,0.004689802047485266,0.004456837538672604,0.0022999551232069297,0.001419962668040751,0.0009419741926949441,0.0005904059791891588,0.0002777173296736456
9,3.5964809579055795e-05,0.0001941126649595208,0.0003856540958303062,0.0005669803581753904,0.0007458327077688664,0.0009318575935730639,0.0011338282216031134,0.0013506122741652367,0.0015564232670390674,0.0017183773853822787,0.0017921328170005459,0.001670819271421469,0.0013745322486618376,0.001058793767828031,0.0007988771032400304,0.0005978432084415707,0.00043826342235023024,0.00030262679537374556,0.00018200068660077155,5.5892920444688445e-05,5.197173983371799e-05,0.00017256920569410657,0.0002736439120702224,0.00036534777031146086,0.00044641781803579406,0.0005184293144311827,0.0005834160793453574,0.0006438608531473189,0.0007024207077788766,0.0007589549784542838,0.0008489974821532327,0.0009617305545790806,0.0011677158267912003,0.001688073083319151,0.005791740315138022,0.005926318167946089,0.002056275896967988,0.0015331324727920473,0.0008340413199459905,0.00016937402919694198,0.0008878702189151069,0.0017459231632429362,0.0020005572421428995,0.0017225141429849872,0.0015684147040678372,0.0016337980011074623,0.0018821043594879749,0.002307987664832544,0.0028955199710960135,0.003428242991393134,0.003586442173436841,0.003390195979373513,0.0028847323228699613,0.0022858984583826523,0.0017828391249583425,0.0013968531930607239,0.0010279832680259982,0.0006459747174389956,0.0002100634983559775,0.00020318329649759667,0.0006687305753146841,0.0011709960413093514,0.0018218079468923397,0.0026991182772785234,0.003342484033526565,0.0029561996482576954,0.0023738420641610586,0.002043645710422006,0.0019115053788255852,0.0019188691634427094,0.0021500639003823358,0.0031239082706125266,0.0029200522782252074,0.0015548771859887965,0.0009764584967818105,0.0006508310034232356,0.00040987558117755744,0.00019681061941996834
