SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
0,1.0126151424968592e-10,9.926183853211782e-05,0.00025478634485651705,0.00038771346539166664,0.0005246053069797598,0.0006639732798841373,0.0008070033746920744,0.0009533986815882525,0.0010973124238799722,0.001221937570110025,0.001298412747359541,0.0013040319465817748,0.001265929064669237,0.0012176662558795038,0.001181142060979137,0.0011677619741597368,0.0011836360953630378,0.0012336289097958145,0.0013227807501824125,0.0014539964138111656,0.00161867413516856,0.0017752751996128033,0.001821168903388982,0.0016256186351064207,0.0013179899862730028,0.0009990081632701461,0.0007074524832574803,0.0004495508209344836,0.00020153424360574824,2.6876622555297186e-09,0.00020880568062396016,0.00043499604833493446,0.0006228407773103253,0.0007770131516178014,0.0008916974384347462,0.0009736204502313319,0.001035202501412093,0.001088222940953323,0.001140745648374614,0.001196837053632687,0.001257722575262707,0.0013232441664880164,0.0013935480701010112,0.0014696026112090228,0.001553163275483955,0.0016463938526960248,0.0017529477134458574,0.0018832720656622643,0.002071272541385382,0.002426253002872618,0.003307818777930518,0.005976535353162103,0.0031114005443259075,0.0020265064035011673,0.001458480377152244,0.0010484620969923215,0.0006878908552808782,0.00034190640478841584,3.0221464134059862e-06,0.0003420682895613195,0.0006799853640176573,0.0010164103977397245,0.001358876278639058,0.0017113770386570758,0.0020685112000523335,0.0024096932434071947,0.0026972709798768926,0.0028843183008021977,0.0029333199896882157,0.002828902923668397,0.0026379184279781776,0.002428583270849039,0.0022392739312780416,0.0020820368863070865,0.0019528376389545254,0.001839776974074341,0.0017285676587622627,0.001606861515978776,0.0014679090192411565,0.0013120879211503784,0.001144550855563817,0.0009717489197107729,0.0007990668307080309,0.0006299224576844424,0.0004657661078842357,0.0003069644971053183,0.00014775269903287669,6.023391887489228e-07,0.0001480486557160776,0.00030339291744134006,0.0004506310508619413,0.0005918267150358266,0.0007233191600652413,0.0008413960094429521,0.0009422618630882152,0.0010227894762740595,0.0010814028610227448,0.0011187108529033772,0.0011375583293497852,0.0011425559161362413,0.0011393437258899136,0.0011338174835851384,0.0011313725297755208,0.001135974403153208,0.001148621583294577,0.001164651065362624,0.00117039082904379,0.0011427143652530238,0.0010623204629944883,0.0009451028023908859,0.0008113259317423895,0.0006729588076284333,0.0005345958946117499,0.0003971687343158326,0.000262989173446063,0.00010569064387192876
1,1.5644539130586564e-15,7.719415060351799e-05,0.00028468469949969927,0.00043458919270156893,0.0005858404963529704,0.0007311836178009664,0.0008709051940244963,0.001005574076047227,0.001131226080748069,0.0012329395805372094,0.0012837522525928112,0.0012623815117543157,0.0011967467045474317,0.001120281491361311,0.0010539243425667902,0.001007182316117925,0.000983461938963434,0.0009841360137125004,0.0010104684421076548,0.0010627162349450133,0.0011346764533089653,0.00120170096797592,0.0012059941352702496,0.0010743758639901071,0.0008771734877698391,0.0006732531129513546,0.0004834312005566398,0.0003112251084914927,0.00014916463766205236,1.6333318922273523e-06,0.00016296992216430364,0.00031726357713666965,0.0004547872753808082,0.000571973845316631,0.0006665666660320165,0.0007419071144100102,0.0008042300557331438,0.00085960552524096,0.0009119270082970539,0.0009624940368192065,0.00101083925269277,0.0010560707569185197,0.0010980509387247014,0.001137990332248736,0.0011781669568218334,0.0012217191076355802,0.0012737009926333592,0.001344905899749657,0.0014662683099885348,0.0017308252150708345,0.0024342678157454165,0.004607710000752605,0.0022796672533053172,0.0014188711408143445,0.0009938318256838172,0.0007085185953147676,0.0004705825134112962,0.00024953264739823133,7.550580309096648e-05,0.00026448434268024616,0.00047811931707598824,0.0006853593476388739,0.0008902585790831012,0.0010966418661437715,0.001303292438430038,0.0015016163105030886,0.0016741560209865601,0.0017958551279827286,0.0018413042612982764,0.0017979067656085494,0.0017016988071861436,0.001590652929110097,0.0014874890424606399,0.001398960351826369,0.0013229301983810557,0.0012533370346169133,0.001183064491317717,0.0011059743222929979,0.001018331815462715,0.0009197697346789691,0.0008131027946621213,0.0007023694352135714,0.0005903358100323646,0.0004787766555881752,0.000368475675053297,0.0002595683831986029,0.00015193618673106359,7.340785194948157e-05,0.00012814817282667462,0.00022682754904807697,0.00032403895553272246,0.0004178508324427457,0.000506592603103955,0.0005885268045077146,0.0006620089849151071,0.0007261401872756582,0.0007811208417238169,0.0008284414635434836,0.0008708647619319961,0.000912206222491241,0.0009571071412639912,0.0010108163905395507,0.0010786393405563376,0.0011643359179452897,0.0012666366423290376,0.0013739545998658822,0.001459105597612094,0.0014767965979572237,0.001387988291375858,0.0012267070081312004,0.0010361314832951286,0.0008418291664659818,0.0006538866645707773,0.0004743604384949003,0.0003080601714038962,9.189509857631782e-05
2,1.6349021459232657e-14,7.679083565190931e-05,0.00026952308973831555,0.0004160678268422837,0.0005705246278982548,0.0007286719722486876,0.0008920170546376018,0.0010606217314182308,0.001226676416297822,0.001366761853738711,0.001442214759359677,0.0014229772498282828,0.001342391513902563,0.0012431203783174708,0.0011557992186114032,0.0010922919943190507,0.0010563030974873886,0.0010490915222223574,0.0010716434037449905,0.00112372757604113,0.001198178920572478,0.0012678343856009108,0.0012688981510724636,0.0011213037525083134,0.0009030612574164841,0.0006763700616330762,0.0004663673714007636,0.0002864247047805709,3.237721595685898e-05,1.0111530645308071e-14,4.969126368518254e-05,0.0002924581965989993,0.0004308222266448704,0.0005582944268702864,0.0006626930055586744,0.0007479417566269411,0.0008212133052687777,0.0008889539302948795,0.0009546599539464739,0.0010186089451739292,0.0010793195373163726,0.001136055004420203,0.0011894591418953149,0.001241814265546871,0.0012974006299884913,0.0013632726442956947,0.001451261536215287,0.0015855205925957704,0.0018301413786371394,0.002375791730817743,0.003797341739398368,0.008182256760792712,0.0036293601749328623,0.0020121150152934363,0.0012780552025853146,0.0008407842950314055,0.0005205344928290006,0.0001761273585832801,3.3700078033733153e-19,0.0001590066628685483,0.00047017064404915174,0.0006963823099894435,0.0009151254236519862,0.0011254668437000242,0.0013250850337589027,0.0015018912581510266,0.0016367163989422435,0.0017110400474709916,0.00171727605653623,0.0016598669149890319,0.0015762469911231867,0.0014951346069144952,0.0014260786151872045,0.0013726812249629764,0.0013305485138808545,0.0012899992872790114,0.0012400813209218632,0.0011723596029224817,0.0010828873283809865,0.0009722675065310236,0.0008454782825961213,0.0007112005183486258,0.0005764219194109844,0.0004451540821703875,0.00031874241792081894,0.0002027192299779352,3.5759067684767135e-05,3.105508456926474e-13,5.076027078192537e-05,0.00022020556717793023,0.0003333752619408879,0.0004486286647377405,0.0005572617917268311,0.0006555906531235434,0.000740285758762759,0.0008098813609200186,0.0008645286989240128,0.0009053524773784772,0.0009347444487632028,0.0009567648049427458,0.0009767345165862117,0.0010002904272190642,0.0010324068174030231,0.0010761204458102748,0.0011302654445219734,0.001186773125121335,0.0012320111735877619,0.0012338954071258613,0.0011635923321610174,0.001042536675329279,0.000898013272997737,0.000745637121113789,0.0005916304258388397,0.00043772404720237445,0.0002892171625329241,9.241824065117898e-05
3,2.6657320499152672e-11,7.788991742130354e-05,0.0002271738834282527,0.00034572884475969216,0.0004670164683400804,0.0005883860078356797,0.0007105783763366289,0.0008332233546509888,0.0009523371492443001,0.0010572415135562479,0.0011297446863346436,0.0011540587695220397,0.0011457921779736901,0.0011322432683814425,0.0011313142773400739,0.0011509420868740419,0.0011959336589503385,0.0012713262163836162,0.0013826353786311535,0.001533128457030385,0.001714315262565791,0.0018827881107011232,0.0019295575572719431,0.0017191733623660081,0.001394478020963642,0.0010521923606052867,0.0007368616334867026,0.00046124347176628827,0.00014227538363311302,7.444536150813906e-19,0.00015995425680103708,0.00045658360421677957,0.0006601909192069035,0.000836047695237003,0.0009707202316593302,0.0010705793826441142,0.001148589037721635,0.0012161922132976734,0.0012799291508985853,0.00134178485723177,0.0014010132861309117,0.0014555567710937028,0.0015040148434040585,0.0015466418149492874,0.0015849847572111501,0.0016205966374422931,0.001654637990299246,0.0016912856644487116,0.001747339366583949,0.0018831329247280654,0.002264666647868938,0.003630409722468359,0.0020241377708883333,0.001377338392454122,0.0010067891937517936,0.0007236420875582751,0.00047318573982841017,0.0001983927891447021,1.114654549585644e-13,0.0001892348979774566,0.0004566940072214675,0.0006866010578008984,0.0009205347939569148,0.0011605623335840044,0.0014041364509560649,0.0016426207551028425,0.0018588585449205875,0.002024262355320208,0.0021037646767586822,0.0020801655547964945,0.0019997803510142997,0.0019016116677579398,0.001808416220869834,0.0017289072266210388,0.0016603451539514225,0.0015932597080471666,0.0015165927821896967,0.0014219265845404013,0.0013058215299475374,0.0011699013375413726,0.0010194777758514185,0.0008616181773650356,0.0007020197582818572,0.0005444807673185569,0.0003909351121400805,0.0002488329877748306,4.6577699074976135e-05,6.065658539712989e-15,6.51140311711366e-05,0.0002688786351230677,0.0004050615442893582,0.0005425362119746227,0.000671259852942788,0.0007874510483284042,0.0008872414534357591,0.0009679452043844816,0.0010286471739630086,0.0010696968036211973,0.0010927434333180834,0.0011013059784254053,0.001100588634488686,0.0010964027634423694,0.0010940130947255495,0.0010972686746598972,0.0011074264503631217,0.0011204387253469826,0.0011227833476810394,0.0010915211656877357,0.0010101974926024029,0.00089451793921747,0.0007634634843496375,0.0006289143356256296,0.0004961469379927349,0.00036628855754828737,0.00024183553943938021,8.829702280956972e-05
4,1.7158657859431314e-13,9.861773766040157e-05,0.00029099871988174557,0.00043932036552503395,0.000586270992243674,0.0007268637525946949,0.000861410923477654,0.00098984661664552,0.0011089346504849242,0.0012076551622601534,0.0012646827891473586,0.0012625074154627221,0.001223569906429178,0.0011763147536326692,0.0011393225169547597,0.0011203773947833443,0.001122381647494591,0.0011468706096607758,0.0011951830117017557,0.0012674328572962244,0.0013572951934313004,0.001438170682033927,0.0014440588720171018,0.001293470065135789,0.0010743802839783328,0.0008417425246437298,0.0006195806456182926,0.00041341153227562617,0.00022001561216466136,5.664257291069239e-05,0.00021365758546855668,0.0003894675305134956,0.0005510772628713532,0.0006914013155071515,0.0008059828941101949,0.0008983678403613712,0.0009761420234996158,0.0010457871872154127,0.0011108142909998031,0.001172118403567275,0.0012288219056750054,0.0012791245915374136,0.0013218839142756466,0.0013582909169121372,0.0013919482057382151,0.0014286855651105398,0.0014778378116167854,0.0015580803773644519,0.0017144038010985499,0.002078677715127867,0.003040251500364271,0.006140165449297641,0.0028794466208803653,0.0016970908304021438,0.0011352633139417368,0.0007771625274932757,0.0004952932372238529,0.0002002652516044915,4.956425631566097e-15,0.0001879429334914206,0.00046248193379748524,0.0006886778580226978,0.0009163949466829322,0.001150609128078121,0.001393925522864707,0.0016392741206932436,0.0018666569505059348,0.0020427591469294516,0.00212753710157013,0.0020938767636864792,0.0019858903814637566,0.001856246658070804,0.0017372967248614154,0.001638763966876536,0.001557864122727838,0.0014855661394454728,0.001410689213413587,0.001323619303991975,0.0012194527553698116,0.0010988658762906413,0.0009658250222812066,0.0008252923289315296,0.000681884357618705,0.0005389169231606602,0.00039820341358253684,0.00026194642593891276,0.0001118594049993876,5.269751745890216e-09,0.00011642453978563796,0.00026404866015823387,0.0003915204697736734,0.0005147129559725186,0.0006294954841256563,0.0007331868481293661,0.0008232754362577681,0.0008980377369177105,0.000957119277928881,0.001001826737745515,0.001035335452487392,0.0010626416629250658,0.0010899679932366544,0.0011238437256618436,0.001170247423126858,0.0012336776776373602,0.0013150282536035815,0.0014057317598774822,0.0014746640602552941,0.0014759372983011436,0.0013782696991703925,0.001213991380648594,0.0010226697811356704,0.000829062126107045,0.0006434633720274824,0.00046762685876027254,0.00030414602469431364,0.0001058187353731248
5,7.657862948864633e-05,0.00017034610516160844,0.00029462682435916224,0.0004163604118259581,0.000533779373098838,0.0006453125684323863,0.0007505064085552089,0.0008499740594875562,0.0009424643625991059,0.0010205192608798682,0.0010698290668030787,0.001079533086300555,0.0010660742930175418,0.0010464849898546092,0.001027613050518888,0.001014999626009947,0.0010113272291110982,0.0010177411563278128,0.001034873083688467,0.0010626865960541693,0.0010978697998218626,0.001125722986495464,0.0011077778788992766,0.000995104116510409,0.0008401188246596294,0.0006778681372403314,0.0005204560882334208,0.0003710215852222788,0.0002284372002404566,0.0001494277159779315,0.00019064424929109565,0.0003136384798083409,0.00043021456195285876,0.0005348161368288003,0.0006243966670277569,0.0007014478644264767,0.0007709333544191934,0.0008369919425607882,0.0009021313539867336,0.0009676737340713002,0.001034011906175668,0.001100312901120059,0.0011662215949678656,0.0012336505228638486,0.0013066317661990668,0.0013909702196280474,0.001496231091564324,0.0016443426117756657,0.0018979260660702693,0.0024445345303731264,0.003858495663316498,0.00820428293105052,0.0036797875457539025,0.0020680014402041274,0.0013317148004846893,0.0008878179651921132,0.0005554830344978816,0.0002262745388119231,3.731895930451435e-15,0.00021795733517249906,0.0005165803860463337,0.0007586879948848948,0.0009919744809200885,0.0012194749033361465,0.0014409857454574725,0.00164707955681758,0.0018197923608245987,0.001936066266579647,0.001975677730047274,0.0019320774799605205,0.0018488390745830907,0.0017619469554834822,0.0016837964833364275,0.0016199553306900335,0.0015669693505420137,0.0015156588103818463,0.0014550679690957153,0.0013758935380691287,0.001273400196574035,0.0011489617568927219,0.0010086139330970916,0.0008599433424803153,0.0007090044898001363,0.0005595668340085581,0.00041330574512974424,0.00027150431921702005,0.00012205222974503531,5.5647913464861844e-08,0.0001317598242294167,0.00028204726249778843,0.00041899744384736457,0.0005518063204646096,0.0006764292895497774,0.0007892779024319742,0.0008866556689751245,0.0009656447562880874,0.0010249245465560287,0.0010652473827595682,0.001089280205663534,0.0011010759736749618,0.0011055639914923669,0.0011080854607274397,0.0011136624689994672,0.0011256032286959755,0.001143314287071371,0.0011604094927281023,0.0011682545747460857,0.0011420486173592292,0.001058032965529141,0.0009358167505001408,0.0007999449633757958,0.0006634458392182581,0.0005304935854188099,0.00040166903668325973,0.00027647207293594,0.00015425205305380951
6,5.525041562677113e-10,0.00016948706146364487,0.00038230769580176595,0.0005745683528195091,0.0007664628077717464,0.0009566469375038183,0.0011467516344264867,0.0013368037892074012,0.0015188639681444917,0.0016686846868558787,0.0017439757235364404,0.0017118287331796777,0.0016126680932523987,0.0014955966078389052,0.0013936102803177176,0.0013212687137741643,0.0012856986984130995,0.001291225831939649,0.001341532945104601,0.001438282050861347,0.0015724721347229107,0.0017039044811743087,0.0017349877395788553,0.001542702308764728,0.0012474492090536954,0.0009427424519735844,0.0006651775276828331,0.00042117037861490614,0.00017625159708815124,5.6154825251739955e-11,0.00018286476005360965,0.0004057424074206714,0.0005806451029670631,0.000723778922296902,0.0008284301729802291,0.0009006795181207233,0.0009524544877820664,0.0009954444772343244,0.0010379834963413562,0.0010849016959672336,0.0011386317985053619,0.0011999407711354396,0.001269204730702526,0.0013469393590383094,0.001434288817211143,0.0015334832560470765,0.0016503533563015766,0.0018032517178763045,0.00204963035486477,0.002565943395089654,0.003918161823654731,0.008069510312232936,0.00368690247823568,0.002108371346025218,0.0013761520060729027,0.0009270377156589799,0.0005843485701186934,0.0002677993496094389,9.236900331695746e-10,0.0002632823504571864,0.0005483464247992226,0.0007992984175996297,0.0010374722328674929,0.0012660443243845386,0.0014844711781251,0.0016835113392432064,0.0018451043733349202,0.0019478452903364046,0.0019771947868988744,0.0019295669929635438,0.0018392490617268268,0.0017407658350905473,0.0016627674694135327,0.001582185647652291,0.001516538105421786,0.0014542328409142282,0.0013808921802810027,0.0012921589926964047,0.001186364180448001,0.001065164120854269,0.0009329071668869672,0.0007943385974886458,0.0006535295416720945,0.000513396471713947,0.0003756289960396867,0.00024403489842459854,8.646587563209837e-05,4.703498439362467e-11,9.504431804706211e-05,0.0002522283710201046,0.00037870119625545726,0.0005056111634399097,0.0006288460045164065,0.0007579599846986902,0.0008460388530207503,0.0009432681392034168,0.0010170374383305478,0.0010776165814975014,0.001127809522997046,0.0011721385256787734,0.0012167709136844962,0.0012686190016180379,0.0013341455074516045,0.001417530263012774,0.0015178324282985258,0.0016243093916172974,0.001706840760400194,0.0017177612318743174,0.0016177217618199603,0.0014406092545002304,0.0012302622158820247,0.0010132992927611502,0.0008000697470385292,0.0005924006925223644,0.0003912563338700794,0.00017439866842232683
7,2.4055866512094265e-05,0.0001922618674848725,0.0003698998661559023,0.0005462394307183447,0.0007204446551893261,0.0008926292191820395,0.0010639838708992797,0.0012347507001362313,0.0013984571134608352,0.0015342709538810732,0.0016057232789885565,0.001584603858441683,0.0015066945354629093,0.001412759401535996,0.001327403932668353,0.0012629981141322182,0.0012241188054881089,0.0012122693057363782,0.0012283936507395587,0.0012725111344178567,0.0013385453851753116,0.0014007233723840773,0.0013954446454266186,0.001244381189440647,0.0010305423553467006,0.0008063380475899714,0.0005948528685212869,0.00040056706399133654,0.00021995672005501414,7.914804759832228e-05,0.00020324140663503825,0.00036250467864134607,0.000508059586598807,0.0006328777353007966,0.0007329397560793037,0.0008120898315682103,0.0008783910511433479,0.0009391305013960005,0.0009986770823880175,0.0010585258810096817,0.0011182892997713813,0.0011774077397710009,0.0012360469564136368,0.0012953321628166976,0.0013572810699360159,0.0014250673666753708,0.0015043572237999825,0.0016077123189411882,0.0017625465500142694,0.002050888057545686,0.002790493588339785,0.004854384479200742,0.0025950088500834045,0.0017259891580696006,0.001259823980853328,0.0009126994734069533,0.000601207338899288,0.0002885852298974508,1.1518342745523997e-08,0.0002791569946031918,0.0005819715069441149,0.0008763809331538423,0.0011795768716938426,0.0014893754989536592,0.001798107951767674,0.002085209884071074,0.002316925881168047,0.0024548784113561702,0.0024740646046380542,0.002370812031695476,0.002201664793155543,0.0020228340949412127,0.001867998327344729,0.0017440229890909142,0.00164565893973411,0.0015606022130208613,0.0014756169187224355,0.001379733318624374,0.001266598895328993,0.0011351695319462023,0.0009894980350293283,0.0008370868736384759,0.000683941771218219,0.0005337676549388271,0.0003880323370593788,0.0002506084353581822,7.872668779658377e-05,1.7665479010786419e-12,9.989657631517865e-05,0.00027578732685480575,0.0004105792364828581,0.0005438847541541511,0.0006687566157551962,0.0007812902775997144,0.0008780374296131377,0.0009576646396257539,0.001020789773327477,0.0010691313699645374,0.001105607081625599,0.0011347923365886779,0.0011628757063720798,0.0011965040155904837,0.0012414228700821466,0.001300952678881975,0.0013735441161076335,0.0014490041194481329,0.0015058359138856799,0.0015068840012074842,0.0014185063994348625,0.0012674295628788274,0.0010888008849470378,0.0009034589105201759,0.0007194693531519261,0.0005386113164558125,0.00036053108964302036,0.00018448602909277505
8,1.9528477541602246e-05,0.0002108957470356374,0.0004073920018535913,0.0005991414437126018,0.0007847640772949737,0.0009644917807872507,0.0011395805158033931,0.0013095714164120622,0.0014675404602270657,0.0015935403502545982,0.0016520289655162525,0.001614691768492409,0.0015168988930599865,0.001401369388447019,0.0012952409608677825,0.0012098913382683541,0.0011483306922657516,0.0011102872117750215,0.0010945786378780222,0.0010992832081460717,0.0011191143509927375,0.0011371749786406276,0.0011120859764664924,0.000990613529623444,0.0008256423505568749,0.0006569047954829943,0.0004957047741595569,0.0003444295929538701,0.00020102981174737266,0.00010620521898848306,0.00018258222529044332,0.00031277930047279417,0.0004353095611293936,0.0005442786518097332,0.0006368706958771888,0.0007159696878230923,0.0007867232045808683,0.0008532916653152306,0.0009180160495632809,0.0009817667851798161,0.0010444165848849522,0.001105447423546963,0.0011649570462775218,0.001224246576584387,0.0012854381758613902,0.001350908911814914,0.0014238531954882756,0.0015121315357032043,0.00164014097203952,0.001884502204600743,0.0024990071863143087,0.004369457223618659,0.0023419653406398055,0.0015635609913282058,0.0011458727478055697,0.0008370637549744741,0.0005617908146272393,0.00029678185816724227,7.572499377726666e-05,0.0003130066393534787,0.0005766578529912735,0.0008381736158583706,0.0011022002874496726,0.0013709515541628903,0.0016398260857024766,0.0018927363904446223,0.0021007180434707965,0.002229962500408388,0.002258754108372356,0.0021814044502524595,0.00204318489530636,0.001891771305006919,0.0017514433962206462,0.001631159438239087,0.0015295526739772438,0.0014400523672688406,0.0013537534204708347,0.0012617052799825622,0.0011584749984358382,0.0010448709848954304,0.0009249204257402425,0.0008009482558567655,0.0006748005469586283,0.0005480222239151781,0.0004217990981795117,0.0002968459455269211,0.0001734597993495985,8.580549294239348e-05,0.00015161093108561103,0.0002659435981924568,0.00037822453127872666,0.00048629978218194377,0.0005884563069118514,0.000683298822484097,0.000769245588616962,0.000844388081614306,0.0009081453264942059,0.0009625924627318936,0.001011955887016344,0.0010614444638338961,0.001116667113308093,0.0011834965498285909,0.0012676166384550376,0.001373160997775147,0.0014995834576175158,0.0016345748742970247,0.001739519796861677,0.001763293301148271,0.0016649752867636189,0.0014816508882115993,0.0012618113008574007,0.0010361186350365274,0.0008170196144889046,0.0006065609736988792,0.0004030024344691309,0.00020410039414577177
9,3.456107496037768e-05,0.00016011908215638458,0.0003000236768265269,0.0004400410443429637,0.0005810314099153416,0.0007246859330402248,0.0008725034095886574,0.0010235208911434297,0.001170852268400271,0.0012969891947233426,0.0013722781214041719,0.0013732357894754028,0.001326051797560352,0.0012640427975581289,0.0012089022003203662,0.001169882529092192,0.0011502730840891812,0.0011513908916611954,0.0011740425131171602,0.0012177185826777826,0.0012761275495269831,0.0013261553360804613,0.001312386852751728,0.001164629430937319,0.0009534754842895995,0.0007330549130120899,0.000525020924555112,0.00033615932367814244,0.00012831333093186922,1.1986722374247357e-12,0.00012438111233961866,0.000317326377813503,0.00046720183606810335,0.000603424444007163,0.0007205130050545811,0.0008224466293139181,0.0009158505783548918,0.0010062707979728825,0.0010967336805642071,0.0011879615578536632,0.001279214401972972,0.0013690308223491703,0.0014571061376489655,0.001545557814902405,0.0016382172372308508,0.001739770452677631,0.0018573747641615161,0.002009204396150502,0.0022470097302521616,0.002728620047201407,0.003970494360621893,0.007755850073990338,0.003732418233862753,0.002253981026773355,0.0015320936359927407,0.001054740430697333,0.0006722395000249415,0.00024281677670385816,9.902640639100337e-23,0.00022219583337438627,0.0006250600640048077,0.0009398736744527766,0.0012606175669608772,0.0015825408312789158,0.0019022554193689567,0.0022021353611081772,0.0024493573236917727,0.0026039552868968984,0.002635628973620964,0.0025330852267368867,0.002354626357837618,0.002159117955522907,0.0019793301939358145,0.0018266729971620854,0.0016986808698862422,0.0015858664343642837,0.0014765243548122598,0.0013604847794541533,0.0012323264443337557,0.0010925168138298618,0.0009449731506700048,0.0007942787062130532,0.0006444461416528078,0.0004979611876845311,0.00035586883223668236,0.00022518020037955608,3.280745416342613e-05,1.8575037457970976e-14,5.913085680632068e-05,0.0002560624849646322,0.000384186641966195,0.0005139451919094619,0.0006356822932380264,0.0007464147619379916,0.0008431085997064752,0.0009231285448747238,0.0009849641677225007,0.0010287872831878223,0.0010566823507924732,0.0010724886977672844,0.001081184730158977,0.0010879482302448178,0.0010971790576991035,0.001111807945997858,0.0011327487997884473,0.0011564991792914875,0.0011678262238299661,0.0011447491190051497,0.0010713752891723376,0.0009616930892165442,0.0008341321093588371,0.0007004992384899913,0.0005653922845835715,0.0004294677346336201,0.0002924795000874353,0.00015460197282064235
