SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155
0,4.733766339113779,4.791050411251178,4.736133605052067,4.793458108493825,4.7388869303959416,4.796224772877399,4.742024622569408,4.799346678649674,4.745546022791144,4.802828723058296,4.749451884318167,4.806685902175373,4.753744743346548,4.8109438131459665,4.758429257039461,4.815638556983471,4.763512481254386,4.820816819620552,4.7690040631266735,4.826537155872259,4.774916329695686,4.832873732408159,4.781264257468151,4.839924276887535,4.788065297818687,4.847825098004019,4.795338989869099,4.8567782225715765,4.803106181632412,4.867098770046163,4.811387439302702,4.8792884436921655,4.820199740474911,4.89408758066166,4.829549628469805,4.912074915935634,4.839419390718579,4.930080173245492,4.849740408370694,4.918566293799811,4.860345706222229,4.907031152358834,4.8708976859305295,4.898605123616474,4.880815789526593,4.892668316833811,4.889321554144935,4.888437769045288,4.895875215329408,4.88536776216627,4.901053620853926,4.88309790760619,4.905670853194169,4.881379335574727,4.910339253441958,4.880025940699514,4.9154196654142925,4.878884623015122,4.92108412370805,4.877817510895808,4.927368702136484,4.876694224995892,4.934183601787716,4.875395967152307,4.941273397978891,4.873833052468593,4.948129885381051,4.8719703399266585,4.953898134591729,4.869841524949836,4.957443763375255,4.867531939664605,4.9579671752559555,4.865149194275301,4.956235425654656,4.862799863571415,4.953354175257504,4.860577094622426,4.950157290201303,4.858556612958559,4.73552266257186,4.9553597526820505,4.737574730284067,4.960596181310252,4.739923994932861,4.965039248209928,4.742572038487748,4.967595988153304,4.745520242477487,4.967525319522765,4.748769276072428,4.965677553715065,4.7523183231783905,4.963281246301042,4.756163910193936,4.961360136147049,4.760298111318018,4.960714028526888,4.764705808761985,4.962050982886639,4.769360612057884,4.965844883603624,4.774219111534273,4.970223560801143,4.77921363565989,4.95727540210229,4.784245142060546,4.944911540324709,4.789181023220311,4.9350308904746,4.793867446772915,4.927253538602748,4.798168566510287,4.921098882357572,4.8020326689107895,4.9162272057297445,4.805541212081361,4.9124051521991445,4.808860644313047,4.909456450558043,4.812175042539721,4.907226456214708,4.815639830910524,4.9055570421207255,4.81934819242357,4.904268480227156,4.823280030495166,4.903150104777161,4.827191500041744,4.901967981065775,4.830408366977555,4.900501465618546,4.8316176064345555,4.898608262265283,4.829372608747498,4.896272029889642,4.825139110774569,4.893550096015185,4.820253407890042,4.8905073962226115,4.815422033064013,4.887186531673455,4.8109363733911,4.883616501858707,4.806886906549759,4.879842474422967,4.803281187521087,4.875948337027363,4.800097689664875,4.872047450747028,4.797307952313289,4.868259767869569,4.79488485582337,4.864693554085393,4.792805247419777,4.861436882169015
1,9.582118704657537,9.641845623158439,9.584683832168047,9.644437890615288,9.587662482367351,9.647418526655018,9.59105638615166,9.650783704731724,9.594867936666782,9.654538412314825,9.5990999496579,9.658697627683884,9.603755703104584,9.663286496335793,9.60883914239688,9.668340112922433,9.614355263521912,9.67390353956721,9.620310613591498,9.680033140389382,9.626713834004603,9.686800650280526,9.633576195183533,9.694301691755406,9.64091200223766,9.702671372016603,9.648738613418042,9.712111749050926,9.657075714820449,9.722939083220552,9.665943413486165,9.735656581084003,9.675358425204784,9.751005018453675,9.685326808968101,9.76956070921457,9.69583002968345,9.788141639171778,9.706798592383889,9.77716926447457,9.71806532437267,9.76618630002928,9.729294436205565,9.758319147686235,9.739911457283833,9.75294390187553,9.749034598242842,9.7492739158105,9.756194662357244,9.74676016928382,9.761996101107355,9.745039359190411,9.767243769913433,9.743860041058667,9.772539188132825,9.743033771808658,9.778234115873465,9.742405227895585,9.784495073139539,9.741834315501537,9.791356123397218,9.741188363359907,9.798727419625044,9.74034620238605,9.806353228795453,9.739215720748058,9.813722934884561,9.73775933505766,9.819976555592323,9.736008339190704,9.823972935506308,9.734045761849258,9.824905684342983,9.73197708259083,9.82353663290014,9.729906988489493,9.820968637450683,9.727927013777231,9.81803545301927,9.72611164805414,9.583930676012788,9.823260030719158,9.586036286500045,9.828509884971167,9.58843878070611,9.832957271478783,9.591142676281343,9.835510303794306,9.594152729324598,9.835429837965943,9.5974727182579,9.833568466375137,9.601103975012247,9.831156611748014,9.605043696193054,9.829218919610023,9.609282911495772,9.82855502465615,9.61380384614262,9.829872035999307,9.618576318391066,9.833642611384493,9.623552765128824,9.83799341124293,9.62866182612654,9.825011955958212,9.633801839976716,9.812612103329386,9.638838886033898,9.802695428452735,9.643619041768847,9.794884246633638,9.64800736207086,9.78869960647518,9.651953773341317,9.783802735289958,9.655541803591463,9.779960496823765,9.65893993488109,9.77699624541655,9.662333661969914,9.774754594389142,9.665878616647785,9.773076555001996,9.669666611995519,9.77178161715777,9.673674726149832,9.770658531406522,9.677655502791975,9.769473012933888,9.680931307485627,9.768004268278611,9.682186932902304,9.766109990146962,9.679975648985709,9.763773919727303,9.675765586365502,9.761053479808652,9.67089687783699,9.758013642973523,9.666080140748258,9.75469696952042,9.661609821651192,9.751132331899612,9.657577701688783,9.74736467024383,9.653991025161446,9.743477533106615,9.650827154493548,9.739583820957282,9.648056453730053,9.735802925171193,9.645650846588541,9.732242492188066,9.643586730931005,9.728989953308446
2,14.453902846691113,14.50921361848199,14.45635134845832,14.511681057626006,14.459198496129348,14.51451681071604,14.46244201097233,14.517716648738654,14.466080666126736,14.521285025259344,14.470114730189618,14.525236523164802,14.474546363388274,14.529596317423747,14.479379928639325,14.534400036732993,14.484622198040144,14.539693809877782,14.490282456387636,14.545535526947873,14.496372516772198,14.551998574483711,14.502906658950506,14.55917979113375,14.509901472380532,14.567214504025774,14.517375522978462,14.576303683522086,14.525348640144603,14.586761324230762,14.533840379576048,14.599087915332861,14.542866743130505,14.61402242375606,14.55243332833295,14.632141891481577,14.562521468600833,14.650273727580984,14.573061529331529,14.638877827541151,14.58388540627651,14.627453928189118,14.594654216666848,14.619133563171177,14.60478597015928,14.613297353331147,14.613500747651628,14.609162507662425,14.620257574364008,14.606183316339004,14.62563258153626,14.60399931908933,14.630439480085949,14.602361542468469,14.63529039962843,14.60108376926831,14.640545996946146,14.60001279050874,14.646378047261123,14.599010634426469,14.652822209619044,14.597946837809168,14.659788052420891,14.5967025490088,14.667019280569416,14.595188082006542,14.674006613557998,14.593368371663196,14.679893946674808,14.591277281200362,14.683545833401643,14.589000397515948,14.684162060619236,14.58664565349454,14.68250981025919,14.584319991269936,14.679695338791548,14.58211694853285,14.67655327421772,14.580112648274994,14.4556532809485,14.681714963046906,14.45769820408982,14.686901516991464,14.46003893793044,14.691284827935277,14.46267682964953,14.693771275554665,14.465612997434308,14.693619539876416,14.46884787919257,14.691680375503994,14.472380484911836,14.68918316781738,14.476207211702427,14.687152552279288,14.480320013324206,14.686389112207447,14.484703624809525,14.687601469041521,14.48933146474885,14.691263758278442,14.494159895224014,14.69550358459452,14.499121001248547,14.682408630227389,14.50411550715217,14.66989225581862,14.509010603661467,14.659855135693912,14.513652307648528,14.651918665057261,14.517904696864326,14.645603272485646,14.521716081687915,14.640570079502714,14.525168048876457,14.636586412271072,14.528427240339761,14.633476550360333,14.531677932023252,14.631086287080347,14.535075702133707,14.62925783843585,14.538713816986508,14.62781174390824,14.54257219441513,14.626537552672263,14.546406957197378,14.625201526046428,14.549543837809447,14.623583244845904,14.550669884878387,14.621540718909815,14.548338944162964,14.619058029840563,14.544017997859564,14.616193035517734,14.539044821260772,14.61301128203585,14.53412729282097,14.609556041284513,14.52955789386778,14.605857037570406,14.525427959701899,14.60196021702032,14.521745741072058,14.59795028974745,14.518490328895947,14.593941455002952,14.515633866332806,14.590054481516043,14.51314985722423,14.586398396990823,14.511015795928158,14.583061962240674
3,19.307669235109508,19.37391877291969,19.310238084535065,19.376510107022867,19.31322843515189,19.3794889203161,19.316634327887062,19.38285243845848,19.320451098604572,19.38660491818741,19.324676360975538,19.3907593273741,19.329310450145503,19.39533862471547,19.334356536604815,19.40037637579802,19.339820630681338,19.40591730559776,19.34571161675104,19.412018653332765,19.35204123985725,19.41875361369762,19.35882387423085,19.42621887784649,19.36607603097588,19.434549369506243,19.373815696423897,19.443945294856526,19.38206148796731,19.454719540546154,19.39083121757439,19.467371190477394,19.400138821240745,19.482637554898286,19.409987685541015,19.501093850727212,19.42035690411895,19.519565595414768,19.431174701420225,19.508510919711473,19.442271156960807,19.497427944381272,19.45330620604584,19.489446730347385,19.463697517840757,19.48394649041377,19.47266554037692,19.480143013731436,19.479669842536286,19.477489098581326,19.485286634243856,19.47562271520059,19.490328897069084,19.474293275201536,19.495407464799662,19.473312966549635,19.500881795486283,19.472527088466855,19.50692304508678,19.471796363466396,19.513566649173196,19.470989271783296,19.520721668935785,19.469986179648743,19.528130591242082,19.468696882576058,19.5352825960511,19.46708604040348,19.541320609622154,19.46518747747457,19.545109335668688,19.463086962006486,19.545849604711663,19.460892754675434,19.544309702546574,19.458712140554216,19.541595951945045,19.45663887177791,19.538541705536435,19.45474892733927,19.309567203717673,19.54385148379096,19.311787674029656,19.549211314712995,19.314328346944894,19.553793071135296,19.31718704495585,19.55650190015841,19.320362003405755,19.556594485142902,19.32385149989411,19.554919755758498,19.327652961142288,19.55270620799633,19.331761633224698,19.550979028258574,19.336168730427012,19.550541082516265,19.340858659914044,19.552105235618445,19.34580475845282,19.556152172590366,19.350963198430097,19.560807100783627,19.356265405072037,19.548069846769945,19.361610802745428,19.535921277603244,19.366864708194097,19.526273300228226,19.371870877051528,19.51874185944528,19.3764909063232,19.51284324252712,19.38067051860144,19.508235057086637,19.384488739899,19.504681557908196,19.388109919468494,19.502004345517392,19.391716625017693,19.500046855963323,19.395463521946414,19.498649152603708,19.399443652531797,19.497629699615135,19.403636937251985,19.496775955468635,19.407799176236253,19.495852039937454,19.411255264359934,19.494635361281595,19.412691350304,19.492981785885256,19.410661176353468,19.490873364310175,19.4066329612481,19.48836612369217,19.40194657643622,19.485524049246592,19.397311206877646,19.48238915349362,19.393017427647028,19.478990197730848,19.389148523988577,19.475372445859346,19.38566731696442,19.47162020268829,19.382578117041273,19.467847525182794,19.379892507104156,19.464175229619904,19.37757265482728,19.46071244874433,19.375588582088156,19.457547959683648
4,24.16824143021103,24.2182719288964,24.170618800394266,24.220674623829403,24.173385563776463,24.22343221548639,24.17653794468152,24.226543511871995,24.180073294840806,24.230014999120055,24.18399112739375,24.233861497165393,24.188293343841448,24.238108355096177,24.19298463692987,24.242792495647677,24.198073085639113,24.247961695231208,24.203570228134144,24.253674649155233,24.20949045436596,24.26000478266391,24.2158502502934,24.26704897454474,24.222667736547947,24.2749432020915,24.229962370154745,24.283889540295483,24.23775429267121,24.29420306741651,24.24606275382947,24.306385121130848,24.254902871220004,24.321175402923394,24.264279140029004,24.339151703892426,24.27417226147568,24.357142157772113,24.284513131927863,24.345607354084567,24.295135601701787,24.334047571810004,24.305703773172645,24.325594698965958,24.31563879420358,24.31962960265014,24.32416316345675,24.315369778484865,24.330737215791718,24.31226987871412,24.3359374973217,24.309969811068445,24.34057763410419,24.30822090819596,24.345269309718244,24.306837192087237,24.350372329412938,24.305665635120885,24.356057501263013,24.304568382130782,24.36236024558606,24.303415047111383,24.36919126163274,24.302086917040285,24.37629613015907,24.30049461637723,24.38316668003404,24.298603532623154,24.388946799136427,24.296447906001003,24.392501473475075,24.294113438594525,24.393017699137403,24.291708073983866,24.3912744301488,24.289339020301497,24.388383793129115,24.28710017135725,24.38517832445477,24.285067288770488,24.16991298074159,24.390273573441966,24.171871154451292,24.39538389314954,24.174116706854992,24.399682916982087,24.176649665641204,24.402078257532793,24.179469825568162,24.40182847243724,24.18257638357093,24.399784144279373,24.185967568582388,24.397175670953263,24.189640116466457,24.395029101492398,24.19358761868252,24.39414541749157,24.197797237792866,24.39523325928388,24.20224493190913,24.39876723971086,24.20688935189523,24.402875973123706,24.211664541569842,24.389649121095673,24.216472742861058,24.377000562918962,24.221181952375858,24.366831981960377,24.225638079260275,24.35876562604801,24.229704393698448,24.352322397519842,24.233328419865774,24.34716411368692,24.236591861259022,24.343057962185945,24.23966282914449,24.33982834863701,24.24272808735036,24.337321916467666,24.24594587097661,24.335381339801707,24.249411612576857,24.333826970112955,24.25310686661274,24.332448249920265,24.25678911963198,24.33101178348391,24.259785122768076,24.329297653414756,24.260782190710703,24.327164179655547,24.258333675319527,24.324595520371766,24.253892879148733,24.3216495230222,24.248771127651917,24.318391762866355,24.24372502840393,24.314865643476132,24.23904755429644,24.31110115044935,24.234826938190796,24.30714457103149,24.231066825712002,24.30308087210518,24.227742702425267,24.29902429791029,24.224826242756674,24.29509561529093,24.222291287092087,24.291404132812982,24.220113285399645,24.28803898736207
5,29.02672960862294,29.082050077804823,29.029167886556206,29.08450529621889,29.03200332692758,29.087326774464287,29.035233784608447,29.09051040548538,29.038858124563106,29.09406075163163,29.042876624900597,29.097992478762762,29.047291361962362,29.10233083778069,29.052106595814593,29.107111527128076,29.05732905822265,29.112380740233455,29.06296808616968,29.118196445996553,29.06903562101172,29.124632139422793,29.075546107166492,29.131784794045856,29.082516291713475,29.139789878998023,29.08996486041148,29.14884849393767,29.09791171619648,29.159274743472228,29.10637645538257,29.171569216228455,29.115375115596535,29.186470981267156,29.12491335932187,29.204557201810356,29.134972647350132,29.222655413152992,29.1454835429312,29.211225693275722,29.156278179201575,29.199767959912894,29.167017900750505,29.19141391705447,29.17712088814348,29.185544330534796,29.18580730978682,29.18137653304538,29.192536203389096,29.17836491467552,29.197883705976874,29.17614910005573,29.202663584444718,29.174480193419758,29.207488080940845,29.173172058802688,29.212717994612365,29.172071579515904,29.218525234079674,29.171040888297966,29.224945563977432,29.169949635567164,29.231888644443902,29.16867908828085,29.239098289750793,29.167139681882386,29.246065360442525,29.165296477555625,29.25193387442497,29.163183473124896,29.25556843762311,29.16088639597936,29.2561689162202,29.158513318606015,29.25450251274207,29.156171323478684,29.251675517063735,29.15395408687113,29.248522603890773,29.151937818959038,29.028480053816487,29.253682508105793,29.030525071780843,29.258867020671424,29.032866026383374,29.263248067086984,29.035504299722724,29.265732055302557,29.038440996498498,29.26557767404273,29.04167647398131,29.26363567471635,29.045209654472856,29.261135436405873,29.049036903611604,29.259101583431494,29.053150211373396,29.25833469878361,29.057534385491813,29.259543428911876,29.062162907439248,29.263201952018388,29.066992153078125,29.26743791215631,29.07195415568698,29.254339011371446,29.076949534691632,29.241818603821613,29.081845357542882,29.23177733834173,29.086487543617494,29.223836587122264,29.090740139320545,29.217516775530914,29.094551513848415,29.212479049350815,29.098003395578914,29.208490782556794,29.10126260310248,29.205376312999345,29.104513553620798,29.202981488508392,29.107911874841317,29.201148563263896,29.111550765919098,29.199698090403597,29.115409983935333,29.198419607227294,29.119245494408528,29.19707934353432,29.122382943061076,29.19545684083559,29.12350934681888,29.1934100757642,29.12117855785829,29.190923112591477,29.116857678285914,29.18805381047125,29.111884515361915,29.184867732919763,29.106966845361043,29.181408181369108,29.102397227263015,29.17770491962384,29.098267042185203,29.173803944994702,29.09458457137429,29.169790033241803,29.091328890239755,29.165777460540102,29.088472095153453,29.161887076663444,29.085987652602117,29.15822799633106,29.083853012210376,29.154889071370103
6,33.88317105089803,33.946313472371656,33.88567917100787,33.948805637557676,33.88859881832708,33.95166944531222,33.89192641732833,33.95490330178806,33.89566050825382,33.958512397673246,33.89980170548367,33.962510912842845,33.904351975296926,33.96692483692355,33.90931478338715,33.971792413815855,33.91469613501242,33.977162467458406,33.920505337566055,33.98308853501322,33.92675480589498,33.9896097856264,33.933459299093855,33.99686178127863,33.94063528048249,34.00497718301217,33.94830057536234,34.01415554825211,33.956473892993436,34.02471020132553,33.965173488210205,34.03714106012541,33.974413995213496,34.052186343209755,33.984199706298895,34.070422228394236,33.994510887113044,34.08867527944841,34.00527716267622,34.07740470300622,34.01632989006276,34.06610964141064,34.02732957631075,34.057921075138054,34.03769337309921,34.05221906477375,34.04664038165499,34.048220248667256,34.05362886790976,34.045378340957214,34.05923459816933,34.04333231194291,34.064270905326865,34.041832617284406,34.06934873107949,34.040692437437336,34.07482641794054,34.03975788273737,34.08087317845579,34.03889019291294,34.08752343017022,34.03795804681115,34.09468733614271,34.03684177813325,34.10210931850627,34.03545102512392,34.109278482158196,34.033750124327135,34.11533486776663,34.031772190324794,34.119140411273555,34.02960176861968,34.11989623126305,34.027345705754804,34.11837229902277,34.02511030444008,34.11567416560894,34.02298892168016,34.11263225249588,34.02105708233024,33.884991372566724,34.117829513367475,33.887121442598335,34.12305671501856,33.88956145422893,34.12748824106485,33.89231250891433,34.13003104445803,33.895375884887365,34.12994329786293,33.89875151194789,34.12807667562863,33.902437129803445,34.12566367248132,33.906428013500154,34.123732560071836,33.91071586659574,34.1230859947921,33.91528587299492,34.12438823977027,33.920111901220906,34.12814781944887,33.92515025313086,34.132495689876066,33.930332384288974,34.11951862622943,33.93555799753456,34.10712944577101,33.94069301799909,34.09722812934511,33.94558203519319,34.08943510940821,33.95008766012066,34.08326972298526,33.95415688363038,34.07839205027428,33.95787024329087,34.07456850694962,33.961393525376195,34.07162257084219,33.96491010976121,34.06939928247593,33.968574485589414,34.06774011190015,33.97247878168947,34.06646484958638,33.97660208466228,34.06536230177643,33.980700135753416,34.0641980020497,33.984098291094014,34.06275081216866,33.98548240032174,34.06087799976587,33.98340393886176,34.058562831115545,33.979327209783065,34.055862244123475,33.97458857156097,34.05284079782454,33.969896276476405,34.04954082303955,33.965543285181795,34.045991246098076,33.96161909572642,34.042237299085585,33.95812792636473,34.03836283697393,33.955046139800594,34.03448092276216,33.952347177929234,34.03071115721315,33.95000736825327,34.02716186075857,33.94800355520458,34.02392155901396
7,38.77387015925437,38.80607556794294,38.775979460591245,38.80852002396751,38.778425991515036,38.81133379073611,38.78121614838886,38.81451212202569,38.78435954452905,38.81805601811267,38.787864646428204,38.821983345562536,38.79173743912405,38.826329603704345,38.795983047267,38.83112781705712,38.800607609159464,38.8363937674569,38.80561933030919,38.842192682762416,38.81102919917569,38.84862385411004,38.81685184888719,38.85578632543451,38.82310637836679,38.86380615612702,38.829816507572346,38.87288224273309,38.837009462537814,38.88332906339747,38.84471320413186,38.89564723383037,38.85295154157456,38.910575482217624,38.8617358804538,38.92869079393513,38.87105062272752,38.94682095125663,38.88082659787345,38.93542675811,38.89089451466048,38.9240092181115,38.900894615796126,38.915701190217916,38.91026067961012,38.90988426788502,38.918214037377695,38.90577589320699,38.924215522554874,38.902829644183726,38.92884742238953,38.900683656316275,38.93293200283217,38.89908770810133,38.93708964968754,38.89783731859499,38.94168669927265,38.89678229765528,38.9468974595206,38.89580149285249,38.95275873789369,38.894764361491525,38.9591831300448,38.89355200776941,38.96592217758152,38.892074698322354,38.97246957121446,38.89029724190591,38.977918485211674,38.888253089225145,38.98113770001459,38.8860267514983,38.981355149664985,38.88372412181742,38.97933798084548,38.88144947131029,38.97619983670914,38.87929415495836,38.97277871318104,38.877332914911776,38.77529871781171,38.977927741359636,38.776958590510496,38.983104180276406,38.7788581888568,38.98747780364605,38.781009351813935,38.98995029772962,38.78342223388568,38.989782583139124,38.786102824773685,38.987835431722154,38.78905303228739,38.9853454351066,38.792270617043584,38.98332042859532,38.79574782794377,38.98253438586455,38.79946902219971,38.98372681275993,38.80340743181941,38.98738430954085,38.80752058692432,38.991627992695996,38.81174394811341,38.978541338785284,38.81598385914618,38.966034440989645,38.82011454127505,38.956008126648236,38.823989124251206,38.94808482636145,38.82747758137913,38.94178502647203,38.830532068316565,38.93676984227519,38.83323585496412,38.93280750878612,38.83575574069414,38.929723911267075,38.83825455648187,38.927366395002835,38.84090653863924,38.92557807443788,38.84380545872706,38.924179384889754,38.846932312867786,38.92295870007302,38.850048334279876,38.921680546218816,38.852486743523436,38.920123567021705,38.85294192912202,38.91812381505736,38.84997272281119,38.91567744564365,38.8450481484135,38.91285292128409,38.839506770943245,38.909715938131484,38.83405908826499,38.90630973567324,38.8290045885794,38.90266389709771,38.82444406602522,38.89882417906903,38.820347391753465,38.89487487604757,38.81667143977081,38.890929135763145,38.81342598416441,38.887105700062776,38.810590058037214,38.88351090966056,38.80814561426873,38.880231301355444
8,43.63225180515805,43.680768571601,43.63463016137938,43.68313790894987,43.63739506477913,43.685857728927374,43.64053886566814,43.68892407468139,43.64405907794713,43.69234133593881,43.64795791328231,43.69612413982083,43.65223882605161,43.70029924412405,43.656905579713744,43.70490488274022,43.661964602028824,43.70999066900691,43.66742706348766,43.7156176189266,43.673308418052144,43.72186058329999,43.67962626098872,43.728815391390036,43.68639868977549,43.73661565917208,43.69364438934702,43.74546320308318,43.70138342033827,43.75567442286966,43.70963621211656,43.76775148832538,43.71841916813248,43.78243316872218,43.727737086400985,43.800296349714195,43.73757097393143,43.818169803899075,43.74785353125851,43.80651505050078,43.7584207872564,43.794832530894034,43.7689375138728,43.786254204574526,43.778819714812784,43.7801615177985,43.7872850475026,43.775772676630496,43.79379311790328,43.772542834978495,43.79892423951797,43.770112558607174,43.80349564071102,43.76823427160055,43.80811981855779,43.76672363613419,43.81315598622873,43.76542898564684,43.81877446193819,43.76421189847655,43.825010863915374,43.76294218379832,43.83177604195765,43.76150133384486,43.838814222945935,43.759800287857594,43.845615215055126,43.75780470582433,43.8513235456475,43.755548771347485,43.854808935463126,43.753117964721376,43.855275481455486,43.750620557530766,43.85348806188927,43.74816500335297,43.85055065751651,43.745846819876455,43.84730049902109,43.7437435053518,43.633932113278355,43.852372770358194,43.635899091772266,43.85745321956032,43.63815007443655,43.861714746448136,43.64068550590824,43.8640642067783,43.6435077088813,43.86375983897414,43.646616727823165,43.861653622315345,43.650008775793054,43.85897836804619,43.653677785369695,43.856761775199345,43.65761609407405,43.85580645861677,43.66181155475362,43.85682119948916,43.666241422343184,43.860279644830925,43.67086483479773,43.86430857859462,43.67561549409605,43.850996017760366,43.68039567830468,43.838257706219714,43.685074459540864,43.82799612263141,43.68949883825924,43.81983314313689,43.69353197697126,43.81328862124517,43.69712089310854,43.80802419641182,43.70034795879385,43.80380891832184,43.70338241771765,43.80046823643081,43.70641137040897,43.797848059417944,43.70958778739179,43.79579064305593,43.713002262125876,43.79411719505251,43.71663524734495,43.792618283424154,43.7202480450646,43.791061323787574,43.72317143483218,43.78922728200518,43.72409348438559,43.78697611410477,43.721566408441255,43.78429303432285,43.71705579552964,43.78123561690412,43.71189906317466,43.777869661863164,43.706804591472135,43.77423856406662,43.70206437709403,43.77037251936718,43.69776876157186,43.766318171649324,43.693926055904015,43.76216045646927,43.69051963937375,43.75801328573467,43.68752602780961,43.753997611753036,43.68491782092558,43.75022389871759,43.68267072275772,43.74678288962485
9,48.489417010478846,48.54489366900615,48.49185258826251,48.547342140558364,48.494685479332205,48.550154372701314,48.49791377288023,48.55332609004287,48.50153627513091,48.556862263589416,48.50555328181314,48.56077769421301,48.50996697209151,48.56509763400254,48.51478157159774,48.569857932434786,48.52000360191179,48.575105038584525,48.52564215907169,48.580897096910284,48.53170904785303,48.58730774711124,48.538218743309145,48.59443410426147,48.54518819647163,48.60241183531159,48.55263641536588,48.61144228665794,48.56058363133645,48.62183984029292,48.56904965246311,48.634105351922756,48.578050540357935,48.648978159426484,48.58759180335693,48.66703573760999,48.597654641454554,48.685105969287214,48.60816935495704,48.673649260130254,48.61896792622571,48.662165799613724,48.6297118193042,48.65378750326982,48.639819379808216,48.64789527082105,48.648511102128325,48.64370646210515,48.65524629903122,48.640675384847086,48.660601161216526,48.63844149248259,48.66538923542621,48.63675564617279,48.670222358925905,48.63543147200447,48.6754608442706,48.63431558404223,48.68127607372761,48.63326976794704,48.687703412586735,48.63216344646689,48.694652549388685,48.63087774783187,48.70186768568309,48.62932311567756,48.70883983197293,48.62746479717426,48.71471262231179,48.625337135863795,48.718350381076355,48.62302633241352,48.718953176604266,48.62064106090297,48.71728816386647,48.618289088422095,48.71446086784044,48.61606463108468,48.71130619024415,48.61404394198927,48.49116232884136,48.716459626490845,48.49320345065591,48.72163528622907,48.49554247061347,48.72600506311347,48.498180805055284,48.728475860124604,48.50111928494169,48.72830650592924,48.504357795358565,48.72634769635714,48.50789451960534,48.72382891161328,48.51172495287373,48.721774913329305,48.51584038385804,48.72098636788164,48.52022532210615,48.72217194844521,48.52485343433334,48.72580597293975,48.52968170880136,48.7300162909072,48.53464304526986,48.71689088713343,48.539638930907905,48.70434344195493,48.5445370472279,48.694274945144365,48.54918350924305,48.686307094192216,48.553442122699174,48.679960636603866,48.55726069333873,48.674897046612074,48.560720254210835,48.670883996692304,48.56398701890083,48.66774605082477,48.56724516890515,48.665329201955736,48.57065029950291,48.663475776126745,48.57429595456315,48.66200631959774,48.578162356244704,48.660710279174154,48.58200582291843,48.65935372154485,48.58515210900274,48.65771596561802,48.58628811363703,48.65565481074169,48.58396737059708,48.653154035221384,48.5796563824916,48.65027118782865,48.574692428021045,48.647071603076675,48.56978319648325,48.643598430049245,48.56522132279971,48.63988141792441,48.561098138454284,48.63596672130123,48.55742141101808,48.63193943118083,48.55416987412027,48.62791427256287,48.55131592095309,48.624012685908866,48.548833100053244,48.6203444720227,48.546698261495166,48.616999032097645
