real_name,well_1,well_2
gen=0_member=0,0,0
gen=0_member=1,0,0
gen=0_member=2,0,0
gen=0_member=3,0,0
gen=0_member=4,0,0
gen=0_member=5,0,0
gen=0_member=6,0,0
gen=0_member=7,0,0
gen=0_member=8,0,0
gen=0_member=9,0,0
gen=0_member=10,0,0
gen=0_member=11,0,0
gen=0_member=12,0,0
gen=0_member=13,0,0
gen=0_member=14,0,0
gen=0_member=15,0,0
gen=0_member=16,0,0
gen=0_member=17,0,0
gen=0_member=18,0,0
gen=0_member=19,0,0
gen=0_member=20,0,0
gen=0_member=21,0,0
gen=0_member=22,0,0
gen=0_member=23,0,0
gen=0_member=24,0,0
gen=0_member=25,0,0
gen=0_member=26,0,0
gen=0_member=27,0,0
gen=0_member=28,0,0
gen=0_member=29,0,0
gen=0_member=30,0,0
gen=0_member=31,0,0
gen=0_member=32,0,0
gen=0_member=33,0,0
gen=0_member=34,0,0
gen=0_member=35,0,0
gen=0_member=36,0,0
gen=0_member=37,0,0
gen=0_member=38,0,0
gen=0_member=39,0,0
gen=0_member=40,0,0
gen=0_member=41,0,0
gen=0_member=42,0,0
gen=0_member=43,0,0
gen=0_member=44,0,0
gen=0_member=45,0,0
gen=0_member=46,0,0
gen=0_member=47,0,0
gen=0_member=48,0,0
gen=0_member=49,0,0
gen=0_member=50,0,0
gen=0_member=51,0,0
gen=0_member=52,0,0
gen=0_member=53,0,0
gen=0_member=54,0,0
gen=0_member=55,0,0
gen=0_member=56,0,0
gen=0_member=57,0,0
gen=0_member=58,0,0
gen=0_member=59,0,0
gen=0_member=60,0,0
gen=0_member=61,0,0
gen=0_member=62,0,0
gen=0_member=63,0,0
gen=0_member=64,0,0
gen=0_member=65,0,0
gen=0_member=66,0,0
gen=0_member=67,0,0
gen=0_member=68,0,0
gen=0_member=69,0,0
gen=0_member=70,0,0
gen=0_member=71,0,0
gen=0_member=72,0,0
gen=0_member=73,0,0
gen=0_member=74,0,0
gen=0_member=75,0,0
gen=0_member=76,0,0
gen=0_member=77,0,0
gen=0_member=78,0,0
gen=0_member=79,0,0
gen=0_member=80,0,0
gen=0_member=81,0,0
gen=0_member=82,0,0
gen=0_member=83,0,0
gen=0_member=84,0,0
gen=0_member=85,0,0
gen=0_member=86,0,0
gen=0_member=87,0,0
gen=0_member=88,0,0
gen=0_member=89,0,0
gen=0_member=90,0,0
gen=0_member=91,0,0
gen=0_member=92,0,0
gen=0_member=93,0,0
gen=0_member=94,0,0
gen=0_member=95,0,0
gen=0_member=96,0,0
gen=0_member=97,0,0
gen=0_member=98,0,0
gen=0_member=99,0,0
