real_name,well_1__r,well_2__r
gen=2_member=235_pso,1059.916045820542422,7473.8334454385985737
gen=2_member=236_pso,100000,138.28392315729473694
gen=2_member=237_pso,291.5412723674209019,100000
gen=2_member=238_pso,100000,80.787936551668437346
gen=2_member=239_pso,372.46782400445317762,100000
gen=2_member=240_pso,100000,10140.365639992392971
gen=2_member=241_pso,1065.5261145714896429,2601.6779801611132825
gen=2_member=242_pso,9352.7133375833927857,2604.6566895984847179
gen=2_member=243_pso,1.2589254117941672817,42178.873399612566573
gen=2_member=244_pso,100000,185.43282576016676444
gen=2_member=245_pso,10350.583758473665512,20243.20242874694668
gen=2_member=246_pso,100000,63333.552788630164287
gen=2_member=247_pso,2940.5200532762846706,100000
gen=2_member=248_pso,1.2589254117941672817,100000
gen=2_member=249_pso,1300.5041498627972487,77.96185809729463756
gen=2_member=250_pso,11743.187995370697536,13889.981523069985997
gen=2_member=251_pso,18390.569940340748872,428.02455936216705368
gen=2_member=252_pso,407.49888111230563936,174.9037220078446353
gen=2_member=253_pso,6051.4159612520734299,373.1149946182789563
gen=2_member=254_pso,105.50913257360171826,33672.737580192595487
gen=2_member=255_pso,32137.430854154703411,100000
gen=2_member=256_pso,47481.148726510393317,8.7457846138998913688
gen=2_member=257_pso,66.006917246693021184,25804.656241765940649
gen=2_member=258_pso,3740.8988828639940039,100000
gen=2_member=259_pso,4582.7013089855172439,65.317578502958767217
gen=2_member=260_pso,10801.409746260487736,100000
gen=2_member=261_pso,12337.412648398616511,100000
gen=2_member=262_pso,100000,100000
gen=2_member=263_pso,78.512124362321117133,100000
gen=2_member=264_pso,14.758250982491066594,37.736195358784343057
gen=2_member=265_pso,100000,100000
gen=2_member=266_pso,48278.751426431394066,3539.2458513034498537
gen=2_member=267_pso,100000,96.237456455622833573
gen=2_member=268_pso,3319.0067929764695691,27832.723620643868344
gen=2_member=269_pso,8222.4319876222798484,7720.8458994442253243
gen=2_member=270_pso,7331.1441281286133744,18115.043089316131955
gen=2_member=271_pso,1354.2324859075017685,100000
gen=2_member=272_pso,27931.486613268578367,100000
gen=2_member=273_pso,13090.68848511456963,100000
gen=2_member=274_pso,10521.150526685625664,6.6727002625139339997
gen=2_member=275_pso,376.72329251147999685,818.41981643185624762
gen=2_member=276_pso,975.08859507226827645,197.07703746102623654
gen=2_member=277_pso,100000,581.38724942171540988
gen=2_member=278_pso,100000,100000
gen=2_member=279_pso,44943.33667045430775,3603.371435297480275
gen=2_member=280_pso,1715.0457327361657462,100000
gen=2_member=281_pso,898.91987008285695993,17362.305368958506733
gen=2_member=282_pso,280.68549487738096104,100000
gen=2_member=283_pso,167.69770961177147228,100000
gen=2_member=284_pso,25.15145555732128102,1674.029930552851738
gen=2_member=285_pso,63824.335408649829333,100000
gen=2_member=286_pso,8699.3714599825143523,100000
gen=2_member=287_pso,100000,1465.3809610561775116
gen=2_member=288_pso,11352.532711842108256,1682.0111660262987243
gen=2_member=289_pso,44.431963316858990254,100000
gen=2_member=290_pso,13762.477580010770907,100000
gen=2_member=291_pso,55402.436643925357203,119.29320289183135628
gen=2_member=292_pso,100000,2080.1655062066538449
gen=2_member=293_pso,14427.702626462416447,100000
gen=2_member=294_pso,3667.3326298486908854,100000
gen=2_member=295_pso,19219.485405749372148,100000
gen=2_member=296_pso,100000,100000
gen=2_member=297_pso,21.081190183787910541,1.2589254117941672817
gen=2_member=298_pso,2286.3063584360015739,6715.4667256379634637
gen=2_member=299_pso,100000,1.2589254117941672817
gen=2_member=300_pso,100000,100000
gen=2_member=301_pso,100000,79571.944701680506114
gen=2_member=302_pso,630.11615044684799614,100000
gen=2_member=303_pso,246.42278816884211778,100000
gen=2_member=304_pso,34040.756579824403161,100000
gen=2_member=305_pso,158.11331669701652913,2078.8329916889633751
gen=2_member=306_pso,38262.512034455830872,100000
gen=2_member=307_pso,7.8891532242082265114,100000
gen=2_member=308_pso,6447.9614963813628492,100000
gen=2_member=309_pso,85543.94449807779165,100000
gen=2_member=310_pso,748.40008784983592705,2.5297438155028570961
gen=2_member=311_pso,294.30530303723986663,97.44613096669294805
gen=2_member=312_pso,2198.5302435821290601,1322.7279629941667736
gen=2_member=313_pso,79351.944921689602779,76832.761282372346614
gen=2_member=314_pso,612.65970260164772299,137.0722717276074718
gen=2_member=315_pso,353.06722112196729313,100000
gen=2_member=316_pso,9.220211098934029792,100000
gen=2_member=317_pso,440.0751774948878392,7.5705892080396077759
gen=2_member=318_pso,100000,101.19297747225266448
gen=2_member=319_pso,48.078516543698817998,293.10961945076905977
gen=2_member=320_pso,2766.3161605863815566,100000
gen=2_member=321_pso,441.46346459348279723,42157.598570947411645
gen=2_member=322_pso,13.076629674998995867,100000
gen=2_member=323_pso,2336.4476197301132743,100000
gen=2_member=324_pso,44.568241161016459273,4285.0011989954637102
gen=2_member=325_pso,1.8312054279947029833,4041.7226717991334226
gen=2_member=326_pso,392.42177775165117737,100000
gen=2_member=327_pso,100000,100000
gen=2_member=328_pso,100000,229.87678823259201977
gen=2_member=329_pso,833.27655924386408515,31765.792486958558584
gen=2_member=330_pso,100000,480.81813614126355105
gen=2_member=331_pso,100000,20629.737900703999912
gen=2_member=332_pso,1673.9422723623015372,9485.0364031431254261
gen=2_member=333_pso,1.2589254117941672817,62.479364973235291814
gen=2_member=334_pso,5.0638328930216118806,100000
