real_name,well_1,well_2
gen=2_member=235_pso,0,0
gen=2_member=236_pso,0,0
gen=2_member=237_pso,0,0
gen=2_member=238_pso,0,6.3712120621628761131e-192
gen=2_member=239_pso,0,0
gen=2_member=240_pso,0,0
gen=2_member=241_pso,0,0
gen=2_member=242_pso,0,0
gen=2_member=243_pso,695891.78212240908761,0
gen=2_member=244_pso,0,0
gen=2_member=245_pso,0,0
gen=2_member=246_pso,0,0
gen=2_member=247_pso,0,0
gen=2_member=248_pso,695891.78212240908761,0
gen=2_member=249_pso,0,1.5149381377260830843e-178
gen=2_member=250_pso,0,0
gen=2_member=251_pso,0,0
gen=2_member=252_pso,0,0
gen=2_member=253_pso,0,0
gen=2_member=254_pso,0,0
gen=2_member=255_pso,0,0
gen=2_member=256_pso,0,345.46148433325998894
gen=2_member=257_pso,3.3257393518269833108e-127,0
gen=2_member=258_pso,0,0
gen=2_member=259_pso,0,1.6742190140114553064e-124
gen=2_member=260_pso,0,0
gen=2_member=261_pso,0,0
gen=2_member=262_pso,0,0
gen=2_member=263_pso,4.1028218334986228385e-181,0
gen=2_member=264_pso,0.0083273972592236393531,1.766109097493370395e-39
gen=2_member=265_pso,0,0
gen=2_member=266_pso,0,0
gen=2_member=267_pso,0,1.9857812274665981859e-273
gen=2_member=268_pso,0,0
gen=2_member=269_pso,0,0
gen=2_member=270_pso,0,0
gen=2_member=271_pso,0,0
gen=2_member=272_pso,0,0
gen=2_member=273_pso,0,0
gen=2_member=274_pso,0,4874.5219698713026446
gen=2_member=275_pso,0,0
gen=2_member=276_pso,0,0
gen=2_member=277_pso,0,0
gen=2_member=278_pso,0,0
gen=2_member=279_pso,0,0
gen=2_member=280_pso,0,0
gen=2_member=281_pso,0,0
gen=2_member=282_pso,0,0
gen=2_member=283_pso,0,0
gen=2_member=284_pso,1.3676413080517745133e-15,0
gen=2_member=285_pso,0,0
gen=2_member=286_pso,0,0
gen=2_member=287_pso,0,0
gen=2_member=288_pso,0,0
gen=2_member=289_pso,5.5032737897031288955e-56,0
gen=2_member=290_pso,0,0
gen=2_member=291_pso,0,0
gen=2_member=292_pso,0,0
gen=2_member=293_pso,0,0
gen=2_member=294_pso,0,0
gen=2_member=295_pso,0,0
gen=2_member=296_pso,0,0
gen=2_member=297_pso,7.6382879266069315751e-10,695891.78212240908761
gen=2_member=298_pso,0,0
gen=2_member=299_pso,0,695891.78212240908761
gen=2_member=300_pso,0,0
gen=2_member=301_pso,0,0
gen=2_member=302_pso,0,0
gen=2_member=303_pso,0,0
gen=2_member=304_pso,0,0
gen=2_member=305_pso,0,0
gen=2_member=306_pso,0,0
gen=2_member=307_pso,1095.2285065721671344,0
gen=2_member=308_pso,0,0
gen=2_member=309_pso,0,0
gen=2_member=310_pso,0,255517.42842916044174
gen=2_member=311_pso,0,2.1062509218526246588e-280
gen=2_member=312_pso,0,0
gen=2_member=313_pso,0,0
gen=2_member=314_pso,0,0
gen=2_member=315_pso,0,0
gen=2_member=316_pso,175.64257406833914388,0
gen=2_member=317_pso,0,1645.8083275573183073
gen=2_member=318_pso,0,1.4176764670171825722e-302
gen=2_member=319_pso,4.3436676698276935669e-66,0
gen=2_member=320_pso,0,0
gen=2_member=321_pso,0,0
gen=2_member=322_pso,0.25784564952861482867,0
gen=2_member=323_pso,0,0
gen=2_member=324_pso,2.3833946358665436615e-56,0
gen=2_member=325_pso,442050.0705064572976,0
gen=2_member=326_pso,0,0
gen=2_member=327_pso,0,0
gen=2_member=328_pso,0,0
gen=2_member=329_pso,0,0
gen=2_member=330_pso,0,0
gen=2_member=331_pso,0,0
gen=2_member=332_pso,0,0
gen=2_member=333_pso,695891.78212240908761,1.1263023251876218411e-113
gen=2_member=334_pso,27399.84886584945707,0
