generation,member,well_1,well_2,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=0,1.07826e+06,0,19,-999,618,618,1,-999
0,gen=0_member=1,2.65426e+06,5483.96,32,1e+30,1.33702e-06,1.33702e-06,1,-999
0,gen=0_member=2,109332,1.5389e+06,14,0.939695,77,77,1,-999
0,gen=0_member=4,1.24836e+06,0,21,1e+30,502,502,1,-999
0,gen=0_member=5,0,4516.55,5,1e+30,545,545,1,-999
0,gen=0_member=8,16126.1,0,8,1e+30,912,912,1,-999
0,gen=0_member=10,0,2.18163e+06,14,1e+30,36,36,1,-999
0,gen=0_member=12,1.28269e-06,1.07844e+06,10,0.348467,308,308,1,-999
0,gen=0_member=13,2.50589e+06,0,30,1e+30,127,127,1,-999
0,gen=0_member=16,2.61946e+06,0,31,1e+30,41,41,1,-999
0,gen=0_member=17,2.26553e+06,1.41361e+06,31,1e+30,56,56,1,-999
0,gen=0_member=21,1.22645e+06,0,20,1e+30,522,522,1,-999
0,gen=0_member=22,1.33313e+06,0,22,1e+30,443,443,1,-999
0,gen=0_member=23,2.51656e+06,1.42082e+06,32,1e+30,6.65261e-07,6.65261e-07,1,-999
0,gen=0_member=24,3.68806,763728,10,1.9201,367,367,1,-999
0,gen=0_member=26,236164,1.62277e+06,15,2,43,43,1,-999
0,gen=0_member=27,0,684107,9,1e+30,459,459,1,-999
0,gen=0_member=30,1.96251e+06,1.89025,29,1e+30,151,151,1,-999
0,gen=0_member=32,178926,795129,13,2,290,290,1,-999
0,gen=0_member=33,1.06697e+06,0,18,-999,636,636,1,-999
0,gen=0_member=35,3.88534e-38,1736.94,4,1e+30,568.001,568.001,1,-999
0,gen=0_member=37,1.30406e+06,1.0934e+06,22,1e+30,110,110,1,-999
0,gen=0_member=38,1.47029e+06,0,25,-999,374,374,1,-999
0,gen=0_member=40,2575.88,653.297,7,0.341312,415,415,1,-999
0,gen=0_member=41,754243,0,17,-999,653,653,1,-999
0,gen=0_member=42,0,1.30781e+06,11,1e+30,320,320,1,-999
0,gen=0_member=47,519681,0,15,1e+30,684,684,1,-999
0,gen=0_member=48,36062,0,9,1e+30,904,904,1,-999
0,gen=0_member=49,0,196.107,3,1e+30,579.001,579.001,1,-999
0,gen=0_member=51,0,426978,8,1e+30,467,467,1,-999
0,gen=0_member=52,1.93211e+06,2.524e-118,28,-999,296,296,1,-999
0,gen=0_member=53,0,64570.5,6,1e+30,499,499,1,-999
0,gen=0_member=54,0,1.37173e+06,13,1e+30,297,297,1,-999
0,gen=0_member=55,2.02586e+06,5.01156e-06,30,1e+30,151,151,1,-999
0,gen=0_member=56,63939.9,0,11,1e+30,866,866,1,-999
0,gen=0_member=60,0,2.29725e+06,15,1e+30,22,22,1,-999
0,gen=0_member=61,58082.6,0,10,1e+30,895,895,1,-999
0,gen=0_member=62,1.43373e+06,0,24,-999,398,398,1,-999
0,gen=0_member=63,1979.85,3547.38,7,1.88288,405,405,1,-999
0,gen=0_member=64,252.317,0,6,1e+30,974.001,974.001,1,-999
0,gen=0_member=65,0,1.32128e+06,12,1e+30,309,309,1,-999
0,gen=0_member=68,0.0395658,0,5,1e+30,992.001,992.001,1,-999
0,gen=0_member=70,380775,0,14,1e+30,698,698,1,-999
0,gen=0_member=71,1.14762e+06,830797,20,1e+30,191,191,1,-999
0,gen=0_member=72,2887.65,2198.81,8,2,405,405,1,-999
0,gen=0_member=73,1.90686e+06,0,27,-999,323,323,1,-999
0,gen=0_member=74,0,152977,7,1e+30,493,493,1,-999
0,gen=0_member=75,0,0.000649775,2,1e+30,622.001,622.001,1,-999
0,gen=0_member=77,0.000174159,1.42109e-63,3,1e+30,999.001,999.001,1,-999
0,gen=0_member=79,792.945,2.45736e+06,16,1e+30,8.69907e-07,8.69907e-07,1,-999
0,gen=0_member=81,1.31504e-08,0,2,1e+30,1011,1011,1,-999
0,gen=0_member=82,2903.54,1.79246e-12,7,1e+30,919,919,1,-999
0,gen=0_member=86,0,1.17209e+06,10,1e+30,330,330,1,-999
0,gen=0_member=87,1.90635e+06,0,26,-999,349,349,1,-999
0,gen=0_member=88,1.19338e+06,1.87209e+06,21,1e+30,7.89358e-07,7.89358e-07,1,-999
0,gen=0_member=89,58585.3,243869,11,2,345,345,1,-999
0,gen=0_member=90,0.0124184,0,4,1e+30,996.001,996.001,1,-999
0,gen=0_member=92,1.3855e+06,0,23,-999,421,421,1,-999
0,gen=0_member=93,89981.9,4.94937,12,2,386,386,1,-999
0,gen=0_member=94,232380,0,12,1e+30,757,757,1,-999
0,gen=0_member=95,333308,0,13,1e+30,711,711,1,-999
0,gen=0_member=96,216500,1.37199e+06,14,1.41826,187,187,1,-999
0,gen=0_member=97,529783,0,16,1e+30,669,669,1,-999
0,gen=0_member=98,3.93735e-45,0,1,-999,1117,1117,1,-999
