real_name,well_1_q,well_1_x,well_1_y,well_2_q,well_2_x,well_2_y,xc
0,56.742474,-12.465966,21.610099,61.945411,39.48873,-15.670515,-18.207084
1,40.170014,28.040717,-30.895415,14.001033,18.333187,45.412247,-44.853556
2,41.653788,24.743358,-41.961458,24.985967,-46.313342,45.364417,21.780761
3,8.147771,11.416866,-20.857657,30.7732,-14.742915,37.000446,15.532971
4,43.45031,-34.907525,27.313541,27.085604,26.185872,33.49312,-20.02782
5,48.357749,8.962738,-49.65651,19.717117,45.585036,12.887749,-17.483394
6,24.415327,-37.611226,42.705958,19.917236,13.85642,1.14825,-38.269976
7,20.212273,-26.711387,36.820469,19.336055,-15.671524,41.290936,-39.181313
8,29.510534,43.669745,28.573459,54.256368,-36.941687,7.887494,20.898539
9,52.865215,2.4194,25.585691,7.354659,-43.697241,11.069802,18.829635
10,9.090071,-19.424421,-10.152453,45.232028,-31.086494,43.718606,30.285985
11,36.039642,-29.174328,37.068625,62.678025,11.610894,-30.45295,15.756835
12,11.140949,48.60585,12.75393,17.069811,-14.249745,5.819148,-17.083182
13,61.464074,-26.714239,12.551916,14.404713,-32.92298,-31.233167,42.172129
14,51.314739,-38.523459,20.04769,46.301205,-44.68047,45.032099,-23.818879
15,57.800645,49.072993,-19.552076,39.82736,12.521658,15.011226,-0.91968
16,35.387096,34.801505,43.764611,41.107839,5.222068,-13.708365,16.100899
17,7.443927,27.293829,37.969235,35.472257,39.989271,33.80308,-47.544076
18,13.425253,-1.17064,-39.94248,25.59398,47.312702,27.720355,31.561222
19,33.217589,1.410201,10.72408,39.692054,-37.423297,-28.752368,19.369203
20,44.388077,35.561479,-39.710445,21.912923,-44.711202,-36.457611,8.037491
21,13.172824,-44.892547,9.639448,59.927303,-23.762812,-39.968647,43.969197
22,15.194708,46.445592,0.979807,33.596646,18.585568,-48.089578,-24.873462
23,20.361381,31.350768,35.404487,55.79191,10.777511,42.942703,8.413198
24,64.963273,7.272709,35.040005,22.460901,-24.21817,-35.891242,-49.390177
25,39.291779,-23.780006,9.019556,6.805531,3.299067,-19.758573,-16.195026
26,50.170851,-49.55476,-17.937827,39.604557,33.805137,6.492281,28.462531
27,9.81723,34.997077,17.39161,53.125499,-0.670167,-18.804374,-18.65797
28,11.204313,38.314182,29.729939,9.466131,-34.916274,49.443084,5.480428
29,33.840954,9.150695,-13.285657,22.557733,-45.709331,30.852147,20.055426
30,42.309633,45.072132,-22.541498,40.504235,39.874613,4.62742,30.891454
31,31.269404,44.704777,41.813485,42.758811,-16.267534,-0.058315,-13.959936
32,35.137409,-32.681355,43.377369,41.710811,-20.651162,23.019748,-46.599239
33,51.669099,41.334567,-28.568079,57.520736,-35.951054,35.433084,-17.568981
34,43.652374,-18.31828,-40.853391,43.00888,-46.308835,29.525814,-35.075697
35,19.349718,-30.699438,15.47973,48.304112,48.515422,33.979031,0.489409
36,60.656096,-39.552908,-27.896552,53.523361,-43.942209,-31.121839,-42.934552
37,15.695121,-37.008905,-22.461539,41.119711,24.714151,11.79573,45.03587
38,9.766953,-35.600614,-23.835529,40.48461,-19.740334,-30.965362,27.063758
39,60.669572,18.968851,-41.530286,64.041305,12.498895,27.498011,-39.977725
40,60.073202,-20.276832,21.564741,8.597701,36.612679,-41.343007,-38.35912
41,32.45016,10.835434,33.085758,56.301099,-31.422403,-17.687396,-15.332833
42,27.138518,-34.947405,15.159116,27.012935,32.051305,41.295278,14.849694
43,29.32866,-8.891829,21.747397,60.679667,31.498017,-47.457595,-19.460364
44,17.545724,-23.206836,14.610037,61.423537,2.953011,-19.984936,-2.316025
45,34.999415,45.809183,-7.922638,50.802042,-30.045056,-44.882324,-40.662631
46,14.940221,8.429531,-20.40188,57.775358,10.696388,15.561664,-15.072312
47,11.362091,-27.043879,31.421568,43.097662,-40.046184,34.327206,-36.984693
48,8.135004,4.310041,36.944399,55.347146,-7.00262,-22.400864,-36.509903
49,40.066372,-15.942127,24.223995,17.118472,12.104139,-20.412476,-38.734396
50,55.971622,-14.273499,-3.505974,17.307736,26.53126,10.17137,-29.375278
51,41.837735,49.545973,48.922071,53.086057,-25.090657,-13.189258,-27.096265
52,56.909676,-39.207115,37.049771,19.138694,-24.14252,-14.579125,-36.221773
53,49.373335,12.803858,33.42786,25.353747,25.139613,-10.335164,-38.288524
54,26.121667,32.601109,22.627238,27.145044,-23.435135,45.550551,38.048392
55,24.267512,-33.303251,16.484638,30.878993,-30.916005,-21.546964,-24.636018
56,21.71055,-15.656872,-13.796321,51.241973,39.502886,15.011311,48.23249
57,59.090551,3.514839,9.578835,8.284593,8.030868,18.728012,-3.32959
58,49.958653,-18.253496,3.133647,31.092928,-31.324933,-3.136395,-17.824151
59,53.594125,7.175255,-8.246347,58.747068,-38.247685,-14.567424,-23.365468
60,30.940018,-16.107284,18.668327,51.956196,23.271018,40.341368,-8.042694
61,9.179272,21.107274,20.857842,53.911609,2.328274,-45.303955,-31.889189
62,20.86421,13.643893,-8.310265,57.951115,-21.60996,36.415238,41.226038
63,29.221098,30.668163,-40.179929,9.944755,22.745657,-4.023067,39.775726
64,9.886566,-16.428914,42.643185,24.289104,30.144029,26.803529,-28.598067
65,10.92816,-14.514551,36.392141,48.820769,-5.841391,37.690637,14.063056
66,12.915696,31.284472,-42.494477,20.160676,12.317263,42.451153,34.016545
67,50.235167,32.667723,19.812622,49.497006,5.833932,-37.67751,-30.404637
68,50.530123,17.31498,-36.454056,21.991526,-40.609589,-13.531204,-39.581194
69,52.088337,12.256343,21.891131,36.47431,-9.563967,-15.914191,-37.486695
70,40.696313,38.375957,-30.433614,55.567727,-18.045443,-31.541565,48.566816
71,29.245006,-5.242749,-37.664231,47.563674,8.836929,-36.294753,-35.458546
72,34.178382,22.45091,-7.136926,53.907321,-39.524663,29.179811,-45.84376
73,21.801473,38.408346,17.495717,42.14202,-18.568752,49.077374,26.800766
74,13.3112,8.913772,10.513667,48.229743,10.46435,-33.802573,3.808067
75,14.21848,-25.20109,11.108818,62.642193,14.208204,12.487884,-2.814698
76,56.390766,41.71023,-42.189783,18.592072,24.882751,48.719255,14.773961
77,62.572334,7.903283,28.194685,57.739535,-42.14812,-15.384503,-8.894248
78,30.572523,10.06979,20.664869,24.195839,-22.820548,26.975725,-22.583666
79,39.095316,-6.174523,-36.351254,15.929694,23.185485,13.792356,-39.415835
80,7.085277,28.909016,38.396958,56.721402,-17.208585,35.114182,42.338841
81,13.864152,-12.092035,17.207269,41.584479,24.179774,-4.043512,-4.537963
82,9.355696,-22.253704,4.16581,57.150618,-3.137541,18.800048,35.565726
83,60.241334,22.870227,34.679991,35.469569,9.822665,14.598357,-21.228154
84,48.611688,27.761727,-27.869703,20.64513,1.909427,-20.070901,-8.59331
85,8.490185,-38.867052,24.912949,20.332929,-35.806782,-23.4814,15.517179
86,21.242221,-25.145154,-28.900884,39.037627,-28.831047,18.903594,15.217819
87,17.097142,48.2099,0.362454,30.128628,-34.199571,-5.702078,28.267482
88,28.489586,-36.440009,8.333647,31.426062,21.052835,-38.22066,-6.809549
89,59.422465,46.113537,12.711279,25.567506,-24.756707,-44.89263,-10.583942
90,36.507857,46.490265,-36.833937,9.975495,-32.597701,30.775523,14.642131
91,35.431786,-31.452755,-14.315869,32.166501,-2.136064,-41.209796,14.954763
92,25.002167,-26.452239,44.21272,44.663887,33.970909,39.398877,1.301188
93,40.544576,41.930768,14.473328,61.978813,-12.853094,30.643957,-26.085044
94,46.582927,-23.359298,-39.617421,37.694894,-4.673494,11.474388,-17.848357
95,53.615838,9.342731,20.493886,39.832036,46.743302,-17.710631,-1.192104
96,35.730223,20.82967,-26.708539,58.924337,-12.422471,39.499865,49.659307
97,42.775564,-38.300665,-49.954349,7.270866,17.160966,45.977081,5.81161
98,36.757393,37.031458,-28.858766,29.142138,-17.734908,14.524172,28.472828
99,55.451441,49.5967,29.045413,41.723371,28.763853,20.734477,46.064884
100,17.541045,23.908376,-28.187748,60.364,-7.013887,17.767035,-18.358711
101,17.774773,-19.814038,-26.143983,19.805373,-32.187343,-47.203919,0.470457
102,29.800836,42.693918,44.44606,30.021441,-46.524715,36.021709,9.40573
103,9.569891,-25.175458,15.042308,19.733035,-8.178601,17.638907,-44.715563
104,62.889116,38.521729,-21.968886,16.844792,-46.002947,38.393094,-40.392005
105,48.535429,-11.368147,14.447015,39.115104,-9.347296,46.02521,-21.482804
