well_id,r,c,sp,q
0,72,58,0,2135.6215773897634
0,72,58,1,2135.6215773897634
0,72,58,2,0.0
0,72,58,3,0.0
0,72,58,4,2135.6215773897634
0,72,58,5,0.0
0,72,58,6,2135.6215773897634
0,72,58,7,2135.6215773897634
0,72,58,8,2135.6215773897634
0,72,58,9,2135.6215773897634
0,72,58,10,0.0
0,72,58,11,0.0
0,72,58,12,0.0
0,72,58,13,0.0
0,72,58,14,0.0
0,72,58,15,2135.6215773897634
0,72,58,16,0.0
0,72,58,17,2135.6215773897634
0,72,58,18,2135.6215773897634
0,72,58,19,2135.6215773897634
0,72,58,20,2135.6215773897634
0,72,58,21,0.0
0,72,58,22,2135.6215773897634
0,72,58,23,0.0
0,72,58,24,0.0
0,72,58,25,2135.6215773897634
0,72,58,26,0.0
0,72,58,27,0.0
0,72,58,28,0.0
0,72,58,29,2135.6215773897634
0,72,58,30,0.0
0,72,58,31,0.0
0,72,58,32,0.0
0,72,58,33,2135.6215773897634
0,72,58,34,0.0
0,72,58,35,0.0
0,72,58,36,0.0
0,72,58,37,2135.6215773897634
0,72,58,38,2135.6215773897634
0,72,58,39,2135.6215773897634
0,72,58,40,0.0
0,72,58,41,0.0
0,72,58,42,2135.6215773897634
0,72,58,43,2135.6215773897634
0,72,58,44,2135.6215773897634
0,72,58,45,0.0
0,72,58,46,0.0
0,72,58,47,2135.6215773897634
0,72,58,48,2135.6215773897634
0,72,58,49,0.0
0,72,58,50,2135.6215773897634
0,72,58,51,2135.6215773897634
1,70,32,0,0.0
1,70,32,1,0.0
1,70,32,2,981.4221513566098
1,70,32,3,981.4221513566098
1,70,32,4,0.0
1,70,32,5,981.4221513566098
1,70,32,6,0.0
1,70,32,7,981.4221513566098
1,70,32,8,0.0
1,70,32,9,981.4221513566098
1,70,32,10,981.4221513566098
1,70,32,11,981.4221513566098
1,70,32,12,981.4221513566098
1,70,32,13,0.0
1,70,32,14,981.4221513566098
1,70,32,15,0.0
1,70,32,16,981.4221513566098
1,70,32,17,981.4221513566098
1,70,32,18,0.0
1,70,32,19,981.4221513566098
1,70,32,20,981.4221513566098
1,70,32,21,0.0
1,70,32,22,0.0
1,70,32,23,0.0
1,70,32,24,0.0
1,70,32,25,0.0
1,70,32,26,981.4221513566098
1,70,32,27,981.4221513566098
1,70,32,28,0.0
1,70,32,29,981.4221513566098
1,70,32,30,981.4221513566098
1,70,32,31,0.0
1,70,32,32,981.4221513566098
1,70,32,33,981.4221513566098
1,70,32,34,981.4221513566098
1,70,32,35,981.4221513566098
1,70,32,36,981.4221513566098
1,70,32,37,0.0
1,70,32,38,981.4221513566098
1,70,32,39,981.4221513566098
1,70,32,40,0.0
1,70,32,41,981.4221513566098
1,70,32,42,0.0
1,70,32,43,0.0
1,70,32,44,0.0
1,70,32,45,981.4221513566098
1,70,32,46,0.0
1,70,32,47,0.0
1,70,32,48,0.0
1,70,32,49,981.4221513566098
1,70,32,50,981.4221513566098
1,70,32,51,0.0
2,41,36,0,0.0
2,41,36,1,416.24983633003524
2,41,36,2,0.0
2,41,36,3,416.24983633003524
2,41,36,4,0.0
2,41,36,5,0.0
2,41,36,6,416.24983633003524
2,41,36,7,0.0
2,41,36,8,416.24983633003524
