well_id,r,c,sp,q
0,25,6,0,0.00578592031
1,9,28,0,0.0176255765
2,25,39,0,0.0120948443
3,21,11,0,0.0156759956
4,31,40,0,0.0160790826
5,33,14,0,0.0103016811
6,42,19,0,0.0187277978
7,11,7,0,0.0177064008
8,39,9,0,0.00655873877
9,18,21,0,0.0190265529
0,25,6,1,0.011744361
1,9,28,1,0.0104810581
2,25,39,1,0.0113792683
3,21,11,1,0.0175721273
4,31,40,1,0.0174729443
5,33,14,1,0.0197453665
6,42,19,1,0.012105346
7,11,7,1,0.00945822777
8,39,9,1,0.0184257971
9,18,21,1,0.00864299008
0,25,6,2,0.0184065922
1,9,28,2,0.00575665935
2,25,39,2,0.0181397582
3,21,11,2,0.0153873594
4,31,40,2,0.0196322787
5,33,14,2,0.00502993517
6,42,19,2,0.0149121351
7,11,7,2,0.0147251253
8,39,9,2,0.0173834727
9,18,21,2,0.0100888357
0,25,6,3,0.0194839737
1,9,28,3,0.00916039307
2,25,39,3,0.0057885799
3,21,11,3,0.0189826972
4,31,40,3,0.00814619419
5,33,14,3,0.0183068721
6,42,19,3,0.0141116337
7,11,7,3,0.00941434678
8,39,9,3,0.00685722744
9,18,21,3,0.0148083752
0,25,6,4,0.00564025883
1,9,28,4,0.0157103866
2,25,39,4,0.00743649153
3,21,11,4,0.010141469
4,31,40,4,0.0135371933
5,33,14,4,0.0110079363
6,42,19,4,0.0165584761
7,11,7,4,0.010125548
8,39,9,4,0.0106397389
9,18,21,4,0.0150868164
0,25,6,5,0.0133721809
1,9,28,5,0.0118394187
2,25,39,5,0.00881154446
3,21,11,5,0.00675078548
4,31,40,5,0.0126642217
5,33,14,5,0.00985709469
6,42,19,5,0.011437643
7,11,7,5,0.017167007
8,39,9,5,0.0138073358
9,18,21,5,0.0130576643
0,25,6,6,0.0160174324
1,9,28,6,0.0104860447
2,25,39,6,0.011255249
3,21,11,6,0.0102125343
4,31,40,6,0.0192672083
5,33,14,6,0.012916848
6,42,19,6,0.0143910034
7,11,7,6,0.0143021114
8,39,9,6,0.0103117713
9,18,21,6,0.0117203418
0,25,6,7,0.00547586838
1,9,28,7,0.0115760071
2,25,39,7,0.0150491246
3,21,11,7,0.0110786443
4,31,40,7,0.0175284688
5,33,14,7,0.0130334199
6,42,19,7,0.00564318277
7,11,7,7,0.0167084404
8,39,9,7,0.00936586495
9,18,21,7,0.00547183246
0,25,6,8,0.012744802
1,9,28,8,0.00775657415
2,25,39,8,0.012964927
3,21,11,8,0.0104702302
4,31,40,8,0.0120544977
5,33,14,8,0.0156549835
6,42,19,8,0.0142032406
7,11,7,8,0.0131171315
8,39,9,8,0.0167108614
9,18,21,8,0.00700163617
0,25,6,9,0.016416679
1,9,28,9,0.0151490307
2,25,39,9,0.0152968901
3,21,11,9,0.00934791424
4,31,40,9,0.0194054873
5,33,14,9,0.0103641843
6,42,19,9,0.00786019194
7,11,7,9,0.00518404507
8,39,9,9,0.0108805687
9,18,21,9,0.00982845387
