well_id,r,c,sp,q
0,70,59,0,1212.7632748076924
1,37,34,0,204.9523823846154
2,31,49,0,1079.9337984615386
3,77,44,0,537.9391430769231
4,47,49,0,245.11182403846152
5,45,51,0,151.85958969230768
6,44,39,0,419.317888
7,38,59,0,423.63022523076927
8,77,34,0,297.504448
9,36,47,0,758.2215769230769
10,73,39,0,220.2881261538461
11,77,42,0,1164.9345178846154
12,64,58,0,1541.7124246153846
13,35,48,0,400.30542346153845
14,67,55,0,607.4084
15,57,30,0,1310.1816323076926
16,32,31,0,955.9051778846152
17,31,59,0,847.6870615384614
18,35,61,0,857.2358342307693
19,43,61,0,481.2311495
0,70,59,1,1212.7632748076924
1,37,34,1,204.9523823846154
2,31,49,1,1079.9337984615386
3,77,44,1,537.9391430769231
4,47,49,1,245.11182403846152
5,45,51,1,151.85958969230768
6,44,39,1,419.317888
7,38,59,1,423.63022523076927
8,77,34,1,297.504448
9,36,47,1,758.2215769230769
10,73,39,1,220.2881261538461
11,77,42,1,1164.9345178846154
12,64,58,1,1541.7124246153846
13,35,48,1,400.30542346153845
14,67,55,1,607.4084
15,57,30,1,1310.1816323076926
16,32,31,1,955.9051778846152
17,31,59,1,847.6870615384614
18,35,61,1,857.2358342307693
19,43,61,1,481.2311495
0,70,59,2,1212.7632748076924
1,37,34,2,204.9523823846154
2,31,49,2,1079.9337984615386
3,77,44,2,537.9391430769231
4,47,49,2,245.11182403846152
5,45,51,2,151.85958969230768
6,44,39,2,419.317888
7,38,59,2,423.63022523076927
8,77,34,2,297.504448
9,36,47,2,758.2215769230769
10,73,39,2,220.2881261538461
11,77,42,2,1164.9345178846154
12,64,58,2,1541.7124246153846
13,35,48,2,400.30542346153845
14,67,55,2,607.4084
15,57,30,2,1310.1816323076926
16,32,31,2,955.9051778846152
17,31,59,2,847.6870615384614
18,35,61,2,857.2358342307693
19,43,61,2,481.2311495
0,70,59,3,1212.7632748076924
1,37,34,3,204.9523823846154
2,31,49,3,1079.9337984615386
3,77,44,3,537.9391430769231
4,47,49,3,245.11182403846152
5,45,51,3,151.85958969230768
6,44,39,3,419.317888
7,38,59,3,423.63022523076927
8,77,34,3,297.504448
9,36,47,3,758.2215769230769
10,73,39,3,220.2881261538461
11,77,42,3,1164.9345178846154
12,64,58,3,1541.7124246153846
13,35,48,3,400.30542346153845
14,67,55,3,607.4084
15,57,30,3,1310.1816323076926
16,32,31,3,955.9051778846152
17,31,59,3,847.6870615384614
18,35,61,3,857.2358342307693
19,43,61,3,481.2311495
0,70,59,4,1212.7632748076924
1,37,34,4,204.9523823846154
2,31,49,4,1079.9337984615386
3,77,44,4,537.9391430769231
4,47,49,4,245.11182403846152
5,45,51,4,151.85958969230768
6,44,39,4,419.317888
7,38,59,4,423.63022523076927
8,77,34,4,297.504448
9,36,47,4,758.2215769230769
10,73,39,4,220.2881261538461
11,77,42,4,1164.9345178846154
12,64,58,4,1541.7124246153846
13,35,48,4,400.30542346153845
14,67,55,4,607.4084
15,57,30,4,1310.1816323076926
16,32,31,4,955.9051778846152
17,31,59,4,847.6870615384614
18,35,61,4,857.2358342307693
19,43,61,4,481.2311495
0,70,59,5,1212.7632748076924
1,37,34,5,204.9523823846154
2,31,49,5,1079.9337984615386
3,77,44,5,537.9391430769231
4,47,49,5,245.11182403846152
5,45,51,5,151.85958969230768
6,44,39,5,419.317888
7,38,59,5,423.63022523076927
8,77,34,5,297.504448
9,36,47,5,758.2215769230769
10,73,39,5,220.2881261538461
11,77,42,5,1164.9345178846154
12,64,58,5,1541.7124246153846
13,35,48,5,400.30542346153845
14,67,55,5,607.4084
15,57,30,5,1310.1816323076926
16,32,31,5,955.9051778846152
17,31,59,5,847.6870615384614
18,35,61,5,857.2358342307693
19,43,61,5,481.2311495
0,70,59,6,1212.7632748076924
1,37,34,6,204.9523823846154
2,31,49,6,1079.9337984615386
3,77,44,6,537.9391430769231
4,47,49,6,245.11182403846152
5,45,51,6,151.85958969230768
6,44,39,6,419.317888
7,38,59,6,423.63022523076927
8,77,34,6,297.504448
9,36,47,6,758.2215769230769
10,73,39,6,220.2881261538461
11,77,42,6,1164.9345178846154
12,64,58,6,1541.7124246153846
13,35,48,6,400.30542346153845
14,67,55,6,607.4084
15,57,30,6,1310.1816323076926
16,32,31,6,955.9051778846152
17,31,59,6,847.6870615384614
18,35,61,6,857.2358342307693
19,43,61,6,481.2311495
0,70,59,7,1212.7632748076924
1,37,34,7,204.9523823846154
2,31,49,7,1079.9337984615386
3,77,44,7,537.9391430769231
4,47,49,7,245.11182403846152
5,45,51,7,151.85958969230768
6,44,39,7,419.317888
7,38,59,7,423.63022523076927
8,77,34,7,297.504448
9,36,47,7,758.2215769230769
10,73,39,7,220.2881261538461
11,77,42,7,1164.9345178846154
12,64,58,7,1541.7124246153846
13,35,48,7,400.30542346153845
14,67,55,7,607.4084
15,57,30,7,1310.1816323076926
16,32,31,7,955.9051778846152
17,31,59,7,847.6870615384614
18,35,61,7,857.2358342307693
19,43,61,7,481.2311495
0,70,59,8,1212.7632748076924
1,37,34,8,204.9523823846154
2,31,49,8,1079.9337984615386
3,77,44,8,537.9391430769231
4,47,49,8,245.11182403846152
5,45,51,8,151.85958969230768
6,44,39,8,419.317888
7,38,59,8,423.63022523076927
8,77,34,8,297.504448
9,36,47,8,758.2215769230769
