obsnme,obsval,weight,obsgp
dd_p0_cp0,3.4865479392465204e-09,1.0,drawdown
dd_p0_cp1,3.485183697193861e-09,1.0,drawdown
dd_p0_cp2,1.4042598195374012e-09,1.0,drawdown
dd_p0_cp3,1.3947101251687855e-09,1.0,drawdown
dd_p0_cp4,-1.1009433364961296e-09,1.0,drawdown
dd_p0_cp5,-1.1750671546906233e-09,1.0,drawdown
dd_p0_cp6,-2.7744135877583176e-09,1.0,drawdown
dd_p0_cp7,-3.265540726715699e-09,1.0,drawdown
dd_p0_cp8,5.639776645693928e-09,1.0,drawdown
dd_p0_cp9,2.9367583920247853e-09,1.0,drawdown
dd_p0_cp10,1.201988197863102e-08,1.0,drawdown
dd_p0_cp11,8.458300726488233e-10,1.0,drawdown
dd_p0_cp12,2.5665940484032035e-08,1.0,drawdown
dd_p0_cp13,-1.7257661966141313e-09,1.0,drawdown
dd_p0_cp14,7.358721632044762e-09,1.0,drawdown
dd_p0_cp15,-3.8157850212883204e-09,1.0,drawdown
dd_p0_cp16,5.089987098472193e-09,1.0,drawdown
dd_p0_cp17,2.3865140974521637e-09,1.0,drawdown
dd_p0_cp18,7.885319064371288e-10,1.0,drawdown
dd_p0_cp19,2.9695002012886107e-10,1.0,drawdown
dd_p0_cp20,-2.2000676835887134e-09,1.0,drawdown
dd_p0_cp21,-2.2737367544323206e-09,1.0,drawdown
dd_p0_cp22,-4.355115379439667e-09,1.0,drawdown
dd_p0_cp23,-4.364210326457396e-09,1.0,drawdown
dd_p0_cp24,1.8408172763884068e-09,1.0,drawdown
dd_p0_cp25,1.8403625290375203e-09,1.0,drawdown
dd_p0_cp26,-2.191882231272757e-10,1.0,drawdown
dd_p0_cp27,-2.191882231272757e-10,1.0,drawdown
dd_p0_cp28,-2.2782842279411852e-09,1.0,drawdown
dd_p0_cp29,-2.2782842279411852e-09,1.0,drawdown
dd_p0_cp30,3.924469638150185e-09,1.0,drawdown
dd_p0_cp31,3.924469638150185e-09,1.0,drawdown
dd_p0_cp32,1.8344508134759963e-09,1.0,drawdown
dd_p0_cp33,1.8344508134759963e-09,1.0,drawdown
dd_p0_cp34,-7.353264663834125e-10,1.0,drawdown
dd_p0_cp35,-7.353264663834125e-10,1.0,drawdown
dd_p0_cp36,-2.825800038408488e-09,1.0,drawdown
dd_p0_cp37,-2.825800038408488e-09,1.0,drawdown
dd_p0_cp38,3.3760443329811096e-09,1.0,drawdown
dd_p0_cp39,3.3760443329811096e-09,1.0,drawdown
dd_p0_cp40,1.285570760956034e-09,1.0,drawdown
dd_p0_cp41,1.285570760956034e-09,1.0,drawdown
dd_p0_cp42,-1.2846612662542611e-09,1.0,drawdown
dd_p0_cp43,-1.2846612662542611e-09,1.0,drawdown
dd_p0_cp44,-3.3751348382793367e-09,1.0,drawdown
dd_p0_cp45,-3.3746800909284502e-09,1.0,drawdown
dd_p0_cp46,2.8262547857593745e-09,1.0,drawdown
dd_p0_cp47,2.8262547857593745e-09,1.0,drawdown
dd_p0_cp48,7.353264663834125e-10,1.0,drawdown
dd_p0_cp49,7.353264663834125e-10,1.0,drawdown
dd_p0_cp50,-1.8349055608268827e-09,1.0,drawdown
dd_p0_cp51,-1.8349055608268827e-09,1.0,drawdown
dd_p0_cp52,-3.925379132851958e-09,1.0,drawdown
dd_p0_cp53,-3.925379132851958e-09,1.0,drawdown
dd_p0_cp54,2.2796484699938446e-09,1.0,drawdown
dd_p0_cp55,2.2787389752920717e-09,1.0,drawdown
dd_p0_cp56,2.305569068994373e-10,1.0,drawdown
dd_p0_cp57,2.2009771782904863e-10,1.0,drawdown
dd_p0_cp58,-1.7439560906495899e-09,1.0,drawdown
dd_p0_cp59,-1.838998286984861e-09,1.0,drawdown
dd_p0_cp60,5.149104254087433e-09,1.0,drawdown
dd_p0_cp61,4.365119821159169e-09,1.0,drawdown
dd_p0_cp62,7.975813787197694e-09,1.0,drawdown
dd_p0_cp63,2.2746462491340935e-09,1.0,drawdown
dd_p0_cp64,3.441618900978938e-08,1.0,drawdown
dd_p0_cp65,-2.9604052542708814e-10,1.0,drawdown
dd_p0_cp66,1.5790101315360516e-07,1.0,drawdown
dd_p0_cp67,-2.3860593501012772e-09,1.0,drawdown
dd_p0_cp68,4.443711532076122e-07,1.0,drawdown
dd_p0_cp69,3.815102900261991e-09,1.0,drawdown
dd_p0_cp70,1.6201238395296969e-07,1.0,drawdown
dd_p0_cp71,1.7248567019123584e-09,1.0,drawdown
dd_p0_cp72,3.386685420991853e-08,1.0,drawdown
dd_p0_cp73,-8.453753252979368e-10,1.0,drawdown
dd_p0_cp74,2.766000761766918e-09,1.0,drawdown
dd_p0_cp75,-2.9360762709984556e-09,1.0,drawdown
dd_p0_cp76,4.050434654345736e-09,1.0,drawdown
dd_p0_cp77,3.2659954740665853e-09,1.0,drawdown
dd_p0_cp78,1.269881977350451e-09,1.0,drawdown
dd_p0_cp79,1.1752945283660665e-09,1.0,drawdown
dd_p0_cp80,-1.3842509360983968e-09,1.0,drawdown
dd_p0_cp81,-1.3944827514933422e-09,1.0,drawdown
dd_p0_cp82,-3.484046828816645e-09,1.0,drawdown
dd_p0_cp83,-3.4854110708693042e-09,1.0,drawdown
dd_p0_cp84,3.497007128316909e-09,1.0,drawdown
dd_p0_cp85,-3.476543497527018e-09,1.0,drawdown
dd_p0_cp86,3.588866093195975e-09,1.0,drawdown
dd_p0_cp87,-3.4169715945608914e-09,1.0,drawdown
dd_p0_cp88,4.334651748649776e-09,1.0,drawdown
dd_p0_cp89,-3.0311184673337266e-09,1.0,drawdown
dd_p0_cp90,9.657924238126725e-09,1.0,drawdown
dd_p0_cp91,-9.879386198008433e-10,1.0,drawdown
dd_p0_cp92,4.1063231037696823e-08,1.0,drawdown
dd_p0_cp93,6.8366716732271016e-09,1.0,drawdown
dd_p0_cp94,1.770054041116964e-07,1.0,drawdown
dd_p0_cp95,2.1816276785102673e-08,1.0,drawdown
dd_p0_cp96,4.804119271284435e-07,1.0,drawdown
dd_p0_cp97,6.8366716732271016e-09,1.0,drawdown
dd_p0_cp98,1.770058588590473e-07,1.0,drawdown
dd_p0_cp99,-9.879386198008433e-10,1.0,drawdown
dd_p0_cp100,4.106368578504771e-08,1.0,drawdown
dd_p0_cp101,-3.0308910936582834e-09,1.0,drawdown
dd_p0_cp102,9.660652722232044e-09,1.0,drawdown
dd_p0_cp103,-3.416516847210005e-09,1.0,drawdown
dd_p0_cp104,4.343291948316619e-09,1.0,drawdown
dd_p0_cp105,-3.471313902991824e-09,1.0,drawdown
dd_p0_cp106,3.6052369978278875e-09,1.0,drawdown
dd_p0_cp107,-3.4344793675700203e-09,1.0,drawdown
dd_p0_cp108,3.5051925806328654e-09,1.0,drawdown
dd_p0_cp109,-2.9949660529382527e-09,1.0,drawdown
dd_p0_cp110,3.4888216760009527e-09,1.0,drawdown
dd_p0_cp111,9.579252946423367e-10,1.0,drawdown
dd_p0_cp112,3.486093191895634e-09,1.0,drawdown
dd_p0_cp113,3.2311163522535935e-08,1.0,drawdown
dd_p0_cp114,3.485183697193861e-09,1.0,drawdown
dd_p0_cp115,2.4084647520794533e-07,1.0,drawdown
dd_p0_cp116,3.485183697193861e-09,1.0,drawdown
dd_p0_cp117,1.2779694316122914e-06,1.0,drawdown
dd_p0_cp118,3.485183697193861e-09,1.0,drawdown
dd_p0_cp119,4.036789277961361e-06,1.0,drawdown
dd_p0_cp120,3.485183697193861e-09,1.0,drawdown
dd_p0_cp121,1.2779694316122914e-06,1.0,drawdown
dd_p0_cp122,3.485183697193861e-09,1.0,drawdown
dd_p0_cp123,2.4084602046059445e-07,1.0,drawdown
dd_p0_cp124,3.485183697193861e-09,1.0,drawdown
dd_p0_cp125,3.2311163522535935e-08,1.0,drawdown
dd_p0_cp126,3.485183697193861e-09,1.0,drawdown
dd_p0_cp127,9.576979209668934e-10,1.0,drawdown
dd_p0_cp128,3.485183697193861e-09,1.0,drawdown
dd_p0_cp129,-2.9940565582364798e-09,1.0,drawdown
dd_p0_cp130,3.486093191895634e-09,1.0,drawdown
dd_p0_cp131,-3.4356162359472364e-09,1.0,drawdown
dd_p0_cp132,3.4974618756677955e-09,1.0,drawdown
dd_p0_cp133,-3.4806362236849964e-09,1.0,drawdown
dd_p0_cp134,3.611603460740298e-09,1.0,drawdown
dd_p0_cp135,-3.485183697193861e-09,1.0,drawdown
dd_p0_cp136,4.727553459815681e-09,1.0,drawdown
dd_p0_cp137,-3.4854110708693042e-09,1.0,drawdown
dd_p0_cp138,1.4717443264089525e-08,1.0,drawdown
dd_p0_cp139,-3.4854110708693042e-09,1.0,drawdown
dd_p0_cp140,9.398218026035465e-08,1.0,drawdown
dd_p0_cp141,-3.4854110708693042e-09,1.0,drawdown
dd_p0_cp142,6.211785148479976e-07,1.0,drawdown
dd_p0_cp143,-3.4854110708693042e-09,1.0,drawdown
dd_p0_cp144,3.243122591811698e-06,1.0,drawdown
dd_p0_cp145,-3.4854110708693042e-09,1.0,drawdown
dd_p0_cp146,1.0217677754553733e-05,1.0,drawdown
