r,c
5,5
44,5
5,6
44,6
5,7
44,7
5,8
44,8
5,9
44,9
5,10
44,10
5,11
44,11
5,12
44,12
5,13
44,13
5,14
44,14
5,15
44,15
5,16
44,16
5,17
44,17
5,18
44,18
5,19
44,19
5,20
44,20
5,21
44,21
5,22
44,22
5,23
44,23
5,24
44,24
5,25
44,25
5,26
44,26
5,27
44,27
5,28
44,28
5,29
44,29
5,30
44,30
5,31
44,31
5,32
44,32
5,33
44,33
5,34
44,34
5,35
44,35
5,36
44,36
5,37
44,37
5,38
44,38
5,39
44,39
5,40
44,40
5,41
44,41
5,42
44,42
5,43
44,43
5,44
44,44
6,5
6,44
7,5
7,44
8,5
8,44
9,5
9,44
10,5
10,44
11,5
11,44
12,5
12,44
13,5
13,44
14,5
14,44
15,5
15,44
16,5
16,44
17,5
17,44
18,5
18,44
19,5
19,44
20,5
20,44
21,5
21,44
22,5
22,44
23,5
23,44
24,5
24,44
25,5
25,44
26,5
26,44
27,5
27,44
28,5
28,44
29,5
29,44
30,5
30,44
31,5
31,44
32,5
32,44
33,5
33,44
34,5
34,44
35,5
35,44
36,5
36,44
37,5
37,44
38,5
38,44
39,5
39,44
40,5
40,44
41,5
41,44
42,5
42,44
43,5
43,44
