obsnme,obsval,weight,obsgp
h_p0_cp0,0.4163487040418674,1.0,head
h_p0_cp1,0.3859335517763026,1.0,head
h_p0_cp2,0.41646035697940276,1.0,head
h_p0_cp3,0.38782619784820976,1.0,head
h_p0_cp4,0.4160259374169061,1.0,head
h_p0_cp5,0.3898656824433591,1.0,head
h_p0_cp6,0.41495598987411836,1.0,head
h_p0_cp7,0.39193796674059184,1.0,head
h_p0_cp8,0.41331756605673453,1.0,head
h_p0_cp9,0.39392578981781995,1.0,head
h_p0_cp10,0.41127589020957167,1.0,head
h_p0_cp11,0.3957761040332742,1.0,head
h_p0_cp12,0.4090151987915721,1.0,head
h_p0_cp13,0.39757562703459576,1.0,head
h_p0_cp14,0.40669206380805617,1.0,head
h_p0_cp15,0.3994842507125863,1.0,head
h_p0_cp16,0.40442110162304495,1.0,head
h_p0_cp17,0.401676639369423,1.0,head
h_p0_cp18,0.4022783003560479,1.0,head
h_p0_cp19,0.4043243637268829,1.0,head
h_p0_cp20,0.4003100791455599,1.0,head
h_p0_cp21,0.4075937204282051,1.0,head
h_p0_cp22,0.39854265988319587,1.0,head
h_p0_cp23,0.4116158599741415,1.0,head
h_p0_cp24,0.39698984471449317,1.0,head
h_p0_cp25,0.4163381221754454,1.0,head
h_p0_cp26,0.3956589240991395,1.0,head
h_p0_cp27,0.42102405242215696,1.0,head
h_p0_cp28,0.3945548148374927,1.0,head
h_p0_cp29,0.42297314590242496,1.0,head
h_p0_cp30,0.3936823267200853,1.0,head
h_p0_cp31,0.4162333982519652,1.0,head
h_p0_cp32,0.3930459293112803,1.0,head
h_p0_cp33,0.4067967851556264,1.0,head
h_p0_cp34,0.3926455234515346,1.0,head
h_p0_cp35,0.3974032170168023,1.0,head
h_p0_cp36,0.3924653767875496,1.0,head
h_p0_cp37,0.3888272735994151,1.0,head
h_p0_cp38,0.3924514664939762,1.0,head
h_p0_cp39,0.3811604703300072,1.0,head
h_p0_cp40,0.3924708172074714,1.0,head
h_p0_cp41,0.3743151557461374,1.0,head
h_p0_cp42,0.392249737662028,1.0,head
h_p0_cp43,0.3681805900289504,1.0,head
h_p0_cp44,0.39131176040395843,1.0,head
h_p0_cp45,0.3626615367450398,1.0,head
h_p0_cp46,0.3890133587278673,1.0,head
h_p0_cp47,0.35768250957834336,1.0,head
h_p0_cp48,0.38490652494636146,1.0,head
h_p0_cp49,0.3531838204450554,1.0,head
h_p0_cp50,0.3794708105067375,1.0,head
h_p0_cp51,0.34911683499396023,1.0,head
h_p0_cp52,0.3733802403128668,1.0,head
h_p0_cp53,0.345440166444639,1.0,head
h_p0_cp54,0.3671395567767208,1.0,head
h_p0_cp55,0.34211696903215716,1.0,head
h_p0_cp56,0.3610473271042214,1.0,head
h_p0_cp57,0.33911314769224465,1.0,head
h_p0_cp58,0.3552573021346978,1.0,head
h_p0_cp59,0.3363962969383371,1.0,head
h_p0_cp60,0.34983897456735735,1.0,head
h_p0_cp61,0.33393525382608247,1.0,head
h_p0_cp62,0.34481773593942405,1.0,head
h_p0_cp63,0.33170020972273584,1.0,head
h_p0_cp64,0.3401976094148967,1.0,head
