well_id,r,c,sp,q
0,12,21,0,0.0166635406894602
0,12,21,1,0.0152204992856633
0,12,21,2,0.01824852772417076
0,12,21,3,0.00808651170868919
0,12,21,4,0.010048237611952456
0,12,21,5,0.01817392812474864
0,12,21,6,0.019792676626941983
0,12,21,7,0.013658198187851585
0,12,21,8,0.01183104103395208
0,12,21,9,0.015576471704495602
1,23,14,0,0.01671058799789355
1,23,14,1,0.009210248204213014
1,23,14,2,0.01793771050098986
1,23,14,3,0.013930153870072272
1,23,14,4,0.016564737194463316
1,23,14,5,0.006057700181796792
1,23,14,6,0.014672112470885706
1,23,14,7,0.015297209526794215
1,23,14,8,0.010914010140007618
1,23,14,9,0.01833014305853875
2,33,9,0,0.01764635380049494
2,33,9,1,0.00936818009713598
2,33,9,2,0.019462752234577156
2,33,9,3,0.010166786701326841
2,33,9,4,0.013666346000760266
2,33,9,5,0.0060985522216812785
2,33,9,6,0.01407723514781499
2,33,9,7,0.013284379697640552
2,33,9,8,0.017915427851089863
2,33,9,9,0.007856607815261782
3,33,28,0,0.018333913319671196
3,33,28,1,0.005929394490081653
3,33,28,2,0.018656996287637576
3,33,28,3,0.014877183707032539
3,33,28,4,0.017135269668643077
3,33,28,5,0.015602070547564312
3,33,28,6,0.017221551570056944
3,33,28,7,0.012502775362388148
3,33,28,8,0.005376263945352709
3,33,28,9,0.009085777754973016
4,40,39,0,0.012654975579982826
4,40,39,1,0.01123699959020234
4,40,39,2,0.012835931948541674
4,40,39,3,0.016171923906684007
4,40,39,4,0.017160349079562653
4,40,39,5,0.007246515056968916
4,40,39,6,0.011611030920746102
4,40,39,7,0.009294607497770932
4,40,39,8,0.017553549505904712
4,40,39,9,0.01585885479321374
5,11,26,0,0.01523224975219339
5,11,26,1,0.011684995702495246
5,11,26,2,0.019012638605954372
5,11,26,3,0.007255516468562072
5,11,26,4,0.007740195883805994
5,11,26,5,0.01928084389869879
5,11,26,6,0.009559242355356847
5,11,26,7,0.01728437946081789
5,11,26,8,0.013249442794270497
5,11,26,9,0.013960844571070458
6,18,7,0,0.019255378268831964
6,18,7,1,0.010251585633476754
6,18,7,2,0.017128756530667984
6,18,7,3,0.012021171315584306
6,18,7,4,0.011251772631292073
6,18,7,5,0.011570905733930013
6,18,7,6,0.008891595219313484
6,18,7,7,0.014344869061547381
6,18,7,8,0.018663431941979218
6,18,7,9,0.011765507603393519
7,38,20,0,0.005041436734274136
7,38,20,1,0.011857837959157576
7,38,20,2,0.014084169572184242
7,38,20,3,0.010503647188489274
7,38,20,4,0.015565240462971829
7,38,20,5,0.015113626638270868
7,38,20,6,0.005020957396806644
7,38,20,7,0.016068783441061472
7,38,20,8,0.013602842236282026
7,38,20,9,0.009340741815406353
8,39,24,0,0.005995130010845628
8,39,24,1,0.013873180435970866
8,39,24,2,0.011836657750048003
8,39,24,3,0.008593532598908885
8,39,24,4,0.011727736246511085
8,39,24,5,0.005531951727938838
8,39,24,6,0.007630570819912625
8,39,24,7,0.01016521669248062
8,39,24,8,0.015295029263651318
8,39,24,9,0.008806683861231982
9,35,43,0,0.005241566562019911
9,35,43,1,0.014858950797911077
9,35,43,2,0.008090841243142185
9,35,43,3,0.018012269821912993
9,35,43,4,0.007033321210516376
9,35,43,5,0.01487039510030164
9,35,43,6,0.019865974850835678
9,35,43,7,0.01395848396106715
9,35,43,8,0.006403681344618092
9,35,43,9,0.00856957769170162
