well_id,r,c,sp,q
0,15,20,0,0.011407150622921181
0,15,20,1,0.01142269053455586
0,15,20,2,0.015172701570418147
0,15,20,3,0.007822158959796887
0,15,20,4,0.009569162423838245
0,15,20,5,0.005393763571251373
0,15,20,6,0.017016683718748503
0,15,20,7,0.014379920144509811
0,15,20,8,0.014918575263407827
0,15,20,9,0.011515357214055916
1,22,30,0,0.011477347569770403
1,22,30,1,0.01120278085297225
1,22,30,2,0.01719341228646214
1,22,30,3,0.019722585091148707
1,22,30,4,0.016166015651570106
1,22,30,5,0.009933165286278484
1,22,30,6,0.006386963133678758
1,22,30,7,0.010031248354003486
1,22,30,8,0.009091850196861016
1,22,30,9,0.016766393012299905
2,29,21,0,0.016752742070515626
2,29,21,1,0.007734353413446641
2,29,21,2,0.005928572236991553
2,29,21,3,0.017354952998314736
2,29,21,4,0.010185476353503295
2,29,21,5,0.01373138637693054
2,29,21,6,0.01852659323985805
2,29,21,7,0.006966464595265955
2,29,21,8,0.008387424269443706
2,29,21,9,0.013990740163639097
3,29,31,0,0.014701948767793037
3,29,31,1,0.00848616869787906
3,29,31,2,0.011628962974512033
3,29,31,3,0.017790250081885138
3,29,31,4,0.009423594602263802
3,29,31,5,0.012909231051232938
3,29,31,6,0.01985950060134703
3,29,31,7,0.009027254755238797
3,29,31,8,0.009468025126894795
3,29,31,9,0.018392020796019728
4,34,29,0,0.01991735299830398
4,34,29,1,0.011529812772695618
4,34,29,2,0.006116037666226103
4,34,29,3,0.013869058930155838
4,34,29,4,0.017063684793252033
4,34,29,5,0.009631776285068883
4,34,29,6,0.008250485314316533
4,34,29,7,0.015038968364058113
4,34,29,8,0.012905676542412457
4,34,29,9,0.016823147808785986
5,14,32,0,0.017441112305678717
5,14,32,1,0.009725067013246163
5,14,32,2,0.010611946604908419
5,14,32,3,0.01827407936237081
5,14,32,4,0.010899087354166951
5,14,32,5,0.006323893994455921
5,14,32,6,0.01636592037517909
5,14,32,7,0.01042063265158025
5,14,32,8,0.006662614944724224
5,14,32,9,0.009361719454742127
6,19,15,0,0.008145464705487746
6,19,15,1,0.016427650759366436
6,19,15,2,0.010475999080638856
6,19,15,3,0.0076937907896163895
6,19,15,4,0.015484015941178784
6,19,15,5,0.008481945854481688
6,19,15,6,0.016981613910407894
6,19,15,7,0.013354596577466744
6,19,15,8,0.019167323953325023
6,19,15,9,0.007456066284369772
7,32,38,0,0.012102699985148749
7,32,38,1,0.009867931989966841
7,32,38,2,0.019649875119097757
7,32,38,3,0.006418478394025707
7,32,38,4,0.013908915351287854
7,32,38,5,0.01948864507527876
7,32,38,6,0.018744873582828545
7,32,38,7,0.009514143280356345
7,32,38,8,0.008511081397239358
7,32,38,9,0.01713374684974205
8,33,31,0,0.019686406817818806
8,33,31,1,0.008127565654782733
8,33,31,2,0.014666545144232341
8,33,31,3,0.006254245465565332
8,33,31,4,0.0067575304515101586
8,33,31,5,0.011976889836534476
8,33,31,6,0.010632287056083801
8,33,31,7,0.019895340322901467
8,33,31,8,0.015409796455051857
8,33,31,9,0.017403849676004595
9,31,20,0,0.017551372467298768
9,31,20,1,0.00900868509072486
9,31,20,2,0.019672827435066525
9,31,20,3,0.01587454787255335
9,31,20,4,0.014832385282965294
9,31,20,5,0.016796736297355386
9,31,20,6,0.009619335993495466
9,31,20,7,0.019060176319616262
9,31,20,8,0.010232837650051417
9,31,20,9,0.013912002269506219
