obsnme,obsval,weight,obsgp
h_p0_cp0,-2251.1738040737387,1.0,head
h_p0_cp1,-2251.1738040730856,1.0,head
h_p0_cp2,-2246.0104691138695,1.0,head
h_p0_cp3,-2246.0104691136385,1.0,head
h_p0_cp4,-2240.8460200469813,1.0,head
h_p0_cp5,-2240.8460200468867,1.0,head
h_p0_cp6,-2235.681284246484,1.0,head
h_p0_cp7,-2235.6812842464356,1.0,head
h_p0_cp8,-2230.5164746561704,1.0,head
h_p0_cp9,-2230.5164746561422,1.0,head
h_p0_cp10,-2225.351646070869,1.0,head
h_p0_cp11,-2225.3516460708524,1.0,head
h_p0_cp12,-2220.186812601404,1.0,head
h_p0_cp13,-2220.186812601395,1.0,head
h_p0_cp14,-2215.021977870569,1.0,head
h_p0_cp15,-2215.0219778705646,1.0,head
h_p0_cp16,-2209.857142819497,1.0,head
h_p0_cp17,-2209.8571428194946,1.0,head
h_p0_cp18,-2204.692307681623,1.0,head
h_p0_cp19,-2204.692307681622,1.0,head
h_p0_cp20,-2199.5274725257977,1.0,head
h_p0_cp21,-2199.527472525797,1.0,head
h_p0_cp22,-2194.362637360965,1.0,head
h_p0_cp23,-2194.3626373609654,1.0,head
h_p0_cp24,-2189.1978021982013,1.0,head
h_p0_cp25,-2189.1978021982018,1.0,head
h_p0_cp26,-2184.032967031584,1.0,head
h_p0_cp27,-2184.0329670315846,1.0,head
h_p0_cp28,-2178.868131868361,1.0,head
h_p0_cp29,-2178.868131868361,1.0,head
h_p0_cp30,-2173.703296701626,1.0,head
h_p0_cp31,-2173.703296701626,1.0,head
h_p0_cp32,-2168.5384615383723,1.0,head
h_p0_cp33,-2168.5384615383723,1.0,head
h_p0_cp34,-2163.3736263716287,1.0,head
h_p0_cp35,-2163.3736263716287,1.0,head
h_p0_cp36,-2158.2087912083734,1.0,head
h_p0_cp37,-2158.2087912083734,1.0,head
h_p0_cp38,-2153.043956041629,1.0,head
h_p0_cp39,-2153.043956041629,1.0,head
