well_id,r,c,sp,q
0,70,59,0,2174.61001
1,37,34,0,380.625853
2,31,49,0,0.0
3,77,44,0,0.0
4,47,49,0,0.0
5,45,51,0,0.0
6,44,39,0,0.0
7,38,59,0,0.0
8,77,34,0,0.0
9,36,47,0,1577.10088
10,73,39,0,0.0
11,77,42,0,2243.57759
12,64,58,0,0.0
13,35,48,0,0.0
14,67,55,0,0.0
15,57,30,0,2433.19446
16,32,31,0,1988.28277
17,31,59,0,1836.6553
18,35,61,0,0.0
19,43,61,0,962.462299
0,70,59,1,0.0
1,37,34,1,0.0
2,31,49,1,2005.59134
3,77,44,1,1271.49252
4,47,49,1,509.832594
5,45,51,1,329.029111
6,44,39,1,0.0
7,38,59,1,917.865488
8,77,34,1,0.0
9,36,47,1,1577.10088
10,73,39,1,0.0
11,77,42,1,2243.57759
12,64,58,1,2357.91312
13,35,48,1,693.862734
14,67,55,1,1214.8168
15,57,30,1,0.0
16,32,31,1,1988.28277
17,31,59,1,1836.6553
18,35,61,1,0.0
19,43,61,1,0.0
0,70,59,2,0.0
1,37,34,2,380.625853
2,31,49,2,2005.59134
3,77,44,2,0.0
4,47,49,2,0.0
5,45,51,2,0.0
6,44,39,2,0.0
7,38,59,2,917.865488
8,77,34,2,595.008896
9,36,47,2,1577.10088
10,73,39,2,409.10652
11,77,42,2,2243.57759
12,64,58,2,0.0
13,35,48,2,0.0
14,67,55,2,0.0
15,57,30,2,2433.19446
16,32,31,2,0.0
17,31,59,2,0.0
18,35,61,2,0.0
19,43,61,2,0.0
0,70,59,3,2174.61001
1,37,34,3,380.625853
2,31,49,3,0.0
3,77,44,3,0.0
4,47,49,3,0.0
5,45,51,3,0.0
6,44,39,3,838.635776
7,38,59,3,0.0
8,77,34,3,595.008896
9,36,47,3,1577.10088
10,73,39,3,0.0
11,77,42,3,2243.57759
12,64,58,3,2357.91312
13,35,48,3,693.862734
14,67,55,3,1214.8168
15,57,30,3,2433.19446
16,32,31,3,0.0
17,31,59,3,0.0
18,35,61,3,1437.94398
19,43,61,3,0.0
0,70,59,4,0.0
1,37,34,4,380.625853
2,31,49,4,2005.59134
3,77,44,4,0.0
4,47,49,4,509.832594
5,45,51,4,0.0
6,44,39,4,838.635776
7,38,59,4,0.0
8,77,34,4,0.0
9,36,47,4,1577.10088
10,73,39,4,0.0
11,77,42,4,2243.57759
12,64,58,4,2357.91312
13,35,48,4,0.0
14,67,55,4,1214.8168
15,57,30,4,0.0
16,32,31,4,0.0
17,31,59,4,0.0
18,35,61,4,0.0
19,43,61,4,962.462299
0,70,59,5,2174.61001
1,37,34,5,380.625853
2,31,49,5,2005.59134
3,77,44,5,0.0
4,47,49,5,0.0
5,45,51,5,329.029111
6,44,39,5,0.0
7,38,59,5,0.0
8,77,34,5,0.0
9,36,47,5,1577.10088
10,73,39,5,409.10652
11,77,42,5,2243.57759
12,64,58,5,2357.91312
13,35,48,5,0.0
14,67,55,5,1214.8168
15,57,30,5,0.0
16,32,31,5,0.0
17,31,59,5,1836.6553
18,35,61,5,1437.94398
19,43,61,5,0.0
0,70,59,6,0.0
1,37,34,6,0.0
2,31,49,6,0.0
3,77,44,6,0.0
4,47,49,6,509.832594
5,45,51,6,0.0
6,44,39,6,0.0
7,38,59,6,0.0
8,77,34,6,595.008896
9,36,47,6,0.0
10,73,39,6,409.10652
11,77,42,6,2243.57759
12,64,58,6,2357.91312
13,35,48,6,693.862734
14,67,55,6,0.0
15,57,30,6,2433.19446
16,32,31,6,0.0
17,31,59,6,1836.6553
18,35,61,6,1437.94398
19,43,61,6,0.0
0,70,59,7,0.0
1,37,34,7,380.625853
2,31,49,7,0.0
3,77,44,7,0.0
4,47,49,7,0.0
5,45,51,7,0.0
6,44,39,7,838.635776
7,38,59,7,917.865488
8,77,34,7,0.0
9,36,47,7,0.0
10,73,39,7,409.10652
11,77,42,7,0.0
12,64,58,7,2357.91312
13,35,48,7,693.862734
