well_id,r,c,sp,q
0,12,21,0,0.01092974668928798
0,12,21,1,0.005649791369707754
0,12,21,2,0.013389502082967384
0,12,21,3,0.011176330708963286
0,12,21,4,0.007251500213836151
0,12,21,5,0.013949895934964159
0,12,21,6,0.006600416702875622
0,12,21,7,0.010400993306926152
0,12,21,8,0.011607984583944332
0,12,21,9,0.016021917014769415
1,23,14,0,0.013700539659820751
1,23,14,1,0.008133000096431964
1,23,14,2,0.011395591935437509
1,23,14,3,0.010825727956751132
1,23,14,4,0.007718838235459043
1,23,14,5,0.014038072110749748
1,23,14,6,0.006406629860529911
1,23,14,7,0.009399691430714785
1,23,14,8,0.01463031403267356
1,23,14,9,0.016701644639470294
2,33,9,0,0.013498832981682102
2,33,9,1,0.010652845817174435
2,33,9,2,0.00922933363143367
2,33,9,3,0.010998119165591319
2,33,9,4,0.014996886974389414
2,33,9,5,0.009471315759530155
2,33,9,6,0.011823478329759489
2,33,9,7,0.013357322421996717
2,33,9,8,0.009408132409578192
2,33,9,9,0.018930662758812004
3,33,28,0,0.007311756149679582
3,33,28,1,0.007627756921939885
3,33,28,2,0.017036233288618186
3,33,28,3,0.010214030536150207
3,33,28,4,0.015563039286583563
3,33,28,5,0.017415550401648876
3,33,28,6,0.00655691469490563
3,33,28,7,0.011223008572803408
3,33,28,8,0.012155039369496079
3,33,28,9,0.006244993120677473
4,40,39,0,0.015412564672889865
4,40,39,1,0.01809742927741241
4,40,39,2,0.007415830182566667
4,40,39,3,0.011496761388198726
4,40,39,4,0.0054140773578582185
4,40,39,5,0.011135009319373848
4,40,39,6,0.011589340645495667
4,40,39,7,0.016612165387205946
4,40,39,8,0.006295369854025846
4,40,39,9,0.010119541078664142
5,11,26,0,0.017359009201041716
5,11,26,1,0.012962611875018574
5,11,26,2,0.00848239531394638
5,11,26,3,0.010918793439246692
5,11,26,4,0.017267611125945766
5,11,26,5,0.014062989491668149
5,11,26,6,0.012174816812567843
5,11,26,7,0.0053353911515379975
5,11,26,8,0.018294621632474993
5,11,26,9,0.017481307180710545
6,18,7,0,0.019826395563520713
6,18,7,1,0.016175366599690207
6,18,7,2,0.011810246583496449
6,18,7,3,0.01544357664863992
6,18,7,4,0.010052043030537645
6,18,7,5,0.010199931124259015
6,18,7,6,0.013047010274085172
6,18,7,7,0.0117696519621134
6,18,7,8,0.01999841711953703
6,18,7,9,0.019077542949350917
7,38,20,0,0.0056325583265272264
7,38,20,1,0.013400014808414087
7,38,20,2,0.012543054927368699
7,38,20,3,0.016331825886475297
7,38,20,4,0.016257674961149573
7,38,20,5,0.01878816291290014
7,38,20,6,0.008535655722858788
7,38,20,7,0.008595714616576284
7,38,20,8,0.0067686176531305195
7,38,20,9,0.007365814907336099
8,39,24,0,0.010642853520585135
8,39,24,1,0.01616500846754483
8,39,24,2,0.005067021499191575
8,39,24,3,0.013872115492746261
8,39,24,4,0.012989684090664727
8,39,24,5,0.006258022788415448
8,39,24,6,0.01005357671917207
8,39,24,7,0.012137217679171357
8,39,24,8,0.016990786381876226
8,39,24,9,0.012297720017345705
9,35,43,0,0.01611174904952901
9,35,43,1,0.015117922148366464
9,35,43,2,0.00659874358287397
9,35,43,3,0.007730782308048925
9,35,43,4,0.008262409792083581
9,35,43,5,0.01534082138901971
9,35,43,6,0.013857958275911565
9,35,43,7,0.012380015855650985
9,35,43,8,0.016627987066002266
9,35,43,9,0.016699045297588835
