r,c
5,5
110,5
5,6
110,6
5,7
110,7
5,8
110,8
5,9
110,9
5,10
110,10
5,11
110,11
5,12
110,12
5,13
110,13
5,14
110,14
5,15
110,15
5,16
110,16
5,17
110,17
5,18
110,18
5,19
110,19
5,20
110,20
5,21
110,21
5,22
110,22
5,23
110,23
5,24
110,24
5,25
110,25
5,26
110,26
5,27
110,27
5,28
110,28
5,29
110,29
5,30
110,30
5,31
110,31
5,32
110,32
5,33
110,33
5,34
110,34
5,35
110,35
5,36
110,36
5,37
110,37
5,38
110,38
5,39
110,39
5,40
110,40
5,41
110,41
5,42
110,42
5,43
110,43
5,44
110,44
5,45
110,45
5,46
110,46
5,47
110,47
5,48
110,48
5,49
110,49
5,50
110,50
5,51
110,51
5,52
110,52
5,53
110,53
5,54
110,54
5,55
110,55
5,56
110,56
5,57
110,57
5,58
110,58
5,59
110,59
5,60
110,60
5,61
110,61
5,62
110,62
5,63
110,63
5,64
110,64
5,65
110,65
5,66
110,66
5,67
110,67
5,68
110,68
5,69
110,69
5,70
110,70
5,71
110,71
5,72
110,72
5,73
110,73
5,74
110,74
5,75
110,75
5,76
110,76
5,77
110,77
5,78
110,78
5,79
110,79
5,80
110,80
5,81
110,81
5,82
110,82
5,83
110,83
5,84
110,84
5,85
110,85
5,86
110,86
6,5
6,86
7,5
7,86
8,5
8,86
9,5
9,86
10,5
10,86
11,5
11,86
12,5
12,86
13,5
13,86
14,5
14,86
15,5
15,86
16,5
16,86
17,5
17,86
18,5
18,86
19,5
19,86
20,5
20,86
21,5
21,86
22,5
22,86
23,5
23,86
24,5
24,86
25,5
25,86
26,5
26,86
27,5
27,86
28,5
28,86
29,5
29,86
30,5
30,86
31,5
31,86
32,5
32,86
33,5
33,86
34,5
34,86
35,5
35,86
36,5
36,86
37,5
37,86
38,5
38,86
39,5
39,86
40,5
40,86
41,5
41,86
42,5
42,86
43,5
43,86
44,5
44,86
45,5
45,86
46,5
46,86
47,5
47,86
48,5
48,86
49,5
49,86
50,5
50,86
51,5
51,86
52,5
52,86
53,5
53,86
54,5
54,86
55,5
55,86
56,5
56,86
57,5
57,86
58,5
58,86
59,5
59,86
60,5
60,86
61,5
61,86
62,5
62,86
63,5
63,86
64,5
64,86
65,5
65,86
66,5
66,86
67,5
67,86
68,5
68,86
69,5
69,86
70,5
70,86
71,5
71,86
72,5
72,86
73,5
73,86
74,5
74,86
75,5
75,86
76,5
76,86
77,5
77,86
78,5
78,86
79,5
79,86
80,5
80,86
81,5
81,86
82,5
82,86
83,5
83,86
84,5
84,86
85,5
85,86
86,5
86,86
87,5
87,86
88,5
88,86
89,5
89,86
90,5
90,86
91,5
91,86
92,5
92,86
93,5
93,86
94,5
94,86
95,5
95,86
96,5
96,86
97,5
97,86
98,5
98,86
99,5
99,86
100,5
100,86
101,5
101,86
102,5
102,86
103,5
103,86
104,5
104,86
105,5
105,86
106,5
106,86
107,5
107,86
108,5
108,86
109,5
109,86
