obsnme,obsval,weight,obsgp
h_p0_cp0,7.081825970089994e-08,1.0,head
h_p0_cp1,2.262941052322276e-06,1.0,head
h_p0_cp2,2.4914470486692153e-07,1.0,head
h_p0_cp3,7.463321708200965e-06,1.0,head
h_p0_cp4,8.536317182006314e-07,1.0,head
h_p0_cp5,2.3849344415793894e-05,1.0,head
h_p0_cp6,2.8917061172251124e-06,1.0,head
h_p0_cp7,7.326962349907262e-05,1.0,head
h_p0_cp8,9.544154181639897e-06,1.0,head
h_p0_cp9,0.00021384584988481947,1.0,head
h_p0_cp10,3.0546170364686986e-05,1.0,head
h_p0_cp11,0.0005833107097714674,1.0,head
h_p0_cp12,9.392550146003487e-05,1.0,head
h_p0_cp13,0.001451225914479437,1.0,head
h_p0_cp14,0.00027433024069978273,1.0,head
h_p0_cp15,0.0031698139241598255,1.0,head
h_p0_cp16,0.0007486676163352968,1.0,head
h_p0_cp17,0.005698492701867508,1.0,head
h_p0_cp18,0.0018632404380696244,1.0,head
h_p0_cp19,0.0074779616015803185,1.0,head
h_p0_cp20,0.0040706111076360685,1.0,head
h_p0_cp21,0.005698146233498846,1.0,head
h_p0_cp22,0.007318794817365415,1.0,head
h_p0_cp23,0.0031693050186731853,1.0,head
h_p0_cp24,0.009604865978417365,1.0,head
h_p0_cp25,0.0014507481246255338,1.0,head
h_p0_cp26,0.0073190289695048705,1.0,head
h_p0_cp27,0.000582956674406887,1.0,head
h_p0_cp28,0.004071433022090787,1.0,head
h_p0_cp29,0.00021362880806918838,1.0,head
h_p0_cp30,0.0018658286930985923,1.0,head
h_p0_cp31,7.314737877095467e-05,1.0,head
h_p0_cp32,0.0007564758425360196,1.0,head
h_p0_cp33,2.379028228460811e-05,1.0,head
h_p0_cp34,0.0002968411399706383,1.0,head
h_p0_cp35,7.432644906657515e-06,1.0,head
h_p0_cp36,0.00015525643038927228,1.0,head
h_p0_cp37,2.251284513477003e-06,1.0,head
h_p0_cp38,0.00018594519042380853,1.0,head
h_p0_cp39,6.633199518546462e-07,1.0,head
h_p0_cp40,0.0003674554138797248,1.0,head
h_p0_cp41,1.92940206034109e-07,1.0,head
h_p0_cp42,0.000727040949414004,1.0,head
h_p0_cp43,5.3850044423597865e-08,1.0,head
h_p0_cp44,0.0012215993135669123,1.0,head
h_p0_cp45,1.644139047130011e-08,1.0,head
h_p0_cp46,0.0015764950426273572,1.0,head
h_p0_cp47,3.786681190831587e-09,1.0,head
h_p0_cp48,0.0013946039184702386,1.0,head
h_p0_cp49,2.6145698939217255e-09,1.0,head
h_p0_cp50,0.0009326825390871818,1.0,head
h_p0_cp51,1.8667378753889352e-10,1.0,head
h_p0_cp52,0.0005124204162711976,1.0,head
h_p0_cp53,1.8640093912836164e-09,1.0,head
h_p0_cp54,0.00024435392469968065,1.0,head
h_p0_cp55,2.219167072325945e-10,1.0,head
h_p0_cp56,0.00010506567991797056,1.0,head
h_p0_cp57,2.1141204342711717e-09,1.0,head
h_p0_cp58,4.2083084053956554e-05,1.0,head
h_p0_cp59,5.300080374581739e-10,1.0,head
h_p0_cp60,1.638127037040249e-05,1.0,head
h_p0_cp61,2.4372184270760044e-09,1.0,head
h_p0_cp62,6.603546808037208e-06,1.0,head
h_p0_cp63,8.526512829121202e-10,1.0,head
h_p0_cp64,2.9183652259234805e-06,1.0,head
h_p0_cp65,2.7412170311436057e-09,1.0,head
h_p0_cp66,1.4054685379960574e-06,1.0,head
h_p0_cp67,1.0829808161361143e-09,1.0,head
h_p0_cp68,7.01088765708846e-07,1.0,head
h_p0_cp69,2.681645128177479e-09,1.0,head
h_p0_cp70,3.4031927498290315e-07,1.0,head
h_p0_cp71,-1.0618350643198937e-10,1.0,head
h_p0_cp72,1.554440132167656e-07,1.0,head
h_p0_cp73,-2.894239514716901e-09,1.0,head
h_p0_cp74,6.841219146735966e-08,1.0,head
h_p0_cp75,-1.296257323701866e-09,1.0,head
h_p0_cp76,2.6123871066374704e-08,1.0,head
h_p0_cp77,-2.95608515443746e-09,1.0,head
h_p0_cp78,1.047715159074869e-08,1.0,head
h_p0_cp79,-1.0684289009077474e-09,1.0,head
h_p0_cp80,1.7307684174738824e-09,1.0,head
h_p0_cp81,-2.654132913448848e-09,1.0,head
h_p0_cp82,8.533334039384499e-10,1.0,head
h_p0_cp83,-7.469225238310173e-10,1.0,head
h_p0_cp84,1.301564225286711e-07,1.0,head
h_p0_cp85,3.5777247830992565e-09,1.0,head
h_p0_cp86,2.1701544028474018e-07,1.0,head
h_p0_cp87,1.0472376743564382e-08,1.0,head
h_p0_cp88,3.214645403204486e-07,1.0,head
h_p0_cp89,2.699721335375216e-08,1.0,head
h_p0_cp90,4.13380803365726e-07,1.0,head
h_p0_cp91,6.406116881407797e-08,1.0,head
h_p0_cp92,4.512985469773412e-07,1.0,head
h_p0_cp93,1.4059014574741013e-07,1.0,head
h_p0_cp94,4.1338034861837514e-07,1.0,head
h_p0_cp95,2.8273757379793096e-07,1.0,head
h_p0_cp96,3.214640855730977e-07,1.0,head
h_p0_cp97,5.122224138176534e-07,1.0,head
h_p0_cp98,2.1701725927414373e-07,1.0,head
h_p0_cp99,8.159645403793547e-07,1.0,head
h_p0_cp100,1.3015869626542553e-07,1.0,head
h_p0_cp101,1.1076217560912482e-06,1.0,head
h_p0_cp102,7.081735020619817e-08,1.0,head
h_p0_cp103,1.2362586403469322e-06,1.0,head
h_p0_cp104,3.563900463632308e-08,1.0,head
h_p0_cp105,1.107486696128035e-06,1.0,head
h_p0_cp106,1.6955254977801815e-08,1.0,head
h_p0_cp107,8.157260253938148e-07,1.0,head
h_p0_cp108,7.877588359406218e-09,1.0,head
h_p0_cp109,5.119427441968583e-07,1.0,head
h_p0_cp110,3.848072083201259e-09,1.0,head
h_p0_cp111,2.825288447638741e-07,1.0,head
h_p0_cp112,2.3715074348729104e-09,1.0,head
